med_fecha,med_hora,med_prom,med_max,med_min
02/06/2011,0:15:00,647.805,647.805,647.805
02/06/2011,0:30:00,647.704,647.704,647.704
02/06/2011,0:45:00,647.594,647.594,647.594
02/06/2011,1:00:00,647.466,647.466,647.466
02/06/2011,1:15:00,647.347,647.347,647.347
02/06/2011,1:30:00,647.265,647.265,647.265
02/06/2011,1:45:00,647.118,647.118,647.118
02/06/2011,2:00:00,646.99,646.99,646.99
02/06/2011,2:15:00,646.798,646.798,646.798
02/06/2011,2:30:00,646.67,646.67,646.67
02/06/2011,2:45:00,646.523,646.523,646.523
02/06/2011,3:00:00,646.441,646.441,646.441
02/06/2011,3:15:00,646.386,646.386,646.386
02/06/2011,3:30:00,646.304,646.304,646.304
02/06/2011,3:45:00,646.249,646.249,646.249
02/06/2011,4:00:00,646.294,646.294,646.294
02/06/2011,4:15:00,646.285,646.285,646.285
02/06/2011,4:30:00,646.184,646.184,646.184
02/06/2011,4:45:00,646.184,646.184,646.184
02/06/2011,5:00:00,646.249,646.249,646.249
02/06/2011,5:15:00,646.184,646.184,646.184
02/06/2011,5:30:00,646.267,646.267,646.267
02/06/2011,5:45:00,646.313,646.313,646.313
02/06/2011,6:00:00,646.331,646.331,646.331
02/06/2011,6:15:00,646.358,646.358,646.358
02/06/2011,6:30:00,646.523,646.523,646.523
02/06/2011,6:45:00,646.633,646.633,646.633
02/06/2011,7:00:00,646.697,646.697,646.697
02/06/2011,7:15:00,646.725,646.725,646.725
02/06/2011,7:30:00,646.789,646.789,646.789
02/06/2011,7:45:00,646.862,646.862,646.862
02/06/2011,8:00:00,646.99,646.99,646.99
02/06/2011,8:15:00,647.219,647.219,647.219
02/06/2011,8:30:00,647.283,647.283,647.283
02/06/2011,8:45:00,647.457,647.457,647.457
02/06/2011,9:00:00,647.567,647.567,647.567
02/06/2011,9:15:00,647.64,647.64,647.64
02/06/2011,9:30:00,647.814,647.814,647.814
02/06/2011,9:45:00,647.951,647.951,647.951
02/06/2011,10:00:00,647.988,647.988,647.988
02/06/2011,10:15:00,647.97,647.97,647.97
02/06/2011,10:30:00,648.07,648.07,648.07
02/06/2011,10:45:00,647.887,647.887,647.887
02/06/2011,11:00:00,647.869,647.869,647.869
02/06/2011,11:15:00,647.842,647.842,647.842
02/06/2011,11:30:00,647.677,647.677,647.677
02/06/2011,11:45:00,647.521,647.521,647.521
02/06/2011,12:00:00,647.338,647.338,647.338
02/06/2011,12:15:00,647.21,647.21,647.21
02/06/2011,12:30:00,647.192,647.192,647.192
02/06/2011,12:45:00,647.146,647.146,647.146
02/06/2011,13:00:00,647.045,647.045,647.045
02/06/2011,13:15:00,647.045,647.045,647.045
02/06/2011,13:30:00,647.073,647.073,647.073
02/06/2011,13:45:00,646.88,646.88,646.88
02/06/2011,14:00:00,646.844,646.844,646.844
02/06/2011,14:15:00,646.844,646.844,646.844
02/06/2011,14:30:00,646.743,646.743,646.743
02/06/2011,14:45:00,646.578,646.578,646.578
02/06/2011,15:00:00,646.377,646.377,646.377
02/06/2011,15:15:00,646.239,646.239,646.239
02/06/2011,15:30:00,646.12,646.12,646.12
02/06/2011,15:45:00,646.065,646.065,646.065
02/06/2011,16:00:00,646.038,646.038,646.038
02/06/2011,16:15:00,645.919,645.919,645.919
02/06/2011,16:30:00,645.956,645.956,645.956
02/06/2011,16:45:00,646.029,646.029,646.029
02/06/2011,17:00:00,646.075,646.075,646.075
02/06/2011,17:15:00,646.139,646.139,646.139
02/06/2011,17:30:00,646.148,646.148,646.148
02/06/2011,17:45:00,646.23,646.23,646.23
02/06/2011,18:00:00,646.194,646.194,646.194
02/06/2011,18:15:00,646.258,646.258,646.258
02/06/2011,18:30:00,646.368,646.368,646.368
02/06/2011,18:45:00,646.477,646.477,646.477
02/06/2011,19:00:00,646.532,646.532,646.532
02/06/2011,19:15:00,646.633,646.633,646.633
02/06/2011,19:30:00,646.789,646.789,646.789
02/06/2011,19:45:00,646.871,646.871,646.871
02/06/2011,20:00:00,646.963,646.963,646.963
02/06/2011,20:15:00,647.054,647.054,647.054
02/06/2011,20:30:00,647.127,647.127,647.127
02/06/2011,20:45:00,647.21,647.21,647.21
02/06/2011,21:00:00,647.265,647.265,647.265
02/06/2011,21:15:00,647.356,647.356,647.356
02/06/2011,21:30:00,647.42,647.42,647.42
02/06/2011,21:45:00,647.485,647.485,647.485
02/06/2011,22:00:00,647.466,647.466,647.466
02/06/2011,22:15:00,647.475,647.475,647.475
02/06/2011,22:30:00,647.448,647.448,647.448
02/06/2011,22:45:00,647.457,647.457,647.457
02/06/2011,23:00:00,647.494,647.494,647.494
02/06/2011,23:15:00,647.539,647.539,647.539
02/06/2011,23:30:00,647.604,647.604,647.604
02/06/2011,23:45:00,647.576,647.576,647.576
