med_fecha;med_hora;med_valor
09/12/2011;0:14:00;5.847
09/12/2011;0:29:00;5.949
09/12/2011;0:44:00;5.949
09/12/2011;0:59:00;5.898
09/12/2011;1:14:00;5.872
09/12/2011;1:29:00;5.847
09/12/2011;1:44:00;5.949
09/12/2011;1:59:00;6.179
09/12/2011;2:14:00;5.282
09/12/2011;2:29:00;5.719
09/12/2011;2:44:00;5.642
09/12/2011;2:59:00;5.745
09/12/2011;3:14:00;5.847
09/12/2011;3:29:00;5.745
09/12/2011;3:44:00;5.693
09/12/2011;3:59:00;5.488
09/12/2011;4:14:00;5.949
09/12/2011;4:29:00;5.949
09/12/2011;4:44:00;5.642
09/12/2011;4:59:00;5.591
09/12/2011;5:14:00;5.36
09/12/2011;5:29:00;5.565
09/12/2011;5:44:00;5.334
09/12/2011;5:59:00;5.616
09/12/2011;6:14:00;5.488
09/12/2011;6:29:00;5.591
09/12/2011;6:44:00;5.924
09/12/2011;6:59:00;8.344
09/12/2011;7:14:00;8.792
09/12/2011;7:29:00;9.04
09/12/2011;7:44:00;9.706
09/12/2011;7:59:00;7.419
09/12/2011;8:14:00;6.737
09/12/2011;8:29:00;7.619
09/12/2011;8:44:00;7.393
09/12/2011;8:59:00;7.569
09/12/2011;9:14:00;7.569
09/12/2011;9:29:00;8.27
09/12/2011;9:44:00;9.632
09/12/2011;9:59:00;10.1
09/12/2011;10:14:00;10.907
09/12/2011;10:29:00;10.247
09/12/2011;10:44:00;10.443
09/12/2011;10:59:00;10.81
09/12/2011;11:14:00;10.198
09/12/2011;11:29:00;10.296
09/12/2011;11:44:00;11.102
09/12/2011;11:59:00;10.834
09/12/2011;12:14:00;12.074
09/12/2011;12:29:00;11.346
09/12/2011;12:44:00;12.654
09/12/2011;12:59:00;11.904
09/12/2011;13:14:00;13.978
09/12/2011;13:29:00;13.233
09/12/2011;13:44:00;12.437
09/12/2011;13:59:00;12.34
09/12/2011;14:14:00;12.63
09/12/2011;14:29:00;12.896
09/12/2011;14:44:00;12.534
09/12/2011;14:59:00;12.871
09/12/2011;15:14:00;10.198
09/12/2011;15:29:00;11.37
09/12/2011;15:44:00;11.686
09/12/2011;15:59:00;10.369
09/12/2011;16:14:00;10.369
09/12/2011;16:29:00;10.1
09/12/2011;16:44:00;10.124
09/12/2011;16:59:00;10.051
09/12/2011;17:14:00;9.682
