med_fecha;med_hora;med_valor;med_maximo;med_minimo
15/11/2011;9:55:00;6.979;6.979;6.979
15/11/2011;10:00:00;12.359;12.359;12.359
15/11/2011;10:05:00;12.461;12.461;12.461
15/11/2011;10:10:00;12.222;12.222;12.222
15/11/2011;10:15:00;12.066;12.066;12.066
15/11/2011;10:20:00;12.034;12.034;12.034
15/11/2011;10:25:00;11.521;11.521;11.521
15/11/2011;10:30:00;11.471;11.471;11.471
15/11/2011;10:35:00;12.03;12.03;12.03
15/11/2011;10:40:00;12.075;12.075;12.075
15/11/2011;10:45:00;12.063;12.063;12.063
15/11/2011;10:50:00;12.02;12.02;12.02
15/11/2011;10:55:00;12.246;12.246;12.246
15/11/2011;11:00:00;12.789;12.789;12.789
15/11/2011;11:05:00;12.638;12.638;12.638
15/11/2011;11:10:00;12.181;12.181;12.181
15/11/2011;11:15:00;11.261;11.261;11.261
15/11/2011;11:20:00;11.94;11.94;11.94
15/11/2011;11:25:00;12.603;12.603;12.603
15/11/2011;11:30:00;13.285;13.285;13.285
15/11/2011;11:35:00;13.154;13.154;13.154
15/11/2011;11:40:00;12.368;12.368;12.368
15/11/2011;11:45:00;11.936;11.936;11.936
15/11/2011;11:50:00;12.429;12.429;12.429
15/11/2011;11:55:00;12.457;12.457;12.457
15/11/2011;12:00:00;11.758;11.758;11.758
15/11/2011;12:05:00;11.132;11.132;11.132
15/11/2011;12:10:00;10.49;10.49;10.49
15/11/2011;12:15:00;10.258;10.258;10.258
15/11/2011;12:20:00;10.281;10.281;10.281
15/11/2011;12:25:00;10.658;10.658;10.658
15/11/2011;12:30:00;10.842;10.842;10.842
15/11/2011;12:35:00;10.667;10.667;10.667
15/11/2011;12:40:00;11.407;11.407;11.407
15/11/2011;12:45:00;11.831;11.831;11.831
15/11/2011;12:50:00;12.664;12.664;12.664
15/11/2011;12:55:00;13.032;13.032;13.032
15/11/2011;13:00:00;12.937;12.937;12.937
15/11/2011;13:05:00;13.267;13.267;13.267
15/11/2011;13:10:00;13.238;13.238;13.238
15/11/2011;13:15:00;13.157;13.157;13.157
15/11/2011;13:20:00;12.834;12.834;12.834
15/11/2011;13:25:00;13.087;13.087;13.087
15/11/2011;13:30:00;13.031;13.031;13.031
15/11/2011;13:35:00;13.455;13.455;13.455
15/11/2011;13:40:00;13.269;13.269;13.269
15/11/2011;13:45:00;13.363;13.363;13.363
15/11/2011;13:50:00;13.147;13.147;13.147
15/11/2011;13:55:00;13.572;13.572;13.572
15/11/2011;14:00:00;13.519;13.519;13.519
15/11/2011;14:05:00;13.717;13.717;13.717
15/11/2011;14:10:00;13.438;13.438;13.438
15/11/2011;14:15:00;12.597;12.597;12.597
15/11/2011;14:20:00;13.122;13.122;13.122
15/11/2011;14:25:00;13.493;13.493;13.493
15/11/2011;14:30:00;13.638;13.638;13.638
15/11/2011;14:35:00;12.976;12.976;12.976
15/11/2011;14:40:00;12.474;12.474;12.474
15/11/2011;14:45:00;12.64;12.64;12.64
15/11/2011;14:50:00;12.081;12.081;12.081
15/11/2011;14:55:00;12.658;12.658;12.658
15/11/2011;15:00:00;12.683;12.683;12.683
15/11/2011;15:05:00;13.055;13.055;13.055
15/11/2011;15:10:00;12.934;12.934;12.934
15/11/2011;15:15:00;13.227;13.227;13.227
15/11/2011;15:20:00;12.803;12.803;12.803
15/11/2011;15:25:00;12.533;12.533;12.533
15/11/2011;15:30:00;12.48;12.48;12.48
15/11/2011;15:35:00;12.146;12.146;12.146
15/11/2011;15:40:00;11.779;11.779;11.779
15/11/2011;15:45:00;11.63;11.63;11.63
15/11/2011;15:50:00;11.75;11.75;11.75
15/11/2011;15:55:00;11.689;11.689;11.689
15/11/2011;16:00:00;11.651;11.651;11.651
15/11/2011;16:05:00;11.132;11.132;11.132
15/11/2011;16:10:00;11.277;11.277;11.277
15/11/2011;16:15:00;10.963;10.963;10.963
15/11/2011;16:20:00;10.876;10.876;10.876
15/11/2011;16:25:00;10.331;10.331;10.331
15/11/2011;16:30:00;10.784;10.784;10.784
15/11/2011;16:35:00;11.042;11.042;11.042
15/11/2011;16:40:00;10.856;10.856;10.856
15/11/2011;16:45:00;10.751;10.751;10.751
15/11/2011;16:50:00;10.397;10.397;10.397
15/11/2011;16:55:00;10.299;10.299;10.299
15/11/2011;17:00:00;10.145;10.145;10.145
15/11/2011;17:05:00;10.072;10.072;10.072
15/11/2011;17:10:00;9.719;9.719;9.719
15/11/2011;17:15:00;8.512;8.512;8.512
15/11/2011;17:20:00;7.893;7.893;7.893
15/11/2011;17:25:00;7.542;7.542;7.542
15/11/2011;17:30:00;7.191;7.191;7.191
15/11/2011;17:35:00;6.895;6.895;6.895
15/11/2011;17:40:00;6.611;6.611;6.611
15/11/2011;17:45:00;6.339;6.339;6.339
15/11/2011;17:50:00;6.08;6.08;6.08
15/11/2011;17:55:00;5.877;5.877;5.877
15/11/2011;18:00:00;5.613;5.613;5.613
15/11/2011;18:05:00;5.341;5.341;5.341
15/11/2011;18:10:00;5.052;5.052;5.052
15/11/2011;18:15:00;4.698;4.698;4.698
15/11/2011;18:20:00;4.409;4.409;4.409
15/11/2011;18:25:00;4.165;4.165;4.165
15/11/2011;18:30:00;3.989;3.989;3.989
15/11/2011;18:35:00;3.822;3.822;3.822
15/11/2011;18:40:00;3.689;3.689;3.689
15/11/2011;18:45:00;3.678;3.678;3.678
15/11/2011;18:50:00;3.61;3.61;3.61
15/11/2011;18:55:00;3.503;3.503;3.503
15/11/2011;19:00:00;3.559;3.559;3.559
15/11/2011;19:05:00;3.579;3.579;3.579
15/11/2011;19:10:00;3.558;3.558;3.558
15/11/2011;19:15:00;3.548;3.548;3.548
15/11/2011;19:20:00;3.619;3.619;3.619
15/11/2011;19:25:00;3.646;3.646;3.646
15/11/2011;19:30:00;3.814;3.814;3.814
15/11/2011;19:35:00;3.863;3.863;3.863
15/11/2011;19:40:00;3.768;3.768;3.768
15/11/2011;19:45:00;3.866;3.866;3.866
15/11/2011;19:50:00;3.989;3.989;3.989
15/11/2011;19:55:00;3.953;3.953;3.953
15/11/2011;20:00:00;3.796;3.796;3.796
15/11/2011;20:05:00;3.704;3.704;3.704
15/11/2011;20:10:00;3.677;3.677;3.677
15/11/2011;20:15:00;3.663;3.663;3.663
15/11/2011;20:20:00;3.513;3.513;3.513
15/11/2011;20:25:00;3.581;3.581;3.581
15/11/2011;20:30:00;3.762;3.762;3.762
15/11/2011;20:35:00;3.841;3.841;3.841
15/11/2011;20:40:00;3.956;3.956;3.956
15/11/2011;20:45:00;3.999;3.999;3.999
15/11/2011;20:50:00;4.008;4.008;4.008
15/11/2011;20:55:00;3.974;3.974;3.974
15/11/2011;21:00:00;3.887;3.887;3.887
15/11/2011;21:05:00;3.648;3.648;3.648
15/11/2011;21:10:00;3.581;3.581;3.581
15/11/2011;21:15:00;3.582;3.582;3.582
15/11/2011;21:20:00;3.571;3.571;3.571
15/11/2011;21:25:00;3.707;3.707;3.707
15/11/2011;21:30:00;3.384;3.384;3.384
15/11/2011;21:35:00;3.162;3.162;3.162
15/11/2011;21:40:00;3.214;3.214;3.214
15/11/2011;21:45:00;3.13;3.13;3.13
15/11/2011;21:50:00;3.133;3.133;3.133
15/11/2011;21:55:00;3.046;3.046;3.046
15/11/2011;22:00:00;2.92;2.92;2.92
15/11/2011;22:05:00;2.866;2.866;2.866
15/11/2011;22:10:00;3.083;3.083;3.083
15/11/2011;22:15:00;3.202;3.202;3.202
15/11/2011;22:20:00;3.538;3.538;3.538
15/11/2011;22:25:00;3.538;3.538;3.538
15/11/2011;22:30:00;3.552;3.552;3.552
15/11/2011;22:35:00;3.458;3.458;3.458
15/11/2011;22:40:00;3.274;3.274;3.274
15/11/2011;22:45:00;3.097;3.097;3.097
15/11/2011;22:50:00;2.868;2.868;2.868
15/11/2011;22:55:00;2.94;2.94;2.94
15/11/2011;23:00:00;3.114;3.114;3.114
15/11/2011;23:05:00;3.298;3.298;3.298
15/11/2011;23:10:00;3.31;3.31;3.31
15/11/2011;23:15:00;3.387;3.387;3.387
15/11/2011;23:20:00;3.281;3.281;3.281
15/11/2011;23:25:00;3.309;3.309;3.309
15/11/2011;23:30:00;3.304;3.304;3.304
15/11/2011;23:35:00;3.132;3.132;3.132
15/11/2011;23:40:00;2.998;2.998;2.998
15/11/2011;23:45:00;3.227;3.227;3.227
15/11/2011;23:50:00;3.579;3.579;3.579
15/11/2011;23:55:00;3.564;3.564;3.564
16/11/2011;0:00:00;3.523;3.523;3.523
16/11/2011;0:05:00;3.489;3.489;3.489
16/11/2011;0:10:00;3.481;3.481;3.481
16/11/2011;0:15:00;3.487;3.487;3.487
