med_fecha;med_hora;med_valor 
21/09/2010;0:01:00;4.558
21/09/2010;0:16:00;3.591
21/09/2010;0:31:00;5.179
21/09/2010;0:46:00;4.037
21/09/2010;1:01:00;4.636
21/09/2010;1:16:00;4.011
21/09/2010;1:31:00;3.932
21/09/2010;1:46:00;4.35
21/09/2010;2:01:00;3.696
21/09/2010;2:16:00;4.48
21/09/2010;2:31:00;5.488
21/09/2010;2:46:00;5.821
21/09/2010;3:01:00;4.61
21/09/2010;3:16:00;5.334
21/09/2010;3:31:00;4.895
21/09/2010;3:46:00;4.973
21/09/2010;4:01:00;5.154
21/09/2010;4:16:00;5.488
21/09/2010;4:31:00;4.714
21/09/2010;4:46:00;5.437
21/09/2010;5:01:00;5.257
21/09/2010;5:16:00;5.77
21/09/2010;5:31:00;5.437
21/09/2010;5:46:00;6.306
21/09/2010;6:01:00;6.357
21/09/2010;6:16:00;6.687
21/09/2010;6:31:00;7.066
21/09/2010;6:46:00;9.163
21/09/2010;7:01:00;10.736
21/09/2010;7:16:00;11.516
21/09/2010;7:31:00;11.807
21/09/2010;7:46:00;11.71
21/09/2010;8:01:00;12.219
21/09/2010;8:16:00;12.34
21/09/2010;8:31:00;13.161
21/09/2010;8:46:00;13.425
21/09/2010;9:01:00;13.69
21/09/2010;9:16:00;13.93
21/09/2010;9:31:00;15.079
21/09/2010;9:46:00;16.177
21/09/2010;10:01:00;16.177
21/09/2010;10:16:00;15.318
21/09/2010;10:31:00;17.534
21/09/2010;10:46:00;17.463
21/09/2010;11:01:00;17.368
21/09/2010;11:16:00;16.32
21/09/2010;11:31:00;18.271
21/09/2010;11:46:00;19.222
21/09/2010;12:01:00;19.674
21/09/2010;12:16:00;19.246
21/09/2010;12:31:00;17.534
21/09/2010;12:46:00;17.296
21/09/2010;13:01:00;14.888
21/09/2010;13:16:00;16.129
21/09/2010;13:31:00;14.481
21/09/2010;13:46:00;14.074
21/09/2010;14:01:00;13.786
21/09/2010;14:16:00;13.642
21/09/2010;14:31:00;13.786
21/09/2010;14:46:00;13.858
21/09/2010;15:01:00;13.377
21/09/2010;15:14:12;13.233
21/09/2010;15:29:12;14.505
21/09/2010;15:44:12;12.92
21/09/2010;15:59:12;12.05
21/09/2010;16:14:12;11.224
21/09/2010;16:29:12;10.638
21/09/2010;16:44:12;9.977
21/09/2010;16:59:12;9.706
21/09/2010;17:14:12;9.312
21/09/2010;17:29:12;7.97
21/09/2010;17:44:12;6.839
21/09/2010;17:59:12;7.82
21/09/2010;18:14:12;4.999
21/09/2010;18:29:12;5.385
21/09/2010;18:44:12;7.066
21/09/2010;18:59:12;6.889
21/09/2010;19:14:12;6.611
21/09/2010;19:29:12;6.458
21/09/2010;19:44:12;6.382
21/09/2010;19:59:12;6.636
21/09/2010;20:14:12;6.737
21/09/2010;20:29:12;6.712
21/09/2010;20:44:12;6.458
21/09/2010;20:59:12;6.509
21/09/2010;21:14:12;6.331
21/09/2010;21:29:12;6.331
21/09/2010;21:44:12;6.153
21/09/2010;21:59:12;6.153
21/09/2010;22:14:12;6.204
21/09/2010;22:29:12;6.128
21/09/2010;22:44:12;6.051
21/09/2010;22:59:12;5.719
