med_fecha;med_hora;valor
24/07/2013;10:30:00;0
24/07/2013;10:31:00;0
24/07/2013;10:32:00;0.254
24/07/2013;10:33:00;0.254
24/07/2013;10:34:00;0.254
24/07/2013;10:35:00;0
24/07/2013;10:36:00;0
24/07/2013;10:37:00;0
24/07/2013;10:38:00;0
24/07/2013;10:39:00;0
24/07/2013;10:40:00;0
24/07/2013;10:41:00;0
24/07/2013;10:42:00;0
24/07/2013;10:43:00;0
24/07/2013;10:44:00;0
24/07/2013;10:45:00;0
24/07/2013;10:46:00;0
24/07/2013;10:47:00;0
24/07/2013;10:48:00;0
24/07/2013;10:49:00;0
24/07/2013;10:50:00;0
24/07/2013;10:51:00;0
24/07/2013;10:52:00;0
24/07/2013;10:53:00;0
24/07/2013;10:54:00;0
24/07/2013;10:55:00;0
24/07/2013;10:56:00;0
24/07/2013;10:57:00;0
24/07/2013;10:58:00;0
24/07/2013;10:59:00;0
24/07/2013;11:00:00;0
24/07/2013;11:01:00;0
24/07/2013;11:02:00;0
24/07/2013;11:03:00;0.508
24/07/2013;11:04:00;0.254
24/07/2013;11:05:00;0
24/07/2013;11:06:00;0
24/07/2013;11:07:00;0
24/07/2013;11:08:00;0
24/07/2013;11:09:00;0
24/07/2013;11:10:00;0
24/07/2013;11:11:00;0
24/07/2013;11:12:00;0
24/07/2013;11:13:00;0
24/07/2013;11:14:00;0
24/07/2013;11:15:00;0
24/07/2013;11:16:00;0
24/07/2013;11:17:00;0.508
24/07/2013;11:18:00;0
24/07/2013;11:19:00;0
24/07/2013;11:20:00;0
24/07/2013;11:21:00;0
24/07/2013;11:22:00;0
24/07/2013;11:23:00;0
24/07/2013;11:24:00;0
24/07/2013;11:25:00;0
24/07/2013;11:26:00;0
24/07/2013;11:27:00;0
24/07/2013;11:28:00;0
24/07/2013;11:29:00;0
24/07/2013;11:30:00;0
24/07/2013;11:31:00;0
24/07/2013;11:32:00;0
24/07/2013;11:33:00;0
24/07/2013;11:34:00;0
24/07/2013;11:35:00;0
24/07/2013;11:36:00;0
24/07/2013;11:37:00;0
24/07/2013;11:38:00;0
24/07/2013;11:39:00;0
24/07/2013;11:40:00;0
24/07/2013;11:41:00;0
24/07/2013;11:42:00;0
24/07/2013;11:43:00;0
24/07/2013;11:44:00;0
24/07/2013;11:45:00;0
24/07/2013;11:46:00;0
24/07/2013;11:47:00;0
24/07/2013;11:48:00;0
24/07/2013;11:49:00;0
24/07/2013;11:50:00;0
24/07/2013;11:51:00;0
24/07/2013;11:52:00;0
24/07/2013;11:53:00;0
24/07/2013;11:54:00;0
24/07/2013;11:55:00;0
24/07/2013;11:56:00;0
24/07/2013;11:57:00;0
24/07/2013;11:58:00;0
24/07/2013;11:59:00;0
24/07/2013;12:00:00;0
24/07/2013;12:01:00;0
24/07/2013;12:02:00;0
24/07/2013;12:03:00;0
24/07/2013;12:04:00;0
24/07/2013;12:05:00;0
24/07/2013;12:06:00;0
24/07/2013;12:07:00;0
24/07/2013;12:08:00;0
24/07/2013;12:09:00;0
24/07/2013;12:10:00;0
24/07/2013;12:11:00;0
24/07/2013;12:12:00;0
24/07/2013;12:13:00;0
24/07/2013;12:14:00;0
24/07/2013;12:15:00;0
24/07/2013;12:16:00;0
24/07/2013;12:17:00;0
24/07/2013;12:18:00;0
24/07/2013;12:19:00;0
24/07/2013;12:20:00;0
24/07/2013;12:21:00;0
24/07/2013;12:22:00;0
24/07/2013;12:23:00;0
24/07/2013;12:24:00;0
24/07/2013;12:25:00;0
24/07/2013;12:26:00;0
24/07/2013;12:27:00;0
24/07/2013;12:28:00;0
24/07/2013;12:29:00;0
24/07/2013;12:30:00;0
24/07/2013;12:31:00;0
24/07/2013;12:32:00;0
24/07/2013;12:33:00;0
24/07/2013;12:34:00;0
24/07/2013;12:35:00;0
24/07/2013;12:36:00;0
24/07/2013;12:37:00;0
24/07/2013;12:38:00;0
24/07/2013;12:39:00;0
24/07/2013;12:40:00;0
24/07/2013;12:41:00;0
24/07/2013;12:42:00;0
24/07/2013;12:43:00;0
24/07/2013;12:44:00;0
24/07/2013;12:45:00;0
24/07/2013;12:46:00;0
24/07/2013;12:47:00;0
24/07/2013;12:48:00;0
24/07/2013;12:49:00;0
24/07/2013;12:50:00;0
24/07/2013;12:51:00;0
24/07/2013;12:52:00;0
24/07/2013;12:53:00;0
24/07/2013;12:54:00;0
24/07/2013;12:55:00;0
24/07/2013;12:56:00;0
24/07/2013;12:57:00;0
24/07/2013;12:58:00;0
24/07/2013;12:59:00;0
24/07/2013;13:00:00;0
24/07/2013;13:01:00;0
24/07/2013;13:02:00;0
24/07/2013;13:03:00;0
24/07/2013;13:04:00;0
24/07/2013;13:05:00;0
24/07/2013;13:06:00;0
24/07/2013;13:07:00;0
24/07/2013;13:08:00;0
24/07/2013;13:09:00;0
24/07/2013;13:10:00;0
24/07/2013;13:11:00;0
24/07/2013;13:12:00;0
24/07/2013;13:13:00;0
24/07/2013;13:14:00;0
24/07/2013;13:15:00;0
24/07/2013;13:16:00;0
24/07/2013;13:17:00;0
24/07/2013;13:18:00;0
24/07/2013;13:19:00;0
24/07/2013;13:20:00;0
24/07/2013;13:21:00;0
24/07/2013;13:22:00;0
24/07/2013;13:23:00;0
24/07/2013;13:24:00;0
24/07/2013;13:25:00;0
24/07/2013;13:26:00;0
24/07/2013;13:27:00;0
24/07/2013;13:28:00;0
24/07/2013;13:29:00;0
24/07/2013;13:30:00;0
24/07/2013;13:31:00;0
24/07/2013;13:32:00;0
24/07/2013;13:33:00;0
24/07/2013;13:34:00;0
24/07/2013;13:35:00;0
24/07/2013;13:36:00;0
24/07/2013;13:37:00;0
24/07/2013;13:38:00;0
24/07/2013;13:39:00;0
24/07/2013;13:40:00;0
24/07/2013;13:41:00;0
24/07/2013;13:42:00;0
24/07/2013;13:43:00;0
24/07/2013;13:44:00;0
24/07/2013;13:45:00;0
24/07/2013;13:46:00;0
24/07/2013;13:47:00;0
24/07/2013;13:48:00;0
24/07/2013;13:49:00;0
24/07/2013;13:50:00;0
