Fecha,Hora,Valor,Máximo,Mínimo
28/09/2011,0:00:00,214.092,214.092,214.092
28/09/2011,0:15:00,214.098,214.098,214.098
28/09/2011,0:30:00,214.098,214.098,214.098
28/09/2011,0:45:00,214.098,214.098,214.098
28/09/2011,1:00:00,214.104,214.104,214.104
28/09/2011,1:15:00,214.11,214.11,214.11
28/09/2011,1:30:00,214.11,214.11,214.11
28/09/2011,1:45:00,214.11,214.11,214.11
28/09/2011,2:00:00,214.11,214.11,214.11
28/09/2011,2:15:00,214.11,214.11,214.11
28/09/2011,2:30:00,214.11,214.11,214.11
28/09/2011,2:45:00,214.116,214.116,214.116
28/09/2011,3:00:00,214.116,214.116,214.116
28/09/2011,3:15:00,214.116,214.116,214.116
28/09/2011,3:30:00,214.122,214.122,214.122
28/09/2011,3:45:00,214.122,214.122,214.122
28/09/2011,4:00:00,214.122,214.122,214.122
28/09/2011,4:15:00,214.122,214.122,214.122
28/09/2011,4:30:00,214.122,214.122,214.122
28/09/2011,4:45:00,214.122,214.122,214.122
28/09/2011,5:00:00,214.128,214.128,214.128
28/09/2011,5:15:00,214.128,214.128,214.128
28/09/2011,5:30:00,214.128,214.128,214.128
28/09/2011,5:45:00,214.128,214.128,214.128
28/09/2011,6:00:00,214.128,214.128,214.128
28/09/2011,6:15:00,214.128,214.128,214.128
28/09/2011,6:30:00,214.128,214.128,214.128
28/09/2011,6:45:00,214.128,214.128,214.128
28/09/2011,7:00:00,214.135,214.135,214.135
28/09/2011,7:15:00,214.128,214.128,214.128
28/09/2011,7:30:00,214.128,214.128,214.128
28/09/2011,7:45:00,214.135,214.135,214.135
28/09/2011,8:00:00,214.128,214.128,214.128
28/09/2011,8:15:00,214.128,214.128,214.128
28/09/2011,8:30:00,214.128,214.128,214.128
28/09/2011,8:45:00,214.098,214.098,214.098
28/09/2011,9:00:00,214.08,214.08,214.08
28/09/2011,9:15:00,214.073,214.073,214.073
28/09/2011,9:30:00,214.055,214.055,214.055
28/09/2011,9:45:00,214.055,214.055,214.055
28/09/2011,10:00:00,214.037,214.037,214.037
28/09/2011,10:15:00,214.031,214.031,214.031
28/09/2011,10:30:00,214.025,214.025,214.025
28/09/2011,10:45:00,214.019,214.019,214.019
28/09/2011,11:00:00,214.006,214.006,214.006
28/09/2011,11:15:00,214,214,214
28/09/2011,11:30:00,213.994,213.994,213.994
28/09/2011,11:45:00,213.988,213.988,213.988
28/09/2011,12:00:00,213.982,213.982,213.982
28/09/2011,12:15:00,213.988,213.988,213.988
28/09/2011,12:30:00,213.976,213.976,213.976
28/09/2011,12:45:00,213.976,213.976,213.976
28/09/2011,13:00:00,213.97,213.97,213.97
28/09/2011,13:15:00,213.964,213.964,213.964
28/09/2011,13:30:00,213.964,213.964,213.964
28/09/2011,13:45:00,213.951,213.951,213.951
28/09/2011,14:00:00,213.945,213.945,213.945
28/09/2011,14:15:00,213.939,213.939,213.939
28/09/2011,14:30:00,213.939,213.939,213.939
28/09/2011,14:45:00,213.939,213.939,213.939
28/09/2011,15:00:00,213.933,213.933,213.933
28/09/2011,15:15:00,213.927,213.927,213.927
28/09/2011,15:30:00,213.927,213.927,213.927
28/09/2011,15:45:00,213.927,213.927,213.927
28/09/2011,16:00:00,213.921,213.921,213.921
28/09/2011,16:15:00,213.958,213.958,213.958
28/09/2011,16:30:00,214.464,214.464,214.464
28/09/2011,16:45:00,214.476,214.476,214.476
28/09/2011,17:00:00,214.489,214.489,214.489
28/09/2011,17:15:00,214.507,214.507,214.507
28/09/2011,17:30:00,214.519,214.519,214.519
28/09/2011,17:45:00,214.519,214.519,214.519
28/09/2011,18:00:00,214.519,214.519,214.519
28/09/2011,18:15:00,214.525,214.525,214.525
28/09/2011,18:30:00,214.531,214.531,214.531
28/09/2011,18:45:00,214.537,214.537,214.537
28/09/2011,19:00:00,214.537,214.537,214.537
28/09/2011,19:15:00,214.543,214.543,214.543
28/09/2011,19:30:00,214.55,214.55,214.55
28/09/2011,19:45:00,214.556,214.556,214.556
28/09/2011,20:00:00,214.556,214.556,214.556
28/09/2011,20:15:00,214.562,214.562,214.562
28/09/2011,20:30:00,214.574,214.574,214.574
28/09/2011,20:45:00,214.58,214.58,214.58
28/09/2011,21:00:00,214.58,214.58,214.58
28/09/2011,21:15:00,214.58,214.58,214.58
28/09/2011,21:30:00,214.58,214.58,214.58
28/09/2011,21:45:00,214.586,214.586,214.586
28/09/2011,22:00:00,214.592,214.592,214.592
28/09/2011,22:15:00,214.592,214.592,214.592
28/09/2011,22:30:00,214.598,214.598,214.598
28/09/2011,22:45:00,214.598,214.598,214.598
28/09/2011,23:00:00,214.598,214.598,214.598
28/09/2011,23:15:00,214.605,214.605,214.605
