med_fecha;med_hora;med_valor
28/09/2011;0:30:00;0
28/09/2011;0:45:00;0
28/09/2011;1:00:00;0
28/09/2011;1:15:00;0
28/09/2011;1:30:00;0
28/09/2011;1:45:00;0
28/09/2011;2:00:00;0
28/09/2011;2:15:00;0
28/09/2011;2:30:00;0
28/09/2011;2:45:00;0
28/09/2011;3:00:00;0
28/09/2011;3:15:00;0
28/09/2011;3:30:00;0
28/09/2011;3:45:00;0
28/09/2011;4:00:00;0
28/09/2011;4:15:00;0
28/09/2011;4:30:00;0
28/09/2011;4:45:00;0
28/09/2011;5:00:00;0
28/09/2011;5:15:00;0
28/09/2011;5:30:00;0
28/09/2011;5:45:00;0
28/09/2011;6:00:00;0
28/09/2011;6:15:00;0
28/09/2011;6:30:00;0
28/09/2011;6:45:00;0
28/09/2011;7:00:00;0
28/09/2011;7:15:00;0
28/09/2011;7:30:00;0
28/09/2011;7:45:00;0
28/09/2011;8:00:00;0
28/09/2011;8:15:00;0
28/09/2011;8:30:00;0
28/09/2011;8:45:00;0
28/09/2011;9:00:00;0
28/09/2011;9:15:00;0
28/09/2011;9:30:00;0
28/09/2011;9:45:00;0
28/09/2011;10:00:00;0
28/09/2011;10:15:00;0
28/09/2011;10:30:00;0
28/09/2011;10:45:00;0
28/09/2011;11:00:00;0
28/09/2011;11:15:00;0
28/09/2011;11:30:00;0
28/09/2011;11:45:00;0
28/09/2011;12:00:00;0
28/09/2011;12:15:00;0
28/09/2011;12:30:00;0
28/09/2011;12:45:00;0
28/09/2011;13:00:00;0
28/09/2011;13:15:00;0
28/09/2011;13:30:00;0
28/09/2011;13:45:00;0
28/09/2011;14:00:00;0
28/09/2011;14:15:00;0
28/09/2011;14:30:00;0
28/09/2011;14:45:00;0
28/09/2011;15:00:00;0
28/09/2011;15:15:00;0
28/09/2011;15:30:00;0
28/09/2011;15:45:00;0
28/09/2011;16:00:00;0
28/09/2011;16:15:00;0
28/09/2011;16:30:00;0
28/09/2011;16:45:00;0
28/09/2011;17:00:00;0
28/09/2011;17:15:00;0
28/09/2011;17:30:00;0
28/09/2011;17:45:00;0
28/09/2011;18:00:00;0
28/09/2011;18:15:00;0
28/09/2011;18:30:00;0
28/09/2011;18:45:00;0
28/09/2011;19:00:00;0
28/09/2011;19:15:00;0
28/09/2011;19:30:00;0
28/09/2011;19:45:00;0
28/09/2011;20:00:00;0
28/09/2011;20:15:00;0
28/09/2011;20:30:00;0
28/09/2011;20:45:00;0
28/09/2011;21:00:00;0
28/09/2011;21:15:00;0
28/09/2011;21:30:00;0
28/09/2011;21:45:00;0
28/09/2011;22:00:00;0
28/09/2011;22:15:00;0
28/09/2011;22:30:00;0
28/09/2011;22:45:00;0
28/09/2011;23:00:00;0
28/09/2011;23:15:00;0
28/09/2011;23:30:00;0
28/09/2011;23:45:00;0
29/09/2011;0:00:00;0
29/09/2011;0:15:00;0
29/09/2011;0:30:00;0
29/09/2011;0:45:00;0
29/09/2011;1:00:00;0
29/09/2011;1:15:00;0
29/09/2011;1:30:00;0
29/09/2011;1:45:00;0
29/09/2011;2:00:00;0
29/09/2011;2:15:00;0
29/09/2011;2:30:00;0
29/09/2011;2:45:00;0
29/09/2011;3:00:00;0
29/09/2011;3:15:00;0
29/09/2011;3:30:00;0
29/09/2011;3:45:00;0
29/09/2011;4:00:00;0
29/09/2011;4:15:00;0
29/09/2011;4:30:00;0
29/09/2011;4:45:00;0
29/09/2011;5:00:00;0
29/09/2011;5:15:00;0
29/09/2011;5:30:00;0
29/09/2011;5:45:00;0
29/09/2011;6:00:00;0
29/09/2011;6:15:00;0
29/09/2011;6:30:00;0
29/09/2011;6:45:00;0
29/09/2011;7:00:00;0
29/09/2011;7:15:00;0
29/09/2011;7:30:00;0
29/09/2011;7:45:00;0
29/09/2011;8:00:00;0
29/09/2011;8:15:00;0
29/09/2011;8:30:00;0
29/09/2011;8:45:00;0
29/09/2011;9:00:00;0
29/09/2011;9:15:00;0
29/09/2011;9:30:00;0
29/09/2011;9:45:00;0
29/09/2011;10:00:00;0
29/09/2011;10:15:00;0
29/09/2011;10:30:00;0
29/09/2011;10:45:00;0
29/09/2011;11:00:00;0
29/09/2011;11:15:00;0
29/09/2011;11:30:00;0
29/09/2011;11:45:00;0
29/09/2011;12:00:00;0
29/09/2011;12:15:00;0
29/09/2011;12:30:00;0
29/09/2011;12:45:00;0
29/09/2011;13:00:00;0
29/09/2011;13:15:00;0
29/09/2011;13:30:00;0
29/09/2011;13:45:00;0
29/09/2011;14:00:00;0
29/09/2011;14:15:00;0
29/09/2011;14:30:00;0
29/09/2011;14:45:00;0
29/09/2011;15:00:00;0
29/09/2011;15:15:00;0
29/09/2011;15:30:00;0
29/09/2011;15:45:00;0
29/09/2011;16:00:00;0
29/09/2011;16:15:00;0
29/09/2011;16:30:00;0
29/09/2011;16:45:00;0
29/09/2011;17:00:00;0
29/09/2011;17:15:00;0
30/09/2011;8:33:00;0
30/09/2011;8:45:00;0
30/09/2011;9:00:00;0
30/09/2011;9:15:00;0
30/09/2011;9:30:00;0
30/09/2011;9:45:00;0
30/09/2011;10:00:00;0
30/09/2011;10:15:00;0
30/09/2011;10:30:00;0
30/09/2011;10:45:00;0
30/09/2011;11:00:00;0
30/09/2011;11:15:00;0
30/09/2011;11:30:00;0
30/09/2011;11:45:00;0
30/09/2011;12:00:00;0
30/09/2011;12:15:00;0
30/09/2011;12:30:00;0
30/09/2011;12:45:00;0
30/09/2011;13:00:00;0
30/09/2011;13:15:00;0
30/09/2011;13:30:00;0
30/09/2011;13:45:00;0
30/09/2011;14:00:00;0
30/09/2011;14:15:00;0
30/09/2011;14:30:00;0
30/09/2011;14:45:00;0
30/09/2011;15:00:00;0
30/09/2011;15:15:00;0
30/09/2011;15:30:00;0
30/09/2011;15:45:00;0
30/09/2011;16:00:00;0
30/09/2011;16:15:00;0
30/09/2011;16:30:00;0
30/09/2011;16:45:00;0
03/10/2011;8:45:00;0
03/10/2011;9:00:00;0
03/10/2011;9:15:00;0
03/10/2011;9:30:00;0
03/10/2011;9:45:00;0
03/10/2011;10:00:00;0
03/10/2011;10:15:00;0
03/10/2011;10:30:00;0
03/10/2011;10:45:00;0
03/10/2011;11:00:00;0
03/10/2011;11:15:00;0
03/10/2011;11:30:00;0
03/10/2011;11:45:00;0
03/10/2011;12:00:00;0
03/10/2011;12:15:00;0
03/10/2011;12:30:00;0
03/10/2011;12:45:00;0
03/10/2011;13:00:00;0
03/10/2011;13:15:00;0
03/10/2011;13:30:00;0
03/10/2011;13:45:00;0
03/10/2011;14:00:00;0
03/10/2011;14:15:00;0
03/10/2011;14:30:00;0
03/10/2011;14:45:00;0
03/10/2011;15:00:00;0
03/10/2011;15:15:00;0
03/10/2011;15:30:00;0
03/10/2011;15:45:00;0
03/10/2011;16:00:00;0
03/10/2011;16:15:00;0
03/10/2011;16:30:00;0
03/10/2011;16:45:00;0
03/10/2011;17:00:00;0
03/10/2011;17:15:00;0
03/10/2011;17:30:00;0
03/10/2011;17:45:00;0
18/10/2011;8:45:00;0
18/10/2011;9:00:00;0
18/10/2011;9:15:00;0
18/10/2011;9:30:00;0
18/10/2011;9:45:00;0
18/10/2011;10:00:00;0
18/10/2011;10:15:00;0
18/10/2011;10:30:00;0
18/10/2011;10:45:00;0
18/10/2011;11:00:00;0
18/10/2011;11:15:00;0
18/10/2011;11:30:00;0
18/10/2011;11:45:00;0
18/10/2011;12:00:00;0
18/10/2011;12:15:00;0
18/10/2011;12:30:00;0
18/10/2011;12:45:00;0
18/10/2011;13:00:00;0
18/10/2011;13:15:00;0
18/10/2011;13:30:00;0
18/10/2011;13:45:00;0
18/10/2011;14:00:00;0
18/10/2011;14:15:00;0
18/10/2011;14:30:00;0
18/10/2011;14:45:00;0
18/10/2011;15:00:00;0
18/10/2011;15:15:00;0
18/10/2011;15:30:00;0
18/10/2011;15:45:00;0
18/10/2011;16:00:00;0
18/10/2011;16:15:00;0
18/10/2011;16:30:00;0
18/10/2011;16:45:00;0
18/10/2011;17:00:00;0
18/10/2011;17:15:00;0
18/10/2011;17:30:00;0
18/10/2011;17:45:00;0
18/10/2011;18:00:00;0
19/10/2011;8:15:00;0
19/10/2011;8:30:00;0
19/10/2011;8:45:00;0
19/10/2011;9:00:00;0
19/10/2011;9:15:00;0
19/10/2011;9:30:00;0
19/10/2011;9:45:00;0
19/10/2011;10:00:00;0
19/10/2011;10:15:00;0
19/10/2011;10:30:00;0
19/10/2011;10:45:00;0
19/10/2011;11:00:00;0
19/10/2011;11:15:00;0
19/10/2011;11:30:00;0
19/10/2011;11:45:00;0
19/10/2011;12:00:00;0
19/10/2011;12:15:00;0
19/10/2011;12:30:00;0
19/10/2011;12:45:00;0
19/10/2011;13:00:00;0
19/10/2011;13:15:00;0
19/10/2011;13:30:00;0
19/10/2011;13:45:00;0
19/10/2011;14:00:00;0
19/10/2011;14:15:00;0
19/10/2011;14:30:00;0
19/10/2011;14:45:00;0
19/10/2011;15:00:00;0
19/10/2011;15:15:00;0
19/10/2011;15:30:00;0
19/10/2011;15:45:00;0
19/10/2011;16:00:00;0
19/10/2011;16:15:00;0
19/10/2011;16:30:00;0
19/10/2011;16:45:00;0
19/10/2011;17:00:00;0
21/10/2011;15:15:00;0
21/10/2011;15:30:00;0
21/10/2011;15:45:00;0
21/10/2011;16:00:00;0
21/10/2011;16:15:00;0
27/10/2011;13:30:00;0
27/10/2011;13:45:00;0
27/10/2011;14:00:00;0
27/10/2011;14:15:00;0
27/10/2011;14:30:00;0
27/10/2011;14:45:00;0
27/10/2011;15:00:00;0
27/10/2011;15:15:00;0
27/10/2011;15:30:00;0
27/10/2011;15:45:00;0
27/10/2011;16:00:00;0
27/10/2011;16:15:00;0
27/10/2011;16:30:00;0
27/10/2011;16:45:00;0
27/10/2011;17:00:00;0
27/10/2011;17:15:00;0
27/10/2011;17:30:00;0
27/10/2011;17:45:00;0
27/10/2011;18:00:00;0
27/10/2011;18:15:00;0
27/10/2011;18:30:00;0
