Fecha;hora;valor_med;max;min
28/09/2011;0:00:00;45.793;45.793;45.793
28/09/2011;0:05:00;45.771;45.771;45.771
28/09/2011;0:10:00;45.734;45.734;45.734
28/09/2011;0:15:00;45.699;45.699;45.699
28/09/2011;0:20:00;45.673;45.673;45.673
28/09/2011;0:25:00;45.636;45.636;45.636
28/09/2011;0:30:00;45.598;45.598;45.598
28/09/2011;0:35:00;45.577;45.577;45.577
28/09/2011;0:40:00;45.539;45.539;45.539
28/09/2011;0:45:00;45.5;45.5;45.5
28/09/2011;0:50:00;45.479;45.479;45.479
28/09/2011;0:55:00;45.445;45.445;45.445
28/09/2011;1:00:00;45.408;45.408;45.408
28/09/2011;1:05:00;45.389;45.389;45.389
28/09/2011;1:10:00;45.352;45.352;45.352
28/09/2011;1:15:00;45.317;45.317;45.317
28/09/2011;1:20:00;45.298;45.298;45.298
28/09/2011;1:25:00;45.265;45.265;45.265
28/09/2011;1:30:00;45.225;45.225;45.225
28/09/2011;1:35:00;45.204;45.204;45.204
28/09/2011;1:40:00;45.171;45.171;45.171
28/09/2011;1:45:00;45.138;45.138;45.138
28/09/2011;1:50:00;45.122;45.122;45.122
28/09/2011;1:55:00;45.084;45.084;45.084
28/09/2011;2:00:00;45.05;45.05;45.05
28/09/2011;2:05:00;45.033;45.033;45.033
28/09/2011;2:10:00;45.002;45.002;45.002
28/09/2011;2:15:00;44.968;44.968;44.968
28/09/2011;2:20:00;44.953;44.953;44.953
28/09/2011;2:25:00;44.927;44.927;44.927
28/09/2011;2:30:00;44.897;44.897;44.897
28/09/2011;2:35:00;44.878;44.878;44.878
28/09/2011;2:40:00;44.855;44.855;44.855
28/09/2011;2:45:00;44.829;44.829;44.829
28/09/2011;2:50:00;44.815;44.815;44.815
28/09/2011;2:55:00;44.792;44.792;44.792
28/09/2011;3:00:00;44.768;44.768;44.768
28/09/2011;3:05:00;44.761;44.761;44.761
28/09/2011;3:10:00;44.737;44.737;44.737
28/09/2011;3:15:00;44.712;44.712;44.712
28/09/2011;3:20:00;44.709;44.709;44.709
28/09/2011;3:25:00;44.688;44.688;44.688
28/09/2011;3:30:00;44.665;44.665;44.665
28/09/2011;3:35:00;44.66;44.66;44.66
28/09/2011;3:40:00;44.642;44.642;44.642
28/09/2011;3:45:00;44.621;44.621;44.621
28/09/2011;3:50:00;44.62;44.62;44.62
28/09/2011;3:55:00;44.604;44.604;44.604
28/09/2011;4:00:00;44.581;44.581;44.581
28/09/2011;4:05:00;44.58;44.58;44.58
28/09/2011;4:10:00;44.562;44.562;44.562
28/09/2011;4:15:00;44.545;44.545;44.545
28/09/2011;4:20:00;44.543;44.543;44.543
28/09/2011;4:25:00;44.531;44.531;44.531
28/09/2011;4:30:00;44.515;44.515;44.515
28/09/2011;4:35:00;44.513;44.513;44.513
28/09/2011;4:40:00;44.499;44.499;44.499
28/09/2011;4:45:00;44.485;44.485;44.485
28/09/2011;4:50:00;44.484;44.484;44.484
28/09/2011;4:55:00;44.468;44.468;44.468
28/09/2011;5:00:00;44.458;44.458;44.458
28/09/2011;5:05:00;44.458;44.458;44.458
28/09/2011;5:10:00;44.447;44.447;44.447
28/09/2011;5:15:00;44.433;44.433;44.433
28/09/2011;5:20:00;44.437;44.437;44.437
28/09/2011;5:25:00;44.423;44.423;44.423
28/09/2011;5:30:00;44.412;44.412;44.412
28/09/2011;5:35:00;44.414;44.414;44.414
28/09/2011;5:40:00;44.402;44.402;44.402
28/09/2011;5:45:00;44.39;44.39;44.39
28/09/2011;5:50:00;44.388;44.388;44.388
28/09/2011;5:55:00;44.381;44.381;44.381
28/09/2011;6:00:00;44.369;44.369;44.369
28/09/2011;6:05:00;44.372;44.372;44.372
28/09/2011;6:10:00;44.362;44.362;44.362
28/09/2011;6:15:00;44.349;44.349;44.349
28/09/2011;6:20:00;44.355;44.355;44.355
28/09/2011;6:25:00;44.346;44.346;44.346
28/09/2011;6:30:00;44.341;44.341;44.341
28/09/2011;6:35:00;44.348;44.348;44.348
28/09/2011;6:40:00;44.342;44.342;44.342
28/09/2011;6:45:00;44.334;44.334;44.334
28/09/2011;6:50:00;44.342;44.342;44.342
28/09/2011;6:55:00;44.337;44.337;44.337
28/09/2011;7:00:00;44.328;44.328;44.328
28/09/2011;7:05:00;44.335;44.335;44.335
28/09/2011;7:10:00;44.332;44.332;44.332
28/09/2011;7:15:00;44.327;44.327;44.327
28/09/2011;7:20:00;44.337;44.337;44.337
28/09/2011;7:25:00;44.334;44.334;44.334
28/09/2011;7:30:00;44.33;44.33;44.33
28/09/2011;7:35:00;44.344;44.344;44.344
28/09/2011;7:40:00;44.334;44.334;44.334
28/09/2011;7:45:00;44.332;44.332;44.332
28/09/2011;7:50:00;44.342;44.342;44.342
28/09/2011;7:55:00;44.339;44.339;44.339
28/09/2011;8:00:00;44.335;44.335;44.335
28/09/2011;8:05:00;44.346;44.346;44.346
28/09/2011;8:10:00;44.341;44.341;44.341
28/09/2011;8:15:00;44.335;44.335;44.335
28/09/2011;8:20:00;42.794;42.794;42.794
28/09/2011;8:25:00;49.911;49.911;49.911
28/09/2011;8:30:00;52.155;52.155;52.155
28/09/2011;8:35:00;52.898;52.898;52.898
28/09/2011;8:40:00;53.17;53.17;53.17
28/09/2011;8:45:00;53.079;53.079;53.079
28/09/2011;8:50:00;52.886;52.886;52.886
28/09/2011;8:55:00;52.577;52.577;52.577
28/09/2011;9:00:00;52.357;52.357;52.357
28/09/2011;9:05:00;52.15;52.15;52.15
28/09/2011;9:10:00;51.993;51.993;51.993
28/09/2011;9:15:00;51.812;51.812;51.812
28/09/2011;9:20:00;51.707;51.707;51.707
28/09/2011;9:25:00;51.613;51.613;51.613
28/09/2011;9:30:00;51.433;51.433;51.433
28/09/2011;9:35:00;51.41;51.41;51.41
28/09/2011;9:40:00;51.351;51.351;51.351
28/09/2011;9:45:00;51.302;51.302;51.302
28/09/2011;9:50:00;51.196;51.196;51.196
28/09/2011;9:55:00;51.206;51.206;51.206
28/09/2011;10:00:00;51.175;51.175;51.175
28/09/2011;10:05:00;51.536;51.536;51.536
28/09/2011;10:10:00;53.198;53.198;53.198
28/09/2011;10:15:00;53.14;53.14;53.14
28/09/2011;10:20:00;54.035;54.035;54.035
28/09/2011;10:25:00;54.291;54.291;54.291
28/09/2011;10:30:00;54.157;54.157;54.157
28/09/2011;10:35:00;53.819;53.819;53.819
28/09/2011;10:40:00;53.444;53.444;53.444
28/09/2011;10:45:00;53.006;53.006;53.006
28/09/2011;10:50:00;52.696;52.696;52.696
28/09/2011;10:55:00;52.377;52.377;52.377
28/09/2011;11:00:00;52.099;52.099;52.099
28/09/2011;11:05:00;51.9;51.9;51.9
28/09/2011;11:10:00;51.707;51.707;51.707
28/09/2011;11:15:00;51.522;51.522;51.522
28/09/2011;11:20:00;51.43;51.43;51.43
28/09/2011;11:25:00;51.311;51.311;51.311
28/09/2011;11:30:00;51.205;51.205;51.205
28/09/2011;11:35:00;51.156;51.156;51.156
28/09/2011;11:40:00;51.102;51.102;51.102
28/09/2011;11:45:00;51.009;51.009;51.009
28/09/2011;11:50:00;50.994;50.994;50.994
28/09/2011;11:55:00;50.941;50.941;50.941
28/09/2011;12:00:00;50.886;50.886;50.886
28/09/2011;12:05:00;50.875;50.875;50.875
28/09/2011;12:10:00;52.387;52.387;52.387
28/09/2011;12:15:00;52.596;52.596;52.596
28/09/2011;12:20:00;53.32;53.32;53.32
28/09/2011;12:25:00;53.777;53.777;53.777
28/09/2011;12:30:00;53.726;53.726;53.726
28/09/2011;12:35:00;53.425;53.425;53.425
28/09/2011;12:40:00;53.01;53.01;53.01
28/09/2011;12:45:00;52.556;52.556;52.556
28/09/2011;12:50:00;52.242;52.242;52.242
28/09/2011;12:55:00;51.909;51.909;51.909
28/09/2011;13:00:00;51.606;51.606;51.606
28/09/2011;13:05:00;51.396;51.396;51.396
28/09/2011;13:10:00;51.194;51.194;51.194
28/09/2011;13:15:00;51.002;51.002;51.002
28/09/2011;13:20:00;50.896;50.896;50.896
28/09/2011;13:25:00;50.784;50.784;50.784
28/09/2011;13:30:00;50.652;50.652;50.652
28/09/2011;13:35:00;50.568;50.568;50.568
28/09/2011;13:40:00;50.528;50.528;50.528
28/09/2011;13:45:00;50.443;50.443;50.443
28/09/2011;13:50:00;50.465;50.465;50.465
28/09/2011;13:55:00;50.392;50.392;50.392
28/09/2011;14:00:00;50.324;50.324;50.324
28/09/2011;14:05:00;51.803;51.803;51.803
28/09/2011;14:10:00;51.89;51.89;51.89
28/09/2011;14:15:00;52.675;52.675;52.675
28/09/2011;14:20:00;52.919;52.919;52.919
28/09/2011;14:25:00;52.821;52.821;52.821
28/09/2011;14:30:00;52.403;52.403;52.403
28/09/2011;14:35:00;52.014;52.014;52.014
28/09/2011;14:40:00;51.637;51.637;51.637
28/09/2011;14:45:00;51.264;51.264;51.264
28/09/2011;14:50:00;50.992;50.992;50.992
28/09/2011;14:55:00;50.723;50.723;50.723
28/09/2011;15:00:00;50.474;50.474;50.474
28/09/2011;15:05:00;50.289;50.289;50.289
28/09/2011;15:10:00;50.219;50.219;50.219
28/09/2011;15:15:00;49.984;49.984;49.984
28/09/2011;15:20:00;49.932;49.932;49.932
28/09/2011;15:25:00;49.841;49.841;49.841
28/09/2011;15:30:00;49.742;49.742;49.742
28/09/2011;15:35:00;49.694;49.694;49.694
28/09/2011;15:40:00;49.642;49.642;49.642
28/09/2011;15:45:00;49.564;49.564;49.564
28/09/2011;15:50:00;49.551;49.551;49.551
28/09/2011;15:55:00;49.531;49.531;49.531
28/09/2011;16:00:00;49.464;49.464;49.464
28/09/2011;16:05:00;49.468;49.468;49.468
28/09/2011;16:10:00;49.417;49.417;49.417
28/09/2011;16:15:00;48.526;48.526;48.526
28/09/2011;16:20:00;47.499;47.499;47.499
28/09/2011;16:25:00;46.439;46.439;46.439
28/09/2011;16:30:00;45.413;45.413;45.413
28/09/2011;16:35:00;45.005;45.005;45.005
28/09/2011;16:40:00;44.744;44.744;44.744
28/09/2011;16:45:00;44.475;44.475;44.475
28/09/2011;16:50:00;44.278;44.278;44.278
28/09/2011;16:55:00;44.049;44.049;44.049
28/09/2011;17:00:00;43.795;43.795;43.795
28/09/2011;17:05:00;43.607;43.607;43.607
28/09/2011;17:10:00;43.394;43.394;43.394
28/09/2011;17:15:00;43.151;43.151;43.151
28/09/2011;17:20:00;42.965;42.965;42.965
28/09/2011;17:25:00;42.759;42.759;42.759
28/09/2011;17:30:00;42.522;42.522;42.522
28/09/2011;17:35:00;42.34;42.34;42.34
28/09/2011;17:40:00;42.138;42.138;42.138
28/09/2011;17:45:00;41.911;41.911;41.911
28/09/2011;17:50:00;41.746;41.746;41.746
28/09/2011;17:55:00;41.554;41.554;41.554
28/09/2011;18:00:00;41.334;41.334;41.334
28/09/2011;18:05:00;41.177;41.177;41.177
28/09/2011;18:10:00;40.992;40.992;40.992
28/09/2011;18:15:00;40.776;40.776;40.776
28/09/2011;18:20:00;40.628;40.628;40.628
28/09/2011;18:25:00;40.438;40.438;40.438
28/09/2011;18:30:00;40.223;40.223;40.223
28/09/2011;18:35:00;40.072;40.072;40.072
28/09/2011;18:40:00;39.89;39.89;39.89
28/09/2011;18:45:00;39.686;39.686;39.686
28/09/2011;18:50:00;39.533;39.533;39.533
28/09/2011;18:55:00;39.36;39.36;39.36
28/09/2011;19:00:00;39.154;39.154;39.154
28/09/2011;19:05:00;39.006;39.006;39.006
28/09/2011;19:10:00;38.837;38.837;38.837
28/09/2011;19:15:00;38.64;38.64;38.64
28/09/2011;19:20:00;38.499;38.499;38.499
28/09/2011;19:25:00;38.331;38.331;38.331
28/09/2011;19:30:00;38.141;38.141;38.141
28/09/2011;19:35:00;38;38;38
