"TOA5","H5006","CR2xx","No_SN","CR200X.Std.01","nivel_04-12-2017.CR2","20631","Intervalo"
"TIMESTAMP","RECORD","nivel_A_Max","nivel_A_Min","nivel_A_Avg","Temp_C_Max","Temp_C_Min","Temp_C_Avg","batt_volt_Avg"
"TS","RN","m","m","m","Grados","Grados","Grados",""
"","","Max","Min","Avg","Max","Min","Avg","Avg"
"2017-12-04 09:30:00",0,0.3631258,0.3619661,0.3627348,7.286608,7.271537,7.278945,13.55547
"2017-12-04 09:35:00",1,0.362446,0.3614755,0.3621184,7.325756,7.292855,7.309024,13.43421
"2017-12-04 09:40:00",2,0.3631426,0.3617178,0.3620986,7.374569,7.337246,7.356249,13.37898
"2017-12-04 09:45:00",3,0.3629049,0.3615364,0.3622172,7.429558,7.385598,7.408569,13.37109
"2017-12-04 09:50:00",4,0.3628136,0.3606235,0.3616898,7.46971,7.440146,7.455149,13.36521
"2017-12-04 09:55:00",5,0.3622704,0.3604295,0.3613425,7.498879,7.475247,7.486839,13.34976
"2017-12-04 10:00:00",6,0.3618079,0.3605587,0.3613301,7.524475,7.502502,7.513341,13.38166
"2017-12-04 10:05:00",7,0.3620756,0.3611692,0.3614765,7.551934,7.527108,7.539268,13.36521
"2017-12-04 10:10:00",8,0.3631434,0.3601994,0.3617073,7.603806,7.557497,7.57866,13.33298
"2017-12-04 10:15:00",9,0.3619414,0.3605151,0.3611681,7.644783,7.615549,7.631073,13.3454
"2017-12-04 10:20:00",10,0.3618104,0.3604983,0.3610443,7.697198,7.649463,7.672366,13.33617
"2017-12-04 10:25:00",11,0.3609556,0.3600721,0.3604089,7.755079,7.710554,7.732331,13.32156
"2017-12-04 10:30:00",12,0.3613805,0.358665,0.3600414,7.832474,7.770961,7.801703,13.32911
"2017-12-04 10:35:00",13,0.3608013,0.3597092,0.3603333,7.914055,7.845767,7.878842,13.32156
"2017-12-04 10:40:00",14,0.3603637,0.3593506,0.3597748,7.992695,7.930151,7.96387,13.31233
"2017-12-04 10:45:00",15,0.3616101,0.3591726,0.3602921,8.057495,8.002598,8.030046,13.32273
"2017-12-04 10:50:00",16,0.3609459,0.3594905,0.3600294,8.124187,8.06933,8.097891,13.3187
"2017-12-04 10:55:00",17,0.3604993,0.3591431,0.3597737,8.186416,8.140123,8.162628,13.3041
"2017-12-04 11:00:00",18,0.360617,0.3589592,0.359953,8.263886,8.199052,8.228041,13.31501
"2017-12-04 11:05:00",19,0.3602338,0.3594221,0.3598571,8.335246,8.281504,8.310535,13.31266
"2017-12-04 11:10:00",20,0.3607808,0.359054,0.3600798,8.411192,8.34937,8.383245,13.30443
"2017-12-04 11:15:00",21,0.3602272,0.3588689,0.3593804,8.459063,8.425637,8.443857,13.32106
"2017-12-04 11:20:00",22,0.3609158,0.3584194,0.3595936,8.512725,8.471893,8.49113,13.31535
"2017-12-04 11:25:00",23,0.3599151,0.358297,0.3591185,8.576249,8.522227,8.546564,13.30494
"2017-12-04 11:30:00",24,0.3600203,0.3588946,0.3595441,8.669731,8.5983,8.63277,13.32072
"2017-12-04 11:35:00",25,0.3602699,0.3585677,0.3593824,8.782139,8.688371,8.73535,13.31149
"2017-12-04 11:40:00",26,0.3592264,0.3584524,0.358743,8.863974,8.800784,8.832819,13.3041
"2017-12-04 11:45:00",27,0.3587339,0.3571827,0.358236,8.935911,8.882803,8.910913,13.3093
"2017-12-04 11:50:00",28,0.3588863,0.3579665,0.3584782,8.981985,8.945565,8.964002,13.30712
"2017-12-04 11:55:00",29,0.3588601,0.3577938,0.3583814,9.024573,8.989773,9.005409,13.29587
"2017-12-04 12:00:00",30,0.3588812,0.35786,0.358308,9.078721,9.036856,9.056059,13.31165
"2017-12-04 12:05:00",31,0.3594319,0.3574409,0.3581465,9.140685,9.094313,9.116041,13.31434
"2017-12-04 12:10:00",32,0.3580889,0.3572482,0.3575388,9.158626,9.147461,9.152703,13.30863
"2017-12-04 12:15:00",33,0.3583865,0.3570029,0.35777,9.161818,9.160672,9.161359,13.33398
"2017-12-04 12:20:00",34,0.3576034,0.3570428,0.3573141,9.162487,9.160188,9.160923,13.34624
"2017-12-04 12:25:00",35,0.3575269,0.356921,0.3571503,9.17371,9.164861,9.169302,13.34019
"2017-12-04 12:30:00",36,0.3575796,0.3564559,0.3571744,9.19628,9.176672,9.184965,13.35379
"2017-12-04 12:35:00",37,0.3570712,0.3563391,0.3566841,9.235997,9.201601,9.219033,13.34859
"2017-12-04 12:40:00",38,0.3572738,0.3559416,0.3566133,9.285671,9.245543,9.264991,13.34036
"2017-12-04 12:45:00",39,0.3577226,0.3560907,0.3569301,9.321015,9.29389,9.307763,13.35933
"2017-12-04 12:50:00",40,0.3571363,0.355839,0.3564219,9.343737,9.326699,9.336293,13.3637
"2017-12-04 12:55:00",41,0.3569739,0.3558938,0.356416,9.34889,9.344903,9.346669,13.35178
"2017-12-04 13:00:00",42,0.3561745,0.3554816,0.3557883,9.356316,9.350105,9.353684,13.36605
"2017-12-04 13:05:00",43,0.3570572,0.355462,0.3561434,9.360517,9.357641,9.35902,13.37226
"2017-12-04 13:10:00",44,0.3565449,0.3544883,0.355707,9.358903,9.356123,9.357915,13.37041
"2017-12-04 13:15:00",45,0.3559326,0.3545329,0.3550562,9.354696,9.346852,9.351496,13.38317
"2017-12-04 13:20:00",46,0.3559446,0.3545284,0.3552518,9.342941,9.321892,9.332756,13.38939
"2017-12-04 13:25:00",47,0.3555933,0.3549762,0.3553092,9.31501,9.286287,9.300959,13.4003
"2017-12-04 13:30:00",48,0.3557031,0.3541568,0.3548347,9.279063,9.252856,9.265565,13.42951
"2017-12-04 13:35:00",49,0.3546627,0.353927,0.3542823,9.246918,9.223444,9.234877,13.45503
"2017-12-04 13:40:00",50,0.3542174,0.3538635,0.3540578,9.219563,9.203035,9.210997,13.44798
"2017-12-04 13:45:00",51,0.3536412,0.3533805,0.3535325,9.199306,9.183874,9.191116,13.46191
"2017-12-04 13:50:00",52,0.3544707,0.3531505,0.3537336,9.180536,9.169316,9.174486,13.45889
"2017-12-04 13:55:00",53,0.3542518,0.3532619,0.3536298,9.176536,9.167733,9.170073,13.44747
"2017-12-04 14:00:00",54,0.3540843,0.353104,0.3533502,9.187895,9.177942,9.183063,13.45067
"2017-12-04 14:05:00",55,0.3537023,0.3527233,0.3533731,9.190852,9.186277,9.187997,13.44865
"2017-12-04 14:10:00",56,0.3538634,0.3526764,0.3533048,9.199661,9.192784,9.196344,13.4327
"2017-12-04 14:15:00",57,0.3534252,0.3527316,0.3530573,9.208917,9.202011,9.205975,13.43891
"2017-12-04 14:20:00",58,0.3536476,0.352537,0.3528575,9.213023,9.2096,9.211096,13.43488
"2017-12-04 14:25:00",59,0.3530928,0.3524383,0.3528327,9.224409,9.214601,9.218409,13.41944
"2017-12-04 14:30:00",60,0.3531774,0.352065,0.3527854,9.242459,9.226903,9.234838,13.42766
"2017-12-04 14:35:00",61,0.3528624,0.3523541,0.3526339,9.258692,9.245823,9.252017,13.43119
"2017-12-04 14:40:00",62,0.3526429,0.3519254,0.3523273,9.274735,9.261792,9.268015,13.42682
"2017-12-04 14:45:00",63,0.3532694,0.352514,0.3527342,9.307635,9.28035,9.292101,13.42934
"2017-12-04 14:50:00",64,0.3537146,0.352183,0.3527472,9.338365,9.315057,9.32662,13.42263
"2017-12-04 14:55:00",65,0.3529035,0.3526031,0.3527546,9.360689,9.342687,9.351048,13.40433
"2017-12-04 15:00:00",66,0.3528472,0.3525696,0.3527179,9.38763,9.366806,9.376745,13.41977
"2017-12-04 15:05:00",67,0.3533221,0.3521944,0.3528047,9.416376,9.393567,9.405444,13.4191
"2017-12-04 15:10:00",68,0.3529885,0.3525061,0.352686,9.425654,9.419443,9.423115,13.41843
"2017-12-04 15:15:00",69,0.3535559,0.3526276,0.353094,9.438548,9.425702,9.430716,13.43287
"2017-12-04 15:20:00",70,0.3534799,0.3521275,0.3527601,9.476853,9.444404,9.460269,13.42431
"2017-12-04 15:25:00",71,0.3531658,0.3526852,0.3529041,9.512604,9.485122,9.498363,13.41121
"2017-12-04 15:30:00",72,0.3530921,0.3526612,0.3529184,9.551055,9.519427,9.534133,13.42515
"2017-12-04 15:35:00",73,0.3541281,0.3525904,0.3531368,9.604907,9.560829,9.583891,13.41574
"2017-12-04 15:40:00",74,0.3532002,0.3524913,0.3527988,9.630603,9.611715,9.621738,13.41457
"2017-12-04 15:45:00",75,0.3531813,0.352592,0.3529403,9.660708,9.635852,9.647753,13.4191
"2017-12-04 15:50:00",76,0.3530126,0.352682,0.3528545,9.6874,9.667091,9.676908,13.41725
"2017-12-04 15:55:00",77,0.3531659,0.3522537,0.3526447,9.718497,9.695572,9.70832,13.39996
"2017-12-04 16:00:00",78,0.3531792,0.352511,0.3529209,9.740576,9.721287,9.73098,13.40953
"2017-12-04 16:05:00",79,0.3534761,0.3527217,0.353137,9.759354,9.74355,9.751178,13.4092
"2017-12-04 16:10:00",80,0.3532011,0.3526224,0.3529833,9.76126,9.760606,9.761068,13.34204
"2017-12-04 16:15:00",81,0.3530759,0.3522781,0.3526664,9.759417,9.750235,9.754913,13.46628
"2017-12-04 16:20:00",82,0.3530273,0.3525322,0.3528183,9.747906,9.734928,9.741714,13.42078
"2017-12-04 16:25:00",83,0.3534457,0.3527334,0.3528861,9.731608,9.717094,9.724199,13.33365
"2017-12-04 16:30:00",84,0.3528138,0.3520924,0.3523271,9.71381,9.69943,9.706884,13.38468
"2017-12-04 16:35:00",85,0.3528649,0.3519936,0.3523505,9.695073,9.681839,9.688234,13.21747
"2017-12-04 16:40:00",86,0.3528868,0.3518504,0.3525442,9.678399,9.664423,9.671437,12.99015
"2017-12-04 16:45:00",87,0.3529041,0.3515773,0.3523183,9.660493,9.642521,9.651613,12.93659
"2017-12-04 16:50:00",88,0.3524463,0.3517667,0.3520492,9.638158,9.615749,9.627094,12.83955
"2017-12-04 16:55:00",89,0.3522586,0.3515177,0.3518866,9.610635,9.59357,9.602032,12.94985
"2017-12-04 17:00:00",90,0.3525183,0.3517429,0.3520811,9.589614,9.574752,9.582194,13.34103
"2017-12-04 17:05:00",91,0.352466,0.3514003,0.351883,9.571117,9.555047,9.562662,13.09038
"2017-12-04 17:10:00",92,0.3518941,0.3511903,0.3516099,9.55178,9.535921,9.54378,13.07829
"2017-12-04 17:15:00",93,0.3524027,0.3509496,0.3515954,9.531565,9.513908,9.522633,13.41507
"2017-12-04 17:20:00",94,0.3516144,0.3511313,0.3514642,9.509777,9.488286,9.499764,12.90788
"2017-12-04 17:25:00",95,0.3520025,0.3509343,0.3514309,9.481511,9.453477,9.467566,12.79137
"2017-12-04 17:30:00",96,0.3516556,0.3507695,0.3512169,9.446035,9.417042,9.4314,12.8053
"2017-12-04 17:35:00",97,0.3519868,0.3512023,0.3515348,9.409506,9.379854,9.394503,12.67569
