"TOA5","H5006","CR2xx","No_SN","CR200X.Std.01","nivel_04-12-2017.CR2","20631","Intervalo"
"TIMESTAMP","RECORD","nivel_A_Max","nivel_A_Min","nivel_A_Avg","Temp_C_Max","Temp_C_Min","Temp_C_Avg","batt_volt_Avg"
"TS","RN","m","m","m","Grados","Grados","Grados",""
"","","Max","Min","Avg","Max","Min","Avg","Avg"
"2018-02-19 10:05:00",22184,0.3570698,0.3570698,0.3570698,8.164571,8.164571,8.164571,13.41088
"2018-02-19 10:10:00",22185,0.3565075,0.356208,0.356308,8.20078,8.172284,8.186738,13.35178
"2018-02-19 10:15:00",22186,0.3569053,0.3559357,0.356554,8.235049,8.207462,8.220869,13.44832
"2018-02-19 10:20:00",22187,0.3564842,0.3558901,0.3560627,8.273235,8.243156,8.258238,13.47803
"2018-02-19 10:25:00",22188,0.3557919,0.355143,0.3554898,8.319572,8.283568,8.301718,13.43119
"2018-02-19 10:30:00",22189,0.3557435,0.354758,0.3552572,8.371659,8.328132,8.349363,13.41474
"2018-02-19 10:35:00",22190,0.3554147,0.3550171,0.3552166,8.431371,8.383476,8.407838,13.40701
"2018-02-19 10:40:00",22191,0.3555828,0.3548791,0.3551339,8.480199,8.442729,8.461883,13.40836
"2018-02-19 10:45:00",22192,0.3551795,0.3543967,0.3547414,8.519532,8.488214,8.504047,13.40903
"2018-02-19 10:50:00",22193,0.3551405,0.3540216,0.354392,8.553369,8.526272,8.539754,13.41222
"2018-02-19 10:55:00",22194,0.3543341,0.3533666,0.3537915,8.583498,8.559943,8.571759,13.41457
"2018-02-19 11:00:00",22195,0.354127,0.3528765,0.3534558,8.613499,8.589253,8.601431,13.42061
"2018-02-19 11:05:00",22196,0.3538008,0.3530615,0.353426,8.640871,8.619173,8.6303,13.42934
"2018-02-19 11:10:00",22197,0.352878,0.3525643,0.3527292,8.662423,8.645603,8.654241,13.4421
"2018-02-19 11:15:00",22198,0.3532307,0.3518904,0.3527239,8.678323,8.666144,8.67256,13.39862
"2018-02-19 11:20:00",22199,0.3526077,0.3517745,0.3522668,8.687194,8.680555,8.68409,13.16458
"2018-02-19 11:25:00",22200,0.352063,0.3511102,0.3516703,8.693238,8.688592,8.690915,13.1159
"2018-02-19 11:30:00",22201,0.3517808,0.3513018,0.3515704,8.699248,8.694475,8.696867,13.25205
"2018-02-19 11:35:00",22202,0.3510875,0.3507439,0.3509678,8.705738,8.700277,8.702883,13.54921
"2018-02-19 11:40:00",22203,0.3513939,0.3500255,0.3505066,8.715551,8.707486,8.711489,13.30276
"2018-02-19 11:45:00",22204,0.3503012,0.3497289,0.3501014,8.730483,8.718033,8.723894,13.54468
"2018-02-19 11:50:00",22205,0.3503901,0.3500888,0.3502272,8.751044,8.734359,8.742531,13.62712
"2018-02-19 11:55:00",22206,0.3502418,0.3497701,0.3500164,8.773242,8.755131,8.764071,13.58766
"2018-02-19 12:00:00",22207,0.3493819,0.3488764,0.3492094,8.798707,8.778249,8.788519,13.56651
"2018-02-19 12:05:00",22208,0.3496179,0.3488376,0.3492667,8.82706,8.80413,8.815199,13.57188
"2018-02-19 12:10:00",22209,0.3499224,0.3488212,0.3493325,8.86638,8.834008,8.849854,13.55224
"2018-02-19 12:15:00",22210,0.3505736,0.3493184,0.3500093,8.907874,8.874593,8.891273,13.53981
"2018-02-19 12:20:00",22211,0.3532136,0.3511453,0.3519647,8.943925,8.915556,8.929739,13.54317
"2018-02-19 12:25:00",22212,0.3546716,0.352671,0.3537543,8.98288,8.951969,8.967706,13.54065
"2018-02-19 12:30:00",22213,0.3566365,0.3548177,0.3557013,9.013095,8.989617,9.001639,13.55475
"2018-02-19 12:35:00",22214,0.3586171,0.3565842,0.3578049,9.040144,9.018806,9.029666,13.56298
"2018-02-19 12:40:00",22215,0.3594648,0.3581896,0.3588472,9.066612,9.045324,9.055983,13.55811
"2018-02-19 12:45:00",22216,0.3602017,0.3595344,0.3598531,9.097002,9.072027,9.084277,13.5561
"2018-02-19 12:50:00",22217,0.3609765,0.3603368,0.3606156,9.130549,9.103388,9.117018,13.56416
"2018-02-19 12:55:00",22218,0.3615519,0.3606881,0.3610786,9.160535,9.137357,9.149314,13.57725
"2018-02-19 13:00:00",22219,0.3617741,0.3611165,0.3614493,9.186448,9.165638,9.17627,13.60831
"2018-02-19 13:05:00",22220,0.3628803,0.3611954,0.3620569,9.21275,9.191261,9.201959,13.59975
"2018-02-19 13:10:00",22221,0.3639206,0.3623704,0.3630102,9.243047,9.218449,9.230659,13.59706
"2018-02-19 13:15:00",22222,0.3643025,0.363917,0.3640838,9.286801,9.250618,9.268419,13.59119
"2018-02-19 13:20:00",22223,0.3655689,0.3641534,0.3647192,9.331767,9.295884,9.313871,13.59505
"2018-02-19 13:25:00",22224,0.3660048,0.3649081,0.3655275,9.37214,9.340225,9.356146,13.60092
"2018-02-19 13:30:00",22225,0.3668926,0.3660823,0.3663053,9.408392,9.379881,9.394023,13.60361
"2018-02-19 13:35:00",22226,0.3667178,0.3662028,0.3664802,9.449181,9.415722,9.432394,13.60126
"2018-02-19 13:40:00",22227,0.3671861,0.3660886,0.366849,9.495164,9.457725,9.476199,13.5979
"2018-02-19 13:45:00",22228,0.367805,0.3665145,0.3673317,9.548244,9.505397,9.526731,13.59958
"2018-02-19 13:50:00",22229,0.36776,0.3664545,0.3672615,9.603115,9.559461,9.581093,13.59455
"2018-02-19 13:55:00",22230,0.3677233,0.3665634,0.3672151,9.659238,9.614711,9.63729,13.589
"2018-02-19 14:00:00",22231,0.3677827,0.3667135,0.3671785,9.711714,9.670377,9.691076,13.589
"2018-02-19 14:05:00",22232,0.3673221,0.3667353,0.3669832,9.761816,9.721926,9.7418,13.58447
"2018-02-19 14:10:00",22233,0.3669562,0.3663186,0.3667212,9.810257,9.771593,9.79138,13.57994
"2018-02-19 14:15:00",22234,0.3669276,0.3660195,0.3665044,9.85267,9.819296,9.835875,13.58447
"2018-02-19 14:20:00",22235,0.3665581,0.3651761,0.3658685,9.889319,9.860251,9.874781,13.5843
"2018-02-19 14:25:00",22236,0.3670176,0.3650796,0.3658645,9.926445,9.896168,9.910906,13.58145
"2018-02-19 14:30:00",22237,0.3657664,0.3651035,0.3653832,9.968897,9.934351,9.951532,13.57625
"2018-02-19 14:35:00",22238,0.3652187,0.3644024,0.3648132,10.01743,9.977857,9.997715,13.57087
"2018-02-19 14:40:00",22239,0.3654045,0.3646994,0.365152,10.06598,10.02698,10.04635,13.56382
"2018-02-19 14:45:00",22240,0.3648466,0.3637217,0.3643654,10.1151,10.07544,10.09476,13.5608
"2018-02-19 14:50:00",22241,0.3641207,0.3637084,0.3638861,10.15958,10.12492,10.14257,13.55895
"2018-02-19 14:55:00",22242,0.3636003,0.3629927,0.3633457,10.20077,10.16815,10.18473,13.55543
"2018-02-19 15:00:00",22243,0.3638783,0.3629248,0.3633836,10.23686,10.20831,10.22275,13.55895
"2018-02-19 15:05:00",22244,0.3634547,0.3623798,0.3629677,10.26641,10.24353,10.25528,13.56264
"2018-02-19 15:10:00",22245,0.3627024,0.3624168,0.3625101,10.28705,10.27176,10.27976,13.47501
"2018-02-19 15:15:00",22246,0.362197,0.3611741,0.361857,10.29911,10.28994,10.29466,13.60798
"2018-02-19 15:20:00",22247,0.362323,0.3612128,0.3616417,10.30977,10.30117,10.30545,13.60109
"2018-02-19 15:25:00",22248,0.3615796,0.3603873,0.3608533,10.31969,10.31195,10.31589,13.59438
"2018-02-19 15:30:00",22249,0.3607599,0.3602445,0.3605106,10.32771,10.32144,10.32466,13.60092
"2018-02-19 15:35:00",22250,0.3603753,0.3595757,0.3599504,10.33512,10.32924,10.33217,13.61352
"2018-02-19 15:40:00",22251,0.3600224,0.3592098,0.359699,10.3412,10.33657,10.33913,13.33986
"2018-02-19 15:45:00",22252,0.359077,0.358844,0.3589579,10.34203,10.34169,10.34186,13.09323
"2018-02-19 15:50:00",22253,0.3594933,0.3588253,0.3590768,10.34132,10.33855,10.34015,13.02826
"2018-02-19 15:55:00",22254,0.3587495,0.3583466,0.3585018,10.33706,10.33159,10.33405,13.01281
"2018-02-19 16:00:00",22255,0.358664,0.3580071,0.3583491,10.33049,10.32488,10.32776,13.0432
"2018-02-19 16:05:00",22256,0.3579097,0.3576342,0.3577299,10.32351,10.31647,10.32024,13.05193
"2018-02-19 16:10:00",22257,0.3579038,0.3564705,0.3572282,10.31409,10.30329,10.30877,13.02037
"2018-02-19 16:15:00",22258,0.3573382,0.3564284,0.3569836,10.30089,10.29057,10.2957,13.01651
"2018-02-19 16:20:00",22259,0.3570005,0.3566345,0.3568456,10.28821,10.2786,10.28346,13.02809
"2018-02-19 16:25:00",22260,0.3575776,0.3563066,0.3568129,10.27587,10.26307,10.2695,13.08416
"2018-02-19 16:30:00",22261,0.3571624,0.3560036,0.3566629,10.2598,10.24644,10.25307,13.25709
"2018-02-19 16:35:00",22262,0.357022,0.356241,0.3567181,10.24355,10.23339,10.23826,13.72718
"2018-02-19 16:40:00",22263,0.3572989,0.3562833,0.3566743,10.23077,10.21918,10.2251,13.42901
"2018-02-19 16:45:00",22264,0.3565796,0.3557118,0.3562979,10.21558,10.20121,10.20836,13.20605
"2018-02-19 16:50:00",22265,0.3564645,0.3559932,0.3562295,10.19748,10.1806,10.18911,13.18507
"2018-02-19 16:55:00",22266,0.3564611,0.3556796,0.356075,10.17656,10.15906,10.16784,13.21545
"2018-02-19 17:00:00",22267,0.3571698,0.3559868,0.3563246,10.15451,10.135,10.14504,13.06268
"2018-02-19 17:05:00",22268,0.3579276,0.3566429,0.3571673,10.12986,10.10308,10.11673,13.00794
"2018-02-19 17:10:00",22269,0.358667,0.3575552,0.3579645,10.09552,10.06859,10.08187,13.00442
"2018-02-19 17:15:00",22270,0.3589868,0.3582132,0.3585256,10.06132,10.03231,10.04694,13.08114
"2018-02-19 17:20:00",22271,0.3597536,0.3588657,0.3592803,10.02443,9.99065,10.00779,13.20118
"2018-02-19 17:25:00",22272,0.3609558,0.3602125,0.3606386,9.981204,9.946216,9.963573,13.17315
"2018-02-19 17:30:00",22273,0.3622861,0.3606745,0.3616073,9.937644,9.903661,9.920476,13.09491
"2018-02-19 17:35:00",22274,0.3635373,0.3623319,0.3629365,9.895176,9.859923,9.877846,13.02339
"2018-02-19 17:40:00",22275,0.3658836,0.3636305,0.36477,9.851143,9.814253,9.832705,12.98813
"2018-02-19 17:45:00",22276,0.3682305,0.3670084,0.3675782,9.803893,9.762212,9.782804,12.9789
"2018-02-19 17:50:00",22277,0.3722305,0.3696828,0.3708307,9.753522,9.719698,9.736471,12.98259
"2018-02-19 17:55:00",22278,0.376705,0.3734472,0.3748201,9.711179,9.675979,9.694115,12.95674
"2018-02-19 18:00:00",22279,0.3812144,0.3778435,0.3793286,9.666128,9.621971,9.644209,12.93525
