"TOA5","H5006","CR2xx","No_SN","CR200X.Std.01","nivel_04-12-2017.CR2","20631","Intervalo"
"TIMESTAMP","RECORD","nivel_A_Max","nivel_A_Min","nivel_A_Avg","Temp_C_Max","Temp_C_Min","Temp_C_Avg","batt_volt_Avg"
"TS","RN","m","m","m","Grados","Grados","Grados",""
"","","Max","Min","Avg","Max","Min","Avg","Avg"
"2018-01-12 02:50:00",11152,0.3309001,0.3304479,0.3306902,6.90037,6.882985,6.891578,12.40321
"2018-01-12 02:55:00",11153,0.3307784,0.3302546,0.3306216,6.87864,6.861552,6.870013,12.39448
"2018-01-12 03:00:00",11154,0.3306512,0.3298796,0.3303162,6.857331,6.841042,6.848994,12.49018
"2018-01-12 03:05:00",11155,0.3309769,0.3300705,0.3305137,6.837293,6.821776,6.82938,12.39415
"2018-01-12 03:10:00",11156,0.3307226,0.3301361,0.3303839,6.818042,6.803314,6.810575,12.39096
"2018-01-12 03:15:00",11157,0.3304091,0.3299584,0.3301385,6.799837,6.787952,6.793683,12.47859
"2018-01-12 03:20:00",11158,0.3304749,0.3295203,0.3301326,6.785301,6.773371,6.779363,12.39364
"2018-01-12 03:25:00",11159,0.3302586,0.3300086,0.330148,6.770689,6.757985,6.764493,12.38206
"2018-01-12 03:30:00",11160,0.3303796,0.3298303,0.3300662,6.754758,6.740996,6.747961,12.47725
"2018-01-12 03:35:00",11161,0.330171,0.3298285,0.3300253,6.737423,6.721496,6.729718,12.38323
"2018-01-12 03:40:00",11162,0.330221,0.3296787,0.3298961,6.717653,6.70197,6.709662,12.3745
"2018-01-12 03:45:00",11163,0.330465,0.3297076,0.3301356,6.698116,6.683764,6.691077,12.4702
"2018-01-12 03:50:00",11164,0.330275,0.3296453,0.3299797,6.67995,6.665656,6.672841,12.37266
"2018-01-12 03:55:00",11165,0.3301721,0.3297462,0.329967,6.662211,6.647349,6.655009,12.36796
"2018-01-12 04:00:00",11166,0.3305348,0.3297828,0.3300777,6.643552,6.629058,6.6363,12.46181
"2018-01-12 04:05:00",11167,0.3298676,0.3294275,0.3296796,6.625359,6.609793,6.617555,12.36896
"2018-01-12 04:10:00",11168,0.3307352,0.3298351,0.3301854,6.605194,6.58866,6.596979,12.36174
"2018-01-12 04:15:00",11169,0.3301958,0.3296626,0.3298727,6.583905,6.565744,6.574858,12.45257
"2018-01-12 04:20:00",11170,0.3303542,0.3295543,0.3297994,6.560942,6.54237,6.551543,12.36292
"2018-01-12 04:25:00",11171,0.3297432,0.3294365,0.3295732,6.537698,6.516868,6.526987,12.36225
"2018-01-12 04:30:00",11172,0.3295157,0.3292072,0.3294071,6.512324,6.493767,6.503087,12.443
"2018-01-12 04:35:00",11173,0.3297091,0.3293197,0.3294722,6.489214,6.470035,6.479645,12.34915
"2018-01-12 04:40:00",11174,0.3297209,0.3289057,0.3293083,6.464926,6.446753,6.455735,12.34563
"2018-01-12 04:45:00",11175,0.3297588,0.3286501,0.3293265,6.442545,6.424623,6.433624,12.43981
"2018-01-12 04:50:00",11176,0.3293576,0.3287525,0.3291253,6.419119,6.399954,6.409196,12.34848
"2018-01-12 04:55:00",11177,0.3293962,0.3286989,0.3290036,6.395702,6.377735,6.386615,12.32817
"2018-01-12 05:00:00",11178,0.3294866,0.3289909,0.3291439,6.37348,6.355706,6.364645,12.43041
"2018-01-12 05:05:00",11179,0.3294856,0.3287669,0.3290827,6.350809,6.333185,6.341964,12.33152
"2018-01-12 05:10:00",11180,0.3294059,0.3287874,0.3290839,6.32901,6.310203,6.319844,12.33337
"2018-01-12 05:15:00",11181,0.3294922,0.3284555,0.3291117,6.30508,6.286623,6.295885,12.42319
"2018-01-12 05:20:00",11182,0.3292855,0.3285451,0.3288851,6.281886,6.262973,6.272439,12.32296
"2018-01-12 05:25:00",11183,0.3290089,0.328612,0.3288154,6.258482,6.241074,6.249511,12.31927
"2018-01-12 05:30:00",11184,0.3290254,0.3286861,0.3288479,6.236056,6.218853,6.227475,12.41698
"2018-01-12 05:35:00",11185,0.3287234,0.3282409,0.3285583,6.214474,6.196502,6.205551,12.31927
"2018-01-12 05:40:00",11186,0.3288185,0.3279937,0.328478,6.191671,6.1735,6.182855,12.29795
"2018-01-12 05:45:00",11187,0.328981,0.3285077,0.3287166,6.169083,6.151191,6.160086,12.40372
"2018-01-12 05:50:00",11188,0.3289043,0.3278689,0.3284175,6.1473,6.129918,6.138667,12.31507
"2018-01-12 05:55:00",11189,0.3288492,0.3282268,0.3285526,6.125948,6.109068,6.117616,12.29761
"2018-01-12 06:00:00",11190,0.3288865,0.3280688,0.3284231,6.104933,6.088821,6.097003,12.39297
"2018-01-12 06:05:00",11191,0.3283999,0.3278382,0.3282678,6.084714,6.066873,6.076011,12.29912
"2018-01-12 06:10:00",11192,0.3284828,0.3280218,0.3283344,6.062395,6.044751,6.053617,12.29224
"2018-01-12 06:15:00",11193,0.3284999,0.3278035,0.3282265,6.040761,6.024418,6.032714,12.38407
"2018-01-12 06:20:00",11194,0.3284659,0.328,0.3282156,6.02012,6.002585,6.011323,12.27864
"2018-01-12 06:25:00",11195,0.3282924,0.3274242,0.3279174,5.998159,5.981373,5.989727,12.27562
"2018-01-12 06:30:00",11196,0.3282418,0.3277829,0.3280012,5.977408,5.961195,5.969323,12.37652
"2018-01-12 06:35:00",11197,0.3282225,0.3276576,0.3280178,5.957301,5.941827,5.949476,12.30332
"2018-01-12 06:40:00",11198,0.3283073,0.3280053,0.3281291,5.938158,5.922786,5.930655,12.29644
"2018-01-12 06:45:00",11199,0.3277868,0.3275113,0.3276913,5.919082,5.905226,5.912266,12.4012
"2018-01-12 06:50:00",11200,0.3279887,0.3272718,0.3276379,5.901468,5.887392,5.894301,12.31725
"2018-01-12 06:55:00",11201,0.3276927,0.3274961,0.3276179,5.884451,5.87111,5.877822,12.31977
"2018-01-12 07:00:00",11202,0.3274003,0.3267376,0.3271528,5.867997,5.854496,5.861073,12.43142
"2018-01-12 07:05:00",11203,0.3277944,0.3270841,0.3273708,5.851064,5.839587,5.845239,12.34093
"2018-01-12 07:10:00",11204,0.3276556,0.3273245,0.327458,5.837045,5.826633,5.831737,12.33337
"2018-01-12 07:15:00",11205,0.327902,0.3271909,0.3275385,5.82403,5.81435,5.819139,12.45677
"2018-01-12 07:20:00",11206,0.3279582,0.3271595,0.3274091,5.812223,5.804167,5.807874,12.63272
"2018-01-12 07:25:00",11207,0.3274843,0.326742,0.3271364,5.802608,5.796087,5.799216,12.78146
"2018-01-12 07:30:00",11208,0.3276394,0.326757,0.3272425,5.794997,5.791818,5.79335,13.21982
"2018-01-12 07:35:00",11209,0.3275234,0.3269412,0.3271942,5.791035,5.789599,5.790277,13.5571
"2018-01-12 07:40:00",11210,0.3278132,0.3271029,0.3273663,5.790789,5.789495,5.789945,13.73574
"2018-01-12 07:45:00",11211,0.3275326,0.3268468,0.3272492,5.797092,5.791657,5.794156,13.6251
"2018-01-12 07:50:00",11212,0.3273283,0.3267004,0.3270842,5.808894,5.799169,5.803945,13.51345
"2018-01-12 07:55:00",11213,0.3274873,0.3269139,0.327285,5.824142,5.811539,5.817885,13.46258
"2018-01-12 08:00:00",11214,0.327549,0.3267191,0.3272585,5.841956,5.827379,5.834578,13.44764
"2018-01-12 08:05:00",11215,0.3276987,0.3271924,0.3274265,5.863225,5.845979,5.854475,13.42531
"2018-01-12 08:10:00",11216,0.3271123,0.3269578,0.327065,5.888257,5.868164,5.878274,13.39912
"2018-01-12 08:15:00",11217,0.3274616,0.3268789,0.3271638,5.916893,5.894231,5.905572,13.40114
"2018-01-12 08:20:00",11218,0.3275307,0.3269178,0.3272784,5.947422,5.922805,5.93423,13.39711
"2018-01-12 08:25:00",11219,0.3276347,0.3268801,0.3272469,5.989576,5.955091,5.971805,13.36958
"2018-01-12 08:30:00",11220,0.3277493,0.3269687,0.3273959,6.027886,5.999691,6.015414,13.38133
"2018-01-12 08:35:00",11221,0.327847,0.3271948,0.3275828,6.04346,6.031466,6.037945,13.22905
"2018-01-12 08:40:00",11222,0.3277938,0.327403,0.3275893,6.051629,6.045397,6.048906,13.24987
"2018-01-12 08:45:00",11223,0.3277093,0.3272061,0.327493,6.052691,6.051244,6.052188,13.35077
"2018-01-12 08:50:00",11224,0.3275002,0.3270847,0.3272716,6.050176,6.04284,6.046533,13.28613
"2018-01-12 08:55:00",11225,0.3283103,0.326988,0.3275768,6.041841,6.040556,6.041049,13.28295
"2018-01-12 09:00:00",11226,0.3272284,0.3267323,0.327071,6.048804,6.041593,6.04478,13.53159
"2018-01-12 09:05:00",11227,0.3275729,0.3271388,0.3273608,6.066966,6.051983,6.059453,13.38737
"2018-01-12 09:10:00",11228,0.3277433,0.3269293,0.3271944,6.085838,6.070965,6.078537,13.24903
"2018-01-12 09:15:00",11229,0.3277116,0.3271342,0.3274203,6.099928,6.089344,6.094907,13.32156
"2018-01-12 09:20:00",11230,0.3276816,0.3269441,0.3273138,6.110505,6.101986,6.106425,13.06822
"2018-01-12 09:25:00",11231,0.3276941,0.3271214,0.3274153,6.121134,6.112619,6.116914,13.0563
"2018-01-12 09:30:00",11232,0.3276662,0.3266501,0.3273486,6.13451,6.12341,6.128873,13.24399
"2018-01-12 09:35:00",11233,0.3277507,0.3271832,0.3274673,6.152225,6.136993,6.144441,13.2032
"2018-01-12 09:40:00",11234,0.3274716,0.3269633,0.3271705,6.173506,6.156365,6.164992,13.17046
"2018-01-12 09:45:00",11235,0.3274249,0.3269206,0.3272293,6.195318,6.177948,6.186598,13.40265
"2018-01-12 09:50:00",11236,0.3278497,0.3270758,0.3273326,6.218341,6.199919,6.209002,13.38099
"2018-01-12 09:55:00",11237,0.327633,0.3269456,0.327439,6.24231,6.222602,6.232217,13.64105
"2018-01-12 10:00:00",11238,0.32779,0.3272895,0.3275273,6.267339,6.247011,6.25703,13.58145
"2018-01-12 10:05:00",11239,0.3278897,0.3273068,0.3276008,6.292687,6.272912,6.282617,13.35883
"2018-01-12 10:10:00",11240,0.3277819,0.3272119,0.3274952,6.315432,6.29712,6.306201,13.34573
"2018-01-12 10:15:00",11241,0.3278984,0.3271611,0.3275543,6.343789,6.3211,6.332555,13.51564
"2018-01-12 10:20:00",11242,0.3277854,0.3272562,0.3275884,6.374063,6.34955,6.36203,13.32173
"2018-01-12 10:25:00",11243,0.327517,0.3274028,0.3274715,6.400701,6.379948,6.390213,13.44966
"2018-01-12 10:30:00",11244,0.3275432,0.3268189,0.3272654,6.430165,6.406182,6.418289,13.58346
"2018-01-12 10:35:00",11245,0.3275827,0.3268166,0.3272824,6.462739,6.436254,6.449744,13.52538
"2018-01-12 10:40:00",11246,0.3277656,0.3272724,0.3275145,6.496302,6.469136,6.48253,13.50389
"2018-01-12 10:45:00",11247,0.3275818,0.327126,0.3273672,6.534241,6.503434,6.518818,13.48458
