"Título de trazado: JTU-01-PT-22"
"N.º";"Fecha Tiempo, GMT-05:00";"PRECIPITACION, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;09/15/17 10:50:10 AM;0.0;
2;09/16/17 04:08:29 PM;0.1;
3;09/16/17 04:48:37 PM;0.2;
4;09/16/17 05:00:55 PM;0.3;
5;09/16/17 08:47:35 PM;0.4;
6;09/16/17 11:46:54 PM;0.5;
7;09/17/17 12:24:19 AM;0.6;
8;09/17/17 12:38:37 AM;0.7;
9;09/17/17 12:49:29 AM;0.8;
10;09/17/17 02:24:15 AM;0.9;
11;09/17/17 11:03:14 PM;1.0;
12;09/17/17 11:13:39 PM;1.1;
13;09/17/17 11:18:21 PM;1.2;
14;09/17/17 11:22:17 PM;1.3;
15;09/17/17 11:31:36 PM;1.4;
16;09/17/17 11:37:45 PM;1.5;
17;09/17/17 11:46:11 PM;1.6;
18;09/18/17 06:13:55 AM;1.7;
19;09/18/17 07:46:39 AM;1.8;
20;09/18/17 08:22:26 AM;1.9;
21;09/18/17 10:05:07 AM;2.0;
22;09/20/17 07:19:28 AM;2.1;
23;09/22/17 06:52:45 AM;2.2;
24;09/23/17 03:09:03 PM;2.3;
25;09/23/17 03:11:41 PM;2.4;
26;09/23/17 03:13:27 PM;2.5;
27;09/23/17 03:17:07 PM;2.6;
28;09/23/17 03:19:59 PM;2.7;
29;09/23/17 03:21:51 PM;2.8;
30;09/23/17 03:23:06 PM;2.9;
31;09/23/17 03:24:22 PM;3.0;
32;09/23/17 03:25:47 PM;3.1;
33;09/23/17 03:28:21 PM;3.2;
34;09/23/17 03:29:55 PM;3.3;
35;09/23/17 03:32:26 PM;3.4;
36;09/23/17 03:33:23 PM;3.5;
37;09/23/17 03:34:02 PM;3.6;
38;09/23/17 03:34:26 PM;3.7;
39;09/23/17 03:34:55 PM;3.8;
40;09/23/17 03:35:18 PM;3.9;
41;09/23/17 03:35:47 PM;4.0;
42;09/23/17 03:36:25 PM;4.1;
43;09/23/17 03:37:08 PM;4.2;
44;09/23/17 03:37:37 PM;4.3;
45;09/23/17 03:38:16 PM;4.4;
46;09/23/17 03:38:50 PM;4.5;
47;09/23/17 03:39:25 PM;4.6;
48;09/23/17 03:40:03 PM;4.7;
49;09/23/17 03:40:42 PM;4.8;
50;09/23/17 03:41:19 PM;4.9;
51;09/23/17 03:42:16 PM;5.0;
52;09/23/17 03:43:08 PM;5.1;
53;09/23/17 03:43:47 PM;5.2;
54;09/23/17 03:44:11 PM;5.3;
55;09/23/17 03:44:36 PM;5.4;
56;09/23/17 03:45:04 PM;5.5;
57;09/23/17 03:45:22 PM;5.6;
58;09/23/17 03:45:38 PM;5.7;
59;09/23/17 03:45:57 PM;5.8;
60;09/23/17 03:46:16 PM;5.9;
61;09/23/17 03:46:36 PM;6.0;
62;09/23/17 03:46:53 PM;6.1;
63;09/23/17 03:47:16 PM;6.2;
64;09/23/17 03:47:41 PM;6.3;
65;09/23/17 03:47:57 PM;6.4;
66;09/23/17 03:48:21 PM;6.5;
67;09/23/17 03:48:38 PM;6.6;
68;09/23/17 03:48:55 PM;6.7;
69;09/23/17 03:49:18 PM;6.8;
70;09/23/17 03:49:39 PM;6.9;
71;09/23/17 03:50:02 PM;7.0;
72;09/23/17 03:50:25 PM;7.1;
73;09/23/17 03:50:59 PM;7.2;
74;09/23/17 03:51:27 PM;7.3;
75;09/23/17 03:51:49 PM;7.4;
76;09/23/17 03:52:11 PM;7.5;
77;09/23/17 03:52:29 PM;7.6;
78;09/23/17 03:52:41 PM;7.7;
79;09/23/17 03:52:55 PM;7.8;
80;09/23/17 03:53:11 PM;7.9;
81;09/23/17 03:53:28 PM;8.0;
82;09/23/17 03:53:46 PM;8.1;
83;09/23/17 03:54:06 PM;8.2;
84;09/23/17 03:54:27 PM;8.3;
85;09/23/17 03:54:52 PM;8.4;
86;09/23/17 03:55:12 PM;8.5;
87;09/23/17 03:55:36 PM;8.6;
88;09/23/17 03:56:05 PM;8.7;
89;09/23/17 03:56:42 PM;8.8;
90;09/23/17 03:57:35 PM;8.9;
91;09/23/17 03:58:30 PM;9.0;
92;09/23/17 03:59:18 PM;9.1;
93;09/23/17 04:00:06 PM;9.2;
94;09/23/17 04:00:53 PM;9.3;
95;09/23/17 04:01:56 PM;9.4;
96;09/23/17 04:03:04 PM;9.5;
97;09/23/17 04:04:27 PM;9.6;
98;09/23/17 04:05:51 PM;9.7;
99;09/23/17 04:07:02 PM;9.8;
100;09/23/17 04:08:41 PM;9.9;
101;09/23/17 04:11:10 PM;10.0;
102;09/23/17 04:12:58 PM;10.1;
103;09/23/17 04:16:58 PM;10.2;
104;09/23/17 04:24:45 PM;10.3;
105;09/23/17 04:39:30 PM;10.4;
106;09/25/17 06:13:00 AM;10.5;
107;09/27/17 07:02:55 AM;10.6;
108;09/28/17 04:31:53 PM;10.7;
109;09/28/17 04:33:49 PM;10.8;
110;09/28/17 04:34:41 PM;10.9;
111;09/28/17 04:35:56 PM;11.0;
112;09/28/17 04:36:39 PM;11.1;
113;09/28/17 04:38:03 PM;11.2;
