"Título de trazado: JTU-01-PT-22"
"N.º";"Fecha Tiempo, GMT-05:00";"PRECIPITACION, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;15/09/17 10:50:10;0,0;
2;16/09/17 16:08:29;0,1;
3;16/09/17 16:48:37;0,2;
4;16/09/17 17:00:55;0,3;
5;16/09/17 20:47:35;0,4;
6;16/09/17 23:46:54;0,5;
7;17/09/17 00:24:19;0,6;
8;17/09/17 00:38:37;0,7;
9;17/09/17 00:49:29;0,8;
10;17/09/17 02:24:15;0,9;
11;17/09/17 23:03:14;1,0;
12;17/09/17 23:13:39;1,1;
13;17/09/17 23:18:21;1,2;
14;17/09/17 23:22:17;1,3;
15;17/09/17 23:31:36;1,4;
16;17/09/17 23:37:45;1,5;
17;17/09/17 23:46:11;1,6;
18;18/09/17 06:13:55;1,7;
19;18/09/17 07:46:39;1,8;
20;18/09/17 08:22:26;1,9;
21;18/09/17 10:05:07;2,0;
22;20/09/17 07:19:28;2,1;
23;22/09/17 06:52:45;2,2;
24;23/09/17 15:09:03;2,3;
25;23/09/17 15:11:41;2,4;
26;23/09/17 15:13:27;2,5;
27;23/09/17 15:17:07;2,6;
28;23/09/17 15:19:59;2,7;
29;23/09/17 15:21:51;2,8;
30;23/09/17 15:23:06;2,9;
31;23/09/17 15:24:22;3,0;
32;23/09/17 15:25:47;3,1;
33;23/09/17 15:28:21;3,2;
34;23/09/17 15:29:55;3,3;
35;23/09/17 15:32:26;3,4;
36;23/09/17 15:33:23;3,5;
37;23/09/17 15:34:02;3,6;
38;23/09/17 15:34:26;3,7;
39;23/09/17 15:34:55;3,8;
40;23/09/17 15:35:18;3,9;
41;23/09/17 15:35:47;4,0;
42;23/09/17 15:36:25;4,1;
43;23/09/17 15:37:08;4,2;
44;23/09/17 15:37:37;4,3;
45;23/09/17 15:38:16;4,4;
46;23/09/17 15:38:50;4,5;
47;23/09/17 15:39:25;4,6;
48;23/09/17 15:40:03;4,7;
49;23/09/17 15:40:42;4,8;
50;23/09/17 15:41:19;4,9;
51;23/09/17 15:42:16;5,0;
52;23/09/17 15:43:08;5,1;
53;23/09/17 15:43:47;5,2;
54;23/09/17 15:44:11;5,3;
55;23/09/17 15:44:36;5,4;
56;23/09/17 15:45:04;5,5;
57;23/09/17 15:45:22;5,6;
58;23/09/17 15:45:38;5,7;
59;23/09/17 15:45:57;5,8;
60;23/09/17 15:46:16;5,9;
61;23/09/17 15:46:36;6,0;
62;23/09/17 15:46:53;6,1;
63;23/09/17 15:47:16;6,2;
64;23/09/17 15:47:41;6,3;
65;23/09/17 15:47:57;6,4;
66;23/09/17 15:48:21;6,5;
67;23/09/17 15:48:38;6,6;
68;23/09/17 15:48:55;6,7;
69;23/09/17 15:49:18;6,8;
70;23/09/17 15:49:39;6,9;
71;23/09/17 15:50:02;7,0;
72;23/09/17 15:50:25;7,1;
73;23/09/17 15:50:59;7,2;
74;23/09/17 15:51:27;7,3;
75;23/09/17 15:51:49;7,4;
76;23/09/17 15:52:11;7,5;
77;23/09/17 15:52:29;7,6;
78;23/09/17 15:52:41;7,7;
79;23/09/17 15:52:55;7,8;
80;23/09/17 15:53:11;7,9;
81;23/09/17 15:53:28;8,0;
82;23/09/17 15:53:46;8,1;
83;23/09/17 15:54:06;8,2;
84;23/09/17 15:54:27;8,3;
85;23/09/17 15:54:52;8,4;
86;23/09/17 15:55:12;8,5;
87;23/09/17 15:55:36;8,6;
88;23/09/17 15:56:05;8,7;
89;23/09/17 15:56:42;8,8;
90;23/09/17 15:57:35;8,9;
91;23/09/17 15:58:30;9,0;
92;23/09/17 15:59:18;9,1;
93;23/09/17 16:00:06;9,2;
94;23/09/17 16:00:53;9,3;
95;23/09/17 16:01:56;9,4;
96;23/09/17 16:03:04;9,5;
97;23/09/17 16:04:27;9,6;
98;23/09/17 16:05:51;9,7;
99;23/09/17 16:07:02;9,8;
100;23/09/17 16:08:41;9,9;
101;23/09/17 16:11:10;10,0;
102;23/09/17 16:12:58;10,1;
103;23/09/17 16:16:58;10,2;
104;23/09/17 16:24:45;10,3;
105;23/09/17 16:39:30;10,4;
106;25/09/17 06:13:00;10,5;
107;27/09/17 07:02:55;10,6;
108;28/09/17 16:31:53;10,7;
109;28/09/17 16:33:49;10,8;
110;28/09/17 16:34:41;10,9;
111;28/09/17 16:35:56;11,0;
112;28/09/17 16:36:39;11,1;
113;28/09/17 16:38:03;11,2;
114;28/09/17 16:39:27;11,3;
115;28/09/17 16:40:11;11,4;
116;28/09/17 16:40:32;11,5;
117;28/09/17 16:40:56;11,6;
