"Título de trazado: JTU-01-PT-32"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;15/09/17 13:28:08;0.0;
2;16/09/17 16:19:36;0.1;
3;16/09/17 16:50:05;0.2;
4;16/09/17 16:59:36;0.3;
5;16/09/17 17:14:33;0.4;
6;16/09/17 23:41:51;0.5;
7;17/09/17 00:35:55;0.6;
8;17/09/17 00:53:16;0.7;
9;17/09/17 23:03:33;0.8;
10;17/09/17 23:14:10;0.9;
11;17/09/17 23:20:18;1.0;
12;17/09/17 23:26:33;1.1;
13;17/09/17 23:38:59;1.2;
14;18/09/17 00:23:54;1.3;
15;18/09/17 07:59:32;1.4;
16;18/09/17 09:36:52;1.5;
17;20/09/17 07:17:14;1.6;
18;23/09/17 15:07:33;1.7;
19;23/09/17 15:09:52;1.8;
20;23/09/17 15:11:10;1.9;
21;23/09/17 15:12:39;2.0;
22;23/09/17 15:14:39;2.1;
23;23/09/17 15:17:39;2.2;
24;23/09/17 15:20:17;2.3;
25;23/09/17 15:22:18;2.4;
26;23/09/17 15:23:47;2.5;
27;23/09/17 15:26:04;2.6;
28;23/09/17 15:27:13;2.7;
29;23/09/17 15:28:12;2.8;
30;23/09/17 15:28:56;2.9;
31;23/09/17 15:30:01;3.0;
32;23/09/17 15:30:44;3.1;
33;23/09/17 15:31:29;3.2;
34;23/09/17 15:32:08;3.3;
35;23/09/17 15:32:56;3.4;
36;23/09/17 15:34:25;3.5;
37;23/09/17 15:35:09;3.6;
38;23/09/17 15:35:53;3.7;
39;23/09/17 15:36:42;3.8;
40;23/09/17 15:37:17;3.9;
41;23/09/17 15:38:06;4.0;
42;23/09/17 15:38:42;4.1;
43;23/09/17 15:39:13;4.2;
44;23/09/17 15:39:41;4.3;
45;23/09/17 15:40:09;4.4;
46;23/09/17 15:40:30;4.5;
47;23/09/17 15:40:57;4.6;
48;23/09/17 15:41:21;4.7;
49;23/09/17 15:41:49;4.8;
50;23/09/17 15:42:20;4.9;
51;23/09/17 15:43:02;5.0;
52;23/09/17 15:43:31;5.1;
53;23/09/17 15:44:01;5.2;
54;23/09/17 15:44:27;5.3;
55;23/09/17 15:45:03;5.4;
56;23/09/17 15:45:34;5.5;
57;23/09/17 15:46:06;5.6;
58;23/09/17 15:46:30;5.7;
59;23/09/17 15:47:10;5.8;
60;23/09/17 15:47:46;5.9;
61;23/09/17 15:48:22;6.0;
62;23/09/17 15:48:48;6.1;
63;23/09/17 15:49:25;6.2;
64;23/09/17 15:50:02;6.3;
65;23/09/17 15:50:30;6.4;
66;23/09/17 15:50:48;6.5;
67;23/09/17 15:51:16;6.6;
68;23/09/17 15:51:47;6.7;
69;23/09/17 15:52:36;6.8;
70;23/09/17 15:53:16;6.9;
71;23/09/17 15:53:54;7.0;
72;23/09/17 15:54:25;7.1;
73;23/09/17 15:54:56;7.2;
74;23/09/17 15:55:17;7.3;
75;23/09/17 15:55:45;7.4;
76;23/09/17 15:56:03;7.5;
77;23/09/17 15:56:26;7.6;
78;23/09/17 15:56:39;7.7;
79;23/09/17 15:56:54;7.8;
80;23/09/17 15:57:08;7.9;
81;23/09/17 15:57:22;8.0;
82;23/09/17 15:57:34;8.1;
83;23/09/17 15:57:47;8.2;
84;23/09/17 15:57:59;8.3;
85;23/09/17 15:58:12;8.4;
86;23/09/17 15:58:27;8.5;
87;23/09/17 15:58:46;8.6;
88;23/09/17 15:59:07;8.7;
89;23/09/17 15:59:37;8.8;
90;23/09/17 16:00:14;8.9;
91;23/09/17 16:01:04;9.0;
92;23/09/17 16:01:53;9.1;
93;23/09/17 16:03:20;9.2;
94;23/09/17 16:04:24;9.3;
95;23/09/17 16:05:48;9.4;
96;23/09/17 16:06:49;9.5;
97;23/09/17 16:08:25;9.6;
98;23/09/17 16:11:26;9.7;
99;23/09/17 16:14:38;9.8;
100;23/09/17 16:19:28;9.9;
101;23/09/17 16:34:43;10.0;
102;23/09/17 21:06:42;10.1;
103;27/09/17 09:55:52;10.2;
104;28/09/17 16:33:58;10.3;
105;28/09/17 16:35:10;10.4;
106;28/09/17 16:35:37;10.5;
107;28/09/17 16:36:00;10.6;
108;28/09/17 16:36:22;10.7;
109;28/09/17 16:36:47;10.8;
110;28/09/17 16:37:05;10.9;
111;28/09/17 16:37:32;11.0;
112;28/09/17 16:38:02;11.1;
113;28/09/17 16:38:35;11.2;
114;28/09/17 16:39:04;11.3;
115;28/09/17 16:40:19;11.4;
116;28/09/17 16:41:28;11.5;
117;28/09/17 16:42:31;11.6;
118;28/09/17 16:43:03;11.7;
119;28/09/17 16:43:37;11.8;
120;28/09/17 16:44:15;11.9;
121;28/09/17 16:44:58;12.0;
122;28/09/17 16:45:32;12.1;
123;28/09/17 16:46:09;12.2;
124;28/09/17 16:46:53;12.3;
125;28/09/17 16:47:56;12.4;
126;28/09/17 16:49:02;12.5;
127;28/09/17 16:50:04;12.6;
128;28/09/17 16:50:44;12.7;
129;28/09/17 16:51:33;12.8;
130;28/09/17 16:53:26;12.9;
131;28/09/17 16:55:53;13.0;
132;28/09/17 16:59:52;13.1;
133;28/09/17 17:01:51;13.2;
134;28/09/17 17:04:01;13.3;
135;28/09/17 17:11:40;13.4;
136;28/09/17 17:21:10;13.5;
137;28/09/17 17:25:08;13.6;
138;28/09/17 17:29:21;13.7;
139;28/09/17 17:35:20;13.8;
140;28/09/17 20:45:14;13.9;
141;29/09/17 13:54:46;14.0;
142;29/09/17 14:00:49;14.1;
143;29/09/17 14:04:51;14.2;
144;29/09/17 14:07:06;14.3;
145;29/09/17 14:10:38;14.4;
146;29/09/17 14:16:19;14.5;
147;29/09/17 14:22:42;14.6;
148;29/09/17 14:25:38;14.7;
149;29/09/17 14:30:55;14.8;
150;29/09/17 14:35:54;14.9;
151;29/09/17 14:39:23;15.0;
152;29/09/17 14:41:56;15.1;
153;29/09/17 14:49:02;15.2;
154;29/09/17 20:26:04;15.3;
155;29/09/17 20:31:59;15.4;
156;29/09/17 20:36:38;15.5;
157;29/09/17 20:43:05;15.6;
158;29/09/17 20:51:17;15.7;
159;29/09/17 20:56:17;15.8;
160;29/09/17 21:00:09;15.9;
161;29/09/17 21:04:18;16.0;
162;29/09/17 21:08:12;16.1;
163;29/09/17 21:12:02;16.2;
164;29/09/17 21:15:45;16.3;
165;29/09/17 21:24:53;16.4;
166;29/09/17 21:33:22;16.5;
167;29/09/17 21:37:36;16.6;
168;29/09/17 21:40:38;16.7;
169;29/09/17 21:44:07;16.8;
170;29/09/17 21:47:53;16.9;
171;29/09/17 21:51:25;17.0;
172;29/09/17 21:55:16;17.1;
173;29/09/17 21:58:05;17.2;
174;29/09/17 22:00:50;17.3;
175;29/09/17 22:26:05;17.4;
176;30/09/17 00:02:31;17.5;
177;30/09/17 00:11:59;17.6;
178;30/09/17 00:29:13;17.7;
179;30/09/17 05:53:22;17.8;
180;30/09/17 06:02:05;17.9;
181;30/09/17 06:09:45;18.0;
182;30/09/17 06:15:08;18.1;
183;30/09/17 06:19:33;18.2;
184;30/09/17 06:23:58;18.3;
185;30/09/17 06:28:56;18.4;
186;30/09/17 06:32:26;18.5;
187;30/09/17 06:37:28;18.6;
188;30/09/17 06:41:35;18.7;
189;30/09/17 06:46:18;18.8;
190;30/09/17 06:51:48;18.9;
191;30/09/17 06:58:40;19.0;
192;30/09/17 07:02:42;19.1;
