"Título de trazado: JTU-01-PT-63"
"N.º","Fecha Tiempo, GMT-05:00","Precipitacion, mm (LGR S/N: 2412760, SEN S/N: 2412760)","Final de archivo (LGR S/N: 2412760)"
1,18/04/17 10:54:54,0.0,
2,18/04/17 14:29:45,0.1,
3,18/04/17 14:30:37,0.2,
4,18/04/17 14:31:47,0.3,
5,18/04/17 14:32:26,0.4,
6,18/04/17 14:33:17,0.5,
7,18/04/17 14:34:08,0.6,
8,18/04/17 14:36:34,0.7,
9,18/04/17 14:57:50,0.8,
10,18/04/17 14:59:06,0.9,
11,18/04/17 15:00:20,1.0,
12,18/04/17 15:02:49,1.1,
13,18/04/17 15:04:03,1.2,
14,18/04/17 15:13:22,1.3,
15,18/04/17 15:37:58,1.4,
16,18/04/17 15:57:44,1.5,
17,18/04/17 16:47:59,1.6,
18,19/04/17 09:55:01,1.7,
19,19/04/17 10:00:48,1.8,
20,19/04/17 10:08:17,1.9,
21,19/04/17 10:15:49,2.0,
22,19/04/17 11:22:13,2.1,
23,19/04/17 12:09:26,2.2,
24,19/04/17 12:18:37,2.3,
25,19/04/17 13:28:48,2.4,
26,19/04/17 15:10:49,2.5,
27,19/04/17 15:13:37,2.6,
28,19/04/17 15:16:08,2.7,
29,19/04/17 15:17:24,2.8,
30,19/04/17 15:18:53,2.9,
31,19/04/17 15:20:08,3.0,
32,19/04/17 15:22:58,3.1,
33,19/04/17 15:28:42,3.2,
34,19/04/17 16:43:20,3.3,
35,19/04/17 16:49:53,3.4,
36,19/04/17 17:02:16,3.5,
37,19/04/17 17:04:54,3.6,
38,19/04/17 17:10:34,3.7,
39,19/04/17 17:15:08,3.8,
40,19/04/17 17:17:22,3.9,
41,19/04/17 17:18:52,4.0,
42,19/04/17 17:21:44,4.1,
43,19/04/17 17:28:53,4.2,
44,19/04/17 17:31:53,4.3,
45,19/04/17 17:33:37,4.4,
46,19/04/17 17:35:26,4.5,
47,19/04/17 17:37:13,4.6,
48,19/04/17 17:39:37,4.7,
49,19/04/17 17:41:26,4.8,
50,19/04/17 17:43:41,4.9,
51,19/04/17 17:45:34,5.0,
52,19/04/17 17:47:36,5.1,
53,19/04/17 17:49:18,5.2,
54,19/04/17 17:52:36,5.3,
55,19/04/17 17:55:53,5.4,
56,19/04/17 18:04:21,5.5,
57,19/04/17 18:20:45,5.6,
58,19/04/17 18:48:29,5.7,
59,19/04/17 20:51:08,5.8,
60,19/04/17 20:53:19,5.9,
61,19/04/17 20:54:12,6.0,
62,19/04/17 20:55:25,6.1,
63,19/04/17 20:56:31,6.2,
64,19/04/17 20:57:55,6.3,
65,19/04/17 20:58:50,6.4,
66,19/04/17 20:59:47,6.5,
67,19/04/17 21:00:31,6.6,
68,19/04/17 21:01:37,6.7,
69,19/04/17 21:02:30,6.8,
70,19/04/17 21:03:56,6.9,
71,19/04/17 21:05:15,7.0,
72,19/04/17 21:07:06,7.1,
73,19/04/17 21:09:16,7.2,
74,19/04/17 21:12:09,7.3,
75,19/04/17 22:02:07,7.4,
76,19/04/17 22:09:39,7.5,
77,19/04/17 22:13:34,7.6,
78,19/04/17 22:17:23,7.7,
79,19/04/17 22:19:45,7.8,
80,19/04/17 22:22:07,7.9,
81,19/04/17 22:24:37,8.0,
82,19/04/17 22:27:06,8.1,
83,19/04/17 22:30:57,8.2,
84,19/04/17 22:35:34,8.3,
85,19/04/17 22:38:05,8.4,
86,19/04/17 22:42:13,8.5,
87,19/04/17 22:45:32,8.6,
88,19/04/17 22:56:31,8.7,
89,19/04/17 23:10:19,8.8,
90,20/04/17 00:50:29,8.9,
91,20/04/17 09:47:09,9.0,
92,20/04/17 09:49:39,9.1,
93,20/04/17 09:54:19,9.2,
94,20/04/17 09:57:20,9.3,
95,20/04/17 09:58:08,9.4,
96,20/04/17 09:59:12,9.5,
97,20/04/17 10:00:04,9.6,
98,20/04/17 10:01:08,9.7,
99,20/04/17 10:02:34,9.8,
100,20/04/17 10:05:36,9.9,
101,20/04/17 10:10:29,10.0,
102,20/04/17 10:12:32,10.1,
103,20/04/17 10:14:58,10.2,
104,20/04/17 10:18:58,10.3,
105,20/04/17 10:21:47,10.4,
106,20/04/17 10:24:03,10.5,
107,20/04/17 10:25:34,10.6,
108,20/04/17 10:28:49,10.7,
109,20/04/17 10:59:32,10.8,
110,20/04/17 11:03:53,10.9,
111,20/04/17 11:08:09,11.0,
112,20/04/17 11:16:17,11.1,
113,20/04/17 13:47:01,11.2,
114,20/04/17 14:56:10,11.3,
115,20/04/17 14:56:54,11.4,
116,20/04/17 14:57:42,11.5,
117,20/04/17 14:58:55,11.6,
118,20/04/17 14:59:58,11.7,
119,20/04/17 15:00:44,11.8,
120,20/04/17 15:02:06,11.9,
121,20/04/17 15:03:08,12.0,
122,20/04/17 15:03:58,12.1,
123,20/04/17 15:04:47,12.2,
124,20/04/17 15:05:58,12.3,
125,20/04/17 15:06:55,12.4,
126,20/04/17 15:07:51,12.5,
127,20/04/17 15:08:44,12.6,
128,20/04/17 15:09:53,12.7,
129,20/04/17 15:10:29,12.8,
130,20/04/17 15:11:13,12.9,
131,20/04/17 15:11:42,13.0,
132,20/04/17 15:12:14,13.1,
133,20/04/17 15:12:44,13.2,
134,20/04/17 15:13:23,13.3,
135,20/04/17 15:13:46,13.4,
136,20/04/17 15:14:12,13.5,
137,20/04/17 15:14:38,13.6,
138,20/04/17 15:15:05,13.7,
139,20/04/17 15:15:28,13.8,
140,20/04/17 15:15:59,13.9,
141,20/04/17 15:16:25,14.0,
142,20/04/17 15:16:50,14.1,
143,20/04/17 15:17:15,14.2,
144,20/04/17 15:17:52,14.3,
145,20/04/17 15:18:16,14.4,
146,20/04/17 15:18:39,14.5,
147,20/04/17 15:18:59,14.6,
148,20/04/17 15:19:27,14.7,
149,20/04/17 15:19:46,14.8,
150,20/04/17 15:20:06,14.9,
151,20/04/17 15:20:25,15.0,
152,20/04/17 15:20:58,15.1,
153,20/04/17 15:21:20,15.2,
154,20/04/17 15:21:43,15.3,
155,20/04/17 15:22:11,15.4,
156,20/04/17 15:22:52,15.5,
157,20/04/17 15:23:40,15.6,
158,20/04/17 15:24:40,15.7,
159,20/04/17 15:25:28,15.8,
160,20/04/17 15:26:20,15.9,
161,20/04/17 15:26:56,16.0,
162,20/04/17 15:27:32,16.1,
163,20/04/17 15:27:57,16.2,
164,20/04/17 15:28:36,16.3,
165,20/04/17 15:29:11,16.4,
166,20/04/17 15:29:56,16.5,
167,20/04/17 15:30:34,16.6,
168,20/04/17 15:31:22,16.7,
169,20/04/17 15:32:04,16.8,
170,20/04/17 15:33:05,16.9,
171,20/04/17 15:34:02,17.0,
172,20/04/17 15:34:50,17.1,
173,20/04/17 15:35:29,17.2,
174,20/04/17 15:36:18,17.3,
175,20/04/17 15:36:59,17.4,
176,20/04/17 15:37:59,17.5,
177,20/04/17 15:38:46,17.6,
178,20/04/17 15:40:10,17.7,
179,20/04/17 15:40:52,17.8,
180,20/04/17 15:41:40,17.9,
181,20/04/17 15:42:24,18.0,
182,20/04/17 15:43:10,18.1,
183,20/04/17 15:43:47,18.2,
184,20/04/17 15:44:27,18.3,
185,20/04/17 15:44:57,18.4,
186,20/04/17 15:46:00,18.5,
187,20/04/17 15:47:11,18.6,
188,20/04/17 15:48:28,18.7,
189,20/04/17 15:49:08,18.8,
190,20/04/17 15:49:52,18.9,
191,20/04/17 15:50:24,19.0,
192,20/04/17 15:50:58,19.1,
193,20/04/17 15:51:24,19.2,
194,20/04/17 15:52:00,19.3,
195,20/04/17 15:52:29,19.4,
196,20/04/17 15:53:07,19.5,
197,20/04/17 15:53:37,19.6,
198,20/04/17 15:54:26,19.7,
199,20/04/17 15:55:17,19.8,
200,20/04/17 15:55:54,19.9,
201,20/04/17 15:56:32,20.0,
202,20/04/17 15:57:21,20.1,
203,20/04/17 15:57:53,20.2,
204,20/04/17 15:58:35,20.3,
205,20/04/17 15:59:11,20.4,
206,20/04/17 15:59:55,20.5,
207,20/04/17 16:00:34,20.6,
208,20/04/17 16:01:25,20.7,
209,20/04/17 16:02:06,20.8,
210,20/04/17 16:02:50,20.9,
211,20/04/17 16:03:25,21.0,
212,20/04/17 16:04:13,21.1,
213,20/04/17 16:04:57,21.2,
214,20/04/17 16:05:56,21.3,
215,20/04/17 16:06:43,21.4,
216,20/04/17 16:07:36,21.5,
217,20/04/17 16:08:16,21.6,
218,20/04/17 16:09:10,21.7,
219,20/04/17 16:09:56,21.8,
220,20/04/17 16:10:59,21.9,
221,20/04/17 16:11:55,22.0,
222,20/04/17 16:12:46,22.1,
223,20/04/17 16:13:24,22.2,
224,20/04/17 16:14:23,22.3,
225,20/04/17 16:15:49,22.4,
226,20/04/17 16:17:54,22.5,
227,20/04/17 16:19:13,22.6,
228,20/04/17 16:21:33,22.7,
229,20/04/17 16:23:12,22.8,
230,20/04/17 16:25:40,22.9,
231,20/04/17 16:27:39,23.0,
232,20/04/17 16:29:00,23.1,
233,20/04/17 16:30:17,23.2,
234,20/04/17 16:32:15,23.3,
235,20/04/17 16:33:44,23.4,
236,20/04/17 16:36:02,23.5,
237,20/04/17 16:37:58,23.6,
238,20/04/17 16:39:55,23.7,
239,20/04/17 16:41:03,23.8,
240,20/04/17 16:42:30,23.9,
241,20/04/17 16:43:23,24.0,
242,20/04/17 16:44:15,24.1,
243,20/04/17 16:44:59,24.2,
244,20/04/17 16:45:59,24.3,
245,20/04/17 16:47:03,24.4,
246,20/04/17 16:48:30,24.5,
247,20/04/17 16:50:55,24.6,
248,20/04/17 16:59:25,24.7,
249,20/04/17 17:00:59,24.8,
250,20/04/17 17:03:20,24.9,
251,20/04/17 17:04:59,25.0,
252,20/04/17 17:07:04,25.1,
253,20/04/17 17:08:50,25.2,
254,20/04/17 17:11:18,25.3,
255,20/04/17 17:13:47,25.4,
256,20/04/17 17:17:48,25.5,
257,20/04/17 17:20:38,25.6,
258,20/04/17 17:23:29,25.7,
259,20/04/17 17:26:12,25.8,
260,20/04/17 17:30:54,25.9,
261,20/04/17 17:36:24,26.0,
262,20/04/17 18:08:36,26.1,
263,20/04/17 18:13:51,26.2,
264,20/04/17 18:32:21,26.3,
265,20/04/17 18:39:24,26.4,
266,20/04/17 18:52:15,26.5,
267,20/04/17 19:00:45,26.6,
268,20/04/17 19:14:03,26.7,
269,20/04/17 19:19:38,26.8,
270,20/04/17 19:25:24,26.9,
271,20/04/17 19:28:58,27.0,
272,20/04/17 19:31:57,27.1,
273,20/04/17 19:34:57,27.2,
274,20/04/17 19:38:04,27.3,
275,20/04/17 19:42:24,27.4,
276,20/04/17 19:51:53,27.5,
277,20/04/17 19:54:28,27.6,
278,20/04/17 19:57:48,27.7,
279,20/04/17 20:00:02,27.8,
280,20/04/17 20:02:32,27.9,
281,20/04/17 20:03:59,28.0,
282,20/04/17 20:05:51,28.1,
283,20/04/17 20:07:30,28.2,
284,20/04/17 20:09:35,28.3,
285,20/04/17 20:11:14,28.4,
286,20/04/17 20:13:18,28.5,
287,20/04/17 20:14:56,28.6,
288,20/04/17 20:17:10,28.7,
289,20/04/17 20:18:46,28.8,
290,20/04/17 20:20:39,28.9,
291,20/04/17 20:22:19,29.0,
292,20/04/17 20:24:07,29.1,
293,20/04/17 20:25:50,29.2,
294,20/04/17 20:27:54,29.3,
295,20/04/17 20:29:29,29.4,
296,20/04/17 20:31:31,29.5,
297,20/04/17 20:33:08,29.6,
298,20/04/17 20:35:14,29.7,
299,20/04/17 20:36:41,29.8,
300,20/04/17 20:38:51,29.9,
301,20/04/17 20:40:46,30.0,
302,20/04/17 20:42:52,30.1,
303,20/04/17 20:44:38,30.2,
304,20/04/17 20:48:03,30.3,
305,20/04/17 20:50:41,30.4,
306,20/04/17 20:53:17,30.5,
307,20/04/17 20:55:41,30.6,
