"TOA5","CR200Series","CR2xx","No_SN","CR200X.Std.02","JTU_precipitacion.CR2","35128","Precip"
"TIMESTAMP","RECORD","lluvia_mm_Tot"
"TS","RN","mm"
"","","Tot"
"2017-05-21 16:50:00",349679,0
"2017-05-21 16:55:00",349680,0
"2017-05-21 17:00:00",349681,0
"2017-05-21 17:05:00",349682,0
"2017-05-21 17:10:00",349683,0
"2017-05-21 17:15:00",349684,0
"2017-05-21 17:20:00",349685,0
"2017-05-21 17:25:00",349686,0
"2017-05-21 17:30:00",349687,0
"2017-05-21 17:35:00",349688,0
"2017-05-21 17:40:00",349689,0
"2017-05-21 17:45:00",349690,0
"2017-05-21 17:50:00",349691,0
"2017-05-21 17:55:00",349692,0
"2017-05-21 18:00:00",349693,0
"2017-05-21 18:05:00",349694,0
"2017-05-21 18:10:00",349695,0
"2017-05-21 18:15:00",349696,0
"2017-05-21 18:20:00",349697,0
"2017-05-21 18:25:00",349698,0
"2017-05-21 18:30:00",349699,0
"2017-05-21 18:35:00",349700,0
"2017-05-21 18:40:00",349701,0
"2017-05-21 18:45:00",349702,0
"2017-05-21 18:50:00",349703,0
"2017-05-21 18:55:00",349704,0
"2017-05-21 19:00:00",349705,0
"2017-05-21 19:05:00",349706,0
"2017-05-21 19:10:00",349707,0
"2017-05-21 19:15:00",349708,0
"2017-05-21 19:20:00",349709,0
"2017-05-21 19:25:00",349710,0
"2017-05-21 19:30:00",349711,0
"2017-05-21 19:35:00",349712,0
"2017-05-21 19:40:00",349713,0
"2017-05-21 19:45:00",349714,0
"2017-05-21 19:50:00",349715,0
"2017-05-21 19:55:00",349716,0
"2017-05-21 20:00:00",349717,0
"2017-05-21 20:05:00",349718,0
"2017-05-21 20:10:00",349719,0
"2017-05-21 20:15:00",349720,0
"2017-05-21 20:20:00",349721,0
"2017-05-21 20:25:00",349722,0
"2017-05-21 20:30:00",349723,0
"2017-05-21 20:35:00",349724,0
"2017-05-21 20:40:00",349725,0
"2017-05-21 20:45:00",349726,0
"2017-05-21 20:50:00",349727,0
"2017-05-21 20:55:00",349728,0
"2017-05-21 21:00:00",349729,0
"2017-05-21 21:05:00",349730,0
"2017-05-21 21:10:00",349731,0
"2017-05-21 21:15:00",349732,0
"2017-05-21 21:20:00",349733,0
"2017-05-21 21:25:00",349734,0
"2017-05-21 21:30:00",349735,0
"2017-05-21 21:35:00",349736,0
"2017-05-21 21:40:00",349737,0
"2017-05-21 21:45:00",349738,0
"2017-05-21 21:50:00",349739,0
"2017-05-21 21:55:00",349740,0
"2017-05-21 22:00:00",349741,0
"2017-05-21 22:05:00",349742,0
"2017-05-21 22:10:00",349743,0
"2017-05-21 22:15:00",349744,0
"2017-05-21 22:20:00",349745,0
"2017-05-21 22:25:00",349746,0
"2017-05-21 22:30:00",349747,0
"2017-05-21 22:35:00",349748,0
"2017-05-21 22:40:00",349749,0.1
"2017-05-21 22:45:00",349750,0
"2017-05-21 22:50:00",349751,0
"2017-05-21 22:55:00",349752,0
"2017-05-21 23:00:00",349753,0
"2017-05-21 23:05:00",349754,0.1
"2017-05-21 23:10:00",349755,0
"2017-05-21 23:15:00",349756,0
"2017-05-21 23:20:00",349757,0
"2017-05-21 23:25:00",349758,0.1
"2017-05-21 23:30:00",349759,0
"2017-05-21 23:35:00",349760,0.2
"2017-05-21 23:40:00",349761,0.2
"2017-05-21 23:45:00",349762,0.2
"2017-05-21 23:50:00",349763,0.5
"2017-05-21 23:55:00",349764,0.6
"2017-05-22 00:00:00",349765,0.6
"2017-05-22 00:05:00",349766,0.7
"2017-05-22 00:10:00",349767,0.9000001
"2017-05-22 00:15:00",349768,0.7
"2017-05-22 00:20:00",349769,0.5
"2017-05-22 00:25:00",349770,0.5
"2017-05-22 00:30:00",349771,0.6
"2017-05-22 00:35:00",349772,0.5
"2017-05-22 00:40:00",349773,0.4
"2017-05-22 00:45:00",349774,0.4
"2017-05-22 00:50:00",349775,0.4
"2017-05-22 00:55:00",349776,0.3
"2017-05-22 01:00:00",349777,0.3
"2017-05-22 01:05:00",349778,0.3
"2017-05-22 01:10:00",349779,0.4
"2017-05-22 01:15:00",349780,0.3
"2017-05-22 01:20:00",349781,0.2
"2017-05-22 01:25:00",349782,0.3
"2017-05-22 01:30:00",349783,0.3
"2017-05-22 01:35:00",349784,0.2
"2017-05-22 01:40:00",349785,0.2
"2017-05-22 01:45:00",349786,0.2
"2017-05-22 01:50:00",349787,0.1
"2017-05-22 01:55:00",349788,0.1
"2017-05-22 02:00:00",349789,0.1
"2017-05-22 02:05:00",349790,0.2
"2017-05-22 02:10:00",349791,0.1
"2017-05-22 02:15:00",349792,0.2
"2017-05-22 02:20:00",349793,0.1
"2017-05-22 02:25:00",349794,0.1
"2017-05-22 02:30:00",349795,0.1
"2017-05-22 02:35:00",349796,0.2
"2017-05-22 02:40:00",349797,0.2
"2017-05-22 02:45:00",349798,0.1
"2017-05-22 02:50:00",349799,0.3
"2017-05-22 02:55:00",349800,0.2
"2017-05-22 03:00:00",349801,0.4
"2017-05-22 03:05:00",349802,0.3
"2017-05-22 03:10:00",349803,0.2
"2017-05-22 03:15:00",349804,0.2
"2017-05-22 03:20:00",349805,0.3
"2017-05-22 03:25:00",349806,0.1
"2017-05-22 03:30:00",349807,0.2
"2017-05-22 03:35:00",349808,0.1
"2017-05-22 03:40:00",349809,0.1
"2017-05-22 03:45:00",349810,0.1
"2017-05-22 03:50:00",349811,0.1
"2017-05-22 03:55:00",349812,0
"2017-05-22 04:00:00",349813,0.1
"2017-05-22 04:05:00",349814,0
"2017-05-22 04:10:00",349815,0
"2017-05-22 04:15:00",349816,0.1
"2017-05-22 04:20:00",349817,0
"2017-05-22 04:25:00",349818,0
"2017-05-22 04:30:00",349819,0
"2017-05-22 04:35:00",349820,0
"2017-05-22 04:40:00",349821,0
"2017-05-22 04:45:00",349822,0
"2017-05-22 04:50:00",349823,0
"2017-05-22 04:55:00",349824,0
"2017-05-22 05:00:00",349825,0
"2017-05-22 05:05:00",349826,0
"2017-05-22 05:10:00",349827,0
"2017-05-22 05:15:00",349828,0
"2017-05-22 05:20:00",349829,0
"2017-05-22 05:25:00",349830,0
"2017-05-22 05:30:00",349831,0
"2017-05-22 05:35:00",349832,0
"2017-05-22 05:40:00",349833,0
"2017-05-22 05:45:00",349834,0
"2017-05-22 05:50:00",349835,0
"2017-05-22 05:55:00",349836,0
"2017-05-22 06:00:00",349837,0
"2017-05-22 06:05:00",349838,0
"2017-05-22 06:10:00",349839,0
"2017-05-22 06:15:00",349840,0
"2017-05-22 06:20:00",349841,0
"2017-05-22 06:25:00",349842,0
"2017-05-22 06:30:00",349843,0
"2017-05-22 06:35:00",349844,0
"2017-05-22 06:40:00",349845,0
"2017-05-22 06:45:00",349846,0
"2017-05-22 06:50:00",349847,0
"2017-05-22 06:55:00",349848,0
"2017-05-22 07:00:00",349849,0
"2017-05-22 07:05:00",349850,0
"2017-05-22 07:10:00",349851,0.1
"2017-05-22 07:15:00",349852,0
"2017-05-22 07:20:00",349853,0
"2017-05-22 07:25:00",349854,0
"2017-05-22 07:30:00",349855,0
"2017-05-22 07:35:00",349856,0
"2017-05-22 07:40:00",349857,0
"2017-05-22 07:45:00",349858,0
"2017-05-22 07:50:00",349859,0
"2017-05-22 07:55:00",349860,0
"2017-05-22 08:00:00",349861,0
"2017-05-22 08:05:00",349862,0
"2017-05-22 08:10:00",349863,0
"2017-05-22 08:15:00",349864,0
"2017-05-22 08:20:00",349865,0
"2017-05-22 08:25:00",349866,0
