"Título de trazado: JTU-01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Precipitacion, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;10/04/17 10:24:32;0.0;
2;10/04/17 11:13:50;0.1;
3;10/04/17 11:18:25;0.2;
4;10/04/17 11:27:07;0.3;
5;10/04/17 12:32:13;0.4;
6;10/04/17 12:34:29;0.5;
7;10/04/17 12:35:51;0.6;
8;10/04/17 12:37:36;0.7;
9;10/04/17 12:38:36;0.8;
10;10/04/17 12:40:02;0.9;
11;10/04/17 12:41:36;1.0;
12;10/04/17 12:43:06;1.1;
13;10/04/17 12:47:42;1.2;
14;10/04/17 12:50:15;1.3;
15;10/04/17 12:52:25;1.4;
16;10/04/17 12:54:13;1.5;
17;10/04/17 12:55:44;1.6;
18;10/04/17 12:56:24;1.7;
19;10/04/17 12:57:09;1.8;
20;10/04/17 12:58:22;1.9;
21;10/04/17 13:00:06;2.0;
22;10/04/17 13:00:48;2.1;
23;10/04/17 13:01:15;2.2;
24;10/04/17 13:01:52;2.3;
25;10/04/17 13:02:29;2.4;
26;10/04/17 13:03:32;2.5;
27;10/04/17 13:04:37;2.6;
28;10/04/17 13:06:22;2.7;
29;10/04/17 13:07:37;2.8;
30;10/04/17 13:08:50;2.9;
31;10/04/17 13:10:13;3.0;
32;10/04/17 13:13:51;3.1;
33;10/04/17 13:16:57;3.2;
34;10/04/17 13:21:03;3.3;
35;10/04/17 13:30:37;3.4;
36;10/04/17 13:39:06;3.5;
37;10/04/17 13:42:14;3.6;
38;10/04/17 13:43:27;3.7;
39;10/04/17 13:45:06;3.8;
40;10/04/17 13:47:00;3.9;
41;10/04/17 13:48:31;4.0;
42;10/04/17 13:51:34;4.1;
43;10/04/17 13:53:43;4.2;
44;10/04/17 13:57:36;4.3;
45;10/04/17 14:02:32;4.4;
46;10/04/17 14:04:20;4.5;
47;10/04/17 14:05:18;4.6;
48;10/04/17 14:07:12;4.7;
49;10/04/17 14:09:18;4.8;
50;10/04/17 14:11:47;4.9;
51;10/04/17 14:13:46;5.0;
52;10/04/17 14:15:30;5.1;
53;10/04/17 14:16:48;5.2;
54;10/04/17 14:18:00;5.3;
55;10/04/17 14:18:54;5.4;
56;10/04/17 14:20:20;5.5;
57;10/04/17 14:21:41;5.6;
58;10/04/17 14:23:53;5.7;
59;10/04/17 14:31:22;5.8;
60;10/04/17 14:35:09;5.9;
61;10/04/17 14:38:58;6.0;
62;10/04/17 22:52:59;6.1;
63;10/04/17 23:33:38;6.2;
64;10/04/17 23:39:23;6.3;
65;11/04/17 00:39:20;6.4;
66;11/04/17 00:45:23;6.5;
67;11/04/17 00:49:28;6.6;
68;11/04/17 00:54:52;6.7;
69;11/04/17 00:59:29;6.8;
70;11/04/17 01:03:12;6.9;
71;11/04/17 01:04:52;7.0;
72;11/04/17 01:06:30;7.1;
73;11/04/17 01:08:04;7.2;
74;11/04/17 01:09:53;7.3;
75;11/04/17 01:11:43;7.4;
76;11/04/17 01:13:48;7.5;
77;11/04/17 01:15:42;7.6;
78;11/04/17 01:17:41;7.7;
79;11/04/17 01:19:29;7.8;
80;11/04/17 01:21:21;7.9;
81;11/04/17 01:23:05;8.0;
