"Título de trazado: JTU-01-PT-32"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;17/01/17 10:42:31;0.0;
2;18/01/17 06:58:48;0.1;
3;18/01/17 14:44:38;0.2;
4;18/01/17 14:51:44;0.3;
5;18/01/17 15:01:22;0.4;
6;18/01/17 15:08:06;0.5;
7;18/01/17 15:09:06;0.6;
8;18/01/17 15:10:13;0.7;
9;18/01/17 15:11:08;0.8;
10;18/01/17 15:12:08;0.9;
11;18/01/17 15:14:40;1.0;
12;18/01/17 15:23:01;1.1;
13;18/01/17 15:33:33;1.2;
14;18/01/17 15:54:39;1.3;
15;18/01/17 15:58:29;1.4;
16;18/01/17 16:01:14;1.5;
17;18/01/17 16:04:44;1.6;
18;18/01/17 16:09:33;1.7;
19;18/01/17 16:14:01;1.8;
20;18/01/17 16:15:49;1.9;
21;18/01/17 16:17:55;2.0;
22;18/01/17 16:20:16;2.1;
23;18/01/17 16:21:54;2.2;
24;18/01/17 16:23:35;2.3;
25;18/01/17 16:25:21;2.4;
26;18/01/17 16:28:02;2.5;
27;18/01/17 16:30:59;2.6;
28;18/01/17 16:35:23;2.7;
29;18/01/17 16:39:32;2.8;
30;18/01/17 16:45:12;2.9;
31;18/01/17 16:53:42;3.0;
32;18/01/17 17:23:27;3.1;
33;18/01/17 17:34:09;3.2;
34;18/01/17 17:56:24;3.3;
35;18/01/17 18:05:53;3.4;
36;18/01/17 18:20:27;3.5;
37;18/01/17 18:27:03;3.6;
38;18/01/17 18:34:43;3.7;
39;18/01/17 18:40:45;3.8;
40;18/01/17 18:48:54;3.9;
41;18/01/17 19:08:06;4.0;
42;18/01/17 19:20:07;4.1;
43;18/01/17 19:29:17;4.2;
44;18/01/17 19:34:15;4.3;
45;18/01/17 19:39:13;4.4;
46;18/01/17 19:47:06;4.5;
47;18/01/17 19:55:57;4.6;
48;18/01/17 20:00:48;4.7;
49;18/01/17 20:04:43;4.8;
50;18/01/17 20:08:29;4.9;
51;18/01/17 20:11:16;5.0;
52;18/01/17 20:14:16;5.1;
53;18/01/17 20:16:28;5.2;
54;18/01/17 20:18:29;5.3;
55;18/01/17 20:20:31;5.4;
56;18/01/17 20:22:52;5.5;
57;18/01/17 20:26:34;5.6;
58;18/01/17 21:28:06;5.7;
59;19/01/17 14:43:14;5.8;
60;19/01/17 15:03:46;5.9;
61;19/01/17 15:20:18;6.0;
62;19/01/17 15:24:17;6.1;
63;19/01/17 15:27:19;6.2;
64;19/01/17 15:30:29;6.3;
65;19/01/17 15:32:36;6.4;
66;19/01/17 15:36:46;6.5;
67;19/01/17 15:40:26;6.6;
68;19/01/17 15:43:52;6.7;
69;19/01/17 15:47:17;6.8;
70;19/01/17 15:51:09;6.9;
71;19/01/17 15:54:58;7.0;
72;19/01/17 15:59:23;7.1;
73;19/01/17 16:02:00;7.2;
74;19/01/17 16:04:25;7.3;
75;19/01/17 16:12:57;7.4;
76;19/01/17 17:03:40;7.5;
77;20/01/17 06:07:45;7.6;
78;20/01/17 06:10:40;7.7;
79;20/01/17 06:14:31;7.8;
80;20/01/17 06:18:02;7.9;
81;20/01/17 06:19:20;8.0;
82;20/01/17 06:21:58;8.1;
83;20/01/17 06:23:41;8.2;
84;20/01/17 06:25:27;8.3;
85;20/01/17 06:27:08;8.4;
86;20/01/17 06:29:51;8.5;
87;20/01/17 06:31:43;8.6;
88;20/01/17 06:33:42;8.7;
89;20/01/17 06:36:44;8.8;
90;20/01/17 06:41:23;8.9;
91;20/01/17 11:23:24;9.0;
92;20/01/17 11:25:34;9.1;
93;20/01/17 11:34:23;9.2;
94;20/01/17 11:46:25;9.3;
95;20/01/17 11:50:55;9.4;
96;20/01/17 12:23:54;9.5;
97;20/01/17 12:36:36;9.6;
98;20/01/17 12:59:08;9.7;
99;20/01/17 13:05:23;9.8;
100;20/01/17 13:15:49;9.9;
101;20/01/17 13:45:20;10.0;
102;20/01/17 13:51:48;10.1;
103;20/01/17 13:54:18;10.2;
104;20/01/17 13:59:49;10.3;
105;20/01/17 14:14:08;10.4;
106;20/01/17 14:18:00;10.5;
107;20/01/17 14:19:41;10.6;
108;20/01/17 14:21:30;10.7;
109;20/01/17 14:23:05;10.8;
110;20/01/17 14:24:41;10.9;
111;20/01/17 14:26:46;11.0;
112;20/01/17 14:29:06;11.1;
113;20/01/17 14:31:37;11.2;
114;20/01/17 14:34:14;11.3;
115;20/01/17 14:36:33;11.4;
116;20/01/17 14:40:17;11.5;
117;20/01/17 14:43:47;11.6;
118;20/01/17 14:48:04;11.7;
119;20/01/17 14:50:37;11.8;
120;20/01/17 14:52:00;11.9;
121;20/01/17 14:53:08;12.0;
122;20/01/17 14:54:21;12.1;
123;20/01/17 14:55:39;12.2;
124;20/01/17 14:56:31;12.3;
125;20/01/17 14:57:40;12.4;
126;20/01/17 15:00:01;12.5;
127;20/01/17 15:02:19;12.6;
128;20/01/17 15:06:26;12.7;
129;20/01/17 15:08:36;12.8;
130;20/01/17 15:11:47;12.9;
131;20/01/17 15:15:51;13.0;
132;20/01/17 15:28:46;13.1;
133;20/01/17 16:05:31;13.2;
134;20/01/17 16:16:45;13.3;
135;20/01/17 16:21:37;13.4;
136;20/01/17 16:24:15;13.5;
137;20/01/17 16:27:00;13.6;
138;20/01/17 16:30:41;13.7;
139;20/01/17 16:33:01;13.8;
140;20/01/17 16:37:26;13.9;
141;20/01/17 16:47:03;14.0;
142;20/01/17 17:01:15;14.1;
143;20/01/17 17:05:50;14.2;
144;20/01/17 17:09:50;14.3;
145;20/01/17 17:14:35;14.4;
146;20/01/17 17:22:18;14.5;
147;20/01/17 17:42:09;14.6;
148;20/01/17 17:59:34;14.7;
149;20/01/17 18:17:09;14.8;
150;20/01/17 18:26:54;14.9;
151;20/01/17 18:34:06;15.0;
152;20/01/17 18:57:50;15.1;
153;20/01/17 19:13:13;15.2;
154;20/01/17 19:19:01;15.3;
155;20/01/17 19:24:29;15.4;
156;20/01/17 19:30:36;15.5;
157;20/01/17 19:34:51;15.6;
158;20/01/17 19:40:12;15.7;
159;20/01/17 19:44:43;15.8;
160;20/01/17 19:48:43;15.9;
161;20/01/17 19:51:51;16.0;
162;20/01/17 19:54:26;16.1;
163;20/01/17 19:56:25;16.2;
164;20/01/17 19:58:42;16.3;
165;20/01/17 20:00:57;16.4;
166;20/01/17 20:03:34;16.5;
167;20/01/17 20:05:52;16.6;
168;20/01/17 20:08:25;16.7;
169;20/01/17 20:10:37;16.8;
170;20/01/17 20:13:09;16.9;
171;20/01/17 20:15:50;17.0;
172;20/01/17 20:18:56;17.1;
173;20/01/17 20:21:45;17.2;
174;20/01/17 20:25:40;17.3;
175;20/01/17 20:29:34;17.4;
176;20/01/17 20:34:28;17.5;
177;20/01/17 20:39:56;17.6;
178;20/01/17 20:47:52;17.7;
179;20/01/17 20:54:14;17.8;
180;20/01/17 21:06:52;17.9;
181;20/01/17 21:21:54;18.0;
182;20/01/17 22:32:20;18.1;
183;20/01/17 22:40:50;18.2;
184;20/01/17 22:59:10;18.3;
185;21/01/17 00:57:15;18.4;
186;21/01/17 02:20:58;18.5;
187;21/01/17 02:36:41;18.6;
188;21/01/17 02:47:22;18.7;
189;21/01/17 03:00:38;18.8;
190;21/01/17 03:09:31;18.9;
191;21/01/17 03:16:33;19.0;
192;21/01/17 03:23:04;19.1;
193;21/01/17 03:28:23;19.2;
194;21/01/17 03:34:46;19.3;
195;21/01/17 03:38:28;19.4;
196;21/01/17 03:42:38;19.5;
197;21/01/17 03:46:40;19.6;
198;21/01/17 03:52:12;19.7;
199;21/01/17 03:56:40;19.8;
200;21/01/17 04:00:09;19.9;
201;21/01/17 04:04:05;20.0;
202;21/01/17 04:11:35;20.1;
203;21/01/17 04:18:16;20.2;
204;21/01/17 04:25:49;20.3;
205;21/01/17 04:34:01;20.4;
206;21/01/17 04:42:24;20.5;
207;21/01/17 04:48:38;20.6;
208;21/01/17 04:55:19;20.7;
