"Título de trazado: JTU_01_PP_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)";"Parado (LGR S/N: 10390583)"
1;09/09/14 08:55:30 AM;0.0;
2;09/09/14 08:58:27 AM;0.1;
3;09/09/14 08:58:35 AM;0.2;
4;09/09/14 08:58:36 AM;0.3;
5;09/09/14 08:58:39 AM;0.4;
6;09/09/14 08:58:40 AM;0.5;
7;09/09/14 08:58:41 AM;0.6;
8;09/09/14 08:58:43 AM;0.7;
9;09/09/14 08:58:47 AM;0.8;
10;09/09/14 08:58:53 AM;0.9;
11;09/09/14 08:58:54 AM;1.0;
12;09/09/14 08:58:55 AM;1.1;
13;09/09/14 08:59:20 AM;1.2;
14;09/09/14 08:59:21 AM;1.3;
15;09/09/14 08:59:26 AM;1.4;
16;09/09/14 08:59:27 AM;1.5;
17;09/09/14 08:59:28 AM;1.6;
18;09/09/14 08:59:29 AM;1.7;
19;09/09/14 08:59:33 AM;1.8;
20;09/09/14 08:59:35 AM;1.9;
21;09/09/14 08:59:49 AM;2.0;
22;09/09/14 08:59:52 AM;2.1;
23;09/09/14 03:30:28 PM;2.2;
24;10/09/14 01:18:06 AM;2.3;
25;10/09/14 01:38:39 AM;2.4;
26;10/09/14 01:52:13 AM;2.5;
27;10/09/14 04:15:54 AM;2.6;
28;11/09/14 09:32:23 PM;2.7;
29;11/09/14 10:47:46 PM;2.8;
30;11/09/14 10:54:21 PM;2.9;
31;11/09/14 11:00:32 PM;3.0;
32;11/09/14 11:09:30 PM;3.1;
33;12/09/14 12:01:01 AM;3.2;
34;12/09/14 01:42:58 AM;3.3;
35;12/09/14 01:51:07 AM;3.4;
36;12/09/14 01:54:08 AM;3.5;
37;12/09/14 01:58:23 AM;3.6;
38;12/09/14 02:02:32 AM;3.7;
39;12/09/14 02:06:50 AM;3.8;
40;12/09/14 02:10:26 AM;3.9;
41;12/09/14 02:19:44 AM;4.0;
42;12/09/14 02:29:38 AM;4.1;
43;12/09/14 02:47:35 AM;4.2;
44;12/09/14 03:03:51 AM;4.3;
45;12/09/14 03:15:37 AM;4.4;
46;12/09/14 03:23:05 AM;4.5;
47;12/09/14 03:33:47 AM;4.6;
48;12/09/14 03:41:55 AM;4.7;
49;12/09/14 03:46:50 AM;4.8;
50;12/09/14 03:51:59 AM;4.9;
51;12/09/14 03:56:50 AM;5.0;
52;12/09/14 04:02:53 AM;5.1;
53;12/09/14 04:10:54 AM;5.2;
54;12/09/14 04:20:07 AM;5.3;
55;12/09/14 04:41:21 AM;5.4;
56;12/09/14 06:30:38 AM;5.5;
57;13/09/14 12:05:12 PM;5.6;
58;13/09/14 12:09:42 PM;5.7;
59;13/09/14 12:14:01 PM;5.8;
60;13/09/14 12:17:01 PM;5.9;
61;13/09/14 12:21:49 PM;6.0;
62;13/09/14 12:29:34 PM;6.1;
63;13/09/14 12:46:44 PM;6.2;
64;13/09/14 01:29:06 PM;6.3;
65;13/09/14 01:57:05 PM;6.4;
66;13/09/14 10:03:02 PM;6.5;
67;13/09/14 11:43:15 PM;6.6;
68;14/09/14 04:05:45 AM;6.7;
69;14/09/14 04:35:19 AM;6.8;
70;14/09/14 07:04:08 AM;6.9;
71;14/09/14 08:11:53 AM;7.0;
