"Título de trazado: JTU_01_PP_11"
"N.º";"Fecha Tiempo, GMT-07:00";"Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)";"Final de archivo (LGR S/N: 10390583)"
1;08/07/14 12:56:19;0,0;
2;08/07/14 13:08:19;0,1;
3;08/07/14 13:51:19;0,2;
4;08/07/14 13:58:37;0,3;
5;08/07/14 14:10:45;0,4;
6;08/07/14 14:38:49;0,5;
7;08/07/14 14:48:59;0,6;
8;08/07/14 14:53:35;0,7;
9;08/07/14 14:57:44;0,8;
10;08/07/14 15:00:51;0,9;
11;08/07/14 15:08:19;1,0;
12;08/07/14 15:14:01;1,1;
13;08/07/14 15:23:35;1,2;
14;08/07/14 16:30:32;1,3;
15;08/07/14 21:27:01;1,4;
16;08/07/14 21:30:46;1,5;
17;08/07/14 23:00:30;1,6;
18;08/07/14 23:23:59;1,7;
19;08/07/14 23:35:02;1,8;
20;08/07/14 23:51:29;1,9;
21;09/07/14 00:11:12;2,0;
22;09/07/14 00:36:51;2,1;
23;09/07/14 00:54:48;2,2;
24;09/07/14 01:20:28;2,3;
25;09/07/14 01:46:01;2,4;
26;09/07/14 01:52:27;2,5;
27;09/07/14 03:17:39;2,6;
28;10/07/14 14:12:42;2,7;
29;10/07/14 14:18:42;2,8;
30;10/07/14 14:27:17;2,9;
31;10/07/14 14:30:48;3,0;
32;10/07/14 14:39:57;3,1;
33;10/07/14 14:48:04;3,2;
34;10/07/14 15:03:21;3,3;
35;10/07/14 15:10:43;3,4;
36;10/07/14 15:20:11;3,5;
37;10/07/14 15:22:30;3,6;
38;10/07/14 15:23:12;3,7;
39;10/07/14 15:23:42;3,8;
40;10/07/14 15:24:20;3,9;
41;10/07/14 15:27:49;4,0;
42;10/07/14 15:32:07;4,1;
43;10/07/14 15:33:13;4,2;
44;10/07/14 15:33:43;4,3;
45;10/07/14 15:35:02;4,4;
46;10/07/14 15:36:57;4,5;
47;10/07/14 15:38:39;4,6;
48;10/07/14 16:25:06;4,7;
49;10/07/14 16:50:04;4,8;
50;10/07/14 16:58:02;4,9;
51;10/07/14 17:15:06;5,0;
52;10/07/14 18:01:57;5,1;
53;10/07/14 18:49:11;5,2;
54;10/07/14 19:04:22;5,3;
55;10/07/14 19:14:46;5,4;
56;10/07/14 19:35:23;5,5;
57;10/07/14 19:59:32;5,6;
58;10/07/14 20:02:05;5,7;
59;10/07/14 20:08:01;5,8;
60;10/07/14 20:18:22;5,9;
61;10/07/14 20:27:17;6,0;
62;10/07/14 20:36:30;6,1;
63;10/07/14 20:50:29;6,2;
64;10/07/14 21:13:27;6,3;
65;10/07/14 21:17:17;6,4;
66;10/07/14 21:20:12;6,5;
67;10/07/14 21:26:57;6,6;
68;10/07/14 21:33:48;6,7;
69;10/07/14 21:40:18;6,8;
70;10/07/14 21:47:13;6,9;
71;10/07/14 21:54:44;7,0;
72;10/07/14 22:02:35;7,1;
73;10/07/14 22:11:25;7,2;
74;10/07/14 22:24:01;7,3;
75;10/07/14 22:42:05;7,4;
76;10/07/14 22:57:29;7,5;
77;10/07/14 23:07:20;7,6;
78;10/07/14 23:15:34;7,7;
79;10/07/14 23:20:58;7,8;
80;10/07/14 23:30:13;7,9;
81;10/07/14 23:38:07;8,0;
82;10/07/14 23:45:04;8,1;
83;11/07/14 00:06:49;8,2;
84;11/07/14 00:15:05;8,3;
85;11/07/14 00:23:52;8,4;
86;11/07/14 00:31:49;8,5;
87;11/07/14 00:37:55;8,6;
88;11/07/14 00:43:32;8,7;
89;11/07/14 01:21:20;8,8;
90;11/07/14 01:37:02;8,9;
91;11/07/14 01:39:57;9,0;
92;11/07/14 01:43:25;9,1;
93;11/07/14 01:46:00;9,2;
94;11/07/14 01:47:34;9,3;
95;11/07/14 01:49:41;9,4;
96;11/07/14 01:53:40;9,5;
97;11/07/14 01:58:16;9,6;
98;11/07/14 02:08:14;9,7;
99;11/07/14 02:13:45;9,8;
100;11/07/14 02:16:47;9,9;
101;11/07/14 02:23:48;10,0;
102;11/07/14 02:29:52;10,1;
103;11/07/14 02:33:34;10,2;
104;11/07/14 02:35:34;10,3;
105;11/07/14 02:39:18;10,4;
106;11/07/14 02:43:25;10,5;
107;11/07/14 02:46:26;10,6;
108;11/07/14 02:50:03;10,7;
109;11/07/14 02:52:14;10,8;
110;11/07/14 02:55:19;10,9;
111;11/07/14 03:00:13;11,0;
112;11/07/14 03:03:34;11,1;
113;11/07/14 03:10:24;11,2;
114;11/07/14 03:23:05;11,3;
115;11/07/14 04:17:38;11,4;
116;11/07/14 04:49:21;11,5;
117;11/07/14 05:21:03;11,6;
118;11/07/14 05:47:13;11,7;
119;11/07/14 05:49:50;11,8;
120;11/07/14 05:56:10;11,9;
121;11/07/14 06:00:48;12,0;
122;11/07/14 06:24:25;12,1;
123;11/07/14 09:17:42;12,2;
124;11/07/14 09:21:23;12,3;
125;11/07/14 09:27:41;12,4;
126;11/07/14 09:40:39;12,5;
127;11/07/14 09:52:25;12,6;
128;11/07/14 09:58:14;12,7;
129;11/07/14 10:04:47;12,8;
130;11/07/14 10:17:50;12,9;
131;11/07/14 10:42:49;13,0;
132;11/07/14 11:00:08;13,1;
133;11/07/14 17:59:25;13,2;
134;11/07/14 18:06:24;13,3;
135;11/07/14 18:11:14;13,4;
136;11/07/14 18:15:30;13,5;
137;11/07/14 18:30:55;13,6;
138;11/07/14 18:51:41;13,7;
139;11/07/14 19:56:46;13,8;
140;11/07/14 21:54:13;13,9;
141;11/07/14 21:59:09;14,0;
142;11/07/14 22:54:36;14,1;
143;11/07/14 23:07:00;14,2;
144;12/07/14 00:14:00;14,3;
145;12/07/14 01:43:45;14,4;
146;12/07/14 02:05:50;14,5;
147;12/07/14 02:12:55;14,6;
148;12/07/14 03:44:20;14,7;
149;12/07/14 10:47:16;14,8;
150;12/07/14 11:23:53;14,9;
151;12/07/14 15:26:55;15,0;
152;12/07/14 15:29:59;15,1;
153;12/07/14 15:32:25;15,2;
154;12/07/14 15:35:48;15,3;
155;12/07/14 15:38:56;15,4;
156;12/07/14 17:15:01;15,5;
157;12/07/14 17:20:58;15,6;
158;12/07/14 18:58:18;15,7;
159;12/07/14 19:37:17;15,8;
160;12/07/14 19:50:33;15,9;
161;12/07/14 19:57:57;16,0;
162;12/07/14 20:03:22;16,1;
163;12/07/14 20:13:54;16,2;
164;12/07/14 20:17:46;16,3;
165;12/07/14 20:23:59;16,4;
166;12/07/14 20:32:54;16,5;
167;12/07/14 20:58:30;16,6;
168;12/07/14 21:28:18;16,7;
169;12/07/14 21:35:51;16,8;
170;12/07/14 21:50:04;16,9;
171;12/07/14 21:57:18;17,0;
172;12/07/14 22:02:51;17,1;
173;12/07/14 22:15:44;17,2;
174;12/07/14 22:37:05;17,3;
175;12/07/14 23:10:54;17,4;
176;12/07/14 23:35:44;17,5;
177;13/07/14 00:02:32;17,6;
178;13/07/14 01:33:19;17,7;
179;13/07/14 03:40:11;17,8;
180;13/07/14 04:10:17;17,9;
181;13/07/14 05:12:31;18,0;
182;13/07/14 05:45:59;18,1;
183;13/07/14 20:06:41;18,2;
184;13/07/14 20:49:44;18,3;
185;13/07/14 22:28:17;18,4;
186;13/07/14 22:29:06;18,5;
187;13/07/14 22:29:25;18,6;
188;13/07/14 22:33:52;18,7;
189;13/07/14 22:52:04;18,8;
190;13/07/14 23:26:20;18,9;
191;13/07/14 23:32:04;19,0;
192;13/07/14 23:42:01;19,1;
193;13/07/14 23:50:52;19,2;
194;13/07/14 23:56:26;19,3;
195;14/07/14 00:03:18;19,4;
196;14/07/14 00:12:16;19,5;
197;14/07/14 00:48:56;19,6;
198;14/07/14 01:12:48;19,7;
199;14/07/14 02:05:24;19,8;
200;14/07/14 04:56:36;19,9;
201;14/07/14 05:38:33;20,0;
202;14/07/14 06:09:06;20,1;
203;14/07/14 06:33:38;20,2;
204;14/07/14 06:46:05;20,3;
205;14/07/14 07:09:07;20,4;
206;14/07/14 07:38:10;20,5;
207;14/07/14 08:01:06;20,6;
208;14/07/14 08:30:56;20,7;
209;14/07/14 08:51:37;20,8;
210;14/07/14 08:55:14;20,9;
211;14/07/14 08:59:29;21,0;
212;14/07/14 09:34:49;21,1;
213;14/07/14 09:44:03;21,2;
214;14/07/14 09:54:27;21,3;
215;14/07/14 10:05:40;21,4;
216;14/07/14 10:12:53;21,5;
217;14/07/14 10:19:45;21,6;
218;14/07/14 10:29:46;21,7;
