"Plot Title: JTU_01_PP_11"
"#","Date Time, GMT-05:00","Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)","End Of File (LGR S/N: 10390583)"
1,11/19/13 11:49:04 AM,0.0,
2,11/23/13 12:55:59 PM,0.1,
3,11/23/13 01:09:29 PM,0.2,
4,11/23/13 01:15:13 PM,0.3,
5,11/23/13 01:22:22 PM,0.4,
6,11/23/13 01:31:47 PM,0.5,
7,11/23/13 01:32:57 PM,0.6,
8,11/23/13 01:34:01 PM,0.7,
9,11/23/13 01:34:46 PM,0.8,
10,11/23/13 01:36:01 PM,0.9,
11,11/23/13 01:38:19 PM,1.0,
12,11/23/13 01:42:53 PM,1.1,
13,11/23/13 01:49:12 PM,1.2,
14,11/23/13 01:51:09 PM,1.3,
15,11/23/13 01:51:43 PM,1.4,
16,11/23/13 01:52:18 PM,1.5,
17,11/23/13 01:53:08 PM,1.6,
18,11/23/13 01:55:07 PM,1.7,
19,11/23/13 01:57:36 PM,1.8,
20,11/23/13 02:01:53 PM,1.9,
21,11/23/13 02:06:41 PM,2.0,
22,11/23/13 02:11:42 PM,2.1,
23,11/23/13 02:14:30 PM,2.2,
24,11/23/13 02:18:11 PM,2.3,
25,11/23/13 02:21:51 PM,2.4,
26,11/23/13 02:25:07 PM,2.5,
27,11/23/13 02:27:04 PM,2.6,
28,11/23/13 02:29:26 PM,2.7,
29,11/23/13 02:32:21 PM,2.8,
30,11/23/13 02:37:27 PM,2.9,
31,11/23/13 02:42:42 PM,3.0,
32,11/23/13 02:48:57 PM,3.1,
33,11/23/13 02:52:59 PM,3.2,
34,11/23/13 02:56:57 PM,3.3,
35,11/23/13 03:02:23 PM,3.4,
36,11/23/13 03:05:17 PM,3.5,
37,11/23/13 03:09:24 PM,3.6,
38,11/23/13 03:13:41 PM,3.7,
39,11/23/13 03:17:39 PM,3.8,
40,11/23/13 06:52:23 PM,3.9,
41,11/24/13 01:00:40 AM,4.0,
42,11/24/13 12:51:27 PM,4.1,
43,11/24/13 12:58:30 PM,4.2,
44,11/24/13 01:14:34 PM,4.3,
45,11/24/13 03:23:24 PM,4.4,
46,11/24/13 03:28:09 PM,4.5,
47,11/24/13 03:32:38 PM,4.6,
48,11/24/13 03:47:02 PM,4.7,
49,11/24/13 03:54:00 PM,4.8,
50,11/24/13 03:55:47 PM,4.9,
51,11/24/13 03:56:59 PM,5.0,
52,11/24/13 03:58:18 PM,5.1,
53,11/24/13 03:59:48 PM,5.2,
54,11/24/13 04:02:05 PM,5.3,
55,11/24/13 04:05:10 PM,5.4,
56,11/24/13 04:09:08 PM,5.5,
57,11/24/13 04:11:25 PM,5.6,
58,11/24/13 04:13:58 PM,5.7,
59,11/24/13 04:17:27 PM,5.8,
60,11/24/13 04:22:21 PM,5.9,
61,11/24/13 04:28:08 PM,6.0,
62,11/24/13 04:38:24 PM,6.1,
63,11/25/13 12:25:15 AM,6.2,
64,11/25/13 01:11:56 AM,6.3,
65,11/25/13 09:40:45 AM,6.4,
66,11/25/13 02:57:45 PM,6.5,
67,11/25/13 03:01:48 PM,6.6,
68,11/25/13 03:08:48 PM,6.7,
69,11/25/13 03:17:04 PM,6.8,
70,11/26/13 02:39:00 PM,6.8,Logged
