"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390583, SEN S/N: 10390583)";"Final de archivo (LGR S/N: 10390583)"
1;22/05/15 12:30:53 PM;0.0;
2;22/05/15 04:41:42 PM;0.1;
3;23/05/15 02:01:20 PM;0.2;
4;23/05/15 02:01:48 PM;0.3;
5;23/05/15 02:02:09 PM;0.4;
6;23/05/15 02:02:41 PM;0.5;
7;23/05/15 02:03:08 PM;0.6;
8;23/05/15 02:03:45 PM;0.7;
9;23/05/15 02:04:30 PM;0.8;
10;23/05/15 02:05:52 PM;0.9;
11;23/05/15 02:47:00 PM;1.0;
12;23/05/15 03:45:36 PM;1.1;
13;24/05/15 02:01:12 PM;1.2;
14;24/05/15 02:12:48 PM;1.3;
15;24/05/15 02:17:37 PM;1.4;
16;25/05/15 12:05:59 PM;1.5;
17;25/05/15 12:17:04 PM;1.6;
18;25/05/15 12:34:07 PM;1.7;
19;25/05/15 12:39:44 PM;1.8;
20;25/05/15 12:47:23 PM;1.9;
21;25/05/15 12:51:26 PM;2.0;
22;25/05/15 12:55:37 PM;2.1;
23;25/05/15 12:59:19 PM;2.2;
24;25/05/15 01:05:07 PM;2.3;
25;25/05/15 01:09:24 PM;2.4;
26;25/05/15 01:16:04 PM;2.5;
27;25/05/15 01:24:39 PM;2.6;
28;25/05/15 01:31:49 PM;2.7;
29;25/05/15 01:38:03 PM;2.8;
30;25/05/15 01:43:30 PM;2.9;
31;25/05/15 01:51:55 PM;3.0;
32;25/05/15 02:00:28 PM;3.1;
33;25/05/15 02:21:34 PM;3.2;
34;25/05/15 02:31:23 PM;3.3;
35;25/05/15 02:43:26 PM;3.4;
36;25/05/15 03:04:34 PM;3.5;
37;25/05/15 03:20:14 PM;3.6;
38;25/05/15 03:36:04 PM;3.7;
39;26/05/15 10:18:36 AM;3.8;
40;26/05/15 03:00:22 PM;3.9;
41;26/05/15 03:39:58 PM;4.0;
42;27/05/15 01:33:53 PM;4.1;
43;27/05/15 02:40:00 PM;4.2;
44;27/05/15 03:26:14 PM;4.3;
45;28/05/15 05:27:51 AM;4.4;
46;28/05/15 05:36:37 AM;4.5;
