"Título de trazado: JTU_01_PP_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)";"Acoplador separado (LGR S/N: 10390583)";"Acoplador adjunto (LGR S/N: 10390583)";"Host conectado (LGR S/N: 10390583)";"Parado (LGR S/N: 10390583)";"Final de archivo (LGR S/N: 10390583)"
1;10/02/15 10:40:11 AM;0.0;;;;;
2;10/02/15 10:41:49 AM;;Registrado;;;;
3;10/02/15 02:29:32 PM;0.1;;;;;
4;10/02/15 02:30:01 PM;0.2;;;;;
5;10/02/15 02:30:19 PM;0.3;;;;;
6;10/02/15 02:30:32 PM;0.4;;;;;
7;10/02/15 02:30:42 PM;0.5;;;;;
8;10/02/15 02:30:51 PM;0.6;;;;;
9;10/02/15 02:30:57 PM;0.7;;;;;
10;10/02/15 02:31:05 PM;0.8;;;;;
11;10/02/15 02:31:13 PM;0.9;;;;;
12;10/02/15 02:31:22 PM;1.0;;;;;
13;10/02/15 02:31:31 PM;1.1;;;;;
14;10/02/15 02:31:43 PM;1.2;;;;;
15;10/02/15 02:31:54 PM;1.3;;;;;
16;10/02/15 02:32:06 PM;1.4;;;;;
17;10/02/15 02:32:18 PM;1.5;;;;;
18;10/02/15 02:32:30 PM;1.6;;;;;
19;10/02/15 02:32:38 PM;1.7;;;;;
20;10/02/15 02:32:47 PM;1.8;;;;;
21;10/02/15 02:32:55 PM;1.9;;;;;
22;10/02/15 02:33:07 PM;2.0;;;;;
23;10/02/15 02:33:33 PM;2.1;;;;;
24;10/02/15 02:34:21 PM;2.2;;;;;
25;10/02/15 02:34:45 PM;2.3;;;;;
26;10/02/15 02:35:14 PM;2.4;;;;;
27;10/02/15 02:35:46 PM;2.5;;;;;
28;10/02/15 02:36:42 PM;2.6;;;;;
29;10/02/15 02:38:56 PM;2.7;;;;;
30;10/02/15 02:42:04 PM;2.8;;;;;
31;10/02/15 02:43:45 PM;2.9;;;;;
32;10/02/15 02:44:29 PM;3.0;;;;;
33;10/02/15 02:45:03 PM;3.1;;;;;
34;10/02/15 02:45:40 PM;3.2;;;;;
35;10/02/15 02:46:11 PM;3.3;;;;;
36;10/02/15 02:46:45 PM;3.4;;;;;
37;10/02/15 02:47:12 PM;3.5;;;;;
38;10/02/15 02:47:52 PM;3.6;;;;;
39;10/02/15 02:48:26 PM;3.7;;;;;
40;10/02/15 02:49:16 PM;3.8;;;;;
41;10/02/15 02:50:00 PM;3.9;;;;;
42;10/02/15 02:51:23 PM;4.0;;;;;
43;10/02/15 02:53:36 PM;4.1;;;;;
44;10/02/15 02:57:01 PM;4.2;;;;;
45;10/02/15 03:00:51 PM;4.3;;;;;
46;10/02/15 03:06:32 PM;4.4;;;;;
47;10/02/15 03:20:30 PM;4.5;;;;;
48;10/02/15 07:24:29 PM;4.6;;;;;
49;10/02/15 07:27:08 PM;4.7;;;;;
50;10/02/15 07:29:54 PM;4.8;;;;;
51;10/02/15 07:46:42 PM;4.9;;;;;
52;14/02/15 02:34:47 PM;5.0;;;;;
53;14/02/15 02:36:59 PM;5.1;;;;;
54;14/02/15 02:39:12 PM;5.2;;;;;
55;14/02/15 02:41:34 PM;5.3;;;;;
56;14/02/15 02:44:50 PM;5.4;;;;;
57;14/02/15 02:52:59 PM;5.5;;;;;
58;14/02/15 03:09:05 PM;5.6;;;;;
59;14/02/15 03:15:41 PM;5.7;;;;;
60;14/02/15 03:16:27 PM;5.8;;;;;
61;14/02/15 03:17:16 PM;5.9;;;;;
62;14/02/15 03:18:57 PM;6.0;;;;;
63;15/02/15 01:14:57 PM;6.1;;;;;
64;15/02/15 01:17:36 PM;6.2;;;;;
65;15/02/15 01:18:41 PM;6.3;;;;;
66;15/02/15 01:20:47 PM;6.4;;;;;
67;15/02/15 01:21:41 PM;6.5;;;;;
68;16/02/15 01:15:26 AM;6.6;;;;;
69;16/02/15 01:19:35 AM;6.7;;;;;
70;16/02/15 01:30:27 AM;6.8;;;;;
71;16/02/15 01:39:48 AM;6.9;;;;;
72;19/02/15 07:24:00 PM;7.0;;;;;
73;19/02/15 07:26:39 PM;7.1;;;;;
74;19/02/15 07:30:18 PM;7.2;;;;;
75;19/02/15 09:44:17 PM;7.3;;;;;
76;19/02/15 10:01:19 PM;7.4;;;;;
77;19/02/15 11:29:22 PM;7.5;;;;;
78;20/02/15 04:57:37 AM;7.6;;;;;
79;20/02/15 05:36:57 AM;7.7;;;;;
80;23/02/15 02:02:07 PM;7.8;;;;;
81;23/02/15 02:03:11 PM;7.9;;;;;
82;23/02/15 02:04:30 PM;8.0;;;;;
83;23/02/15 02:06:08 PM;8.1;;;;;
84;23/02/15 02:09:11 PM;8.2;;;;;
85;23/02/15 02:12:08 PM;8.3;;;;;
86;23/02/15 02:16:43 PM;8.4;;;;;
87;23/02/15 02:17:37 PM;8.5;;;;;
88;23/02/15 02:18:39 PM;8.6;;;;;
89;23/02/15 02:19:25 PM;8.7;;;;;
90;23/02/15 02:20:15 PM;8.8;;;;;
91;23/02/15 02:21:28 PM;8.9;;;;;
92;23/02/15 02:46:55 PM;9.0;;;;;
93;23/02/15 02:47:52 PM;9.1;;;;;
94;23/02/15 02:48:46 PM;9.2;;;;;
95;23/02/15 02:49:20 PM;9.3;;;;;
96;23/02/15 02:50:07 PM;9.4;;;;;
97;23/02/15 02:51:04 PM;9.5;;;;;
98;23/02/15 02:52:07 PM;9.6;;;;;
99;23/02/15 02:53:20 PM;9.7;;;;;
100;24/02/15 03:22:22 PM;9.8;;;;;
101;24/02/15 03:25:01 PM;9.9;;;;;
102;24/02/15 03:26:16 PM;10.0;;;;;
