"Título de trazado: JTU_01_PP_11"
"N.º","Fecha Tiempo, GMT-08:00","Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)","Final de archivo (LGR S/N: 10390583)"
1,16/01/14 16:35:00,0.0,
2,20/01/14 12:40:58,0.1,
3,20/01/14 12:44:04,0.2,
4,20/01/14 12:50:27,0.3,
5,20/01/14 12:52:23,0.4,
6,20/01/14 12:53:57,0.5,
7,20/01/14 12:56:00,0.6,
8,20/01/14 12:57:51,0.7,
9,20/01/14 12:59:24,0.8,
10,20/01/14 13:01:13,0.9,
11,20/01/14 13:02:48,1.0,
12,20/01/14 13:03:17,1.1,
13,20/01/14 13:03:53,1.2,
14,20/01/14 13:04:31,1.3,
15,20/01/14 13:05:10,1.4,
16,20/01/14 13:05:43,1.5,
17,20/01/14 13:06:00,1.6,
18,20/01/14 13:06:35,1.7,
19,20/01/14 13:07:13,1.8,
20,20/01/14 13:07:46,1.9,
21,20/01/14 13:08:19,2.0,
22,20/01/14 13:08:48,2.1,
23,20/01/14 13:09:17,2.2,
24,20/01/14 13:09:56,2.3,
25,20/01/14 13:10:37,2.4,
26,20/01/14 13:11:47,2.5,
27,20/01/14 13:12:48,2.6,
28,20/01/14 13:14:18,2.7,
29,20/01/14 13:15:45,2.8,
30,20/01/14 13:17:02,2.9,
31,20/01/14 13:18:39,3.0,
32,20/01/14 13:24:10,3.1,
33,20/01/14 13:27:30,3.2,
34,20/01/14 13:29:53,3.3,
35,20/01/14 13:33:13,3.4,
36,20/01/14 13:50:29,3.5,
37,20/01/14 13:57:47,3.6,
38,24/01/14 08:44:25,3.7,
39,25/01/14 15:33:14,3.8,
40,25/01/14 15:35:33,3.9,
41,25/01/14 15:36:50,4.0,
42,25/01/14 15:39:15,4.1,
43,25/01/14 15:54:28,4.2,
44,25/01/14 16:30:25,4.3,
45,25/01/14 16:31:01,4.4,
46,25/01/14 16:31:54,4.5,
47,25/01/14 16:32:42,4.6,
48,25/01/14 16:33:55,4.7,
49,25/01/14 16:34:51,4.8,
50,26/01/14 01:47:47,4.9,
51,27/01/14 04:04:41,5.0,
52,27/01/14 04:13:46,5.1,
53,27/01/14 04:28:17,5.2,
54,27/01/14 04:53:16,5.3,
55,27/01/14 06:49:15,5.4,
56,27/01/14 06:54:32,5.5,
57,27/01/14 06:56:40,5.6,
58,27/01/14 06:58:40,5.7,
59,27/01/14 07:01:24,5.8,
60,27/01/14 07:10:20,5.9,
61,27/01/14 07:30:21,6.0,
62,29/01/14 01:13:43,6.1,
63,29/01/14 01:15:36,6.2,
64,29/01/14 01:18:22,6.3,
65,29/01/14 01:21:21,6.4,
66,29/01/14 01:25:31,6.5,
67,29/01/14 01:36:06,6.6,
68,29/01/14 02:47:24,6.7,
69,29/01/14 03:07:23,6.8,
70,29/01/14 04:18:41,6.9,
71,29/01/14 04:31:23,7.0,
72,29/01/14 15:26:55,7.1,
73,29/01/14 15:51:26,7.2,
74,29/01/14 16:00:36,7.3,
75,29/01/14 16:02:05,7.4,
76,29/01/14 16:03:57,7.5,
77,29/01/14 16:04:56,7.6,
78,29/01/14 16:05:44,7.7,
79,29/01/14 16:08:02,7.8,
80,29/01/14 16:09:23,7.9,
81,29/01/14 16:10:22,8.0,
82,29/01/14 16:10:58,8.1,
83,29/01/14 16:11:36,8.2,
84,29/01/14 16:12:20,8.3,
85,29/01/14 16:12:53,8.4,
86,29/01/14 16:13:21,8.5,
87,29/01/14 16:13:54,8.6,
88,29/01/14 16:14:31,8.7,
89,29/01/14 16:15:03,8.8,
90,29/01/14 16:15:32,8.9,
91,29/01/14 16:16:23,9.0,
92,29/01/14 16:17:44,9.1,
93,29/01/14 16:19:03,9.2,
94,29/01/14 16:20:00,9.3,
95,29/01/14 16:20:39,9.4,
96,29/01/14 16:21:29,9.5,
97,29/01/14 16:22:22,9.6,
98,29/01/14 16:23:34,9.7,
99,29/01/14 16:24:49,9.8,
100,29/01/14 16:25:49,9.9,
101,29/01/14 16:26:52,10.0,
102,29/01/14 16:29:22,10.1,
103,29/01/14 16:33:12,10.2,
104,29/01/14 16:38:53,10.3,
105,29/01/14 16:46:09,10.4,
106,29/01/14 16:54:03,10.5,
107,29/01/14 16:58:23,10.6,
108,29/01/14 17:05:02,10.7,
109,29/01/14 17:40:06,10.8,
110,29/01/14 17:47:25,10.9,
111,29/01/14 17:52:01,11.0,
112,29/01/14 17:54:53,11.1,
113,29/01/14 17:58:21,11.2,
114,29/01/14 18:01:57,11.3,
115,29/01/14 18:04:26,11.4,
116,29/01/14 18:06:34,11.5,
117,29/01/14 18:08:51,11.6,
118,29/01/14 18:11:06,11.7,
119,29/01/14 18:13:52,11.8,
120,29/01/14 18:18:22,11.9,
121,29/01/14 18:23:40,12.0,
122,29/01/14 18:31:12,12.1,
123,29/01/14 18:43:15,12.2,
124,29/01/14 18:56:22,12.3,
125,29/01/14 19:01:15,12.4,
126,29/01/14 19:05:32,12.5,
127,29/01/14 19:07:54,12.6,
128,29/01/14 19:10:49,12.7,
129,29/01/14 19:20:41,12.8,
130,29/01/14 19:24:52,12.9,
131,29/01/14 19:26:49,13.0,
132,29/01/14 19:29:14,13.1,
133,29/01/14 19:31:12,13.2,
134,29/01/14 19:33:57,13.3,
135,29/01/14 19:37:27,13.4,
136,29/01/14 19:44:13,13.5,
137,29/01/14 19:52:09,13.6,
138,29/01/14 19:55:59,13.7,
139,29/01/14 19:58:05,13.8,
140,29/01/14 20:00:11,13.9,
141,29/01/14 20:08:22,14.0,
142,30/01/14 01:08:02,14.1,
143,30/01/14 01:19:51,14.2,
144,30/01/14 01:27:56,14.3,
145,30/01/14 01:40:54,14.4,
146,30/01/14 01:43:21,14.5,
147,30/01/14 01:45:00,14.6,
148,30/01/14 01:47:06,14.7,
149,30/01/14 01:49:30,14.8,
150,30/01/14 01:55:55,14.9,
151,30/01/14 02:07:39,15.0,
152,30/01/14 02:30:09,15.1,
153,02/02/14 17:33:16,15.2,
154,04/02/14 14:33:35,15.3,
155,04/02/14 14:37:17,15.4,
156,04/02/14 14:47:29,15.5,
157,04/02/14 14:51:34,15.6,
158,04/02/14 14:53:24,15.7,
159,04/02/14 15:11:19,15.8,
160,05/02/14 06:56:46,15.9,
161,11/02/14 19:44:09,16.0,
162,13/02/14 07:21:40,16.1,
163,14/02/14 13:04:16,16.1,Registrado
