"Título de trazado: JTU_01_PT_11"
"N.º","Fecha Tiempo, GMT-05:00","Ext. Line Event, mm (LGR S/N: 2412760, SEN S/N: 2412760)","Final de archivo (LGR S/N: 2412760)"
1,09/12/15 11:55:46,0.0,
2,14/12/15 14:08:03,0.1,
3,14/12/15 14:09:33,0.2,
4,14/12/15 14:11:09,0.3,
5,14/12/15 14:14:55,0.4,
6,14/12/15 14:18:40,0.5,
7,14/12/15 14:24:03,0.6,
8,14/12/15 14:26:49,0.7,
9,14/12/15 14:29:43,0.8,
10,14/12/15 14:33:27,0.9,
11,14/12/15 14:35:41,1.0,
12,14/12/15 14:38:16,1.1,
13,14/12/15 14:41:13,1.2,
14,14/12/15 14:45:24,1.3,
15,14/12/15 14:48:57,1.4,
16,14/12/15 14:51:31,1.5,
17,14/12/15 14:56:02,1.6,
18,14/12/15 14:59:33,1.7,
19,14/12/15 15:02:16,1.8,
20,14/12/15 15:04:43,1.9,
21,14/12/15 15:06:34,2.0,
22,14/12/15 15:07:58,2.1,
23,15/12/15 07:25:25,2.2,
24,15/12/15 07:54:13,2.3,
25,15/12/15 08:14:33,2.4,
26,15/12/15 08:19:06,2.5,
27,15/12/15 08:21:54,2.6,
28,15/12/15 08:24:33,2.7,
29,15/12/15 08:30:30,2.8,
30,15/12/15 08:39:15,2.9,
31,15/12/15 08:46:21,3.0,
32,15/12/15 08:51:34,3.1,
33,15/12/15 08:58:56,3.2,
34,15/12/15 09:02:55,3.3,
35,15/12/15 09:06:59,3.4,
36,15/12/15 09:10:09,3.5,
37,15/12/15 09:13:12,3.6,
38,15/12/15 09:16:28,3.7,
39,15/12/15 09:19:41,3.8,
40,15/12/15 09:22:08,3.9,
41,15/12/15 09:24:49,4.0,
42,15/12/15 09:26:39,4.1,
43,15/12/15 09:29:03,4.2,
44,15/12/15 09:30:34,4.3,
45,15/12/15 09:32:16,4.4,
46,15/12/15 09:33:58,4.5,
47,15/12/15 09:35:39,4.6,
48,15/12/15 09:37:20,4.7,
49,15/12/15 09:39:24,4.8,
50,15/12/15 09:41:57,4.9,
51,15/12/15 09:46:26,5.0,
52,15/12/15 09:50:42,5.1,
53,15/12/15 09:56:57,5.2,
54,15/12/15 10:01:48,5.3,
55,15/12/15 10:04:14,5.4,
56,15/12/15 10:06:24,5.5,
57,15/12/15 10:11:09,5.6,
58,15/12/15 10:14:30,5.7,
59,15/12/15 10:18:46,5.8,
60,15/12/15 10:23:41,5.9,
61,15/12/15 10:27:26,6.0,
62,15/12/15 10:30:57,6.1,
63,15/12/15 10:34:07,6.2,
64,15/12/15 10:36:10,6.3,
65,15/12/15 10:38:27,6.4,
66,15/12/15 10:40:42,6.5,
67,15/12/15 10:43:15,6.6,
68,15/12/15 10:45:37,6.7,
69,15/12/15 10:49:20,6.8,
70,15/12/15 10:52:32,6.9,
71,15/12/15 10:55:23,7.0,
72,15/12/15 10:57:03,7.1,
73,15/12/15 10:58:30,7.2,
74,15/12/15 11:00:02,7.3,
75,15/12/15 11:02:19,7.4,
76,15/12/15 11:04:36,7.5,
77,15/12/15 11:07:50,7.6,
78,15/12/15 11:10:29,7.7,
79,15/12/15 11:15:28,7.8,
80,15/12/15 11:24:38,7.9,
81,15/12/15 11:31:43,8.0,
82,18/12/15 11:48:13,8.1,
83,18/12/15 11:55:37,8.2,
84,19/12/15 00:25:30,8.3,
85,19/12/15 02:45:56,8.4,
86,19/12/15 03:16:44,8.5,
87,19/12/15 05:46:19,8.6,
88,26/12/15 04:08:47,8.7,
89,26/12/15 04:56:52,8.8,
90,26/12/15 07:30:47,8.9,
91,26/12/15 07:46:38,9.0,
92,26/12/15 07:57:48,9.1,
93,26/12/15 08:12:54,9.2,
94,26/12/15 09:09:26,9.3,
95,26/12/15 09:14:51,9.4,
96,26/12/15 09:21:32,9.5,
97,26/12/15 09:28:00,9.6,
98,26/12/15 09:32:00,9.7,
99,26/12/15 09:50:45,9.8,
100,26/12/15 10:06:02,9.9,
101,02/01/16 16:01:07,10.0,
102,03/01/16 06:54:59,10.1,
103,03/01/16 15:27:45,10.2,
104,03/01/16 15:30:02,10.3,
105,03/01/16 19:28:23,10.4,
106,03/01/16 19:31:21,10.5,
107,03/01/16 19:34:08,10.6,
108,03/01/16 22:08:52,10.7,
109,04/01/16 16:55:39,10.8,
110,04/01/16 17:06:51,10.9,
111,05/01/16 13:42:05,11.0,
112,05/01/16 13:42:42,11.1,
113,05/01/16 13:43:04,11.2,
114,05/01/16 13:43:21,11.3,
115,05/01/16 13:43:40,11.4,
116,05/01/16 13:43:55,11.5,
117,05/01/16 13:44:13,11.6,
118,05/01/16 13:44:27,11.7,
119,05/01/16 13:44:38,11.8,
120,05/01/16 13:44:49,11.9,
121,05/01/16 13:45:01,12.0,
122,05/01/16 13:45:12,12.1,
123,05/01/16 13:45:23,12.2,
124,05/01/16 13:45:37,12.3,
125,05/01/16 13:45:51,12.4,
126,05/01/16 13:46:03,12.5,
127,05/01/16 13:46:14,12.6,
128,05/01/16 13:46:25,12.7,
129,05/01/16 13:46:36,12.8,
130,05/01/16 13:46:48,12.9,
131,05/01/16 13:47:00,13.0,
132,05/01/16 13:47:10,13.1,
133,05/01/16 13:47:24,13.2,
134,05/01/16 13:47:36,13.3,
135,05/01/16 13:47:50,13.4,
136,05/01/16 13:48:04,13.5,
137,05/01/16 13:48:18,13.6,
138,05/01/16 13:48:30,13.7,
139,05/01/16 13:48:44,13.8,
140,05/01/16 13:48:58,13.9,
