"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 2412760, SEN S/N: 2412760)";"Final de archivo (LGR S/N: 2412760)"
1;11/05/16 15:56:13;0,0;
2;11/05/16 16:41:31;0,1;
3;11/05/16 16:48:46;0,2;
4;11/05/16 16:53:24;0,3;
5;11/05/16 16:56:09;0,4;
6;11/05/16 16:57:15;0,5;
7;11/05/16 16:58:21;0,6;
8;11/05/16 16:59:03;0,7;
9;11/05/16 16:59:53;0,8;
10;11/05/16 17:00:52;0,9;
11;11/05/16 17:03:16;1,0;
12;11/05/16 17:13:35;1,1;
13;11/05/16 19:13:47;1,2;
14;11/05/16 19:22:21;1,3;
15;11/05/16 20:30:11;1,4;
16;12/05/16 15:54:56;1,5;
17;12/05/16 16:02:04;1,6;
18;12/05/16 16:39:16;1,7;
19;12/05/16 17:10:38;1,8;
20;12/05/16 17:34:48;1,9;
21;12/05/16 17:39:05;2,0;
22;12/05/16 17:57:51;2,1;
23;12/05/16 18:15:44;2,2;
24;15/05/16 00:05:53;2,3;
25;15/05/16 00:05:55;2,4;
26;15/05/16 00:06:01;2,5;
27;15/05/16 00:06:28;2,6;
28;15/05/16 00:07:37;2,7;
29;15/05/16 00:17:34;2,8;
30;15/05/16 00:52:38;2,9;
31;15/05/16 01:33:08;3,0;
32;15/05/16 01:45:05;3,1;
33;15/05/16 03:38:15;3,2;
34;15/05/16 04:24:06;3,3;
35;15/05/16 04:32:07;3,4;
36;15/05/16 04:45:33;3,5;
37;15/05/16 04:50:05;3,6;
38;15/05/16 04:53:35;3,7;
39;15/05/16 05:17:00;3,8;
40;15/05/16 05:34:10;3,9;
41;15/05/16 05:48:30;4,0;
42;15/05/16 22:14:50;4,1;
43;15/05/16 23:31:28;4,2;
44;16/05/16 00:03:39;4,3;
45;16/05/16 00:22:08;4,4;
46;16/05/16 00:59:36;4,5;
47;16/05/16 01:36:16;4,6;
48;16/05/16 05:08:23;4,7;
49;16/05/16 05:36:27;4,8;
50;16/05/16 05:43:15;4,9;
51;16/05/16 05:48:22;5,0;
52;16/05/16 05:53:31;5,1;
53;16/05/16 06:03:27;5,2;
54;16/05/16 06:19:17;5,3;
55;16/05/16 12:15:50;5,4;
56;16/05/16 13:58:16;5,5;
57;16/05/16 14:23:05;5,6;
58;16/05/16 14:39:27;5,7;
59;16/05/16 15:19:47;5,8;
60;17/05/16 05:52:37;5,9;
61;17/05/16 06:23:33;6,0;
62;17/05/16 06:42:15;6,1;
63;17/05/16 07:04:59;6,2;
64;17/05/16 07:07:24;6,3;
65;17/05/16 07:15:37;6,4;
66;17/05/16 07:21:49;6,5;
67;17/05/16 07:30:00;6,6;
68;17/05/16 07:39:08;6,7;
69;17/05/16 07:49:39;6,8;
70;17/05/16 08:28:37;6,9;
71;17/05/16 08:38:57;7,0;
72;17/05/16 08:43:20;7,1;
73;17/05/16 08:46:09;7,2;
74;17/05/16 08:52:51;7,3;
75;17/05/16 08:58:54;7,4;
76;17/05/16 09:05:45;7,5;
77;17/05/16 09:09:28;7,6;
78;17/05/16 09:13:35;7,7;
79;17/05/16 09:19:37;7,8;
80;17/05/16 09:24:53;7,9;
81;17/05/16 09:28:59;8,0;
82;17/05/16 09:32:08;8,1;
83;17/05/16 09:34:34;8,2;
84;17/05/16 09:36:20;8,3;
