"Título de trazado: JTU_01_PT_11"
"N.º","Fecha Tiempo, GMT-05:00","PRECIPITACION, mm (LGR S/N: 2412761, SEN S/N: 2412761)","Final de archivo (LGR S/N: 2412761)"
1,20/10/16 09:38:20,0.0,
2,22/10/16 15:01:31,0.1,
3,22/10/16 15:09:36,0.2,
4,22/10/16 15:10:50,0.3,
5,22/10/16 15:11:48,0.4,
6,22/10/16 15:13:51,0.5,
7,22/10/16 15:14:56,0.6,
8,22/10/16 15:17:35,0.7,
9,22/10/16 15:21:08,0.8,
10,22/10/16 15:26:29,0.9,
11,22/10/16 15:30:41,1.0,
12,22/10/16 23:22:24,1.1,
13,22/10/16 23:28:01,1.2,
14,22/10/16 23:30:27,1.3,
15,23/10/16 01:06:29,1.4,
16,23/10/16 14:06:54,1.5,
17,23/10/16 16:07:48,1.6,
18,23/10/16 16:34:40,1.7,
19,23/10/16 16:57:11,1.8,
20,24/10/16 13:16:27,1.9,
21,24/10/16 13:17:07,2.0,
22,24/10/16 13:17:49,2.1,
23,24/10/16 13:18:11,2.2,
24,24/10/16 13:18:48,2.3,
25,24/10/16 13:19:17,2.4,
26,24/10/16 13:19:50,2.5,
27,24/10/16 13:20:27,2.6,
28,24/10/16 13:20:49,2.7,
29,24/10/16 13:21:08,2.8,
30,24/10/16 13:22:13,2.9,
31,24/10/16 13:22:44,3.0,
32,24/10/16 13:23:17,3.1,
33,24/10/16 13:23:40,3.2,
34,24/10/16 13:24:07,3.3,
35,24/10/16 13:24:23,3.4,
36,24/10/16 13:24:38,3.5,
37,24/10/16 13:24:53,3.6,
38,24/10/16 13:25:08,3.7,
39,24/10/16 13:25:28,3.8,
40,24/10/16 13:25:50,3.9,
41,24/10/16 13:26:08,4.0,
42,24/10/16 13:26:25,4.1,
43,24/10/16 13:26:36,4.2,
44,24/10/16 13:26:45,4.3,
45,24/10/16 13:26:55,4.4,
46,24/10/16 13:27:11,4.5,
47,24/10/16 13:27:23,4.6,
48,24/10/16 13:27:39,4.7,
49,24/10/16 13:27:55,4.8,
50,24/10/16 13:28:16,4.9,
51,24/10/16 13:28:30,5.0,
52,24/10/16 13:28:48,5.1,
53,24/10/16 13:29:06,5.2,
54,24/10/16 13:29:23,5.3,
55,24/10/16 13:29:38,5.4,
56,24/10/16 13:29:50,5.5,
57,24/10/16 13:30:02,5.6,
58,24/10/16 13:30:16,5.7,
59,24/10/16 13:30:31,5.8,
60,24/10/16 13:30:42,5.9,
61,24/10/16 13:30:54,6.0,
62,24/10/16 13:31:12,6.1,
63,24/10/16 13:31:28,6.2,
64,24/10/16 13:31:46,6.3,
65,24/10/16 13:32:33,6.4,
66,24/10/16 13:33:49,6.5,
67,24/10/16 13:34:43,6.6,
68,24/10/16 13:35:33,6.7,
69,24/10/16 13:35:55,6.8,
70,24/10/16 13:36:17,6.9,
71,24/10/16 13:36:47,7.0,
72,24/10/16 13:37:33,7.1,
73,24/10/16 13:38:54,7.2,
74,24/10/16 13:40:13,7.3,
75,24/10/16 13:42:57,7.4,
76,24/10/16 13:48:53,7.5,
77,24/10/16 13:51:18,7.6,
78,24/10/16 13:52:55,7.7,
79,24/10/16 13:54:01,7.8,
80,24/10/16 13:55:36,7.9,
81,24/10/16 13:57:08,8.0,
82,24/10/16 13:59:12,8.1,
83,24/10/16 14:01:18,8.2,
84,24/10/16 14:04:09,8.3,
85,24/10/16 14:06:37,8.4,
86,24/10/16 14:13:09,8.5,
87,24/10/16 14:39:40,8.6,
88,24/10/16 15:07:11,8.7,
89,24/10/16 15:49:16,8.8,
90,24/10/16 16:02:05,8.9,
91,24/10/16 16:06:35,9.0,
92,24/10/16 16:12:26,9.1,
93,24/10/16 16:20:58,9.2,
94,24/10/16 16:29:48,9.3,
95,24/10/16 16:34:16,9.4,
96,24/10/16 16:37:53,9.5,
97,24/10/16 16:41:05,9.6,
98,24/10/16 16:50:27,9.7,
99,25/10/16 11:53:20,9.8,
100,25/10/16 12:00:23,9.9,
101,25/10/16 12:03:56,10.0,
102,25/10/16 12:29:58,10.1,
103,25/10/16 12:30:37,10.2,
104,25/10/16 12:31:17,10.3,
105,25/10/16 12:32:11,10.4,
106,25/10/16 12:33:26,10.5,
107,25/10/16 12:36:32,10.6,
108,25/10/16 15:49:53,10.7,
109,25/10/16 15:56:01,10.8,
110,25/10/16 15:58:44,10.9,
111,25/10/16 15:59:58,11.0,
112,25/10/16 16:02:40,11.1,
113,25/10/16 16:41:29,11.2,
114,25/10/16 16:59:46,11.3,
115,25/10/16 17:01:07,11.4,
116,25/10/16 17:02:09,11.5,
117,25/10/16 17:02:30,11.6,
118,25/10/16 17:02:49,11.7,
119,25/10/16 17:03:05,11.8,
120,25/10/16 17:03:20,11.9,
121,25/10/16 17:03:38,12.0,
122,25/10/16 17:03:58,12.1,
123,25/10/16 17:04:15,12.2,
124,25/10/16 17:04:38,12.3,
125,25/10/16 17:05:09,12.4,
