"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"PRECIPITACION, mm (LGR S/N: 2412761, SEN S/N: 2412761)";"Final de archivo (LGR S/N: 2412761)"
1;13/04/17 09:18:03;0,0;
2;14/04/17 11:47:27;0,1;
3;14/04/17 12:25:32;0,2;
4;14/04/17 12:34:34;0,3;
5;14/04/17 12:40:46;0,4;
6;14/04/17 12:42:58;0,5;
7;14/04/17 12:44:52;0,6;
8;14/04/17 12:45:53;0,7;
9;14/04/17 12:46:39;0,8;
10;14/04/17 12:47:23;0,9;
11;14/04/17 12:48:11;1,0;
12;14/04/17 12:49:23;1,1;
13;14/04/17 12:50:10;1,2;
14;14/04/17 12:50:59;1,3;
15;14/04/17 12:51:46;1,4;
16;14/04/17 12:52:57;1,5;
17;14/04/17 12:53:41;1,6;
18;14/04/17 12:54:20;1,7;
19;14/04/17 12:54:55;1,8;
20;14/04/17 12:55:37;1,9;
21;14/04/17 12:56:37;2,0;
22;14/04/17 12:57:53;2,1;
23;14/04/17 12:59:38;2,2;
24;14/04/17 13:03:45;2,3;
25;14/04/17 13:07:36;2,4;
26;14/04/17 13:10:54;2,5;
27;14/04/17 13:14:53;2,6;
28;14/04/17 13:47:18;2,7;
29;14/04/17 20:16:30;2,8;
30;14/04/17 21:55:51;2,9;
31;14/04/17 22:42:14;3,0;
32;15/04/17 00:20:04;3,1;
33;15/04/17 00:35:22;3,2;
34;15/04/17 02:14:31;3,3;
35;15/04/17 02:38:57;3,4;
36;15/04/17 03:02:46;3,5;
37;15/04/17 03:10:56;3,6;
38;15/04/17 03:38:27;3,7;
39;15/04/17 04:46:08;3,8;
40;15/04/17 05:36:44;3,9;
41;15/04/17 06:19:38;4,0;
42;15/04/17 06:44:58;4,1;
43;15/04/17 06:54:01;4,2;
44;15/04/17 07:15:07;4,3;
45;15/04/17 07:24:57;4,4;
46;15/04/17 07:38:42;4,5;
47;15/04/17 07:52:42;4,6;
48;15/04/17 08:00:14;4,7;
49;15/04/17 08:17:54;4,8;
50;15/04/17 08:32:56;4,9;
51;15/04/17 08:35:34;5,0;
52;15/04/17 08:42:05;5,1;
53;15/04/17 08:53:07;5,2;
54;15/04/17 09:50:14;5,3;
55;15/04/17 10:40:12;5,4;
56;16/04/17 02:29:23;5,5;
57;16/04/17 07:33:53;5,6;
58;16/04/17 13:17:30;5,7;
59;16/04/17 14:36:01;5,8;
60;16/04/17 14:37:51;5,9;
61;16/04/17 15:09:25;6,0;
62;16/04/17 16:25:32;6,1;
63;17/04/17 02:14:21;6,2;
64;18/04/17 14:55:13;6,3;
65;18/04/17 15:04:20;6,4;
66;18/04/17 15:09:16;6,5;
67;18/04/17 15:18:38;6,6;
68;19/04/17 13:40:09;6,7;
69;19/04/17 13:41:42;6,8;
70;19/04/17 13:42:44;6,9;
71;19/04/17 13:43:39;7,0;
72;19/04/17 13:44:42;7,1;
73;19/04/17 13:46:28;7,2;
74;19/04/17 14:57:12;7,3;
75;19/04/17 15:01:09;7,4;
76;19/04/17 15:02:54;7,5;
77;19/04/17 15:04:15;7,6;
78;19/04/17 15:06:26;7,7;
79;19/04/17 15:08:04;7,8;
80;19/04/17 15:10:10;7,9;
81;19/04/17 15:12:09;8,0;
82;19/04/17 15:13:27;8,1;
83;19/04/17 15:14:32;8,2;
84;19/04/17 15:18:22;8,3;
85;19/04/17 15:23:41;8,4;
86;19/04/17 15:34:30;8,5;
87;19/04/17 17:20:35;8,6;
88;19/04/17 17:25:21;8,7;
89;19/04/17 17:28:51;8,8;
90;19/04/17 17:31:40;8,9;
91;19/04/17 17:33:50;9,0;
92;19/04/17 17:36:21;9,1;
93;19/04/17 17:39:10;9,2;
94;19/04/17 17:42:37;9,3;
95;19/04/17 17:44:47;9,4;
96;19/04/17 17:46:54;9,5;
97;19/04/17 17:49:20;9,6;
98;19/04/17 17:51:49;9,7;
99;19/04/17 17:54:47;9,8;
100;19/04/17 18:00:20;9,9;
101;19/04/17 18:04:02;10,0;
102;19/04/17 18:09:26;10,1;
103;19/04/17 18:23:26;10,2;
104;19/04/17 18:47:42;10,3;
105;19/04/17 18:51:47;10,4;
106;19/04/17 18:57:05;10,5;
107;19/04/17 19:03:17;10,6;
108;19/04/17 19:10:52;10,7;
109;19/04/17 19:13:49;10,8;
110;19/04/17 19:15:54;10,9;
111;19/04/17 19:18:42;11,0;
112;19/04/17 19:23:36;11,1;
113;19/04/17 19:28:01;11,2;
114;19/04/17 19:39:14;11,3;
115;19/04/17 19:46:41;11,4;
116;19/04/17 19:51:05;11,5;
117;19/04/17 19:58:59;11,6;
118;19/04/17 20:51:56;11,7;
119;19/04/17 20:54:57;11,8;
120;19/04/17 21:14:25;11,9;
121;19/04/17 22:01:11;12,0;
122;19/04/17 22:06:27;12,1;
123;19/04/17 22:08:35;12,2;
124;19/04/17 22:11:00;12,3;
125;19/04/17 22:12:49;12,4;
126;19/04/17 22:14:30;12,5;
127;19/04/17 22:16:26;12,6;
128;19/04/17 22:19:18;12,7;
129;19/04/17 22:21:10;12,8;
130;19/04/17 22:22:50;12,9;
131;19/04/17 22:24:10;13,0;
132;19/04/17 22:26:16;13,1;
133;19/04/17 22:28:02;13,2;
134;19/04/17 22:30:46;13,3;
135;19/04/17 22:34:04;13,4;
136;19/04/17 22:46:18;13,5;
137;19/04/17 23:03:55;13,6;
138;19/04/17 23:37:06;13,7;
139;20/04/17 03:58:26;13,8;
140;20/04/17 10:49:12;13,9;
141;20/04/17 10:53:22;14,0;
142;20/04/17 14:54:24;14,1;
143;20/04/17 14:55:51;14,2;
144;20/04/17 14:58:09;14,3;
145;20/04/17 15:03:17;14,4;
146;20/04/17 15:09:57;14,5;
147;20/04/17 15:11:27;14,6;
148;20/04/17 15:12:49;14,7;
149;20/04/17 15:13:40;14,8;
150;20/04/17 15:14:34;14,9;
151;20/04/17 15:15:19;15,0;
152;20/04/17 15:16:17;15,1;
153;20/04/17 15:16:57;15,2;
154;20/04/17 15:17:44;15,3;
155;20/04/17 15:18:21;15,4;
156;20/04/17 15:19:07;15,5;
157;20/04/17 15:20:03;15,6;
158;20/04/17 15:21:03;15,7;
159;20/04/17 15:22:21;15,8;
160;20/04/17 15:24:02;15,9;
161;20/04/17 15:25:01;16,0;
162;20/04/17 15:26:30;16,1;
163;20/04/17 15:28:16;16,2;
164;20/04/17 15:30:15;16,3;
165;20/04/17 15:31:17;16,4;
166;20/04/17 15:32:41;16,5;
167;20/04/17 15:34:16;16,6;
168;20/04/17 15:36:16;16,7;
169;20/04/17 15:37:54;16,8;
170;20/04/17 15:44:02;16,9;
171;20/04/17 15:46:50;17,0;
172;20/04/17 15:48:52;17,1;
173;20/04/17 15:50:12;17,2;
174;20/04/17 15:52:02;17,3;
175;20/04/17 15:53:31;17,4;
176;20/04/17 15:56:33;17,5;
177;20/04/17 15:57:52;17,6;
178;20/04/17 15:58:56;17,7;
179;20/04/17 15:59:56;17,8;
180;20/04/17 16:00:58;17,9;
181;20/04/17 16:01:49;18,0;
182;20/04/17 16:02:51;18,1;
183;20/04/17 16:03:45;18,2;
184;20/04/17 16:05:04;18,3;
185;20/04/17 16:06:35;18,4;
186;20/04/17 16:08:06;18,5;
187;20/04/17 16:09:20;18,6;
188;20/04/17 16:10:48;18,7;
189;20/04/17 16:12:10;18,8;
190;20/04/17 16:13:42;18,9;
191;20/04/17 16:15:04;19,0;
192;20/04/17 16:16:39;19,1;
193;20/04/17 16:18:09;19,2;
194;20/04/17 16:19:56;19,3;
195;20/04/17 16:21:22;19,4;
196;20/04/17 16:23:09;19,5;
197;20/04/17 16:24:42;19,6;
198;20/04/17 16:27:11;19,7;
199;20/04/17 16:30:42;19,8;
200;20/04/17 16:34:13;19,9;
201;20/04/17 16:37:22;20,0;
202;20/04/17 16:42:00;20,1;
203;20/04/17 16:46:55;20,2;
204;20/04/17 16:54:49;20,3;
205;20/04/17 17:05:06;20,4;
206;20/04/17 17:15:35;20,5;
207;20/04/17 17:20:57;20,6;
208;20/04/17 17:34:23;20,7;
209;20/04/17 18:20:23;20,8;
210;20/04/17 18:33:44;20,9;
211;20/04/17 19:08:24;21,0;
212;20/04/17 19:34:53;21,1;
213;20/04/17 19:42:17;21,2;
214;20/04/17 19:46:33;21,3;
215;20/04/17 19:51:01;21,4;
216;20/04/17 19:55:06;21,5;
217;20/04/17 19:58:09;21,6;
218;20/04/17 20:01:45;21,7;
219;20/04/17 20:04:32;21,8;
220;20/04/17 20:07:44;21,9;
221;20/04/17 20:10:10;22,0;
222;20/04/17 20:13:21;22,1;
223;20/04/17 20:16:04;22,2;
224;20/04/17 20:18:38;22,3;
225;20/04/17 20:20:53;22,4;
226;20/04/17 20:23:11;22,5;
227;20/04/17 20:25:18;22,6;
228;20/04/17 20:27:21;22,7;
229;20/04/17 20:29:03;22,8;
230;20/04/17 20:31:03;22,9;
231;20/04/17 20:33:22;23,0;
232;20/04/17 20:36:40;23,1;
233;20/04/17 20:39:53;23,2;
234;20/04/17 20:44:27;23,3;
235;20/04/17 20:48:32;23,4;
236;20/04/17 20:53:52;23,5;
237;20/04/17 20:59:11;23,6;
238;20/04/17 21:05:08;23,7;
239;20/04/17 21:09:49;23,8;
240;20/04/17 21:16:39;23,9;
241;20/04/17 21:22:08;24,0;
242;20/04/17 21:28:55;24,1;
243;20/04/17 21:56:24;24,2;
244;20/04/17 22:37:18;24,3;
245;21/04/17 00:49:47;24,4;
246;21/04/17 04:10:34;24,5;
247;21/04/17 04:27:36;24,6;
248;21/04/17 04:53:19;24,7;
249;21/04/17 05:21:59;24,8;
250;21/04/17 15:59:13;24,9;
251;21/04/17 16:00:24;25,0;
252;21/04/17 16:04:20;25,1;
253;21/04/17 16:14:57;25,2;
254;21/04/17 16:37:58;25,3;
255;21/04/17 16:47:03;25,4;
256;21/04/17 16:55:23;25,5;
257;22/04/17 17:45:32;25,6;
