"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"PRECIPITACION, mm (LGR S/N: 2412761, SEN S/N: 2412761)";"Final de archivo (LGR S/N: 2412761)"
1;04/07/17 13:08:19;0,0;
2;05/07/17 14:01:48;0,1;
3;06/07/17 02:12:39;0,2;
4;06/07/17 02:56:51;0,3;
5;06/07/17 03:05:43;0,4;
6;06/07/17 20:29:29;0,5;
7;06/07/17 20:52:24;0,6;
8;06/07/17 21:17:35;0,7;
9;06/07/17 21:29:13;0,8;
10;06/07/17 21:42:31;0,9;
11;06/07/17 22:01:34;1,0;
12;06/07/17 22:58:48;1,1;
13;07/07/17 00:10:47;1,2;
14;07/07/17 00:33:57;1,3;
15;07/07/17 02:02:04;1,4;
16;07/07/17 03:06:02;1,5;
17;07/07/17 03:10:40;1,6;
18;07/07/17 03:13:47;1,7;
19;07/07/17 03:16:59;1,8;
20;07/07/17 03:21:56;1,9;
21;07/07/17 03:26:46;2,0;
22;07/07/17 03:30:48;2,1;
23;07/07/17 03:37:03;2,2;
24;07/07/17 03:44:56;2,3;
25;07/07/17 03:48:44;2,4;
26;07/07/17 03:52:43;2,5;
27;07/07/17 03:57:29;2,6;
28;07/07/17 04:03:05;2,7;
29;07/07/17 04:06:41;2,8;
30;07/07/17 04:10:11;2,9;
31;07/07/17 04:12:54;3,0;
32;07/07/17 04:15:01;3,1;
33;07/07/17 04:17:51;3,2;
34;07/07/17 04:21:11;3,3;
35;07/07/17 04:24:31;3,4;
36;07/07/17 04:27:13;3,5;
37;07/07/17 04:29:50;3,6;
38;07/07/17 04:31:57;3,7;
39;07/07/17 04:33:45;3,8;
40;07/07/17 04:35:24;3,9;
41;07/07/17 04:36:50;4,0;
42;07/07/17 04:38:42;4,1;
43;07/07/17 04:40:15;4,2;
44;07/07/17 04:41:31;4,3;
45;07/07/17 04:42:59;4,4;
46;07/07/17 04:44:39;4,5;
47;07/07/17 04:47:07;4,6;
48;07/07/17 04:50:10;4,7;
49;07/07/17 04:54:23;4,8;
50;07/07/17 04:58:14;4,9;
51;07/07/17 05:01:29;5,0;
52;07/07/17 05:22:41;5,1;
53;07/07/17 05:29:30;5,2;
54;07/07/17 05:31:17;5,3;
55;07/07/17 05:33:19;5,4;
56;07/07/17 05:35:26;5,5;
57;07/07/17 05:40:22;5,6;
58;07/07/17 05:45:27;5,7;
59;07/07/17 05:46:35;5,8;
60;07/07/17 05:47:38;5,9;
61;07/07/17 05:50:10;6,0;
62;07/07/17 05:53:05;6,1;
63;07/07/17 05:57:15;6,2;
64;07/07/17 05:59:51;6,3;
65;07/07/17 06:02:17;6,4;
66;07/07/17 06:03:38;6,5;
67;07/07/17 06:05:06;6,6;
68;07/07/17 06:06:58;6,7;
69;07/07/17 06:10:02;6,8;
70;07/07/17 06:17:00;6,9;
71;07/07/17 06:19:37;7,0;
72;07/07/17 06:23:58;7,1;
73;07/07/17 06:29:02;7,2;
74;07/07/17 06:37:05;7,3;
75;07/07/17 06:48:09;7,4;
76;07/07/17 06:53:11;7,5;
77;07/07/17 06:57:07;7,6;
78;07/07/17 07:01:26;7,7;
79;07/07/17 07:09:13;7,8;
80;07/07/17 07:26:24;7,9;
81;07/07/17 08:09:46;8,0;
82;07/07/17 08:31:00;8,1;
83;07/07/17 09:17:29;8,2;
84;07/07/17 12:01:34;8,3;
85;07/07/17 12:34:46;8,4;
86;07/07/17 14:01:47;8,5;
87;07/07/17 14:24:24;8,6;
88;07/07/17 14:42:09;8,7;
89;07/07/17 23:10:12;8,8;
