"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"PRECIPITACION, mm (LGR S/N: 2412761, SEN S/N: 2412761)";"Final de archivo (LGR S/N: 2412761)"
1;23/10/17 11:20:55;0,0;
2;23/10/17 13:18:52;0,1;
3;23/10/17 13:22:13;0,2;
4;23/10/17 13:26:14;0,3;
5;23/10/17 13:29:43;0,4;
6;23/10/17 13:33:27;0,5;
7;23/10/17 14:44:47;0,6;
8;23/10/17 14:46:17;0,7;
9;23/10/17 14:48:20;0,8;
10;23/10/17 14:50:25;0,9;
11;23/10/17 14:55:05;1,0;
12;23/10/17 15:53:35;1,1;
13;24/10/17 15:55:26;1,2;
14;24/10/17 16:06:15;1,3;
15;24/10/17 16:15:09;1,4;
16;25/10/17 14:55:55;1,5;
17;25/10/17 14:58:23;1,6;
18;25/10/17 15:21:00;1,7;
19;26/10/17 16:13:01;1,8;
20;26/10/17 16:24:52;1,9;
21;27/10/17 07:07:52;2,0;
22;27/10/17 13:17:34;2,1;
23;27/10/17 13:18:39;2,2;
24;27/10/17 13:19:25;2,3;
25;27/10/17 13:20:58;2,4;
26;27/10/17 13:24:48;2,5;
27;27/10/17 13:28:19;2,6;
28;27/10/17 13:33:11;2,7;
29;27/10/17 13:34:16;2,8;
30;27/10/17 13:35:09;2,9;
31;27/10/17 13:35:47;3,0;
32;27/10/17 13:36:29;3,1;
33;27/10/17 13:37:12;3,2;
34;27/10/17 13:38:17;3,3;
35;27/10/17 15:36:06;3,4;
36;27/10/17 15:37:25;3,5;
37;27/10/17 15:39:21;3,6;
38;27/10/17 15:39:53;3,7;
39;27/10/17 15:41:33;3,8;
40;27/10/17 15:43:53;3,9;
41;27/10/17 15:44:33;4,0;
42;27/10/17 15:45:06;4,1;
43;27/10/17 15:45:58;4,2;
44;27/10/17 15:47:28;4,3;
45;27/10/17 15:49:07;4,4;
46;27/10/17 19:58:43;4,5;
47;27/10/17 20:23:49;4,6;
48;28/10/17 14:11:17;4,7;
49;28/10/17 14:15:57;4,8;
50;28/10/17 14:23:10;4,9;
51;28/10/17 14:28:56;5,0;
52;28/10/17 14:32:20;5,1;
53;28/10/17 14:33:57;5,2;
54;28/10/17 14:35:03;5,3;
55;28/10/17 14:37:35;5,4;
56;28/10/17 14:39:43;5,5;
57;28/10/17 14:49:26;5,6;
58;28/10/17 15:01:18;5,7;
59;29/10/17 18:11:43;5,8;
60;29/10/17 18:33:55;5,9;
61;29/10/17 19:09:02;6,0;
62;29/10/17 19:20:42;6,1;
63;29/10/17 19:35:44;6,2;
64;29/10/17 19:40:45;6,3;
65;29/10/17 19:46:27;6,4;
66;29/10/17 19:55:57;6,5;
67;29/10/17 20:07:12;6,6;
68;29/10/17 20:26:55;6,7;
69;29/10/17 20:46:56;6,8;
70;29/10/17 21:18:00;6,9;
71;30/10/17 14:57:18;7,0;
72;30/10/17 14:59:02;7,1;
73;30/10/17 15:00:41;7,2;
74;30/10/17 15:01:32;7,3;
75;30/10/17 15:02:42;7,4;
76;30/10/17 15:04:14;7,5;
77;30/10/17 15:07:26;7,6;
78;30/10/17 15:11:10;7,7;
79;30/10/17 15:14:15;7,8;
80;30/10/17 15:16:08;7,9;
81;30/10/17 15:17:58;8,0;
82;30/10/17 15:20:09;8,1;
83;30/10/17 15:36:52;8,2;
84;30/10/17 15:54:23;8,3;
85;30/10/17 16:09:27;8,4;
86;30/10/17 16:18:23;8,5;
87;30/10/17 16:23:41;8,6;
88;30/10/17 16:28:35;8,7;
89;30/10/17 16:42:23;8,8;
90;30/10/17 16:51:56;8,9;
91;30/10/17 17:09:11;9,0;
92;30/10/17 17:50:26;9,1;
93;31/10/17 12:04:59;9,2;
94;31/10/17 12:07:41;9,3;
95;31/10/17 12:09:34;9,4;
96;31/10/17 12:12:18;9,5;
