"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"PRECIPITACION, mm (LGR S/N: 2412761, SEN S/N: 2412761)";"Final de archivo (LGR S/N: 2412761)"
1;18/12/17 13:30:01;0,0;
2;18/12/17 13:32:47;0,1;
3;18/12/17 13:36:07;0,2;
4;18/12/17 13:37:08;0,3;
5;19/12/17 05:48:54;0,4;
6;20/12/17 10:08:41;0,5;
7;25/12/17 12:59:09;0,6;
8;25/12/17 13:05:27;0,7;
9;25/12/17 13:08:18;0,8;
10;25/12/17 13:09:41;0,9;
11;25/12/17 13:10:17;1,0;
12;25/12/17 13:10:50;1,1;
13;25/12/17 13:11:11;1,2;
14;25/12/17 13:11:27;1,3;
15;25/12/17 13:11:40;1,4;
16;25/12/17 13:11:51;1,5;
17;25/12/17 13:12:01;1,6;
18;25/12/17 13:12:13;1,7;
19;25/12/17 13:12:22;1,8;
20;25/12/17 13:12:32;1,9;
21;25/12/17 13:12:42;2,0;
22;25/12/17 13:12:56;2,1;
23;25/12/17 13:13:09;2,2;
24;25/12/17 13:13:19;2,3;
25;25/12/17 13:13:26;2,4;
26;25/12/17 13:13:35;2,5;
27;25/12/17 13:13:43;2,6;
28;25/12/17 13:13:53;2,7;
29;25/12/17 13:14:02;2,8;
30;25/12/17 13:14:13;2,9;
31;25/12/17 13:14:26;3,0;
32;25/12/17 13:14:43;3,1;
33;25/12/17 13:15:01;3,2;
34;25/12/17 13:15:22;3,3;
35;25/12/17 13:15:41;3,4;
36;25/12/17 13:16:01;3,5;
37;25/12/17 13:16:15;3,6;
38;25/12/17 13:16:33;3,7;
39;25/12/17 13:16:46;3,8;
40;25/12/17 13:16:58;3,9;
41;25/12/17 13:17:08;4,0;
42;25/12/17 13:17:20;4,1;
43;25/12/17 13:17:30;4,2;
44;25/12/17 13:17:42;4,3;
45;25/12/17 13:17:53;4,4;
46;25/12/17 13:18:05;4,5;
47;25/12/17 13:18:17;4,6;
48;25/12/17 13:18:30;4,7;
49;25/12/17 13:18:42;4,8;
50;25/12/17 13:18:56;4,9;
51;25/12/17 13:19:10;5,0;
52;25/12/17 13:19:23;5,1;
53;25/12/17 13:19:36;5,2;
54;25/12/17 13:19:49;5,3;
55;25/12/17 13:20:00;5,4;
56;25/12/17 13:20:12;5,5;
57;25/12/17 13:20:23;5,6;
58;25/12/17 13:20:34;5,7;
59;25/12/17 13:20:45;5,8;
60;25/12/17 13:20:57;5,9;
61;25/12/17 13:21:08;6,0;
62;25/12/17 13:21:22;6,1;
63;25/12/17 13:21:35;6,2;
64;25/12/17 13:21:49;6,3;
65;25/12/17 13:22:04;6,4;
66;25/12/17 13:22:22;6,5;
67;25/12/17 13:22:35;6,6;
68;25/12/17 13:22:48;6,7;
69;25/12/17 13:23:00;6,8;
70;25/12/17 13:23:13;6,9;
71;25/12/17 13:23:24;7,0;
72;25/12/17 13:23:35;7,1;
73;25/12/17 13:23:46;7,2;
74;25/12/17 13:23:58;7,3;
75;25/12/17 13:24:10;7,4;
76;25/12/17 13:24:23;7,5;
77;25/12/17 13:24:36;7,6;
78;25/12/17 13:24:51;7,7;
79;25/12/17 13:25:08;7,8;
80;25/12/17 13:25:33;7,9;
81;25/12/17 13:25:56;8,0;
82;25/12/17 13:26:21;8,1;
83;25/12/17 13:26:47;8,2;
84;25/12/17 13:27:21;8,3;
85;25/12/17 13:27:55;8,4;
86;25/12/17 13:28:28;8,5;
87;25/12/17 13:28:50;8,6;
88;25/12/17 13:29:11;8,7;
89;25/12/17 13:29:32;8,8;
90;25/12/17 13:29:52;8,9;
91;25/12/17 13:30:13;9,0;
92;25/12/17 13:30:34;9,1;
93;25/12/17 13:30:48;9,2;
