"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390583, SEN S/N: 10390583)";"Acoplador separado (LGR S/N: 10390583)";"Acoplador adjunto (LGR S/N: 10390583)";"Host conectado (LGR S/N: 10390583)";"Final de archivo (LGR S/N: 10390583)"
1;18/03/15 09:50:41 AM;0.0;;;;
2;18/03/15 09:51:04 AM;0.1;;;;
3;18/03/15 09:51:12 AM;0.2;;;;
4;18/03/15 09:51:13 AM;0.3;;;;
5;18/03/15 09:51:14 AM;0.4;;;;
6;18/03/15 09:51:15 AM;0.5;;;;
7;18/03/15 09:51:16 AM;0.6;;;;
8;18/03/15 09:52:07 AM;;Registrado;;;
9;18/03/15 09:53:02 AM;0.7;;;;
10;18/03/15 09:54:39 AM;0.8;;;;
11;18/03/15 09:57:37 AM;0.9;;;;
12;18/03/15 09:57:46 AM;1.0;;;;
13;18/03/15 09:57:59 AM;1.1;;;;
14;18/03/15 09:58:02 AM;1.2;;;;
15;18/03/15 09:58:41 AM;1.3;;;;
16;18/03/15 09:58:42 AM;1.4;;;;
17;18/03/15 09:58:43 AM;1.5;;;;
18;18/03/15 09:58:44 AM;1.6;;;;
19;18/03/15 11:40:31 AM;1.7;;;;
20;18/03/15 12:52:04 PM;1.8;;;;
21;18/03/15 12:53:22 PM;1.9;;;;
22;18/03/15 12:54:26 PM;2.0;;;;
23;18/03/15 12:58:20 PM;2.1;;;;
24;18/03/15 01:00:08 PM;2.2;;;;
25;18/03/15 01:02:18 PM;2.3;;;;
26;18/03/15 01:02:58 PM;2.4;;;;
27;18/03/15 01:03:24 PM;2.5;;;;
28;18/03/15 01:03:55 PM;2.6;;;;
29;18/03/15 01:04:13 PM;2.7;;;;
30;18/03/15 01:04:26 PM;2.8;;;;
31;18/03/15 01:04:52 PM;2.9;;;;
32;18/03/15 01:05:21 PM;3.0;;;;
33;18/03/15 01:05:46 PM;3.1;;;;
34;18/03/15 01:05:58 PM;3.2;;;;
35;18/03/15 01:06:17 PM;3.3;;;;
36;18/03/15 01:06:33 PM;3.4;;;;
37;18/03/15 01:06:48 PM;3.5;;;;
38;18/03/15 01:07:19 PM;3.6;;;;
39;18/03/15 01:08:08 PM;3.7;;;;
40;18/03/15 01:09:50 PM;3.8;;;;
41;18/03/15 01:12:46 PM;3.9;;;;
42;18/03/15 01:14:31 PM;4.0;;;;
43;18/03/15 01:15:33 PM;4.1;;;;
44;18/03/15 01:16:29 PM;4.2;;;;
45;18/03/15 01:17:53 PM;4.3;;;;
46;18/03/15 01:20:41 PM;4.4;;;;
47;18/03/15 01:28:09 PM;4.5;;;;
48;18/03/15 01:29:56 PM;4.6;;;;
49;18/03/15 01:31:04 PM;4.7;;;;
50;18/03/15 01:36:59 PM;4.8;;;;
51;18/03/15 01:42:37 PM;4.9;;;;
52;18/03/15 01:45:05 PM;5.0;;;;
53;18/03/15 01:53:54 PM;5.1;;;;
54;18/03/15 02:05:47 PM;5.2;;;;
55;18/03/15 02:22:37 PM;5.3;;;;
56;18/03/15 02:26:15 PM;5.4;;;;
57;18/03/15 02:28:15 PM;5.5;;;;
58;18/03/15 02:30:53 PM;5.6;;;;
59;18/03/15 02:33:23 PM;5.7;;;;
60;18/03/15 02:37:19 PM;5.8;;;;
61;18/03/15 02:42:48 PM;5.9;;;;
62;18/03/15 02:49:41 PM;6.0;;;;
63;18/03/15 03:04:30 PM;6.1;;;;
64;18/03/15 10:10:03 PM;6.2;;;;
65;19/03/15 01:33:41 AM;6.3;;;;
66;19/03/15 01:49:46 AM;6.4;;;;
67;19/03/15 02:00:40 AM;6.5;;;;
68;19/03/15 02:13:55 AM;6.6;;;;
69;19/03/15 03:08:17 AM;6.7;;;;
70;19/03/15 10:46:03 AM;6.8;;;;
71;19/03/15 10:47:29 AM;6.9;;;;
72;19/03/15 10:48:42 AM;7.0;;;;
73;19/03/15 10:50:20 AM;7.1;;;;
74;19/03/15 10:52:05 AM;7.2;;;;
75;19/03/15 10:53:55 AM;7.3;;;;
76;19/03/15 10:55:31 AM;7.4;;;;
77;19/03/15 10:57:14 AM;7.5;;;;
78;19/03/15 10:58:23 AM;7.6;;;;
79;19/03/15 10:59:33 AM;7.7;;;;
80;19/03/15 11:00:37 AM;7.8;;;;
81;19/03/15 11:01:47 AM;7.9;;;;
82;19/03/15 11:04:39 AM;8.0;;;;
83;19/03/15 11:09:48 AM;8.1;;;;
84;19/03/15 11:12:36 AM;8.2;;;;
85;19/03/15 11:17:00 AM;8.3;;;;
86;19/03/15 11:33:26 AM;8.4;;;;
87;19/03/15 11:42:39 AM;8.5;;;;
88;19/03/15 02:48:10 PM;8.6;;;;
89;19/03/15 07:04:33 PM;8.7;;;;
90;19/03/15 11:29:23 PM;8.8;;;;
91;19/03/15 11:44:20 PM;8.9;;;;
92;19/03/15 11:48:05 PM;9.0;;;;
93;19/03/15 11:51:38 PM;9.1;;;;
94;19/03/15 11:55:48 PM;9.2;;;;
95;20/03/15 12:00:32 AM;9.3;;;;
96;20/03/15 12:04:04 AM;9.4;;;;
97;20/03/15 12:08:13 AM;9.5;;;;
98;20/03/15 12:11:13 AM;9.6;;;;
99;20/03/15 12:14:36 AM;9.7;;;;
100;20/03/15 12:17:41 AM;9.8;;;;
101;20/03/15 12:22:10 AM;9.9;;;;
102;20/03/15 12:26:41 AM;10.0;;;;
103;20/03/15 12:31:23 AM;10.1;;;;
104;20/03/15 12:34:27 AM;10.2;;;;
105;20/03/15 12:39:29 AM;10.3;;;;
106;20/03/15 12:43:08 AM;10.4;;;;
107;20/03/15 12:50:55 AM;10.5;;;;
108;20/03/15 12:56:15 AM;10.6;;;;
109;20/03/15 01:00:22 AM;10.7;;;;
110;20/03/15 01:03:13 AM;10.8;;;;
111;20/03/15 01:06:06 AM;10.9;;;;
112;20/03/15 01:08:29 AM;11.0;;;;
113;20/03/15 01:11:23 AM;11.1;;;;
114;20/03/15 01:14:54 AM;11.2;;;;
115;20/03/15 01:17:46 AM;11.3;;;;
116;20/03/15 01:20:49 AM;11.4;;;;
117;20/03/15 01:23:13 AM;11.5;;;;
118;20/03/15 01:26:13 AM;11.6;;;;
119;20/03/15 01:28:57 AM;11.7;;;;
120;20/03/15 01:32:12 AM;11.8;;;;
121;20/03/15 01:34:18 AM;11.9;;;;
122;20/03/15 01:35:53 AM;12.0;;;;
123;20/03/15 01:37:27 AM;12.1;;;;
124;20/03/15 01:38:48 AM;12.2;;;;
125;20/03/15 01:40:34 AM;12.3;;;;
126;20/03/15 01:42:06 AM;12.4;;;;
127;20/03/15 01:43:44 AM;12.5;;;;
128;20/03/15 01:45:13 AM;12.6;;;;
129;20/03/15 01:46:39 AM;12.7;;;;
130;20/03/15 01:48:08 AM;12.8;;;;
131;20/03/15 01:50:14 AM;12.9;;;;
132;20/03/15 01:51:52 AM;13.0;;;;
133;20/03/15 01:53:39 AM;13.1;;;;
134;20/03/15 01:55:49 AM;13.2;;;;
135;20/03/15 01:58:56 AM;13.3;;;;
136;20/03/15 02:01:23 AM;13.4;;;;
137;20/03/15 02:03:04 AM;13.5;;;;
138;20/03/15 02:04:52 AM;13.6;;;;
139;20/03/15 02:06:40 AM;13.7;;;;
140;20/03/15 02:08:22 AM;13.8;;;;
141;20/03/15 02:10:25 AM;13.9;;;;
142;20/03/15 02:12:01 AM;14.0;;;;
143;20/03/15 02:13:32 AM;14.1;;;;
144;20/03/15 02:14:44 AM;14.2;;;;
145;20/03/15 02:16:14 AM;14.3;;;;
146;20/03/15 02:17:43 AM;14.4;;;;
147;20/03/15 02:19:30 AM;14.5;;;;
148;20/03/15 02:20:47 AM;14.6;;;;
149;20/03/15 02:22:06 AM;14.7;;;;
150;20/03/15 02:23:22 AM;14.8;;;;
151;20/03/15 02:24:42 AM;14.9;;;;
152;20/03/15 02:26:07 AM;15.0;;;;
153;20/03/15 02:27:36 AM;15.1;;;;
154;20/03/15 02:28:56 AM;15.2;;;;
155;20/03/15 02:30:23 AM;15.3;;;;
156;20/03/15 02:32:01 AM;15.4;;;;
157;20/03/15 02:33:50 AM;15.5;;;;
158;20/03/15 02:35:24 AM;15.6;;;;
159;20/03/15 02:37:33 AM;15.7;;;;
160;20/03/15 02:39:25 AM;15.8;;;;
161;20/03/15 02:41:12 AM;15.9;;;;
162;20/03/15 02:42:57 AM;16.0;;;;
163;20/03/15 02:44:50 AM;16.1;;;;
164;20/03/15 02:46:55 AM;16.2;;;;
165;20/03/15 02:49:51 AM;16.3;;;;
166;20/03/15 02:51:50 AM;16.4;;;;
167;20/03/15 02:54:25 AM;16.5;;;;
168;20/03/15 02:56:28 AM;16.6;;;;
169;20/03/15 02:59:09 AM;16.7;;;;
170;20/03/15 03:01:40 AM;16.8;;;;
171;20/03/15 03:05:05 AM;16.9;;;;
172;20/03/15 03:08:59 AM;17.0;;;;
173;20/03/15 03:13:52 AM;17.1;;;;
174;20/03/15 03:20:16 AM;17.2;;;;
175;20/03/15 03:32:02 AM;17.3;;;;
176;20/03/15 03:40:43 AM;17.4;;;;
177;20/03/15 03:48:59 AM;17.5;;;;
