"Título de trazado: Experiment"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;22/01/14 13:43:15;0.0;
2;25/01/14 15:28:26;0.1;
3;25/01/14 15:30:56;0.2;
4;25/01/14 15:31:25;0.3;
5;25/01/14 15:32:02;0.4;
6;25/01/14 15:32:39;0.5;
7;25/01/14 15:34:12;0.6;
8;25/01/14 16:24:35;0.7;
9;25/01/14 16:25:10;0.8;
10;25/01/14 16:25:35;0.9;
11;25/01/14 16:26:05;1.0;
12;25/01/14 16:26:35;1.1;
13;25/01/14 16:27:10;1.2;
14;25/01/14 16:27:31;1.3;
15;25/01/14 16:27:59;1.4;
16;25/01/14 16:28:24;1.5;
17;25/01/14 16:29:12;1.6;
18;25/01/14 16:30:14;1.7;
19;25/01/14 16:32:38;1.8;
20;25/01/14 16:50:49;1.9;
21;26/01/14 00:29:19;2.0;
22;27/01/14 04:35:19;2.1;
23;27/01/14 05:13:15;2.2;
24;27/01/14 06:40:52;2.3;
25;27/01/14 06:42:45;2.4;
26;27/01/14 06:44:31;2.5;
27;27/01/14 06:46:16;2.6;
28;27/01/14 06:47:58;2.7;
29;27/01/14 06:49:56;2.8;
30;27/01/14 06:52:23;2.9;
31;27/01/14 06:57:03;3.0;
32;27/01/14 07:00:14;3.1;
33;27/01/14 07:02:36;3.2;
34;27/01/14 07:05:19;3.3;
35;27/01/14 07:08:19;3.4;
36;27/01/14 07:10:31;3.5;
37;27/01/14 07:13:46;3.6;
38;27/01/14 07:19:00;3.7;
39;29/01/14 01:09:37;3.8;
40;29/01/14 01:13:16;3.9;
41;29/01/14 01:17:36;4.0;
42;29/01/14 01:21:40;4.1;
43;29/01/14 01:58:45;4.2;
44;29/01/14 02:09:39;4.3;
45;29/01/14 03:04:23;4.4;
46;29/01/14 03:52:38;4.5;
47;29/01/14 04:17:07;4.6;
48;29/01/14 05:41:02;4.7;
49;29/01/14 13:14:56;4.8;
50;29/01/14 15:14:14;4.9;
51;29/01/14 15:17:43;5.0;
52;29/01/14 15:22:23;5.1;
53;29/01/14 15:55:17;5.2;
54;29/01/14 15:56:11;5.3;
55;29/01/14 15:56:58;5.4;
56;29/01/14 15:57:29;5.5;
57;29/01/14 15:57:55;5.6;
58;29/01/14 15:58:17;5.7;
59;29/01/14 15:58:42;5.8;
60;29/01/14 15:59:16;5.9;
61;29/01/14 16:00:03;6.0;
62;29/01/14 16:00:47;6.1;
63;29/01/14 16:01:35;6.2;
64;29/01/14 16:02:04;6.3;
65;29/01/14 16:02:57;6.4;
66;29/01/14 16:03:33;6.5;
67;29/01/14 16:04:10;6.6;
68;29/01/14 16:04:42;6.7;
69;29/01/14 16:05:20;6.8;
70;29/01/14 16:05:50;6.9;
