"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;09/06/14 11:12:53;0.0;
2;10/06/14 00:52:29;0.1;
3;10/06/14 00:55:34;0.2;
4;10/06/14 01:01:10;0.3;
5;10/06/14 01:11:04;0.4;
6;10/06/14 01:16:57;0.5;
7;10/06/14 01:26:02;0.6;
8;10/06/14 01:31:13;0.7;
9;10/06/14 01:34:31;0.8;
10;10/06/14 01:37:23;0.9;
11;10/06/14 01:39:30;1.0;
12;10/06/14 01:41:31;1.1;
13;10/06/14 01:43:20;1.2;
14;10/06/14 01:46:21;1.3;
15;10/06/14 01:50:42;1.4;
16;10/06/14 01:54:42;1.5;
17;10/06/14 01:57:06;1.6;
18;10/06/14 01:59:19;1.7;
19;10/06/14 02:01:48;1.8;
20;10/06/14 02:04:00;1.9;
21;10/06/14 02:06:35;2.0;
22;10/06/14 02:09:17;2.1;
23;10/06/14 02:13:20;2.2;
24;10/06/14 02:17:30;2.3;
25;10/06/14 02:27:10;2.4;
26;10/06/14 02:56:51;2.5;
27;10/06/14 04:10:38;2.6;
28;10/06/14 04:21:19;2.7;
29;10/06/14 04:28:50;2.8;
30;10/06/14 04:38:20;2.9;
31;10/06/14 04:55:22;3.0;
32;10/06/14 05:03:46;3.1;
33;10/06/14 05:09:06;3.2;
34;10/06/14 06:08:33;3.3;
35;10/06/14 06:17:06;3.4;
36;10/06/14 06:24:01;3.5;
37;10/06/14 06:30:04;3.6;
38;10/06/14 06:35:12;3.7;
39;10/06/14 06:38:47;3.8;
40;10/06/14 06:41:51;3.9;
41;10/06/14 06:44:17;4.0;
42;10/06/14 06:46:33;4.1;
43;10/06/14 06:48:08;4.2;
44;10/06/14 06:50:02;4.3;
45;10/06/14 06:51:25;4.4;
46;10/06/14 06:52:51;4.5;
47;10/06/14 06:54:07;4.6;
48;10/06/14 06:55:39;4.7;
49;10/06/14 07:20:40;4.8;
50;10/06/14 08:29:45;4.9;
51;10/06/14 08:36:45;5.0;
52;10/06/14 08:40:14;5.1;
53;10/06/14 08:44:01;5.2;
54;10/06/14 08:50:17;5.3;
55;10/06/14 09:11:54;5.4;
56;10/06/14 09:18:21;5.5;
57;10/06/14 09:25:18;5.6;
58;10/06/14 09:37:58;5.7;
59;10/06/14 09:46:19;5.8;
60;10/06/14 09:53:22;5.9;
61;10/06/14 09:58:14;6.0;
62;10/06/14 10:09:06;6.1;
63;10/06/14 10:39:22;6.2;
64;10/06/14 16:41:41;6.3;
65;10/06/14 16:45:13;6.4;
66;10/06/14 16:51:02;6.5;
67;10/06/14 16:53:07;6.6;
68;10/06/14 16:56:35;6.7;
69;10/06/14 16:58:07;6.8;
70;10/06/14 16:59:58;6.9;
71;10/06/14 17:02:28;7.0;
72;10/06/14 17:04:27;7.1;
73;10/06/14 17:06:10;7.2;
74;10/06/14 17:07:56;7.3;
75;10/06/14 17:09:30;7.4;
76;10/06/14 17:11:17;7.5;
77;10/06/14 17:12:28;7.6;
78;10/06/14 17:13:54;7.7;
79;10/06/14 17:15:28;7.8;
80;10/06/14 17:17:30;7.9;
81;10/06/14 17:19:05;8.0;
82;10/06/14 17:20:08;8.1;
83;10/06/14 17:21:05;8.2;
84;10/06/14 17:22:06;8.3;
85;10/06/14 17:23:10;8.4;
86;10/06/14 17:24:25;8.5;
87;10/06/14 17:25:33;8.6;
88;10/06/14 17:27:06;8.7;
89;10/06/14 17:28:33;8.8;
90;10/06/14 17:30:11;8.9;
91;10/06/14 17:32:25;9.0;
92;10/06/14 17:34:41;9.1;
93;10/06/14 17:36:15;9.2;
94;10/06/14 17:37:30;9.3;
95;10/06/14 17:38:21;9.4;
96;10/06/14 17:39:17;9.5;
97;10/06/14 17:40:16;9.6;
98;10/06/14 17:41:17;9.7;
99;10/06/14 17:42:38;9.8;
100;10/06/14 17:44:14;9.9;
101;10/06/14 17:46:02;10.0;
102;10/06/14 17:49:00;10.1;
103;10/06/14 17:51:12;10.2;
104;10/06/14 17:53:30;10.3;
105;10/06/14 17:55:54;10.4;
106;10/06/14 17:58:26;10.5;
107;10/06/14 18:01:03;10.6;
108;10/06/14 18:03:17;10.7;
109;10/06/14 18:05:19;10.8;
110;10/06/14 18:07:19;10.9;
111;10/06/14 18:09:11;11.0;
112;10/06/14 18:11:53;11.1;
113;10/06/14 18:14:39;11.2;
114;10/06/14 18:19:24;11.3;
115;10/06/14 18:26:44;11.4;
116;10/06/14 19:00:59;11.5;
117;10/06/14 19:13:49;11.6;
118;10/06/14 19:24:56;11.7;
119;10/06/14 19:36:48;11.8;
120;10/06/14 19:44:06;11.9;
121;10/06/14 19:52:48;12.0;
122;10/06/14 23:31:42;12.1;
123;11/06/14 00:01:11;12.2;
124;11/06/14 02:18:20;12.3;
125;13/06/14 21:48:04;12.4;
126;13/06/14 21:52:34;12.5;
127;13/06/14 22:35:06;12.6;
128;14/06/14 00:10:49;12.7;
129;14/06/14 00:14:21;12.8;
130;14/06/14 00:36:02;12.9;
131;14/06/14 00:53:21;13.0;
132;14/06/14 01:02:29;13.1;
133;14/06/14 01:19:36;13.2;
134;14/06/14 01:26:20;13.3;
135;14/06/14 01:38:34;13.4;
136;14/06/14 02:00:24;13.5;
137;14/06/14 06:55:41;13.6;
138;14/06/14 08:12:04;13.7;
139;14/06/14 08:17:01;13.8;
140;14/06/14 08:33:02;13.9;
141;14/06/14 08:53:52;14.0;
142;14/06/14 09:32:07;14.1;
143;14/06/14 09:35:21;14.2;
144;14/06/14 09:37:15;14.3;
145;14/06/14 09:40:16;14.4;
146;14/06/14 09:43:49;14.5;
147;14/06/14 10:07:35;14.6;
148;14/06/14 10:15:05;14.7;
149;14/06/14 10:17:58;14.8;
150;14/06/14 10:21:08;14.9;
151;14/06/14 10:24:07;15.0;
152;14/06/14 10:30:26;15.1;
153;14/06/14 10:32:21;15.2;
