"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-07:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;07/08/14 11:34:21 AM;0.0;
2;07/08/14 11:45:24 AM;0.1;
3;07/08/14 12:23:20 PM;0.2;
4;07/08/14 12:27:37 PM;0.3;
5;07/08/14 12:32:06 PM;0.4;
6;07/08/14 12:36:52 PM;0.5;
7;07/08/14 12:42:02 PM;0.6;
8;07/08/14 12:47:44 PM;0.7;
9;07/08/14 12:57:52 PM;0.8;
10;07/08/14 01:10:13 PM;0.9;
11;07/08/14 02:50:31 PM;1.0;
12;07/08/14 03:19:38 PM;1.1;
13;07/08/14 03:42:05 PM;1.2;
14;07/08/14 06:22:23 PM;1.3;
15;07/08/14 06:29:28 PM;1.4;
16;07/08/14 06:56:48 PM;1.5;
17;07/08/14 07:59:33 PM;1.6;
18;07/08/14 08:51:43 PM;1.7;
19;07/08/14 09:30:41 PM;1.8;
20;07/08/14 10:59:14 PM;1.9;
21;07/08/14 11:49:05 PM;2.0;
22;07/09/14 12:34:55 AM;2.1;
23;07/09/14 01:30:23 AM;2.2;
24;07/09/14 02:08:50 AM;2.3;
25;07/09/14 02:44:34 AM;2.4;
26;07/10/14 02:22:49 PM;2.5;
27;07/10/14 02:27:53 PM;2.6;
28;07/10/14 02:39:00 PM;2.7;
29;07/10/14 02:44:19 PM;2.8;
30;07/10/14 03:12:15 PM;2.9;
31;07/10/14 03:22:02 PM;3.0;
32;07/10/14 03:25:49 PM;3.1;
33;07/10/14 03:36:38 PM;3.2;
34;07/10/14 03:53:48 PM;3.3;
35;07/10/14 04:52:21 PM;3.4;
36;07/10/14 05:15:43 PM;3.5;
37;07/10/14 05:51:48 PM;3.6;
38;07/10/14 07:10:03 PM;3.7;
39;07/10/14 07:33:21 PM;3.8;
40;07/10/14 08:01:47 PM;3.9;
41;07/10/14 08:17:25 PM;4.0;
42;07/10/14 08:31:52 PM;4.1;
43;07/10/14 08:54:07 PM;4.2;
44;07/10/14 09:18:48 PM;4.3;
45;07/10/14 09:27:29 PM;4.4;
46;07/10/14 09:40:50 PM;4.5;
47;07/10/14 09:49:34 PM;4.6;
48;07/10/14 10:00:22 PM;4.7;
