"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-07:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;08/07/14 11:34:21;0.0;
2;08/07/14 11:45:24;0.1;
3;08/07/14 12:23:20;0.2;
4;08/07/14 12:27:37;0.3;
5;08/07/14 12:32:06;0.4;
6;08/07/14 12:36:52;0.5;
7;08/07/14 12:42:02;0.6;
8;08/07/14 12:47:44;0.7;
9;08/07/14 12:57:52;0.8;
10;08/07/14 13:10:13;0.9;
11;08/07/14 14:50:31;1.0;
12;08/07/14 15:19:38;1.1;
13;08/07/14 15:42:05;1.2;
14;08/07/14 18:22:23;1.3;
15;08/07/14 18:29:28;1.4;
16;08/07/14 18:56:48;1.5;
17;08/07/14 19:59:33;1.6;
18;08/07/14 20:51:43;1.7;
19;08/07/14 21:30:41;1.8;
20;08/07/14 22:59:14;1.9;
21;08/07/14 23:49:05;2.0;
22;09/07/14 00:34:55;2.1;
23;09/07/14 01:30:23;2.2;
24;09/07/14 02:08:50;2.3;
25;09/07/14 02:44:34;2.4;
26;10/07/14 14:22:49;2.5;
27;10/07/14 14:27:53;2.6;
28;10/07/14 14:39:00;2.7;
29;10/07/14 14:44:19;2.8;
30;10/07/14 15:12:15;2.9;
31;10/07/14 15:22:02;3.0;
32;10/07/14 15:25:49;3.1;
33;10/07/14 15:36:38;3.2;
34;10/07/14 15:53:48;3.3;
35;10/07/14 16:52:21;3.4;
36;10/07/14 17:15:43;3.5;
37;10/07/14 17:51:48;3.6;
38;10/07/14 19:10:03;3.7;
39;10/07/14 19:33:21;3.8;
40;10/07/14 20:01:47;3.9;
41;10/07/14 20:17:25;4.0;
42;10/07/14 20:31:52;4.1;
43;10/07/14 20:54:07;4.2;
44;10/07/14 21:18:48;4.3;
45;10/07/14 21:27:29;4.4;
46;10/07/14 21:40:50;4.5;
47;10/07/14 21:49:34;4.6;
48;10/07/14 22:00:22;4.7;
49;10/07/14 22:10:01;4.8;
50;10/07/14 22:30:24;4.9;
51;10/07/14 22:57:13;5.0;
52;10/07/14 23:15:44;5.1;
53;10/07/14 23:25:30;5.2;
54;10/07/14 23:38:37;5.3;
55;10/07/14 23:48:00;5.4;
56;11/07/14 00:20:03;5.5;
57;11/07/14 00:30:29;5.6;
58;11/07/14 00:41:44;5.7;
59;11/07/14 01:25:56;5.8;
60;11/07/14 01:32:59;5.9;
61;11/07/14 01:38:00;6.0;
62;11/07/14 01:41:15;6.1;
63;11/07/14 01:43:21;6.2;
64;11/07/14 01:46:04;6.3;
65;11/07/14 01:49:32;6.4;
66;11/07/14 01:54:16;6.5;
67;11/07/14 01:59:26;6.6;
68;11/07/14 02:08:06;6.7;
69;11/07/14 02:12:57;6.8;
70;11/07/14 02:17:48;6.9;
71;11/07/14 02:29:36;7.0;
72;11/07/14 02:36:59;7.1;
73;11/07/14 02:41:22;7.2;
74;11/07/14 02:45:55;7.3;
75;11/07/14 02:51:02;7.4;
76;11/07/14 02:57:07;7.5;
77;11/07/14 03:02:33;7.6;
78;11/07/14 03:09:10;7.7;
79;11/07/14 03:15:33;7.8;
80;11/07/14 03:27:14;7.9;
81;11/07/14 03:44:22;8.0;
82;11/07/14 04:08:35;8.1;
83;11/07/14 04:23:05;8.2;
84;11/07/14 04:47:06;8.3;
85;11/07/14 05:01:52;8.4;
86;11/07/14 05:13:50;8.5;
87;11/07/14 05:24:40;8.6;
88;11/07/14 05:53:41;8.7;
89;11/07/14 06:02:38;8.8;
90;11/07/14 06:50:02;8.9;
91;11/07/14 09:26:16;9.0;
92;11/07/14 09:48:38;9.1;
93;11/07/14 10:00:38;9.2;
94;11/07/14 10:06:35;9.3;
95;11/07/14 10:46:59;9.4;
96;11/07/14 11:29:14;9.5;
97;11/07/14 11:38:44;9.6;
98;11/07/14 11:43:45;9.7;
99;11/07/14 11:51:22;9.8;
100;11/07/14 18:13:12;9.9;
101;11/07/14 18:21:24;10.0;
102;11/07/14 18:45:30;10.1;
103;11/07/14 19:52:08;10.2;
104;11/07/14 22:28:07;10.3;
105;11/07/14 22:50:49;10.4;
106;11/07/14 22:57:27;10.5;
107;11/07/14 23:08:57;10.6;
108;12/07/14 00:19:22;10.7;
109;12/07/14 01:11:29;10.8;
110;12/07/14 01:38:52;10.9;
111;12/07/14 01:46:28;11.0;
112;12/07/14 02:04:09;11.1;
113;12/07/14 02:16:33;11.2;
114;12/07/14 02:33:55;11.3;
115;12/07/14 03:39:52;11.4;
116;12/07/14 19:18:23;11.5;
117;12/07/14 19:48:25;11.6;
118;12/07/14 20:14:43;11.7;
119;12/07/14 20:22:13;11.8;
120;12/07/14 20:28:29;11.9;
121;12/07/14 20:34:11;12.0;
122;12/07/14 20:58:46;12.1;
123;12/07/14 21:28:22;12.2;
124;12/07/14 21:44:59;12.3;
125;12/07/14 21:57:38;12.4;
126;12/07/14 22:12:17;12.5;
127;12/07/14 22:55:52;12.6;
128;13/07/14 04:11:59;12.7;
129;13/07/14 05:56:50;12.8;
130;13/07/14 22:12:09;12.9;
131;13/07/14 22:27:59;13.0;
132;13/07/14 22:34:25;13.1;
133;13/07/14 22:43:13;13.2;
134;13/07/14 23:11:38;13.3;
135;13/07/14 23:35:27;13.4;
136;14/07/14 00:03:44;13.5;
137;14/07/14 00:07:50;13.6;
138;14/07/14 00:37:24;13.7;
