"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;11/08/14 11:55:00;0.0;
2;12/08/14 01:37:26;0.1;
3;12/08/14 01:46:55;0.2;
4;12/08/14 01:58:49;0.3;
5;12/08/14 02:14:01;0.4;
6;12/08/14 02:58:36;0.5;
7;12/08/14 06:53:49;0.6;
8;12/08/14 11:54:13;0.7;
9;12/08/14 12:12:58;0.8;
10;12/08/14 12:20:18;0.9;
11;12/08/14 16:35:16;1.0;
12;12/08/14 16:46:07;1.1;
13;12/08/14 16:54:02;1.2;
14;12/08/14 17:40:43;1.3;
15;12/08/14 18:07:50;1.4;
16;12/08/14 18:16:24;1.5;
17;12/08/14 19:09:56;1.6;
18;12/08/14 19:20:21;1.7;
19;12/08/14 19:25:46;1.8;
20;12/08/14 19:29:13;1.9;
21;12/08/14 19:32:09;2.0;
22;12/08/14 19:33:36;2.1;
23;12/08/14 19:35:13;2.2;
24;12/08/14 19:37:11;2.3;
25;12/08/14 19:39:24;2.4;
26;12/08/14 19:41:15;2.5;
27;12/08/14 19:43:16;2.6;
28;12/08/14 19:44:41;2.7;
29;12/08/14 19:46:06;2.8;
30;12/08/14 19:47:20;2.9;
31;12/08/14 19:48:45;3.0;
32;12/08/14 19:50:07;3.1;
33;12/08/14 19:51:55;3.2;
34;12/08/14 19:54:12;3.3;
35;12/08/14 20:07:51;3.4;
36;12/08/14 20:11:54;3.5;
37;12/08/14 20:16:58;3.6;
38;12/08/14 20:23:04;3.7;
39;12/08/14 20:44:58;3.8;
40;12/08/14 20:53:11;3.9;
41;12/08/14 21:11:53;4.0;
42;12/08/14 21:29:56;4.1;
43;12/08/14 21:42:29;4.2;
44;12/08/14 21:53:03;4.3;
45;12/08/14 22:03:29;4.4;
46;12/08/14 22:11:53;4.5;
47;12/08/14 22:19:10;4.6;
48;12/08/14 22:29:08;4.7;
49;13/08/14 01:16:16;4.8;
50;13/08/14 04:12:45;4.9;
51;13/08/14 04:41:30;5.0;
52;13/08/14 04:52:08;5.1;
53;13/08/14 05:19:41;5.2;
54;13/08/14 10:49:45;5.3;
55;13/08/14 11:54:13;5.4;
56;13/08/14 11:58:15;5.5;
