"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;09/09/14 10:45:56;0.0;
2;10/09/14 03:16:15;0.1;
3;10/09/14 20:30:28;0.2;
4;11/09/14 21:20:07;0.3;
5;11/09/14 21:26:30;0.4;
6;11/09/14 21:53:38;0.5;
7;11/09/14 22:17:44;0.6;
8;11/09/14 22:44:58;0.7;
9;11/09/14 22:59:27;0.8;
10;11/09/14 23:37:08;0.9;
11;12/09/14 01:42:12;1.0;
12;12/09/14 01:51:48;1.1;
13;12/09/14 01:58:27;1.2;
14;12/09/14 02:04:39;1.3;
15;12/09/14 02:07:52;1.4;
16;12/09/14 02:11:49;1.5;
17;12/09/14 02:16:53;1.6;
18;12/09/14 02:27:26;1.7;
19;12/09/14 02:34:36;1.8;
20;12/09/14 02:48:20;1.9;
21;12/09/14 02:58:10;2.0;
22;12/09/14 03:07:58;2.1;
23;12/09/14 03:18:19;2.2;
24;12/09/14 03:34:00;2.3;
25;12/09/14 03:50:09;2.4;
26;12/09/14 04:01:33;2.5;
27;12/09/14 04:14:31;2.6;
28;12/09/14 06:58:56;2.7;
29;13/09/14 11:39:19;2.8;
30;13/09/14 12:16:57;2.9;
31;13/09/14 12:20:55;3.0;
32;13/09/14 12:29:08;3.1;
33;13/09/14 12:44:52;3.2;
34;13/09/14 13:10:33;3.3;
35;13/09/14 13:20:10;3.4;
36;13/09/14 13:32:06;3.5;
37;13/09/14 14:00:57;3.6;
38;13/09/14 15:01:59;3.7;
39;13/09/14 15:12:00;3.8;
40;13/09/14 15:23:52;3.9;
41;13/09/14 15:25:34;4.0;
42;13/09/14 15:26:45;4.1;
43;13/09/14 15:28:30;4.2;
44;13/09/14 15:35:24;4.3;
45;13/09/14 15:39:08;4.4;
46;13/09/14 15:45:48;4.5;
47;13/09/14 20:05:38;4.6;
48;13/09/14 20:54:05;4.7;
49;13/09/14 22:27:32;4.8;
50;14/09/14 01:16:17;4.9;
51;14/09/14 04:16:05;5.0;
52;14/09/14 04:56:11;5.1;
53;14/09/14 08:14:01;5.2;
54;14/09/14 08:23:07;5.3;
55;14/09/14 08:58:18;5.4;
56;14/09/14 20:11:33;5.5;
57;14/09/14 20:22:45;5.6;
58;14/09/14 20:32:02;5.7;
59;15/09/14 00:25:17;5.8;
60;15/09/14 06:54:48;5.9;
61;15/09/14 06:56:39;6.0;
62;15/09/14 06:58:18;6.1;
63;15/09/14 06:59:47;6.2;
64;15/09/14 07:01:21;6.3;
65;15/09/14 07:02:21;6.4;
66;15/09/14 07:03:33;6.5;
67;15/09/14 07:04:30;6.6;
68;15/09/14 07:05:24;6.7;
69;15/09/14 07:06:22;6.8;
70;15/09/14 07:07:31;6.9;
71;15/09/14 07:08:44;7.0;
72;15/09/14 07:09:48;7.1;
73;15/09/14 07:10:40;7.2;
74;15/09/14 07:11:54;7.3;
75;15/09/14 07:12:46;7.4;
76;15/09/14 07:14:06;7.5;
77;15/09/14 07:15:18;7.6;
78;15/09/14 07:16:24;7.7;
79;15/09/14 07:17:23;7.8;
80;15/09/14 07:18:56;7.9;
81;15/09/14 07:21:26;8.0;
82;15/09/14 07:24:09;8.1;
83;15/09/14 07:28:18;8.2;
84;15/09/14 08:29:45;8.3;
85;15/09/14 09:55:27;8.4;
86;15/09/14 09:56:06;8.5;
87;15/09/14 09:56:40;8.6;
88;15/09/14 09:57:19;8.7;
89;15/09/14 09:57:50;8.8;
90;15/09/14 09:58:26;8.9;
91;15/09/14 09:58:57;9.0;
92;15/09/14 09:59:33;9.1;
93;15/09/14 10:00:04;9.2;
94;15/09/14 10:00:37;9.3;
95;15/09/14 10:01:06;9.4;
96;15/09/14 10:01:39;9.5;
97;15/09/14 10:02:08;9.6;
98;15/09/14 10:02:44;9.7;
99;15/09/14 10:03:16;9.8;
100;15/09/14 10:03:55;9.9;
101;15/09/14 10:04:27;10.0;
102;15/09/14 10:05:04;10.1;
103;15/09/14 10:05:46;10.2;
104;15/09/14 10:06:38;10.3;
105;15/09/14 10:07:33;10.4;
106;15/09/14 10:08:38;10.5;
107;15/09/14 10:09:35;10.6;
108;15/09/14 10:10:24;10.7;
109;15/09/14 10:11:09;10.8;
110;15/09/14 10:12:36;10.9;
111;15/09/14 10:13:13;11.0;
112;15/09/14 10:14:24;11.1;
113;15/09/14 10:15:03;11.2;
114;15/09/14 10:15:53;11.3;
115;15/09/14 10:16:47;11.4;
116;15/09/14 10:17:43;11.5;
117;15/09/14 10:18:29;11.6;
118;15/09/14 10:19:25;11.7;
119;15/09/14 10:20:15;11.8;
120;15/09/14 10:21:12;11.9;
121;15/09/14 10:22:05;12.0;
122;15/09/14 10:22:58;12.1;
123;15/09/14 10:23:47;12.2;
124;15/09/14 10:24:43;12.3;
125;15/09/14 10:25:30;12.4;
126;15/09/14 10:26:22;12.5;
127;15/09/14 10:27:08;12.6;
128;15/09/14 10:28:00;12.7;
129;15/09/14 10:28:51;12.8;
130;15/09/14 10:29:57;12.9;
131;15/09/14 10:30:52;13.0;
132;15/09/14 10:32:01;13.1;
133;15/09/14 10:33:01;13.2;
134;15/09/14 10:34:02;13.3;
135;15/09/14 10:34:54;13.4;
136;15/09/14 10:36:00;13.5;
137;15/09/14 10:36:59;13.6;
138;15/09/14 10:38:00;13.7;
139;15/09/14 10:38:47;13.8;
140;15/09/14 10:39:47;13.9;
141;15/09/14 10:40:39;14.0;
142;15/09/14 10:41:34;14.1;
143;15/09/14 10:42:28;14.2;
144;15/09/14 10:43:31;14.3;
145;15/09/14 10:44:24;14.4;
146;15/09/14 10:45:21;14.5;
147;15/09/14 10:46:12;14.6;
148;15/09/14 10:47:03;14.7;
149;15/09/14 10:47:54;14.8;
150;15/09/14 10:48:50;14.9;
151;15/09/14 10:49:39;15.0;
152;15/09/14 10:50:28;15.1;
153;15/09/14 10:51:17;15.2;
154;15/09/14 10:52:11;15.3;
155;15/09/14 10:52:55;15.4;
156;15/09/14 10:53:50;15.5;
157;15/09/14 10:54:51;15.6;
158;15/09/14 10:55:53;15.7;
159;15/09/14 10:56:55;15.8;
160;15/09/14 10:58:01;15.9;
161;15/09/14 10:59:00;16.0;
162;15/09/14 11:00:02;16.1;
163;15/09/14 11:01:01;16.2;
164;15/09/14 11:02:06;16.3;
165;15/09/14 11:03:05;16.4;
166;15/09/14 11:04:11;16.5;
167;15/09/14 11:05:11;16.6;
168;15/09/14 11:06:21;16.7;
169;15/09/14 11:07:34;16.8;
170;15/09/14 11:08:36;16.9;
171;15/09/14 11:09:36;17.0;
172;15/09/14 11:10:26;17.1;
173;15/09/14 11:11:16;17.2;
174;15/09/14 11:12:13;17.3;
175;15/09/14 11:13:04;17.4;
176;15/09/14 11:13:49;17.5;
177;15/09/14 11:14:29;17.6;
178;15/09/14 11:15:13;17.7;
179;15/09/14 11:15:56;17.8;
180;15/09/14 11:16:43;17.9;
181;15/09/14 11:17:38;18.0;
182;15/09/14 11:18:48;18.1;
183;15/09/14 11:20:10;18.2;
184;15/09/14 11:21:05;18.3;
185;15/09/14 11:21:52;18.4;
186;15/09/14 11:23:16;18.5;
187;15/09/14 20:37:22;18.6;
188;15/09/14 23:03:07;18.7;
189;15/09/14 23:38:02;18.8;
190;16/09/14 00:30:55;18.9;
191;16/09/14 02:45:43;19.0;
192;16/09/14 03:17:01;19.1;
193;16/09/14 03:20:40;19.2;
194;16/09/14 03:29:06;19.3;
195;16/09/14 03:37:29;19.4;
196;16/09/14 03:43:15;19.5;
