"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;10/12/14 10:58:04;0.0;
2;10/12/14 15:04:49;0.1;
3;10/12/14 15:06:06;0.2;
4;10/12/14 15:07:55;0.3;
5;10/12/14 15:08:34;0.4;
6;10/12/14 15:09:10;0.5;
7;10/12/14 15:09:37;0.6;
8;10/12/14 15:10:10;0.7;
9;10/12/14 15:10:44;0.8;
10;10/12/14 15:11:22;0.9;
11;10/12/14 15:12:01;1.0;
12;10/12/14 15:12:45;1.1;
13;10/12/14 15:13:27;1.2;
14;10/12/14 15:14:47;1.3;
15;10/12/14 15:15:46;1.4;
16;10/12/14 15:17:01;1.5;
17;10/12/14 15:18:24;1.6;
18;10/12/14 15:21:41;1.7;
19;10/12/14 15:37:42;1.8;
20;10/12/14 15:42:41;1.9;
21;10/12/14 15:44:57;2.0;
22;10/12/14 15:56:17;2.1;
23;10/12/14 17:48:47;2.2;
24;10/12/14 18:05:00;2.3;
25;10/12/14 18:09:34;2.4;
26;10/12/14 18:13:38;2.5;
27;10/12/14 18:19:32;2.6;
28;10/12/14 18:25:21;2.7;
29;10/12/14 18:27:18;2.8;
30;10/12/14 18:30:05;2.9;
31;10/12/14 18:33:04;3.0;
32;10/12/14 18:36:06;3.1;
33;10/12/14 18:38:21;3.2;
34;10/12/14 18:46:32;3.3;
35;10/12/14 18:57:10;3.4;
36;10/12/14 19:43:04;3.5;
37;10/12/14 19:48:21;3.6;
38;10/12/14 19:57:45;3.7;
39;10/12/14 20:18:53;3.8;
40;10/12/14 20:22:46;3.9;
41;10/12/14 20:29:35;4.0;
42;10/12/14 20:44:24;4.1;
43;10/12/14 20:51:36;4.2;
44;10/12/14 20:56:28;4.3;
45;11/12/14 02:59:27;4.4;
46;12/12/14 11:08:32;4.5;
47;12/12/14 11:11:49;4.6;
48;13/12/14 13:01:29;4.7;
