"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;12/10/14 10:58:04 AM;0.0;
2;12/10/14 03:04:49 PM;0.1;
3;12/10/14 03:06:06 PM;0.2;
4;12/10/14 03:07:55 PM;0.3;
5;12/10/14 03:08:34 PM;0.4;
6;12/10/14 03:09:10 PM;0.5;
7;12/10/14 03:09:37 PM;0.6;
8;12/10/14 03:10:10 PM;0.7;
9;12/10/14 03:10:44 PM;0.8;
10;12/10/14 03:11:22 PM;0.9;
11;12/10/14 03:12:01 PM;1.0;
12;12/10/14 03:12:45 PM;1.1;
13;12/10/14 03:13:27 PM;1.2;
14;12/10/14 03:14:47 PM;1.3;
15;12/10/14 03:15:46 PM;1.4;
16;12/10/14 03:17:01 PM;1.5;
17;12/10/14 03:18:24 PM;1.6;
18;12/10/14 03:21:41 PM;1.7;
19;12/10/14 03:37:42 PM;1.8;
20;12/10/14 03:42:41 PM;1.9;
21;12/10/14 03:44:57 PM;2.0;
22;12/10/14 03:56:17 PM;2.1;
23;12/10/14 05:48:47 PM;2.2;
24;12/10/14 06:05:00 PM;2.3;
25;12/10/14 06:09:34 PM;2.4;
26;12/10/14 06:13:38 PM;2.5;
27;12/10/14 06:19:32 PM;2.6;
28;12/10/14 06:25:21 PM;2.7;
29;12/10/14 06:27:18 PM;2.8;
30;12/10/14 06:30:05 PM;2.9;
31;12/10/14 06:33:04 PM;3.0;
32;12/10/14 06:36:06 PM;3.1;
33;12/10/14 06:38:21 PM;3.2;
34;12/10/14 06:46:32 PM;3.3;
35;12/10/14 06:57:10 PM;3.4;
36;12/10/14 07:43:04 PM;3.5;
37;12/10/14 07:48:21 PM;3.6;
38;12/10/14 07:57:45 PM;3.7;
39;12/10/14 08:18:53 PM;3.8;
40;12/10/14 08:22:46 PM;3.9;
41;12/10/14 08:29:35 PM;4.0;
42;12/10/14 08:44:24 PM;4.1;
43;12/10/14 08:51:36 PM;4.2;
44;12/10/14 08:56:28 PM;4.3;
45;12/11/14 02:59:27 AM;4.4;
46;12/12/14 11:08:32 AM;4.5;
47;12/12/14 11:11:49 AM;4.6;
48;12/13/14 01:01:29 PM;4.7;
49;12/13/14 01:08:47 PM;4.8;
50;12/13/14 01:20:09 PM;4.9;
51;12/13/14 01:46:09 PM;5.0;
52;12/13/14 01:53:02 PM;5.1;
53;12/13/14 02:03:11 PM;5.2;
54;12/13/14 02:08:29 PM;5.3;
55;12/13/14 02:11:48 PM;5.4;
56;12/13/14 03:22:34 PM;5.5;
57;12/13/14 03:24:33 PM;5.6;
58;12/13/14 03:26:16 PM;5.7;
59;12/13/14 03:27:55 PM;5.8;
60;12/13/14 03:29:43 PM;5.9;
61;12/13/14 03:31:33 PM;6.0;
62;12/14/14 04:14:28 AM;6.1;
63;12/17/14 11:40:06 AM;6.2;
64;12/17/14 11:41:50 AM;6.3;
65;12/17/14 11:43:14 AM;6.4;
66;12/17/14 11:45:36 AM;6.5;
67;12/17/14 11:48:16 AM;6.6;
68;12/17/14 11:55:28 AM;6.7;
69;12/17/14 12:11:27 PM;6.8;
70;12/17/14 02:37:51 PM;6.9;
71;12/17/14 03:19:40 PM;7.0;
72;12/19/14 03:26:35 PM;7.1;
73;12/19/14 03:33:20 PM;7.2;
74;12/19/14 03:41:57 PM;7.3;
75;12/19/14 03:44:25 PM;7.4;
76;12/19/14 03:46:49 PM;7.5;
77;12/19/14 03:48:57 PM;7.6;
78;12/19/14 04:09:47 PM;7.7;
79;12/19/14 04:12:17 PM;7.8;
80;12/19/14 04:14:06 PM;7.9;
81;12/19/14 04:16:13 PM;8.0;
82;12/19/14 04:19:23 PM;8.1;
83;12/19/14 04:21:40 PM;8.2;
84;12/19/14 04:25:29 PM;8.3;
85;12/19/14 04:29:45 PM;8.4;
86;12/19/14 04:35:00 PM;8.5;
87;12/19/14 04:38:45 PM;8.6;
88;12/19/14 04:44:43 PM;8.7;
89;12/19/14 04:48:35 PM;8.8;
90;12/19/14 04:50:55 PM;8.9;
91;12/19/14 04:52:29 PM;9.0;
92;12/19/14 04:55:29 PM;9.1;
93;12/19/14 04:59:50 PM;9.2;
94;12/19/14 05:08:15 PM;9.3;
95;12/19/14 05:15:02 PM;9.4;
96;12/19/14 05:21:20 PM;9.5;
97;12/19/14 05:29:15 PM;9.6;
98;12/20/14 09:56:20 AM;9.7;
99;12/20/14 10:01:59 AM;9.8;
100;12/20/14 02:44:19 PM;9.9;
101;12/20/14 02:46:14 PM;10.0;
102;12/20/14 02:47:44 PM;10.1;
103;12/20/14 02:48:45 PM;10.2;
104;12/20/14 02:49:15 PM;10.3;
105;12/20/14 02:49:44 PM;10.4;
106;12/20/14 02:50:20 PM;10.5;
107;12/20/14 02:50:45 PM;10.6;
108;12/20/14 02:51:12 PM;10.7;
109;12/20/14 02:51:30 PM;10.8;
110;12/20/14 02:51:45 PM;10.9;
111;12/20/14 02:51:56 PM;11.0;
112;12/20/14 02:52:11 PM;11.1;
113;12/20/14 02:52:27 PM;11.2;
114;12/20/14 02:52:39 PM;11.3;
115;12/20/14 02:52:47 PM;11.4;
116;12/20/14 02:52:57 PM;11.5;
117;12/20/14 02:53:07 PM;11.6;
118;12/20/14 02:53:17 PM;11.7;
119;12/20/14 02:53:28 PM;11.8;
120;12/20/14 02:53:44 PM;11.9;
121;12/20/14 02:54:02 PM;12.0;
122;12/20/14 02:54:20 PM;12.1;
123;12/20/14 02:54:34 PM;12.2;
124;12/20/14 02:54:48 PM;12.3;
125;12/20/14 02:55:08 PM;12.4;
126;12/20/14 02:55:32 PM;12.5;
127;12/20/14 02:55:59 PM;12.6;
128;12/20/14 02:56:34 PM;12.7;
129;12/20/14 02:57:03 PM;12.8;
130;12/20/14 02:57:40 PM;12.9;
131;12/20/14 02:58:11 PM;13.0;
132;12/20/14 02:58:37 PM;13.1;
133;12/20/14 02:58:59 PM;13.2;
134;12/20/14 02:59:24 PM;13.3;
135;12/20/14 02:59:48 PM;13.4;
136;12/20/14 03:00:12 PM;13.5;
137;12/20/14 03:00:33 PM;13.6;
138;12/20/14 03:00:50 PM;13.7;
139;12/20/14 03:01:07 PM;13.8;
140;12/20/14 03:01:30 PM;13.9;
141;12/20/14 03:01:53 PM;14.0;
142;12/20/14 03:02:14 PM;14.1;
143;12/20/14 03:02:33 PM;14.2;
144;12/20/14 03:03:02 PM;14.3;
145;12/20/14 03:03:37 PM;14.4;
146;12/20/14 03:04:19 PM;14.5;
147;12/20/14 03:04:48 PM;14.6;
148;12/20/14 03:05:26 PM;14.7;
149;12/20/14 03:05:58 PM;14.8;
150;12/20/14 03:06:26 PM;14.9;
151;12/20/14 03:06:57 PM;15.0;
152;12/20/14 03:07:25 PM;15.1;
153;12/20/14 03:07:50 PM;15.2;
154;12/20/14 03:08:20 PM;15.3;
155;12/20/14 03:08:40 PM;15.4;
156;12/20/14 03:09:01 PM;15.5;
157;12/20/14 03:09:19 PM;15.6;
158;12/20/14 03:09:36 PM;15.7;
159;12/20/14 03:09:54 PM;15.8;
160;12/20/14 03:10:09 PM;15.9;
161;12/20/14 03:10:22 PM;16.0;
162;12/20/14 03:10:37 PM;16.1;
163;12/20/14 03:10:54 PM;16.2;
164;12/20/14 03:11:12 PM;16.3;
165;12/20/14 03:11:25 PM;16.4;
166;12/20/14 03:11:37 PM;16.5;
167;12/20/14 03:11:47 PM;16.6;
168;12/20/14 03:11:59 PM;16.7;
169;12/20/14 03:12:08 PM;16.8;
170;12/20/14 03:12:19 PM;16.9;
171;12/20/14 03:12:28 PM;17.0;
172;12/20/14 03:12:39 PM;17.1;
173;12/20/14 03:12:49 PM;17.2;
174;12/20/14 03:13:02 PM;17.3;
175;12/20/14 03:13:15 PM;17.4;
176;12/20/14 03:13:32 PM;17.5;
177;12/20/14 03:13:47 PM;17.6;
178;12/20/14 03:14:06 PM;17.7;
179;12/20/14 03:14:20 PM;17.8;
180;12/20/14 03:14:36 PM;17.9;
181;12/20/14 03:14:51 PM;18.0;
182;12/20/14 03:15:07 PM;18.1;
183;12/20/14 03:15:27 PM;18.2;
184;12/20/14 03:15:50 PM;18.3;
185;12/20/14 03:16:08 PM;18.4;
186;12/20/14 03:16:27 PM;18.5;
187;12/20/14 03:16:40 PM;18.6;
188;12/20/14 03:16:56 PM;18.7;
189;12/20/14 03:17:09 PM;18.8;
190;12/20/14 03:17:24 PM;18.9;
191;12/20/14 03:17:38 PM;19.0;
192;12/20/14 03:17:52 PM;19.1;
193;12/20/14 03:18:04 PM;19.2;
194;12/20/14 03:18:17 PM;19.3;
195;12/20/14 03:18:29 PM;19.4;
196;12/20/14 03:18:44 PM;19.5;
197;12/20/14 03:19:00 PM;19.6;
198;12/20/14 03:19:20 PM;19.7;
199;12/20/14 03:19:37 PM;19.8;
200;12/20/14 03:19:57 PM;19.9;
201;12/20/14 03:20:13 PM;20.0;
202;12/20/14 03:20:33 PM;20.1;
203;12/20/14 03:20:50 PM;20.2;
204;12/20/14 03:21:13 PM;20.3;
205;12/20/14 03:21:37 PM;20.4;
206;12/20/14 03:21:59 PM;20.5;
207;12/20/14 03:22:19 PM;20.6;
208;12/20/14 03:22:42 PM;20.7;
209;12/20/14 03:23:07 PM;20.8;
210;12/20/14 03:23:42 PM;20.9;
211;12/20/14 03:24:21 PM;21.0;
212;12/20/14 03:25:13 PM;21.1;
213;12/20/14 03:25:50 PM;21.2;
214;12/20/14 03:26:34 PM;21.3;
215;12/20/14 03:27:07 PM;21.4;
216;12/20/14 03:27:49 PM;21.5;
217;12/20/14 03:28:20 PM;21.6;
218;12/20/14 03:28:57 PM;21.7;
219;12/20/14 03:29:31 PM;21.8;
220;12/20/14 03:30:08 PM;21.9;
221;12/20/14 03:30:44 PM;22.0;
222;12/20/14 03:31:22 PM;22.1;
223;12/20/14 03:32:00 PM;22.2;
224;12/20/14 03:32:42 PM;22.3;
225;12/20/14 03:33:15 PM;22.4;
226;12/20/14 03:33:56 PM;22.5;
227;12/20/14 03:34:44 PM;22.6;
228;12/20/14 03:35:48 PM;22.7;
229;12/20/14 03:37:48 PM;22.8;
230;12/20/14 03:44:29 PM;22.9;
231;12/20/14 04:56:36 PM;23.0;
232;12/20/14 05:01:38 PM;23.1;
233;12/20/14 05:05:17 PM;23.2;
234;12/20/14 05:09:41 PM;23.3;
235;12/20/14 09:54:22 PM;23.4;
236;12/21/14 03:24:45 PM;23.5;
237;12/21/14 03:28:10 PM;23.6;
238;12/21/14 03:35:56 PM;23.7;
239;12/21/14 03:36:50 PM;23.8;
240;12/21/14 03:37:53 PM;23.9;
241;12/21/14 03:38:36 PM;24.0;
242;12/21/14 03:39:32 PM;24.1;
243;12/21/14 03:40:13 PM;24.2;
244;12/21/14 03:41:12 PM;24.3;
245;12/21/14 03:42:05 PM;24.4;
246;12/21/14 03:43:23 PM;24.5;
247;12/21/14 03:45:23 PM;24.6;
248;12/21/14 04:02:48 PM;24.7;
249;12/21/14 04:37:55 PM;24.8;
250;12/27/14 07:29:55 PM;24.9;
251;12/27/14 08:18:43 PM;25.0;
252;12/27/14 08:21:51 PM;25.1;
253;12/27/14 08:26:48 PM;25.2;
254;12/27/14 10:51:25 PM;25.3;
255;12/28/14 12:12:54 AM;25.4;
256;12/28/14 01:49:12 AM;25.5;
257;12/28/14 01:55:55 AM;25.6;
258;12/28/14 02:00:00 AM;25.7;
259;12/28/14 02:48:29 AM;25.8;
260;12/28/14 03:42:32 AM;25.9;
261;12/28/14 06:12:27 AM;26.0;
262;12/28/14 06:24:22 AM;26.1;
263;12/28/14 07:08:26 AM;26.2;
264;12/30/14 03:37:33 PM;26.3;
265;12/30/14 03:48:25 PM;26.4;
266;12/31/14 06:15:54 AM;26.5;
267;12/31/14 06:41:25 AM;26.6;
268;12/31/14 06:54:31 AM;26.7;
269;12/31/14 07:04:20 AM;26.8;
270;12/31/14 07:10:57 AM;26.9;
271;12/31/14 07:13:50 AM;27.0;
272;12/31/14 07:16:42 AM;27.1;
273;12/31/14 07:28:52 AM;27.2;
274;12/31/14 09:12:54 AM;27.3;
275;12/31/14 03:30:21 PM;27.4;
276;12/31/14 03:36:55 PM;27.5;
277;12/31/14 04:13:56 PM;27.6;
278;01/08/15 08:55:20 PM;27.7;
279;01/08/15 11:20:07 PM;27.8;
280;01/09/15 12:33:52 AM;27.9;
281;01/09/15 03:15:04 AM;28.0;
282;01/10/15 02:05:55 AM;28.1;
283;01/10/15 03:51:28 AM;28.2;
284;01/10/15 07:46:45 AM;28.3;
285;01/14/15 08:56:19 AM;28.3;Registrado
