"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;10/02/15 11:43:56;0.0;
2;10/02/15 14:29:29;0.1;
3;10/02/15 14:30:05;0.2;
4;10/02/15 14:30:46;0.3;
5;10/02/15 14:31:19;0.4;
6;10/02/15 14:32:25;0.5;
7;10/02/15 14:33:19;0.6;
8;10/02/15 14:34:10;0.7;
9;10/02/15 14:34:58;0.8;
10;10/02/15 14:35:41;0.9;
11;10/02/15 14:36:28;1.0;
12;10/02/15 14:38:23;1.1;
13;10/02/15 14:38:54;1.2;
14;10/02/15 14:39:11;1.3;
15;10/02/15 14:40:05;1.4;
16;10/02/15 14:40:50;1.5;
17;10/02/15 14:41:17;1.6;
18;10/02/15 14:41:34;1.7;
19;10/02/15 14:41:44;1.8;
20;10/02/15 14:41:57;1.9;
21;10/02/15 14:42:13;2.0;
22;10/02/15 14:42:29;2.1;
23;10/02/15 14:42:40;2.2;
24;10/02/15 14:42:50;2.3;
25;10/02/15 14:42:59;2.4;
26;10/02/15 14:43:15;2.5;
27;10/02/15 14:43:33;2.6;
28;10/02/15 14:43:56;2.7;
29;10/02/15 14:44:16;2.8;
30;10/02/15 14:44:35;2.9;
31;10/02/15 14:44:51;3.0;
32;10/02/15 14:45:07;3.1;
33;10/02/15 14:45:21;3.2;
34;10/02/15 14:45:35;3.3;
35;10/02/15 14:45:49;3.4;
36;10/02/15 14:46:06;3.5;
37;10/02/15 14:46:23;3.6;
38;10/02/15 14:46:40;3.7;
39;10/02/15 14:46:54;3.8;
40;10/02/15 14:47:08;3.9;
41;10/02/15 14:47:20;4.0;
42;10/02/15 14:47:33;4.1;
43;10/02/15 14:47:46;4.2;
44;10/02/15 14:48:07;4.3;
45;10/02/15 14:48:28;4.4;
46;10/02/15 14:48:56;4.5;
47;10/02/15 14:49:35;4.6;
48;10/02/15 14:50:42;4.7;
49;10/02/15 14:51:57;4.8;
50;10/02/15 14:53:36;4.9;
51;10/02/15 14:54:47;5.0;
52;10/02/15 14:55:43;5.1;
53;10/02/15 14:57:08;5.2;
54;10/02/15 14:59:03;5.3;
55;10/02/15 15:02:15;5.4;
56;10/02/15 15:07:21;5.5;
57;10/02/15 15:11:08;5.6;
58;10/02/15 15:13:32;5.7;
59;10/02/15 15:22:29;5.8;
60;10/02/15 19:13:13;5.9;
61;10/02/15 19:13:27;6.0;
62;10/02/15 19:13:42;6.1;
