"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;11/05/15 09:48:03;0.0;
2;11/05/15 13:56:18;0.1;
3;11/05/15 23:19:59;0.2;
4;11/05/15 23:38:20;0.3;
5;12/05/15 03:42:15;0.4;
6;12/05/15 04:31:11;0.5;
7;12/05/15 05:15:49;0.6;
8;12/05/15 06:35:01;0.7;
9;12/05/15 06:57:32;0.8;
10;12/05/15 07:48:15;0.9;
11;13/05/15 00:55:23;1.0;
12;13/05/15 02:15:11;1.1;
13;13/05/15 02:41:48;1.2;
14;13/05/15 02:53:37;1.3;
15;13/05/15 03:04:17;1.4;
16;13/05/15 03:16:18;1.5;
17;13/05/15 03:39:16;1.6;
18;13/05/15 04:15:01;1.7;
19;13/05/15 04:30:16;1.8;
20;13/05/15 05:00:53;1.9;
21;13/05/15 06:52:28;2.0;
22;16/05/15 15:00:59;2.1;
23;17/05/15 15:03:27;2.2;
24;17/05/15 15:05:19;2.3;
25;17/05/15 15:06:01;2.4;
26;17/05/15 15:06:53;2.5;
27;17/05/15 15:07:28;2.6;
28;17/05/15 15:08:01;2.7;
29;17/05/15 15:09:14;2.8;
30;17/05/15 16:03:53;2.9;
31;17/05/15 16:07:37;3.0;
32;17/05/15 16:34:16;3.1;
33;18/05/15 07:16:42;3.2;
34;20/05/15 14:27:07;3.3;
35;20/05/15 14:28:34;3.4;
36;20/05/15 14:30:32;3.5;
37;20/05/15 14:32:28;3.6;
38;20/05/15 15:09:00;3.7;
39;20/05/15 16:47:39;3.8;
40;20/05/15 16:51:28;3.9;
41;20/05/15 16:55:13;4.0;
42;20/05/15 16:59:32;4.1;
43;20/05/15 17:02:12;4.2;
44;20/05/15 17:04:52;4.3;
45;20/05/15 17:07:31;4.4;
46;20/05/15 17:16:00;4.5;
47;20/05/15 17:21:52;4.6;
48;20/05/15 17:24:54;4.7;
49;20/05/15 17:30:06;4.8;
50;20/05/15 19:31:58;4.9;
51;20/05/15 20:22:53;5.0;
52;21/05/15 00:14:48;5.1;
53;21/05/15 01:34:18;5.2;
54;21/05/15 03:50:03;5.3;
55;21/05/15 04:58:39;5.4;
56;21/05/15 05:44:46;5.5;
57;21/05/15 06:26:55;5.6;
58;21/05/15 06:34:14;5.7;
59;21/05/15 06:53:57;5.8;
60;21/05/15 07:17:35;5.9;
61;21/05/15 07:53:38;6.0;
62;21/05/15 13:14:41;6.1;
63;21/05/15 13:19:56;6.2;
64;21/05/15 13:21:31;6.3;
65;21/05/15 13:22:45;6.4;
66;21/05/15 13:25:07;6.5;
67;21/05/15 13:26:39;6.6;
68;21/05/15 13:29:54;6.7;
69;21/05/15 13:34:38;6.8;
70;21/05/15 18:23:25;6.9;
71;21/05/15 18:32:38;7.0;
72;21/05/15 21:04:06;7.1;
73;21/05/15 22:08:22;7.2;
74;23/05/15 13:46:51;7.3;
75;23/05/15 13:47:34;7.4;
76;23/05/15 13:48:36;7.5;
77;23/05/15 13:49:59;7.6;
78;23/05/15 13:51:26;7.7;
79;23/05/15 13:54:01;7.8;
80;23/05/15 14:20:10;7.9;
81;23/05/15 14:24:41;8.0;
82;23/05/15 14:28:17;8.1;
83;23/05/15 14:33:40;8.2;
84;23/05/15 14:36:49;8.3;
85;23/05/15 14:37:46;8.4;
86;23/05/15 14:38:10;8.5;
87;23/05/15 14:38:38;8.6;
