"Título de trazado: JTU-01_PT22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;17/11/15 11:43:46;0.0;
2;17/11/15 11:45:13;0.1;
3;17/11/15 13:19:38;0.2;
4;17/11/15 13:24:05;0.3;
5;17/11/15 13:26:24;0.4;
6;17/11/15 13:46:48;0.5;
7;17/11/15 15:23:33;0.6;
8;17/11/15 15:27:06;0.7;
9;17/11/15 15:31:34;0.8;
10;17/11/15 15:34:40;0.9;
11;17/11/15 15:36:31;1.0;
12;17/11/15 15:42:12;1.1;
13;17/11/15 15:45:19;1.2;
14;17/11/15 15:48:11;1.3;
15;17/11/15 15:50:07;1.4;
16;17/11/15 15:53:35;1.5;
17;17/11/15 15:57:27;1.6;
18;17/11/15 16:03:17;1.7;
19;17/11/15 16:20:33;1.8;
20;17/11/15 23:34:59;1.9;
21;17/11/15 23:39:29;2.0;
22;19/11/15 06:31:01;2.1;
23;20/11/15 06:35:05;2.2;
24;21/11/15 14:34:50;2.3;
25;21/11/15 14:41:49;2.4;
26;21/11/15 22:56:32;2.5;
27;21/11/15 23:00:10;2.6;
28;21/11/15 23:07:08;2.7;
29;21/11/15 23:22:10;2.8;
30;21/11/15 23:31:45;2.9;
31;21/11/15 23:32:47;3.0;
32;21/11/15 23:34:00;3.1;
33;21/11/15 23:34:56;3.2;
34;21/11/15 23:35:51;3.3;
35;21/11/15 23:36:54;3.4;
36;21/11/15 23:39:46;3.5;
37;21/11/15 23:51:17;3.6;
38;23/11/15 12:20:40;3.7;
39;23/11/15 12:24:07;3.8;
40;23/11/15 12:27:47;3.9;
41;23/11/15 12:29:53;4.0;
42;23/11/15 13:18:04;4.1;
43;23/11/15 13:21:46;4.2;
44;23/11/15 13:27:19;4.3;
45;23/11/15 14:25:16;4.4;
46;23/11/15 14:25:58;4.5;
47;23/11/15 14:27:26;4.6;
48;23/11/15 14:30:42;4.7;
49;23/11/15 14:31:43;4.8;
50;23/11/15 16:21:40;4.9;
51;23/11/15 16:26:32;5.0;
52;23/11/15 23:09:31;5.1;
53;23/11/15 23:17:44;5.2;
54;23/11/15 23:27:43;5.3;
55;23/11/15 23:31:55;5.4;
56;24/11/15 04:05:20;5.5;
57;24/11/15 05:36:15;5.6;
58;24/11/15 05:43:53;5.7;
59;24/11/15 06:22:29;5.8;
60;24/11/15 11:16:13;5.9;
61;24/11/15 11:17:58;6.0;
62;24/11/15 11:23:03;6.1;
63;24/11/15 12:21:02;6.2;
64;24/11/15 12:29:40;6.3;
65;24/11/15 12:39:29;6.4;
66;24/11/15 12:50:10;6.5;
67;24/11/15 12:51:05;6.6;
68;24/11/15 12:52:06;6.7;
69;24/11/15 12:52:38;6.8;
70;24/11/15 12:53:02;6.9;
71;24/11/15 12:53:19;7.0;
72;24/11/15 12:53:37;7.1;
73;24/11/15 12:53:52;7.2;
74;24/11/15 12:54:10;7.3;
75;24/11/15 12:54:24;7.4;
76;24/11/15 12:54:43;7.5;
77;24/11/15 12:54:55;7.6;
78;24/11/15 12:55:14;7.7;
79;24/11/15 12:55:31;7.8;
80;24/11/15 12:55:57;7.9;
81;24/11/15 12:57:05;8.0;
82;24/11/15 13:07:12;8.1;
83;24/11/15 13:17:54;8.2;
84;24/11/15 13:22:03;8.3;
85;24/11/15 13:23:16;8.4;
86;24/11/15 13:24:38;8.5;
87;24/11/15 13:25:19;8.6;
88;24/11/15 13:25:59;8.7;
89;24/11/15 13:26:35;8.8;
90;24/11/15 13:27:55;8.9;
91;24/11/15 13:28:55;9.0;
92;24/11/15 13:30:42;9.1;
93;24/11/15 13:34:36;9.2;
94;24/11/15 13:55:54;9.3;
95;24/11/15 13:56:36;9.4;
96;24/11/15 13:57:29;9.5;
97;24/11/15 14:00:12;9.6;
98;24/11/15 14:01:27;9.7;
99;24/11/15 14:02:00;9.8;
100;24/11/15 14:02:47;9.9;
101;24/11/15 14:03:30;10.0;
102;24/11/15 14:04:21;10.1;
103;24/11/15 14:05:01;10.2;
104;24/11/15 14:05:39;10.3;
105;24/11/15 14:06:05;10.4;
106;24/11/15 14:07:00;10.5;
