"Título de trazado: JTU-01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;20/05/16 14:49:11;0.0;
2;24/05/16 05:22:56;0.1;
3;24/05/16 14:14:12;0.2;
4;24/05/16 14:27:02;0.3;
5;24/05/16 14:39:29;0.4;
6;24/05/16 15:20:34;0.5;
7;24/05/16 15:24:46;0.6;
8;24/05/16 15:26:28;0.7;
9;24/05/16 15:28:49;0.8;
10;24/05/16 15:33:16;0.9;
11;24/05/16 16:15:48;1.0;
12;25/05/16 18:12:20;1.1;
13;25/05/16 18:16:16;1.2;
14;25/05/16 18:19:27;1.3;
15;25/05/16 18:21:20;1.4;
16;25/05/16 18:24:51;1.5;
17;25/05/16 18:26:52;1.6;
18;25/05/16 18:30:35;1.7;
19;25/05/16 18:34:42;1.8;
20;25/05/16 18:37:33;1.9;
21;25/05/16 18:41:15;2.0;
22;25/05/16 18:53:17;2.1;
23;25/05/16 21:09:14;2.2;
24;26/05/16 01:25:02;2.3;
25;28/05/16 03:25:18;2.4;
26;28/05/16 08:44:10;2.5;
27;28/05/16 08:55:01;2.6;
28;28/05/16 09:11:24;2.7;
29;28/05/16 09:15:00;2.8;
30;28/05/16 09:18:19;2.9;
31;28/05/16 09:20:06;3.0;
32;28/05/16 09:21:38;3.1;
33;28/05/16 09:23:20;3.2;
34;28/05/16 09:25:43;3.3;
35;28/05/16 09:28:01;3.4;
36;28/05/16 09:31:28;3.5;
37;28/05/16 09:33:51;3.6;
38;28/05/16 09:35:52;3.7;
39;28/05/16 09:37:07;3.8;
40;28/05/16 09:38:22;3.9;
41;28/05/16 09:39:10;4.0;
42;28/05/16 09:40:04;4.1;
43;28/05/16 09:40:55;4.2;
44;28/05/16 09:42:03;4.3;
45;28/05/16 09:43:04;4.4;
46;28/05/16 09:44:15;4.5;
47;28/05/16 09:45:11;4.6;
48;28/05/16 09:46:06;4.7;
49;28/05/16 09:46:47;4.8;
50;28/05/16 09:47:45;4.9;
51;28/05/16 09:48:49;5.0;
52;28/05/16 09:50:12;5.1;
53;28/05/16 09:51:31;5.2;
54;28/05/16 09:52:41;5.3;
55;28/05/16 09:54:01;5.4;
56;28/05/16 09:55:32;5.5;
57;28/05/16 09:56:46;5.6;
58;28/05/16 09:58:16;5.7;
59;28/05/16 09:59:37;5.8;
60;28/05/16 10:01:33;5.9;
61;28/05/16 10:03:39;6.0;
62;28/05/16 10:09:39;6.1;
63;28/05/16 10:11:39;6.2;
64;28/05/16 10:13:05;6.3;
65;28/05/16 10:14:08;6.4;
66;28/05/16 10:15:11;6.5;
67;28/05/16 10:16:21;6.6;
68;28/05/16 10:17:49;6.7;
69;28/05/16 10:18:55;6.8;
70;28/05/16 10:20:02;6.9;
71;28/05/16 10:21:00;7.0;
72;28/05/16 10:22:00;7.1;
73;28/05/16 10:22:55;7.2;
