"Título de trazado: JTU-01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;07/06/16 11:58:35;0.0;
2;07/06/16 13:47:31;0.1;
3;07/06/16 23:58:17;0.2;
4;08/06/16 01:29:33;0.3;
5;08/06/16 02:20:49;0.4;
6;08/06/16 02:22:49;0.5;
7;08/06/16 02:24:47;0.6;
8;08/06/16 02:26:11;0.7;
9;08/06/16 02:29:09;0.8;
10;08/06/16 02:31:24;0.9;
11;08/06/16 02:36:31;1.0;
12;08/06/16 02:41:06;1.1;
13;08/06/16 02:54:13;1.2;
14;08/06/16 02:59:52;1.3;
15;08/06/16 03:05:04;1.4;
16;08/06/16 03:08:53;1.5;
17;08/06/16 03:25:22;1.6;
18;08/06/16 03:28:27;1.7;
19;08/06/16 04:40:38;1.8;
20;08/06/16 04:45:41;1.9;
21;08/06/16 04:49:59;2.0;
22;08/06/16 04:53:22;2.1;
23;08/06/16 04:57:02;2.2;
24;08/06/16 05:00:22;2.3;
25;08/06/16 05:05:01;2.4;
26;08/06/16 05:08:39;2.5;
27;08/06/16 05:12:40;2.6;
28;08/06/16 05:15:46;2.7;
29;08/06/16 05:20:04;2.8;
30;08/06/16 05:23:14;2.9;
31;08/06/16 05:25:46;3.0;
32;08/06/16 05:27:53;3.1;
33;08/06/16 05:30:23;3.2;
34;08/06/16 05:32:34;3.3;
35;08/06/16 05:34:55;3.4;
36;08/06/16 05:37:29;3.5;
37;08/06/16 05:41:38;3.6;
38;08/06/16 05:45:18;3.7;
39;08/06/16 05:49:10;3.8;
40;08/06/16 05:51:59;3.9;
41;08/06/16 05:56:00;4.0;
42;08/06/16 06:01:12;4.1;
43;08/06/16 06:06:07;4.2;
44;08/06/16 06:09:11;4.3;
45;08/06/16 06:13:44;4.4;
46;08/06/16 06:19:31;4.5;
47;08/06/16 06:27:25;4.6;
48;08/06/16 06:36:03;4.7;
49;08/06/16 06:44:07;4.8;
50;08/06/16 06:52:16;4.9;
51;08/06/16 07:01:24;5.0;
52;08/06/16 07:08:49;5.1;
53;08/06/16 07:15:45;5.2;
54;08/06/16 07:23:28;5.3;
55;08/06/16 07:31:18;5.4;
56;08/06/16 07:38:19;5.5;
57;08/06/16 07:45:10;5.6;
58;08/06/16 07:51:11;5.7;
59;08/06/16 07:58:01;5.8;
60;08/06/16 08:04:27;5.9;
61;08/06/16 08:12:55;6.0;
62;08/06/16 16:28:17;6.1;
63;08/06/16 17:01:51;6.2;
64;08/06/16 17:36:25;6.3;
65;08/06/16 18:06:25;6.4;
66;10/06/16 14:11:26;6.5;
67;10/06/16 14:21:23;6.6;
68;10/06/16 21:45:46;6.7;
69;10/06/16 22:03:28;6.8;
70;10/06/16 22:10:19;6.9;
71;10/06/16 22:18:18;7.0;
72;10/06/16 23:13:47;7.1;
73;10/06/16 23:46:29;7.2;
74;11/06/16 00:15:48;7.3;
75;11/06/16 01:29:58;7.4;
76;11/06/16 01:51:49;7.5;
77;11/06/16 02:16:27;7.6;
78;11/06/16 02:26:17;7.7;
79;11/06/16 02:34:13;7.8;
80;11/06/16 02:38:41;7.9;
81;11/06/16 02:43:54;8.0;
82;11/06/16 02:46:56;8.1;
83;11/06/16 02:50:29;8.2;
84;11/06/16 02:53:44;8.3;
85;11/06/16 02:58:22;8.4;
86;11/06/16 03:03:03;8.5;
87;11/06/16 03:13:47;8.6;
88;11/06/16 05:50:40;8.7;
89;11/06/16 05:54:48;8.8;
90;11/06/16 05:57:29;8.9;
91;11/06/16 06:03:11;9.0;
92;11/06/16 06:09:26;9.1;
93;11/06/16 06:17:53;9.2;
94;11/06/16 06:25:59;9.3;
95;11/06/16 16:19:30;9.4;
96;11/06/16 18:06:00;9.5;
97;11/06/16 18:18:58;9.6;
98;11/06/16 18:58:15;9.7;
99;12/06/16 05:15:26;9.8;
100;12/06/16 16:30:54;9.9;
101;12/06/16 16:34:43;10.0;
102;12/06/16 16:37:42;10.1;
103;12/06/16 16:41:00;10.2;
104;12/06/16 16:43:23;10.3;
105;12/06/16 16:47:43;10.4;
106;12/06/16 16:51:14;10.5;
107;12/06/16 16:54:00;10.6;
108;12/06/16 16:56:56;10.7;
109;12/06/16 16:59:25;10.8;
110;12/06/16 17:01:34;10.9;
111;12/06/16 17:05:00;11.0;
112;12/06/16 17:08:38;11.1;
113;12/06/16 17:14:05;11.2;
114;12/06/16 17:16:14;11.3;
115;12/06/16 17:18:17;11.4;
116;12/06/16 17:19:57;11.5;
117;12/06/16 17:24:48;11.6;
118;12/06/16 17:27:54;11.7;
119;12/06/16 17:36:48;11.8;
120;12/06/16 17:38:04;11.9;
121;12/06/16 17:39:42;12.0;
122;12/06/16 17:47:06;12.1;
123;12/06/16 17:52:19;12.2;
124;12/06/16 17:57:20;12.3;
125;12/06/16 18:25:25;12.4;
126;12/06/16 18:28:45;12.5;
127;12/06/16 18:36:31;12.6;
128;12/06/16 18:38:27;12.7;
129;12/06/16 18:44:31;12.8;
130;12/06/16 19:11:31;12.9;
131;12/06/16 20:02:05;13.0;
132;12/06/16 20:11:00;13.1;
133;12/06/16 20:31:16;13.2;
134;12/06/16 20:37:03;13.3;
135;12/06/16 20:51:34;13.4;
136;12/06/16 21:03:02;13.5;
137;12/06/16 21:27:28;13.6;
138;12/06/16 21:33:37;13.7;
139;12/06/16 21:50:55;13.8;
140;12/06/16 21:57:47;13.9;
141;12/06/16 22:02:28;14.0;
142;12/06/16 22:09:22;14.1;
143;12/06/16 22:14:04;14.2;
144;12/06/16 22:16:28;14.3;
145;12/06/16 22:19:30;14.4;
146;12/06/16 22:22:45;14.5;
147;12/06/16 22:30:29;14.6;
148;12/06/16 22:37:47;14.7;
149;12/06/16 22:45:52;14.8;
150;12/06/16 23:03:33;14.9;
151;12/06/16 23:21:05;15.0;
152;12/06/16 23:36:31;15.1;
153;13/06/16 00:02:46;15.2;
154;13/06/16 00:21:02;15.3;
155;13/06/16 00:27:24;15.4;
156;13/06/16 00:35:14;15.5;
157;13/06/16 00:46:38;15.6;
158;13/06/16 01:17:24;15.7;
159;13/06/16 01:30:12;15.8;
160;13/06/16 01:53:13;15.9;
161;13/06/16 01:56:44;16.0;
162;13/06/16 02:07:52;16.1;
163;13/06/16 02:15:24;16.2;
164;13/06/16 02:32:01;16.3;
165;13/06/16 02:44:44;16.4;
166;13/06/16 02:50:14;16.5;
167;13/06/16 03:00:21;16.6;
168;13/06/16 03:26:06;16.7;
169;13/06/16 03:28:47;16.8;
170;13/06/16 03:34:36;16.9;
171;13/06/16 03:55:12;17.0;
172;13/06/16 04:27:49;17.1;
173;13/06/16 04:43:44;17.2;
174;13/06/16 05:19:35;17.3;
175;13/06/16 05:41:13;17.4;
176;13/06/16 05:47:11;17.5;
177;13/06/16 05:51:56;17.6;
178;13/06/16 06:03:27;17.7;
179;13/06/16 06:17:35;17.8;
180;13/06/16 06:29:15;17.9;
181;13/06/16 07:10:29;18.0;
182;13/06/16 07:20:44;18.1;
183;13/06/16 07:30:48;18.2;
184;13/06/16 07:35:42;18.3;
185;13/06/16 07:41:24;18.4;
186;13/06/16 07:47:51;18.5;
187;13/06/16 08:43:44;18.6;
188;13/06/16 09:23:17;18.7;
189;13/06/16 09:51:01;18.8;
190;13/06/16 09:59:32;18.9;
191;13/06/16 10:05:26;19.0;
192;13/06/16 10:15:56;19.1;
193;13/06/16 11:20:53;19.2;
194;13/06/16 11:29:46;19.3;
195;13/06/16 12:45:45;19.4;
196;13/06/16 12:59:12;19.5;
197;13/06/16 13:11:22;19.6;
198;13/06/16 13:20:46;19.7;
199;13/06/16 13:32:19;19.8;
200;13/06/16 13:40:30;19.9;
201;13/06/16 13:58:06;20.0;
202;13/06/16 15:26:42;20.1;
203;13/06/16 16:43:29;20.2;
204;13/06/16 17:21:29;20.3;
205;13/06/16 22:41:51;20.4;
206;14/06/16 01:22:25;20.5;
207;15/06/16 14:30:46;20.6;
208;15/06/16 14:35:28;20.7;
209;15/06/16 16:53:38;20.8;
210;15/06/16 17:29:19;20.9;
211;15/06/16 18:11:01;21.0;
212;15/06/16 18:23:43;21.1;
213;15/06/16 18:31:18;21.2;
214;15/06/16 19:12:47;21.3;
215;15/06/16 20:21:38;21.4;
216;15/06/16 21:08:37;21.5;
217;15/06/16 21:27:05;21.6;
218;15/06/16 21:37:15;21.7;
219;15/06/16 21:50:32;21.8;
220;15/06/16 22:03:12;21.9;
221;15/06/16 22:14:39;22.0;
222;15/06/16 22:26:25;22.1;
223;15/06/16 22:42:20;22.2;
224;15/06/16 22:49:58;22.3;
225;15/06/16 23:00:21;22.4;
226;15/06/16 23:18:00;22.5;
227;15/06/16 23:31:11;22.6;
228;15/06/16 23:40:58;22.7;
229;15/06/16 23:54:03;22.8;
230;16/06/16 00:04:27;22.9;
231;16/06/16 00:29:37;23.0;
232;16/06/16 00:52:34;23.1;
233;16/06/16 01:51:51;23.2;
234;16/06/16 02:21:52;23.3;
235;16/06/16 02:48:29;23.4;
236;16/06/16 03:15:40;23.5;
237;16/06/16 03:23:23;23.6;
238;16/06/16 03:26:24;23.7;
239;16/06/16 03:31:04;23.8;
240;16/06/16 03:35:52;23.9;
241;16/06/16 03:46:08;24.0;
242;16/06/16 03:57:56;24.1;
243;16/06/16 04:06:12;24.2;
244;16/06/16 04:11:25;24.3;
245;16/06/16 04:17:38;24.4;
246;16/06/16 04:32:48;24.5;
247;16/06/16 05:09:25;24.6;
248;16/06/16 05:51:39;24.7;
249;16/06/16 05:54:19;24.8;
