"Título de trazado: JTU-01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;05/07/16 11:39:58;0.0;
2;05/07/16 14:45:04;0.1;
3;05/07/16 14:50:41;0.2;
4;05/07/16 14:58:26;0.3;
5;06/07/16 14:05:54;0.4;
6;10/07/16 05:40:00;0.5;
7;10/07/16 17:01:54;0.6;
8;10/07/16 17:05:24;0.7;
9;10/07/16 17:07:19;0.8;
10;10/07/16 17:08:46;0.9;
11;10/07/16 17:10:07;1.0;
12;10/07/16 17:12:14;1.1;
13;10/07/16 17:14:51;1.2;
14;10/07/16 17:18:21;1.3;
15;10/07/16 17:24:49;1.4;
16;11/07/16 07:28:07;1.5;
17;11/07/16 08:13:42;1.6;
18;11/07/16 08:31:09;1.7;
19;11/07/16 08:39:15;1.8;
20;11/07/16 09:24:22;1.9;
21;11/07/16 12:49:01;2.0;
22;14/07/16 06:44:37;2.1;
23;16/07/16 07:04:02;2.2;
24;17/07/16 08:18:18;2.3;
25;17/07/16 08:21:13;2.4;
26;17/07/16 08:24:03;2.5;
27;17/07/16 08:30:04;2.6;
28;17/07/16 22:29:55;2.7;
29;17/07/16 23:02:17;2.8;
30;18/07/16 00:20:54;2.9;
31;18/07/16 01:56:08;3.0;
32;20/07/16 02:32:31;3.1;
33;20/07/16 02:39:59;3.2;
34;20/07/16 02:52:29;3.3;
35;20/07/16 03:37:53;3.4;
36;20/07/16 03:50:57;3.5;
37;20/07/16 03:54:29;3.6;
38;20/07/16 04:08:43;3.7;
39;20/07/16 05:28:13;3.8;
40;20/07/16 06:04:15;3.9;
41;20/07/16 06:07:20;4.0;
42;20/07/16 06:11:37;4.1;
43;20/07/16 06:15:35;4.2;
44;20/07/16 06:21:21;4.3;
45;20/07/16 06:24:13;4.4;
46;20/07/16 06:27:06;4.5;
47;20/07/16 06:29:48;4.6;
48;20/07/16 06:32:03;4.7;
49;20/07/16 06:33:51;4.8;
50;20/07/16 06:36:21;4.9;
51;20/07/16 06:40:13;5.0;
52;20/07/16 06:48:06;5.1;
53;20/07/16 06:49:47;5.2;
54;20/07/16 06:51:41;5.3;
55;20/07/16 06:55:32;5.4;
56;20/07/16 07:12:49;5.5;
57;20/07/16 07:26:05;5.6;
58;20/07/16 07:29:23;5.7;
59;20/07/16 07:33:14;5.8;
60;20/07/16 07:38:42;5.9;
61;20/07/16 07:41:35;6.0;
62;20/07/16 07:44:10;6.1;
63;20/07/16 07:46:13;6.2;
64;20/07/16 07:47:44;6.3;
65;20/07/16 07:48:59;6.4;
66;20/07/16 07:50:13;6.5;
67;20/07/16 07:51:49;6.6;
68;20/07/16 07:52:59;6.7;
69;20/07/16 07:53:59;6.8;
70;20/07/16 07:55:18;6.9;
71;20/07/16 07:56:39;7.0;
72;20/07/16 07:58:04;7.1;
73;20/07/16 07:59:30;7.2;
74;20/07/16 08:00:58;7.3;
75;20/07/16 08:02:41;7.4;
76;20/07/16 08:05:15;7.5;
77;20/07/16 08:13:01;7.6;
78;20/07/16 08:18:08;7.7;
79;20/07/16 08:22:43;7.8;
80;20/07/16 08:25:41;7.9;
81;20/07/16 08:27:58;8.0;
82;20/07/16 08:30:08;8.1;
83;20/07/16 08:32:57;8.2;
84;20/07/16 08:42:06;8.3;
85;20/07/16 08:58:28;8.4;
86;20/07/16 09:06:17;8.5;
87;20/07/16 09:08:04;8.6;
88;20/07/16 09:09:08;8.7;
89;20/07/16 09:09:55;8.8;
90;20/07/16 09:10:47;8.9;
91;20/07/16 09:11:54;9.0;
92;20/07/16 09:13:23;9.1;
93;20/07/16 09:14:31;9.2;
94;20/07/16 09:15:36;9.3;
95;20/07/16 09:16:45;9.4;
96;20/07/16 09:18:35;9.5;
97;20/07/16 09:20:23;9.6;
98;20/07/16 09:21:58;9.7;
99;20/07/16 09:23:03;9.8;
100;20/07/16 09:24:20;9.9;
101;20/07/16 09:25:31;10.0;
102;20/07/16 09:26:43;10.1;
103;20/07/16 09:27:47;10.2;
104;20/07/16 09:28:58;10.3;
105;20/07/16 09:30:14;10.4;
106;20/07/16 09:31:53;10.5;
107;20/07/16 09:34:02;10.6;
108;20/07/16 09:36:56;10.7;
109;20/07/16 09:39:11;10.8;
110;20/07/16 09:45:51;10.9;
111;20/07/16 09:50:05;11.0;
112;20/07/16 09:52:39;11.1;
113;20/07/16 10:03:10;11.2;
114;20/07/16 10:16:44;11.3;
115;20/07/16 10:23:18;11.4;
116;20/07/16 10:27:03;11.5;
117;20/07/16 10:29:05;11.6;
118;20/07/16 10:31:08;11.7;
119;20/07/16 10:33:33;11.8;
120;20/07/16 10:37:36;11.9;
121;20/07/16 10:45:05;12.0;
122;20/07/16 10:54:18;12.1;
123;20/07/16 11:18:31;12.2;
124;20/07/16 11:21:55;12.3;
125;20/07/16 11:24:43;12.4;
126;20/07/16 11:30:01;12.5;
127;20/07/16 11:33:30;12.6;
128;20/07/16 11:38:28;12.7;
129;20/07/16 11:46:54;12.8;
130;20/07/16 12:56:38;12.9;
131;20/07/16 13:16:23;13.0;
132;20/07/16 14:21:10;13.1;
133;20/07/16 14:53:39;13.2;
134;20/07/16 15:08:38;13.3;
135;20/07/16 15:24:36;13.4;
136;20/07/16 22:17:45;13.5;
137;21/07/16 02:07:05;13.6;
138;21/07/16 05:48:41;13.7;
139;21/07/16 06:11:38;13.8;
140;21/07/16 06:27:41;13.9;
141;21/07/16 21:49:31;14.0;
142;21/07/16 22:46:22;14.1;
143;21/07/16 22:53:26;14.2;
144;22/07/16 00:25:23;14.3;
145;22/07/16 00:41:22;14.4;
146;22/07/16 01:26:15;14.5;
147;22/07/16 02:31:45;14.6;
148;22/07/16 02:59:45;14.7;
149;22/07/16 03:05:23;14.8;
150;22/07/16 03:12:39;14.9;
151;22/07/16 03:20:52;15.0;
152;22/07/16 03:25:08;15.1;
153;22/07/16 03:29:50;15.2;
154;22/07/16 03:54:24;15.3;
155;22/07/16 04:13:55;15.4;
156;22/07/16 04:17:51;15.5;
157;22/07/16 04:20:28;15.6;
158;22/07/16 04:23:55;15.7;
159;22/07/16 04:26:29;15.8;
160;22/07/16 04:29:46;15.9;
161;22/07/16 04:32:27;16.0;
162;22/07/16 04:37:35;16.1;
163;22/07/16 04:45:47;16.2;
164;22/07/16 04:52:19;16.3;
165;22/07/16 04:57:15;16.4;
166;22/07/16 05:13:50;16.5;
167;22/07/16 05:23:18;16.6;
168;22/07/16 05:27:35;16.7;
169;22/07/16 05:43:30;16.8;
170;22/07/16 05:58:34;16.9;
171;22/07/16 06:23:58;17.0;
172;22/07/16 07:25:19;17.1;
173;22/07/16 08:02:19;17.2;
174;22/07/16 08:15:16;17.3;
175;22/07/16 08:22:08;17.4;
176;22/07/16 09:24:08;17.5;
177;22/07/16 09:42:42;17.6;
178;22/07/16 10:29:05;17.7;
179;22/07/16 11:04:17;17.8;
180;22/07/16 19:38:34;17.9;
181;22/07/16 20:02:41;18.0;
182;22/07/16 21:27:55;18.1;
183;22/07/16 21:44:45;18.2;
184;22/07/16 22:27:07;18.3;
185;23/07/16 00:19:52;18.4;
186;23/07/16 00:56:47;18.5;
187;23/07/16 01:05:09;18.6;
188;23/07/16 01:43:47;18.7;
189;23/07/16 02:42:52;18.8;
190;23/07/16 03:46:41;18.9;
191;23/07/16 04:44:38;19.0;
192;23/07/16 05:04:31;19.1;
193;23/07/16 05:19:19;19.2;
194;23/07/16 05:53:11;19.3;
195;23/07/16 06:16:12;19.4;
196;23/07/16 07:17:39;19.5;
197;23/07/16 07:58:36;19.6;
198;23/07/16 10:24:25;19.7;
199;23/07/16 10:34:49;19.8;
200;23/07/16 12:00:36;19.9;
201;23/07/16 12:07:53;20.0;
202;23/07/16 12:16:08;20.1;
203;23/07/16 15:05:24;20.2;
204;23/07/16 15:22:49;20.3;
205;23/07/16 15:28:13;20.4;
206;23/07/16 15:34:44;20.5;
207;23/07/16 15:42:50;20.6;
208;23/07/16 15:51:39;20.7;
209;23/07/16 16:21:03;20.8;
210;23/07/16 16:28:26;20.9;
211;23/07/16 16:54:21;21.0;
212;23/07/16 17:03:01;21.1;
213;23/07/16 17:07:22;21.2;
214;23/07/16 17:14:17;21.3;
215;23/07/16 17:21:07;21.4;
216;23/07/16 17:23:09;21.5;
217;23/07/16 17:26:10;21.6;
218;23/07/16 17:31:48;21.7;
219;23/07/16 17:38:44;21.8;
220;23/07/16 17:56:42;21.9;
221;24/07/16 00:48:38;22.0;
222;24/07/16 10:47:24;22.1;
223;24/07/16 16:48:30;22.2;
224;24/07/16 20:12:36;22.3;
225;24/07/16 23:46:12;22.4;
226;25/07/16 11:32:02;22.5;
227;25/07/16 12:16:27;22.6;
228;25/07/16 12:18:44;22.7;
229;25/07/16 12:20:52;22.8;
230;25/07/16 12:36:14;22.9;
231;27/07/16 01:22:11;23.0;
232;27/07/16 06:09:15;23.1;
233;27/07/16 06:15:28;23.2;
234;27/07/16 06:39:31;23.3;
235;27/07/16 07:42:40;23.4;
236;27/07/16 07:57:24;23.5;
237;27/07/16 08:12:38;23.6;
238;27/07/16 11:27:51;23.7;
239;27/07/16 14:03:41;23.8;
240;27/07/16 14:11:02;23.9;
241;27/07/16 14:12:57;24.0;
242;27/07/16 14:14:57;24.1;
243;27/07/16 14:16:21;24.2;
244;27/07/16 14:17:57;24.3;
245;27/07/16 14:19:24;24.4;
246;27/07/16 14:20:59;24.5;
247;27/07/16 14:22:13;24.6;
248;27/07/16 14:23:24;24.7;
249;27/07/16 14:24:24;24.8;
250;27/07/16 14:25:28;24.9;
251;27/07/16 14:26:28;25.0;
252;27/07/16 14:27:36;25.1;
253;27/07/16 14:28:38;25.2;
254;27/07/16 14:29:46;25.3;
255;27/07/16 14:30:56;25.4;
256;27/07/16 14:31:59;25.5;
257;27/07/16 14:33:00;25.6;
258;27/07/16 14:33:59;25.7;
259;27/07/16 14:34:48;25.8;
260;27/07/16 14:35:57;25.9;
261;27/07/16 14:37:15;26.0;
262;27/07/16 14:38:54;26.1;
263;27/07/16 14:40:26;26.2;
264;27/07/16 14:41:54;26.3;
265;27/07/16 14:43:22;26.4;
266;27/07/16 14:44:54;26.5;
267;27/07/16 14:46:28;26.6;
268;27/07/16 14:48:25;26.7;
269;27/07/16 14:50:39;26.8;
270;27/07/16 14:52:56;26.9;
271;27/07/16 14:54:54;27.0;
272;27/07/16 14:57:15;27.1;
273;27/07/16 14:59:36;27.2;
274;27/07/16 15:02:37;27.3;
275;27/07/16 15:07:21;27.4;
276;27/07/16 15:31:57;27.5;
277;27/07/16 15:52:58;27.6;
278;27/07/16 20:27:55;27.7;
279;27/07/16 22:39:15;27.8;
280;27/07/16 23:15:34;27.9;
281;28/07/16 00:01:37;28.0;
282;28/07/16 00:16:49;28.1;
283;28/07/16 00:27:28;28.2;
284;28/07/16 01:03:12;28.3;
285;28/07/16 02:04:34;28.4;
286;28/07/16 03:04:46;28.5;
287;28/07/16 03:36:25;28.6;
288;28/07/16 03:58:13;28.7;
289;28/07/16 04:19:42;28.8;
290;28/07/16 04:30:13;28.9;
291;28/07/16 04:36:12;29.0;
292;28/07/16 04:55:17;29.1;
293;28/07/16 05:13:16;29.2;
294;28/07/16 05:33:41;29.3;
295;28/07/16 06:05:07;29.4;
296;28/07/16 06:33:31;29.5;
297;28/07/16 06:54:20;29.6;
298;28/07/16 07:12:21;29.7;
299;28/07/16 07:50:36;29.8;
300;28/07/16 08:02:04;29.9;
301;28/07/16 08:36:26;30.0;
302;28/07/16 09:13:00;30.1;
303;29/07/16 03:14:24;30.2;
304;29/07/16 04:08:18;30.3;
305;29/07/16 04:44:24;30.4;
306;29/07/16 05:15:37;30.5;
307;29/07/16 05:25:28;30.6;
308;29/07/16 05:51:52;30.7;
309;29/07/16 05:59:35;30.8;
310;29/07/16 06:07:24;30.9;
311;29/07/16 07:04:14;31.0;
312;29/07/16 08:16:41;31.1;
313;29/07/16 08:24:58;31.2;
314;29/07/16 08:31:10;31.3;
315;29/07/16 09:00:07;31.4;
316;29/07/16 10:25:53;31.5;
317;29/07/16 13:36:25;31.6;
318;29/07/16 13:43:17;31.7;
319;29/07/16 13:50:26;31.8;
320;29/07/16 14:13:56;31.9;
321;29/07/16 15:13:29;32.0;
322;29/07/16 16:12:36;32.1;
323;30/07/16 11:19:06;32.2;
324;30/07/16 23:46:09;32.3;
325;31/07/16 07:08:02;32.4;
326;03/08/16 04:39:47;32.5;
327;03/08/16 06:01:11;32.6;
328;03/08/16 06:53:32;32.7;
329;03/08/16 07:58:08;32.8;
330;03/08/16 11:26:37;32.9;
331;04/08/16 04:21:22;33.0;
332;04/08/16 05:04:36;33.1;
333;04/08/16 05:54:08;33.2;
334;06/08/16 07:02:39;33.3;
335;09/08/16 11:05:56;33.3;Registrado
