"Título de trazado: JTU-01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Precipitacion, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;13/12/16 11:38:20;0.0;
2;15/12/16 00:37:12;0.1;
3;15/12/16 00:49:43;0.2;
4;15/12/16 01:12:04;0.3;
5;15/12/16 01:58:50;0.4;
6;15/12/16 02:51:09;0.5;
7;15/12/16 02:55:39;0.6;
8;15/12/16 02:59:16;0.7;
9;15/12/16 03:02:36;0.8;
10;15/12/16 03:06:38;0.9;
11;15/12/16 03:10:38;1.0;
12;15/12/16 03:14:24;1.1;
13;15/12/16 03:18:06;1.2;
14;15/12/16 03:22:31;1.3;
15;15/12/16 03:27:33;1.4;
16;15/12/16 03:32:10;1.5;
17;15/12/16 03:37:10;1.6;
18;15/12/16 03:55:13;1.7;
19;15/12/16 04:32:05;1.8;
20;15/12/16 07:12:23;1.9;
21;16/12/16 09:11:48;2.0;
22;16/12/16 09:20:43;2.1;
23;16/12/16 09:26:52;2.2;
24;16/12/16 09:35:22;2.3;
25;16/12/16 09:40:52;2.4;
26;16/12/16 09:45:50;2.5;
27;16/12/16 09:50:27;2.6;
28;16/12/16 09:55:50;2.7;
29;16/12/16 09:59:42;2.8;
30;16/12/16 10:04:54;2.9;
31;16/12/16 10:10:33;3.0;
32;16/12/16 10:17:13;3.1;
33;16/12/16 10:22:50;3.2;
34;16/12/16 10:26:26;3.3;
35;16/12/16 10:29:59;3.4;
36;16/12/16 10:33:46;3.5;
37;16/12/16 10:36:55;3.6;
38;16/12/16 10:41:38;3.7;
39;16/12/16 10:44:49;3.8;
40;16/12/16 10:47:16;3.9;
41;16/12/16 10:49:52;4.0;
42;16/12/16 10:52:55;4.1;
43;16/12/16 10:55:47;4.2;
44;16/12/16 11:00:34;4.3;
45;16/12/16 11:04:58;4.4;
46;16/12/16 11:09:14;4.5;
47;16/12/16 11:13:14;4.6;
48;16/12/16 11:23:27;4.7;
49;16/12/16 11:29:40;4.8;
50;16/12/16 11:35:40;4.9;
51;16/12/16 11:43:38;5.0;
52;16/12/16 11:53:30;5.1;
53;16/12/16 11:59:43;5.2;
