"Título de trazado: JTU_01_PT_32"
"N.º";"Fecha Tiempo, GMT-05:00";"PRECIPITACION, mm (LGR S/N: 2412761, SEN S/N: 2412761)";"Final de archivo (LGR S/N: 2412761)"
1;11/05/15 09:24:52;0,0;
2;11/05/15 13:40:56;0,1;
3;11/05/15 14:00:12;0,2;
4;12/05/15 00:30:20;0,3;
5;12/05/15 04:12:39;0,4;
6;12/05/15 04:23:45;0,5;
7;12/05/15 04:35:00;0,6;
8;12/05/15 04:55:47;0,7;
9;12/05/15 05:32:10;0,8;
10;12/05/15 06:34:50;0,9;
11;12/05/15 06:56:31;1,0;
12;12/05/15 07:52:19;1,1;
13;12/05/15 08:06:43;1,2;
14;12/05/15 08:38:06;1,3;
15;13/05/15 01:52:14;1,4;
16;13/05/15 02:32:06;1,5;
17;13/05/15 02:50:56;1,6;
18;13/05/15 03:06:16;1,7;
19;13/05/15 03:17:12;1,8;
20;13/05/15 03:37:39;1,9;
21;13/05/15 04:00:12;2,0;
22;13/05/15 04:19:31;2,1;
23;13/05/15 04:43:05;2,2;
24;13/05/15 05:03:36;2,3;
25;13/05/15 05:38:02;2,4;
26;16/05/15 14:54:09;2,5;
27;17/05/15 15:01:08;2,6;
28;17/05/15 15:02:06;2,7;
29;17/05/15 15:02:37;2,8;
30;17/05/15 15:03:17;2,9;
31;17/05/15 15:04:08;3,0;
32;17/05/15 15:04:48;3,1;
33;17/05/15 15:05:14;3,2;
34;17/05/15 15:06:15;3,3;
35;17/05/15 15:07:10;3,4;
36;17/05/15 15:07:45;3,5;
37;17/05/15 15:08:05;3,6;
38;17/05/15 15:08:23;3,7;
39;17/05/15 15:08:34;3,8;
40;17/05/15 15:08:53;3,9;
41;17/05/15 15:09:16;4,0;
42;17/05/15 15:11:06;4,1;
43;17/05/15 15:22:30;4,2;
44;17/05/15 16:00:08;4,3;
45;17/05/15 16:06:02;4,4;
46;17/05/15 16:08:41;4,5;
47;17/05/15 16:10:40;4,6;
48;17/05/15 16:35:44;4,7;
49;20/05/15 14:26:22;4,8;
50;20/05/15 14:32:58;4,9;
51;20/05/15 15:08:04;5,0;
52;20/05/15 15:11:16;5,1;
53;20/05/15 16:41:49;5,2;
54;20/05/15 16:51:55;5,3;
55;20/05/15 16:55:28;5,4;
56;20/05/15 16:59:37;5,5;
57;20/05/15 17:02:32;5,6;
58;20/05/15 17:05:20;5,7;
59;20/05/15 17:08:33;5,8;
60;20/05/15 17:19:41;5,9;
61;20/05/15 17:22:59;6,0;
62;20/05/15 17:26:08;6,1;
63;20/05/15 17:38:22;6,2;
64;20/05/15 20:14:30;6,3;
65;21/05/15 01:19:45;6,4;
66;21/05/15 03:34:16;6,5;
67;21/05/15 05:14:26;6,6;
68;21/05/15 06:27:23;6,7;
69;21/05/15 06:35:21;6,8;
70;21/05/15 07:08:41;6,9;
71;21/05/15 11:25:58;7,0;
72;21/05/15 13:14:44;7,1;
73;21/05/15 13:19:06;7,2;
74;21/05/15 13:22:03;7,3;
75;21/05/15 13:23:24;7,4;
76;21/05/15 13:26:00;7,5;
77;21/05/15 13:27:52;7,6;
78;21/05/15 13:33:09;7,7;
79;21/05/15 16:02:35;7,8;
80;21/05/15 18:26:10;7,9;
81;21/05/15 18:35:26;8,0;
82;21/05/15 21:04:42;8,1;
83;22/05/15 00:50:16;8,2;
84;23/05/15 13:48:15;8,3;
85;23/05/15 13:48:53;8,4;
86;23/05/15 13:49:45;8,5;
87;23/05/15 13:50:24;8,6;
88;23/05/15 13:51:10;8,7;
89;23/05/15 13:52:03;8,8;
90;23/05/15 13:53:51;8,9;
91;23/05/15 14:14:39;9,0;
92;23/05/15 14:18:10;9,1;
93;23/05/15 14:25:05;9,2;
94;23/05/15 14:28:08;9,3;
95;23/05/15 14:32:53;9,4;
96;23/05/15 14:35:16;9,5;
97;23/05/15 14:35:47;9,6;
98;23/05/15 14:36:45;9,7;
99;23/05/15 14:38:03;9,8;
100;23/05/15 14:38:42;9,9;
101;23/05/15 14:39:03;10,0;
102;23/05/15 14:39:31;10,1;
103;23/05/15 14:40:04;10,2;
104;23/05/15 14:40:48;10,3;
105;23/05/15 14:41:27;10,4;
106;23/05/15 14:42:01;10,5;
107;23/05/15 14:42:33;10,6;
108;23/05/15 14:43:19;10,7;
109;23/05/15 14:44:19;10,8;
110;23/05/15 14:46:26;10,9;
111;23/05/15 14:52:18;11,0;
112;24/05/15 14:10:59;11,1;
113;25/05/15 12:08:17;11,2;
114;25/05/15 12:18:15;11,3;
115;25/05/15 12:40:39;11,4;
116;25/05/15 12:52:52;11,5;
117;25/05/15 12:58:30;11,6;
118;25/05/15 13:04:59;11,7;
119;25/05/15 13:09:15;11,8;
120;25/05/15 13:13:28;11,9;
121;25/05/15 13:17:31;12,0;
122;25/05/15 13:24:31;12,1;
123;25/05/15 13:31:14;12,2;
124;25/05/15 13:40:36;12,3;
125;25/05/15 13:45:18;12,4;
126;25/05/15 13:54:18;12,5;
127;25/05/15 14:02:15;12,6;
128;25/05/15 14:16:55;12,7;
129;25/05/15 14:31:21;12,8;
130;25/05/15 14:43:41;12,9;
131;25/05/15 14:50:48;13,0;
132;25/05/15 14:57:19;13,1;
133;25/05/15 15:01:41;13,2;
134;25/05/15 15:07:19;13,3;
135;25/05/15 15:13:14;13,4;
136;25/05/15 15:21:04;13,5;
137;25/05/15 15:38:16;13,6;
138;25/05/15 15:51:45;13,7;
139;27/05/15 14:40:13;13,8;
140;28/05/15 01:11:14;13,9;
141;28/05/15 05:56:22;14,0;
142;28/05/15 06:02:45;14,1;
143;28/05/15 06:08:02;14,2;
144;28/05/15 06:10:23;14,3;
145;28/05/15 06:12:25;14,4;
146;28/05/15 06:14:29;14,5;
147;28/05/15 06:15:40;14,6;
148;28/05/15 06:16:53;14,7;
149;28/05/15 06:17:53;14,8;
150;28/05/15 06:20:11;14,9;
151;28/05/15 06:21:26;15,0;
152;28/05/15 06:22:32;15,1;
153;28/05/15 06:23:37;15,2;
154;28/05/15 06:24:34;15,3;
155;28/05/15 06:25:33;15,4;
156;28/05/15 06:26:35;15,5;
157;28/05/15 06:27:39;15,6;
158;28/05/15 06:28:44;15,7;
159;28/05/15 06:29:59;15,8;
160;28/05/15 06:31:00;15,9;
161;28/05/15 06:31:59;16,0;
162;28/05/15 06:33:12;16,1;
163;28/05/15 06:34:29;16,2;
164;28/05/15 06:36:24;16,3;
165;28/05/15 06:37:52;16,4;
166;28/05/15 06:39:53;16,5;
167;28/05/15 06:43:32;16,6;
168;28/05/15 08:14:09;16,7;
169;28/05/15 09:32:33;16,8;
170;28/05/15 10:24:14;16,9;
171;28/05/15 10:24:46;17,0;
172;28/05/15 10:25:25;17,1;
173;28/05/15 10:26:01;17,2;
174;28/05/15 10:26:40;17,3;
175;28/05/15 10:27:15;17,4;
176;28/05/15 10:27:54;17,5;
177;28/05/15 10:28:29;17,6;
178;28/05/15 10:29:08;17,7;
179;28/05/15 10:29:40;17,8;
180;28/05/15 10:30:18;17,9;
181;28/05/15 10:30:51;18,0;
182;28/05/15 10:31:30;18,1;
183;28/05/15 10:32:05;18,2;
184;28/05/15 10:32:44;18,3;
185;28/05/15 10:33:17;18,4;
186;28/05/15 10:34:01;18,5;
187;28/05/15 10:34:43;18,6;
188;28/05/15 10:35:32;18,7;
189;28/05/15 10:36:11;18,8;
190;28/05/15 10:37:02;18,9;
191;28/05/15 10:37:48;19,0;
192;28/05/15 10:38:46;19,1;
193;28/05/15 10:39:34;19,2;
194;28/05/15 10:40:33;19,3;
195;28/05/15 10:41:04;19,4;
196;28/05/15 10:41:41;19,5;
197;28/05/15 10:42:23;19,6;
198;28/05/15 10:43:15;19,7;
199;28/05/15 10:44:00;19,8;
200;28/05/15 10:44:56;19,9;
201;28/05/15 10:45:42;20,0;
202;28/05/15 10:46:37;20,1;
203;28/05/15 10:47:25;20,2;
204;28/05/15 10:48:18;20,3;
205;28/05/15 10:48:53;20,4;
206;28/05/15 10:49:29;20,5;
207;28/05/15 10:50:06;20,6;
208;28/05/15 10:50:51;20,7;
209;28/05/15 10:51:31;20,8;
210;28/05/15 10:52:16;20,9;
211;28/05/15 10:52:53;21,0;
212;28/05/15 10:53:40;21,1;
213;28/05/15 10:54:22;21,2;
214;28/05/15 10:55:09;21,3;
215;28/05/15 10:55:52;21,4;
216;28/05/15 10:56:49;21,5;
217;28/05/15 10:57:38;21,6;
218;28/05/15 10:58:39;21,7;
219;28/05/15 10:59:31;21,8;
220;28/05/15 11:00:32;21,9;
221;28/05/15 11:01:24;22,0;
222;28/05/15 11:02:28;22,1;
223;28/05/15 11:03:26;22,2;
224;28/05/15 11:04:38;22,3;
225;28/05/15 11:05:47;22,4;
226;28/05/15 11:07:06;22,5;
227;28/05/15 11:08:14;22,6;
228;28/05/15 11:09:36;22,7;
229;28/05/15 11:10:53;22,8;
230;28/05/15 11:12:29;22,9;
231;28/05/15 11:13:58;23,0;
232;28/05/15 11:15:56;23,1;
233;28/05/15 11:17:28;23,2;
234;28/05/15 11:19:08;23,3;
235;28/05/15 11:20:31;23,4;
236;28/05/15 11:22:31;23,5;
237;28/05/15 11:24:20;23,6;
238;28/05/15 11:26:30;23,7;
239;28/05/15 11:28:44;23,8;
240;28/05/15 11:30:58;23,9;
241;28/05/15 11:33:09;24,0;
242;28/05/15 11:37:14;24,1;
243;28/05/15 11:42:49;24,2;
244;28/05/15 17:10:06;24,3;
245;28/05/15 17:19:13;24,4;
246;28/05/15 18:00:05;24,5;
247;28/05/15 22:32:36;24,6;
248;29/05/15 12:20:11;24,7;
249;29/05/15 12:28:15;24,8;
250;29/05/15 12:35:26;24,9;
251;29/05/15 12:37:15;25,0;
252;29/05/15 12:38:37;25,1;
253;29/05/15 12:39:33;25,2;
254;29/05/15 12:40:39;25,3;
255;29/05/15 12:42:00;25,4;
256;29/05/15 12:44:06;25,5;
257;29/05/15 12:46:51;25,6;
258;29/05/15 12:52:23;25,7;
259;29/05/15 12:53:46;25,8;
260;29/05/15 12:54:53;25,9;
261;29/05/15 12:56:12;26,0;
262;29/05/15 12:58:03;26,1;
263;29/05/15 12:58:50;26,2;
264;29/05/15 12:59:28;26,3;
265;29/05/15 13:00:08;26,4;
266;29/05/15 13:01:09;26,5;
267;29/05/15 13:02:46;26,6;
268;29/05/15 13:04:31;26,7;
269;29/05/15 13:14:37;26,8;
270;29/05/15 13:28:49;26,9;
271;29/05/15 15:05:29;27,0;
272;30/05/15 07:23:37;27,1;
273;30/05/15 14:38:58;27,2;
274;30/05/15 15:25:57;27,3;
275;30/05/15 15:27:44;27,4;
276;30/05/15 15:29:31;27,5;
277;30/05/15 15:31:21;27,6;
278;30/05/15 15:33:39;27,7;
279;30/05/15 15:34:53;27,8;
280;30/05/15 15:36:17;27,9;
281;30/05/15 15:37:04;28,0;
282;30/05/15 15:39:04;28,1;
283;30/05/15 15:42:57;28,2;
284;30/05/15 15:47:00;28,3;
285;30/05/15 15:53:16;28,4;
286;31/05/15 09:14:09;28,5;
287;31/05/15 09:23:04;28,6;
288;31/05/15 09:26:27;28,7;
289;31/05/15 09:31:37;28,8;
290;31/05/15 10:06:09;28,9;
