"Título de trazado: JTU-01-PT-32"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;12/12/16 10:17:15;0.0;
2;12/12/16 15:30:26;0.1;
3;12/12/16 15:36:22;0.2;
4;15/12/16 00:31:59;0.3;
5;15/12/16 00:40:38;0.4;
6;15/12/16 01:06:17;0.5;
7;15/12/16 01:54:25;0.6;
8;15/12/16 02:53:30;0.7;
9;15/12/16 02:57:49;0.8;
10;15/12/16 03:01:56;0.9;
11;15/12/16 03:05:04;1.0;
12;15/12/16 03:09:03;1.1;
13;15/12/16 03:12:45;1.2;
14;15/12/16 03:16:28;1.3;
15;15/12/16 03:19:32;1.4;
16;15/12/16 03:23:46;1.5;
17;15/12/16 03:29:00;1.6;
18;15/12/16 03:33:45;1.7;
19;15/12/16 03:38:04;1.8;
20;15/12/16 03:45:46;1.9;
21;15/12/16 04:12:22;2.0;
22;15/12/16 05:25:11;2.1;
23;15/12/16 07:51:42;2.2;
24;16/12/16 09:16:26;2.3;
25;16/12/16 09:22:54;2.4;
26;16/12/16 09:30:36;2.5;
27;16/12/16 09:35:46;2.6;
28;16/12/16 09:41:56;2.7;
29;16/12/16 09:45:42;2.8;
30;16/12/16 09:51:00;2.9;
31;16/12/16 09:55:31;3.0;
32;16/12/16 09:59:28;3.1;
33;16/12/16 10:02:12;3.2;
34;16/12/16 10:07:31;3.3;
35;16/12/16 10:11:43;3.4;
36;16/12/16 10:18:23;3.5;
37;16/12/16 10:23:11;3.6;
38;16/12/16 10:26:40;3.7;
39;16/12/16 10:29:09;3.8;
40;16/12/16 10:32:14;3.9;
41;16/12/16 10:35:40;4.0;
42;16/12/16 10:39:03;4.1;
43;16/12/16 10:42:08;4.2;
44;16/12/16 10:45:40;4.3;
45;16/12/16 10:48:02;4.4;
46;16/12/16 10:51:47;4.5;
47;16/12/16 10:54:47;4.6;
48;16/12/16 10:58:19;4.7;
49;16/12/16 11:00:55;4.8;
50;16/12/16 11:04:11;4.9;
51;16/12/16 11:06:42;5.0;
52;16/12/16 11:10:07;5.1;
53;16/12/16 11:14:59;5.2;
54;16/12/16 11:23:49;5.3;
55;16/12/16 11:29:17;5.4;
56;16/12/16 11:37:10;5.5;
57;16/12/16 11:46:16;5.6;
58;16/12/16 11:52:55;5.7;
59;16/12/16 11:58:32;5.8;
60;16/12/16 12:04:53;5.9;
61;16/12/16 12:10:25;6.0;
62;16/12/16 12:17:44;6.1;
63;16/12/16 12:21:28;6.2;
64;16/12/16 12:26:35;6.3;
65;16/12/16 12:28:48;6.4;
66;16/12/16 12:31:55;6.5;
67;16/12/16 12:36:17;6.6;
68;16/12/16 12:41:26;6.7;
69;16/12/16 12:45:21;6.8;
70;16/12/16 12:51:42;6.9;
71;16/12/16 12:58:04;7.0;
72;16/12/16 13:07:27;7.1;
73;16/12/16 13:12:40;7.2;
74;16/12/16 13:22:16;7.3;
75;16/12/16 13:31:22;7.4;
76;16/12/16 13:40:36;7.5;
77;16/12/16 13:50:23;7.6;
78;16/12/16 14:06:16;7.7;
79;16/12/16 14:17:09;7.8;
80;16/12/16 14:33:40;7.9;
81;16/12/16 14:43:19;8.0;
82;16/12/16 14:54:05;8.1;
83;16/12/16 15:18:15;8.2;
84;17/12/16 11:52:37;8.3;
85;17/12/16 11:53:39;8.4;
86;17/12/16 11:55:40;8.5;
87;17/12/16 11:58:55;8.6;
88;17/12/16 12:04:37;8.7;
89;17/12/16 12:11:46;8.8;
90;17/12/16 13:01:43;8.9;
91;17/12/16 13:03:34;9.0;
92;17/12/16 13:04:20;9.1;
93;17/12/16 13:05:04;9.2;
94;17/12/16 13:05:56;9.3;
95;17/12/16 13:06:47;9.4;
96;17/12/16 13:07:26;9.5;
97;17/12/16 13:07:58;9.6;
98;17/12/16 13:08:32;9.7;
99;17/12/16 13:09:13;9.8;
100;17/12/16 13:09:50;9.9;
101;17/12/16 13:10:17;10.0;
102;17/12/16 13:10:53;10.1;
103;17/12/16 13:11:20;10.2;
104;17/12/16 13:11:47;10.3;
105;17/12/16 13:12:17;10.4;
106;17/12/16 13:12:50;10.5;
107;17/12/16 13:13:36;10.6;
108;17/12/16 13:14:39;10.7;
109;17/12/16 13:15:33;10.8;
110;17/12/16 13:17:19;10.9;
111;17/12/16 13:18:07;11.0;
112;17/12/16 13:20:17;11.1;
113;17/12/16 13:22:20;11.2;
114;17/12/16 13:24:24;11.3;
115;17/12/16 13:25:45;11.4;
116;17/12/16 13:27:54;11.5;
117;17/12/16 13:29:03;11.6;
118;17/12/16 13:30:36;11.7;
119;17/12/16 13:31:50;11.8;
120;17/12/16 13:33:52;11.9;
121;17/12/16 13:35:24;12.0;
122;17/12/16 13:37:10;12.1;
123;17/12/16 13:38:29;12.2;
124;17/12/16 13:40:02;12.3;
125;17/12/16 13:41:19;12.4;
126;17/12/16 13:42:38;12.5;
127;17/12/16 13:44:51;12.6;
128;17/12/16 13:47:19;12.7;
129;17/12/16 13:49:23;12.8;
130;17/12/16 13:51:01;12.9;
131;17/12/16 13:53:01;13.0;
132;17/12/16 13:59:22;13.1;
133;17/12/16 14:36:48;13.2;
134;17/12/16 14:50:35;13.3;
135;17/12/16 17:01:52;13.4;
136;17/12/16 18:26:32;13.5;
137;18/12/16 07:04:56;13.6;
138;18/12/16 14:52:35;13.7;
139;18/12/16 14:54:03;13.8;
140;18/12/16 14:54:59;13.9;
141;18/12/16 14:56:04;14.0;
142;18/12/16 14:57:10;14.1;
143;18/12/16 14:58:08;14.2;
144;18/12/16 14:59:26;14.3;
145;18/12/16 15:01:32;14.4;
146;18/12/16 15:05:01;14.5;
147;18/12/16 15:07:07;14.6;
148;18/12/16 15:10:06;14.7;
149;18/12/16 15:13:55;14.8;
150;18/12/16 15:19:34;14.9;
151;18/12/16 15:23:58;15.0;
152;18/12/16 15:26:10;15.1;
153;18/12/16 15:27:16;15.2;
154;18/12/16 15:28:24;15.3;
155;18/12/16 15:29:18;15.4;
156;18/12/16 15:30:15;15.5;
157;18/12/16 15:31:02;15.6;
158;18/12/16 15:32:08;15.7;
159;18/12/16 15:33:21;15.8;
160;18/12/16 15:34:36;15.9;
161;18/12/16 15:36:09;16.0;
162;18/12/16 15:37:22;16.1;
163;18/12/16 15:38:33;16.2;
164;18/12/16 15:40:15;16.3;
165;18/12/16 15:42:00;16.4;
166;18/12/16 15:43:36;16.5;
167;18/12/16 15:45:06;16.6;
168;18/12/16 15:47:13;16.7;
169;18/12/16 15:49:34;16.8;
170;18/12/16 15:51:15;16.9;
171;18/12/16 15:52:46;17.0;
172;18/12/16 15:54:41;17.1;
173;18/12/16 15:55:49;17.2;
174;18/12/16 15:56:35;17.3;
175;18/12/16 15:57:23;17.4;
176;18/12/16 15:58:32;17.5;
177;18/12/16 15:59:27;17.6;
178;18/12/16 16:00:42;17.7;
179;18/12/16 16:02:14;17.8;
180;18/12/16 16:04:11;17.9;
181;18/12/16 16:06:07;18.0;
182;18/12/16 16:09:22;18.1;
183;18/12/16 16:11:26;18.2;
184;18/12/16 16:12:53;18.3;
185;18/12/16 16:15:53;18.4;
186;18/12/16 16:22:58;18.5;
187;18/12/16 16:36:27;18.6;
188;19/12/16 04:13:20;18.7;
189;19/12/16 12:58:25;18.8;
190;19/12/16 12:59:19;18.9;
191;19/12/16 13:00:16;19.0;
192;19/12/16 13:01:36;19.1;
193;19/12/16 13:03:03;19.2;
194;19/12/16 13:04:12;19.3;
195;19/12/16 13:05:20;19.4;
196;19/12/16 13:09:01;19.5;
197;19/12/16 13:26:11;19.6;
198;19/12/16 15:24:31;19.7;
199;19/12/16 15:25:29;19.8;
200;19/12/16 15:26:07;19.9;
201;19/12/16 15:26:49;20.0;
202;19/12/16 15:27:35;20.1;
203;19/12/16 15:28:01;20.2;
204;19/12/16 15:28:27;20.3;
205;19/12/16 15:28:51;20.4;
206;19/12/16 15:29:29;20.5;
207;19/12/16 15:30:02;20.6;
208;19/12/16 15:31:10;20.7;
209;19/12/16 15:31:35;20.8;
210;19/12/16 15:32:11;20.9;
211;19/12/16 15:32:48;21.0;
212;19/12/16 15:33:17;21.1;
213;19/12/16 15:33:33;21.2;
214;19/12/16 15:33:53;21.3;
215;19/12/16 15:34:13;21.4;
216;19/12/16 15:34:50;21.5;
217;19/12/16 15:35:14;21.6;
218;19/12/16 15:36:01;21.7;
219;19/12/16 15:36:43;21.8;
220;19/12/16 15:38:36;21.9;
221;19/12/16 15:42:28;22.0;
222;19/12/16 16:28:20;22.1;
223;19/12/16 16:57:36;22.2;
224;19/12/16 17:15:34;22.3;
225;19/12/16 17:18:29;22.4;
226;19/12/16 17:20:59;22.5;
227;19/12/16 17:23:33;22.6;
228;19/12/16 17:27:19;22.7;
229;19/12/16 17:33:25;22.8;
230;19/12/16 17:40:08;22.9;
231;19/12/16 17:45:07;23.0;
232;19/12/16 17:48:32;23.1;
233;19/12/16 17:50:35;23.2;
234;19/12/16 17:53:17;23.3;
235;19/12/16 17:56:42;23.4;
236;19/12/16 18:06:17;23.5;
237;19/12/16 23:11:58;23.6;
238;20/12/16 06:59:08;23.7;
239;20/12/16 15:55:32;23.8;
240;20/12/16 15:58:02;23.9;
241;20/12/16 16:00:40;24.0;
242;20/12/16 16:03:19;24.1;
243;20/12/16 16:06:52;24.2;
244;20/12/16 16:12:44;24.3;
245;20/12/16 16:16:05;24.4;
246;20/12/16 16:19:17;24.5;
247;20/12/16 16:21:05;24.6;
248;20/12/16 16:23:45;24.7;
249;20/12/16 16:26:33;24.8;
250;20/12/16 16:31:08;24.9;
251;20/12/16 16:37:30;25.0;
252;21/12/16 16:07:29;25.1;
253;21/12/16 16:08:40;25.2;
254;21/12/16 16:09:41;25.3;
255;21/12/16 16:10:33;25.4;
256;21/12/16 16:11:21;25.5;
257;21/12/16 16:12:13;25.6;
258;21/12/16 16:13:14;25.7;
259;21/12/16 16:13:53;25.8;
260;21/12/16 16:14:34;25.9;
261;21/12/16 16:15:09;26.0;
262;21/12/16 16:16:09;26.1;
263;21/12/16 16:17:03;26.2;
264;21/12/16 16:18:09;26.3;
265;21/12/16 16:19:30;26.4;
266;21/12/16 16:21:35;26.5;
267;21/12/16 16:24:22;26.6;
268;21/12/16 16:35:38;26.7;
269;21/12/16 16:38:03;26.8;
270;21/12/16 16:41:38;26.9;
271;21/12/16 16:47:02;27.0;
272;22/12/16 04:10:08;27.1;
273;24/12/16 04:23:59;27.2;
274;24/12/16 04:35:37;27.3;
275;24/12/16 04:54:58;27.4;
276;24/12/16 05:25:44;27.5;
277;24/12/16 05:43:34;27.6;
278;24/12/16 06:08:37;27.7;
279;24/12/16 11:14:36;27.8;
280;24/12/16 11:18:42;27.9;
281;24/12/16 11:23:24;28.0;
282;24/12/16 11:25:43;28.1;
283;24/12/16 11:28:37;28.2;
284;24/12/16 11:33:27;28.3;
285;24/12/16 11:37:20;28.4;
286;24/12/16 11:40:59;28.5;
287;24/12/16 11:43:02;28.6;
288;24/12/16 11:46:43;28.7;
289;24/12/16 11:50:49;28.8;
290;24/12/16 11:56:54;28.9;
291;24/12/16 13:21:05;29.0;
292;24/12/16 13:29:43;29.1;
293;25/12/16 02:13:36;29.2;
294;25/12/16 02:22:43;29.3;
295;25/12/16 04:10:09;29.4;
296;25/12/16 04:19:39;29.5;
297;25/12/16 05:36:24;29.6;
298;27/12/16 06:46:10;29.7;
299;28/12/16 01:52:35;29.8;
300;30/12/16 12:50:10;29.9;
301;30/12/16 12:51:40;30.0;
302;30/12/16 12:53:02;30.1;
303;30/12/16 13:00:25;30.2;
304;30/12/16 14:27:15;30.3;
305;30/12/16 14:31:40;30.4;
306;31/12/16 06:36:15;30.5;
307;31/12/16 06:47:08;30.6;
308;31/12/16 13:39:42;30.7;
309;31/12/16 13:40:50;30.8;
310;31/12/16 13:41:54;30.9;
311;31/12/16 13:42:30;31.0;
312;31/12/16 13:43:40;31.1;
313;31/12/16 13:44:48;31.2;
314;31/12/16 13:46:49;31.3;
315;31/12/16 14:00:00;31.4;
316;31/12/16 14:15:03;31.5;
317;31/12/16 14:17:55;31.6;
318;31/12/16 14:19:18;31.7;
319;31/12/16 14:21:19;31.8;
320;31/12/16 14:24:29;31.9;
321;31/12/16 14:30:18;32.0;
322;31/12/16 14:41:39;32.1;
323;31/12/16 14:43:59;32.2;
324;31/12/16 14:45:31;32.3;
325;31/12/16 14:46:41;32.4;
326;31/12/16 14:48:06;32.5;
327;31/12/16 14:48:58;32.6;
328;31/12/16 14:49:28;32.7;
329;31/12/16 14:49:51;32.8;
330;31/12/16 14:50:42;32.9;
331;31/12/16 14:53:17;33.0;
332;31/12/16 14:54:46;33.1;
333;31/12/16 14:55:13;33.2;
334;31/12/16 14:55:40;33.3;
335;31/12/16 14:56:12;33.4;
336;31/12/16 14:57:21;33.5;
337;31/12/16 14:58:16;33.6;
338;31/12/16 14:58:54;33.7;
339;31/12/16 14:59:41;33.8;
340;31/12/16 15:00:28;33.9;
341;31/12/16 15:01:03;34.0;
342;31/12/16 15:01:38;34.1;
343;31/12/16 15:02:12;34.2;
344;31/12/16 15:03:00;34.3;
345;31/12/16 15:03:46;34.4;
346;31/12/16 15:04:47;34.5;
347;31/12/16 15:06:07;34.6;
348;31/12/16 15:07:20;34.7;
349;31/12/16 15:08:48;34.8;
350;31/12/16 15:10:40;34.9;
351;31/12/16 15:13:38;35.0;
352;31/12/16 15:14:56;35.1;
353;31/12/16 15:16:13;35.2;
354;31/12/16 15:17:27;35.3;
355;31/12/16 15:18:18;35.4;
356;31/12/16 15:19:18;35.5;
357;31/12/16 15:20:14;35.6;
358;31/12/16 15:21:20;35.7;
359;31/12/16 15:22:48;35.8;
360;31/12/16 15:23:50;35.9;
361;31/12/16 15:24:46;36.0;
362;31/12/16 15:25:38;36.1;
363;31/12/16 15:26:14;36.2;
364;31/12/16 15:26:46;36.3;
365;31/12/16 15:27:14;36.4;
366;31/12/16 15:27:51;36.5;
367;31/12/16 15:28:45;36.6;
368;31/12/16 15:29:49;36.7;
369;31/12/16 15:30:36;36.8;
370;31/12/16 15:31:45;36.9;
371;31/12/16 15:32:37;37.0;
372;31/12/16 15:34:31;37.1;
373;31/12/16 15:35:49;37.2;
374;31/12/16 15:36:58;37.3;
375;31/12/16 15:37:57;37.4;
376;31/12/16 15:39:06;37.5;
377;31/12/16 15:40:33;37.6;
378;31/12/16 15:42:05;37.7;
379;31/12/16 15:45:14;37.8;
380;31/12/16 16:38:26;37.9;
381;31/12/16 16:39:53;38.0;
382;31/12/16 16:41:57;38.1;
383;31/12/16 16:43:55;38.2;
384;31/12/16 16:45:17;38.3;
385;31/12/16 16:46:23;38.4;
386;31/12/16 16:47:44;38.5;
387;31/12/16 16:48:22;38.6;
