"Título de trazado: JTU_01_PT_63 D 2013-12-01"
"N.º","Fecha Tiempo, GMT-05:00","Evento, mm (LGR S/N: 10390582, SEN S/N: 10390582)","Final de archivo (LGR S/N: 10390582)"
1,01/12/13 13:14:46,0.0,
2,02/12/13 12:37:20,0.1,
3,02/12/13 12:42:35,0.2,
4,02/12/13 12:44:28,0.3,
5,02/12/13 12:45:07,0.4,
6,02/12/13 12:45:47,0.5,
7,02/12/13 12:46:13,0.6,
8,02/12/13 12:47:11,0.7,
9,02/12/13 12:47:45,0.8,
10,02/12/13 12:48:31,0.9,
11,02/12/13 12:49:09,1.0,
12,02/12/13 12:50:01,1.1,
13,02/12/13 12:50:48,1.2,
14,02/12/13 12:51:34,1.3,
15,02/12/13 12:52:21,1.4,
16,02/12/13 12:53:23,1.5,
17,02/12/13 12:54:17,1.6,
18,02/12/13 12:55:16,1.7,
19,02/12/13 12:56:24,1.8,
20,02/12/13 12:57:45,1.9,
21,02/12/13 13:00:17,2.0,
22,02/12/13 13:02:00,2.1,
23,02/12/13 13:02:27,2.2,
24,02/12/13 13:02:47,2.3,
25,02/12/13 13:03:09,2.4,
26,02/12/13 13:03:37,2.5,
27,02/12/13 13:04:07,2.6,
28,02/12/13 13:04:58,2.7,
29,02/12/13 13:07:25,2.8,
30,02/12/13 13:08:23,2.9,
31,02/12/13 13:08:51,3.0,
32,02/12/13 13:09:23,3.1,
33,02/12/13 13:09:50,3.2,
34,02/12/13 13:10:16,3.3,
35,02/12/13 13:10:39,3.4,
36,02/12/13 13:11:06,3.5,
37,02/12/13 13:11:30,3.6,
38,02/12/13 13:11:57,3.7,
39,02/12/13 13:12:22,3.8,
40,02/12/13 13:12:55,3.9,
41,02/12/13 13:13:29,4.0,
42,02/12/13 13:14:13,4.1,
43,02/12/13 13:14:51,4.2,
44,02/12/13 13:15:33,4.3,
45,02/12/13 13:16:08,4.4,
46,02/12/13 13:16:38,4.5,
47,02/12/13 13:17:02,4.6,
48,02/12/13 13:17:33,4.7,
49,02/12/13 13:18:01,4.8,
50,02/12/13 13:18:28,4.9,
51,02/12/13 13:18:53,5.0,
52,02/12/13 13:19:23,5.1,
53,02/12/13 13:19:48,5.2,
54,02/12/13 13:20:25,5.3,
55,02/12/13 13:21:13,5.4,
56,02/12/13 13:22:03,5.5,
57,02/12/13 13:22:37,5.6,
58,02/12/13 13:23:11,5.7,
59,02/12/13 13:23:46,5.8,
60,02/12/13 13:24:19,5.9,
61,02/12/13 13:24:45,6.0,
62,02/12/13 13:25:10,6.1,
63,02/12/13 13:25:34,6.2,
64,02/12/13 13:26:00,6.3,
65,02/12/13 13:26:22,6.4,
66,02/12/13 13:26:43,6.5,
67,02/12/13 13:27:02,6.6,
68,02/12/13 13:27:21,6.7,
69,02/12/13 13:27:44,6.8,
70,02/12/13 13:28:13,6.9,
71,02/12/13 13:28:38,7.0,
72,02/12/13 13:29:09,7.1,
73,02/12/13 13:29:32,7.2,
74,02/12/13 13:29:55,7.3,
75,02/12/13 13:30:18,7.4,
76,02/12/13 13:30:45,7.5,
77,02/12/13 13:31:09,7.6,
78,02/12/13 13:31:38,7.7,
79,02/12/13 13:32:05,7.8,
80,02/12/13 13:32:33,7.9,
81,02/12/13 13:33:07,8.0,
82,02/12/13 13:33:48,8.1,
83,02/12/13 13:34:37,8.2,
84,02/12/13 13:35:28,8.3,
85,02/12/13 13:36:23,8.4,
86,02/12/13 13:37:23,8.5,
87,02/12/13 13:38:16,8.6,
88,02/12/13 13:39:10,8.7,
89,02/12/13 13:40:03,8.8,
90,02/12/13 13:40:58,8.9,
91,02/12/13 13:41:49,9.0,
92,02/12/13 13:42:35,9.1,
93,02/12/13 13:43:20,9.2,
94,02/12/13 13:43:59,9.3,
95,02/12/13 13:44:36,9.4,
