"Título de trazado: Experiment"
"N.º","Fecha Tiempo, GMT-05:00","Event, units (LGR S/N: 10390582, SEN S/N: 10390582)","Final de archivo (LGR S/N: 10390582)"
1,23/01/14 16:04:22,0.00,
2,25/01/14 15:24:02,1.00,
3,25/01/14 15:26:40,2.00,
4,25/01/14 16:17:45,3.00,
5,25/01/14 16:20:02,4.00,
6,25/01/14 16:20:32,5.00,
7,25/01/14 16:20:55,6.00,
8,25/01/14 16:21:12,7.00,
9,25/01/14 16:21:57,8.00,
10,25/01/14 16:23:18,9.00,
11,25/01/14 16:24:21,10.00,
12,25/01/14 16:24:49,11.00,
13,25/01/14 16:25:30,12.00,
14,25/01/14 16:26:08,13.00,
15,25/01/14 16:27:06,14.00,
16,25/01/14 16:27:36,15.00,
17,25/01/14 16:28:14,16.00,
18,25/01/14 16:29:47,17.00,
19,25/01/14 16:32:18,18.00,
20,25/01/14 16:36:43,19.00,
21,27/01/14 06:35:28,20.00,
22,27/01/14 06:36:00,21.00,
23,27/01/14 06:38:11,22.00,
24,27/01/14 06:40:08,23.00,
25,27/01/14 06:43:44,24.00,
26,27/01/14 06:45:05,25.00,
27,27/01/14 06:46:28,26.00,
28,27/01/14 06:47:36,27.00,
29,27/01/14 06:49:37,28.00,
30,27/01/14 06:52:25,29.00,
31,27/01/14 06:57:18,30.00,
32,27/01/14 06:59:06,31.00,
33,27/01/14 07:01:22,32.00,
34,27/01/14 07:02:59,33.00,
35,27/01/14 07:04:53,34.00,
36,27/01/14 07:06:31,35.00,
37,27/01/14 07:09:08,36.00,
38,27/01/14 07:15:07,37.00,
39,27/01/14 07:29:07,38.00,
40,28/01/14 22:27:36,39.00,
41,28/01/14 22:47:00,40.00,
42,28/01/14 22:51:01,41.00,
43,29/01/14 00:33:55,42.00,
44,29/01/14 00:37:04,43.00,
45,29/01/14 00:40:43,44.00,
46,29/01/14 00:46:57,45.00,
47,29/01/14 00:54:57,46.00,
48,29/01/14 00:58:32,47.00,
49,29/01/14 01:02:01,48.00,
50,29/01/14 01:04:43,49.00,
51,29/01/14 01:08:01,50.00,
52,29/01/14 01:09:55,51.00,
53,29/01/14 01:12:43,52.00,
54,29/01/14 01:15:00,53.00,
55,29/01/14 01:17:39,54.00,
56,29/01/14 01:20:01,55.00,
57,29/01/14 01:24:03,56.00,
58,29/01/14 01:32:38,57.00,
59,29/01/14 01:46:07,58.00,
60,29/01/14 01:50:19,59.00,
61,29/01/14 01:52:37,60.00,
62,29/01/14 01:55:18,61.00,
63,29/01/14 02:09:02,62.00,
64,29/01/14 04:04:25,63.00,
65,29/01/14 13:17:12,64.00,
66,29/01/14 13:21:37,65.00,
67,29/01/14 13:23:06,66.00,
68,29/01/14 13:24:14,67.00,
69,29/01/14 13:30:17,68.00,
70,29/01/14 14:42:08,69.00,
71,29/01/14 14:50:46,70.00,
72,29/01/14 15:05:10,71.00,
73,29/01/14 15:08:19,72.00,
74,29/01/14 15:10:09,73.00,
75,29/01/14 15:14:53,74.00,
76,29/01/14 15:17:06,75.00,
77,29/01/14 15:53:01,76.00,
78,29/01/14 15:55:38,77.00,
79,29/01/14 15:56:53,78.00,
80,29/01/14 15:57:38,79.00,
81,29/01/14 16:02:55,80.00,
82,29/01/14 16:14:57,81.00,
83,29/01/14 16:20:12,82.00,
84,29/01/14 16:24:19,83.00,
85,29/01/14 16:33:37,84.00,
86,29/01/14 16:43:43,85.00,
87,29/01/14 16:53:50,86.00,
88,29/01/14 16:58:04,87.00,
89,29/01/14 17:17:10,88.00,
90,29/01/14 17:30:10,89.00,
91,29/01/14 17:33:28,90.00,
92,29/01/14 17:35:24,91.00,
93,29/01/14 17:37:31,92.00,
94,29/01/14 17:39:32,93.00,
95,29/01/14 17:41:35,94.00,
96,29/01/14 17:43:26,95.00,
97,29/01/14 17:45:57,96.00,
98,29/01/14 17:47:43,97.00,
99,29/01/14 17:49:17,98.00,
100,29/01/14 17:50:39,99.00,
101,29/01/14 17:53:15,100.00,
102,29/01/14 17:55:22,101.00,
103,29/01/14 17:59:22,102.00,
104,29/01/14 18:01:23,103.00,
105,29/01/14 18:03:03,104.00,
106,29/01/14 18:04:24,105.00,
107,29/01/14 18:06:42,106.00,
108,29/01/14 18:09:13,107.00,
109,29/01/14 18:12:31,108.00,
110,29/01/14 18:16:55,109.00,
111,29/01/14 18:22:38,110.00,
112,29/01/14 18:26:52,111.00,
113,29/01/14 18:31:23,112.00,
114,29/01/14 18:36:30,113.00,
115,29/01/14 18:45:34,114.00,
116,29/01/14 18:49:21,115.00,
117,29/01/14 18:53:16,116.00,
118,29/01/14 19:02:07,117.00,
119,29/01/14 19:05:38,118.00,
120,29/01/14 19:08:17,119.00,
121,29/01/14 19:14:55,120.00,
122,29/01/14 19:27:57,121.00,
123,29/01/14 19:40:31,122.00,
124,29/01/14 22:48:47,123.00,
125,29/01/14 23:54:14,124.00,
126,29/01/14 23:59:30,125.00,
127,30/01/14 00:41:20,126.00,
128,30/01/14 00:53:03,127.00,
129,30/01/14 01:06:37,128.00,
130,30/01/14 01:42:14,129.00,
131,04/02/14 14:45:03,130.00,
132,04/02/14 14:47:24,131.00,
133,04/02/14 14:50:25,132.00,
134,04/02/14 14:52:57,133.00,
135,04/02/14 14:55:23,134.00,
136,04/02/14 15:00:32,135.00,
137,04/02/14 15:02:05,136.00,
138,04/02/14 15:03:43,137.00,
139,04/02/14 15:05:46,138.00,
140,04/02/14 15:06:49,139.00,
141,04/02/14 15:07:58,140.00,
142,04/02/14 15:09:16,141.00,
143,04/02/14 15:11:13,142.00,
144,04/02/14 15:13:16,143.00,
145,04/02/14 15:15:33,144.00,
146,04/02/14 15:18:01,145.00,
147,04/02/14 15:21:33,146.00,
148,04/02/14 15:22:23,147.00,
149,04/02/14 15:23:10,148.00,
150,04/02/14 15:23:58,149.00,
151,04/02/14 15:25:31,150.00,
152,04/02/14 15:28:23,151.00,
153,04/02/14 16:06:44,152.00,
154,05/02/14 05:05:39,153.00,
155,05/02/14 05:10:28,154.00,
156,05/02/14 05:12:59,155.00,
157,05/02/14 05:15:21,156.00,
158,05/02/14 05:18:04,157.00,
159,05/02/14 06:05:48,158.00,
160,11/02/14 02:00:41,159.00,
161,11/02/14 02:12:38,160.00,
162,11/02/14 02:32:37,161.00,
163,11/02/14 02:45:06,162.00,
164,11/02/14 03:04:34,163.00,
165,11/02/14 03:27:10,164.00,
166,11/02/14 03:58:26,165.00,
167,11/02/14 05:22:54,166.00,
168,11/02/14 19:19:03,167.00,
169,11/02/14 19:34:41,168.00,
170,12/02/14 13:42:37,169.00,
171,14/02/14 01:09:36,170.00,
172,14/02/14 01:11:57,171.00,
173,14/02/14 01:15:10,172.00,
174,14/02/14 01:16:54,173.00,
175,14/02/14 01:20:21,174.00,
176,14/02/14 01:22:35,175.00,
177,14/02/14 01:28:57,176.00,
178,14/02/14 02:57:11,177.00,
179,14/02/14 03:41:53,178.00,
180,14/02/14 03:46:09,179.00,
181,14/02/14 03:48:47,180.00,
182,14/02/14 03:52:16,181.00,
183,14/02/14 04:01:13,182.00,
184,14/02/14 14:10:17,183.00,
185,17/02/14 12:50:39,184.00,
186,17/02/14 12:52:30,185.00,
187,17/02/14 12:55:18,186.00,
188,17/02/14 12:59:51,187.00,
189,17/02/14 13:15:18,188.00,
190,21/02/14 13:45:51,189.00,
191,21/02/14 13:47:51,190.00,
192,21/02/14 13:50:14,191.00,
193,21/02/14 13:51:52,192.00,
194,21/02/14 13:54:31,193.00,
195,21/02/14 13:56:48,194.00,
196,21/02/14 13:58:49,195.00,
197,21/02/14 14:03:13,196.00,
198,21/02/14 14:17:31,197.00,
199,21/02/14 14:58:51,198.00,
200,22/02/14 19:32:46,199.00,
201,22/02/14 19:37:35,200.00,
202,22/02/14 19:40:33,201.00,
203,22/02/14 19:47:00,202.00,
204,22/02/14 19:52:14,203.00,
205,22/02/14 19:56:00,204.00,
206,22/02/14 19:56:56,205.00,
207,22/02/14 19:59:00,206.00,
208,22/02/14 20:04:58,207.00,
209,22/02/14 20:24:06,208.00,
210,22/02/14 20:34:43,209.00,
211,22/02/14 20:59:03,210.00,
212,22/02/14 21:23:38,211.00,
213,22/02/14 22:32:01,212.00,
214,22/02/14 22:35:38,213.00,
215,22/02/14 22:43:25,214.00,
216,22/02/14 23:08:48,215.00,
217,23/02/14 14:13:40,216.00,
218,23/02/14 14:17:46,217.00,
219,23/02/14 14:33:10,218.00,
220,23/02/14 15:05:32,219.00,
221,23/02/14 15:09:22,220.00,
222,23/02/14 15:13:36,221.00,
223,23/02/14 15:23:07,222.00,
224,23/02/14 15:25:54,223.00,
225,23/02/14 15:28:50,224.00,
226,23/02/14 15:35:16,225.00,
227,23/02/14 15:45:07,226.00,
228,23/02/14 15:52:51,227.00,
229,23/02/14 16:01:16,228.00,
230,23/02/14 16:04:45,229.00,
231,23/02/14 16:21:33,230.00,
232,24/02/14 04:31:04,231.00,
233,24/02/14 05:02:39,232.00,
234,24/02/14 06:20:33,233.00,
235,24/02/14 07:05:04,234.00,
236,24/02/14 07:26:16,235.00,
237,24/02/14 07:59:31,236.00,
238,24/02/14 08:20:40,237.00,
239,25/02/14 05:34:15,238.00,
240,25/02/14 06:26:32,239.00,
241,25/02/14 07:22:59,240.00,
242,25/02/14 12:48:41,241.00,
243,27/02/14 12:55:46,242.00,
244,27/02/14 12:56:58,243.00,
245,27/02/14 13:06:14,244.00,
246,27/02/14 13:09:28,245.00,
247,27/02/14 13:12:52,246.00,
248,27/02/14 13:14:26,247.00,
249,27/02/14 13:16:39,248.00,
250,27/02/14 13:20:27,249.00,
251,27/02/14 13:23:41,250.00,
252,27/02/14 13:26:52,251.00,
253,27/02/14 13:29:19,252.00,
254,27/02/14 14:59:42,253.00,
255,27/02/14 16:12:30,254.00,
256,27/02/14 16:19:48,255.00,
257,27/02/14 16:26:27,256.00,
258,27/02/14 16:32:32,257.00,
259,27/02/14 16:36:57,258.00,
260,27/02/14 16:39:20,259.00,
261,27/02/14 16:41:48,260.00,
262,27/02/14 16:44:21,261.00,
263,27/02/14 16:47:07,262.00,
264,27/02/14 16:48:51,263.00,
265,27/02/14 16:50:41,264.00,
266,27/02/14 16:52:54,265.00,
267,27/02/14 16:58:15,266.00,
268,27/02/14 17:03:47,267.00,
269,27/02/14 17:08:29,268.00,
270,27/02/14 17:11:00,269.00,
271,27/02/14 17:15:04,270.00,
272,27/02/14 17:18:54,271.00,
273,27/02/14 17:22:49,272.00,
274,27/02/14 17:28:31,273.00,
275,27/02/14 17:35:54,274.00,
276,27/02/14 18:05:40,275.00,
277,27/02/14 19:47:06,276.00,
278,27/02/14 20:24:17,277.00,
279,28/02/14 14:10:48,278.00,
280,01/03/14 13:24:04,279.00,
281,01/03/14 13:26:49,280.00,
282,01/03/14 13:28:17,281.00,
283,01/03/14 13:30:14,282.00,
284,01/03/14 13:31:25,283.00,
285,01/03/14 13:33:28,284.00,
286,01/03/14 13:35:11,285.00,
287,01/03/14 13:37:06,286.00,
288,01/03/14 13:39:04,287.00,
289,01/03/14 13:41:09,288.00,
290,01/03/14 13:43:06,289.00,
291,01/03/14 13:45:28,290.00,
292,01/03/14 13:47:45,291.00,
293,01/03/14 13:52:27,292.00,
294,01/03/14 13:56:49,293.00,
295,01/03/14 13:59:29,294.00,
296,01/03/14 14:01:42,295.00,
297,01/03/14 14:05:16,296.00,
298,01/03/14 14:09:39,297.00,
299,01/03/14 15:50:30,298.00,
300,01/03/14 15:52:38,299.00,
301,01/03/14 15:55:00,300.00,
302,01/03/14 15:57:26,301.00,
303,01/03/14 15:59:44,302.00,
304,01/03/14 16:00:53,303.00,
305,01/03/14 16:02:28,304.00,
306,01/03/14 16:04:27,305.00,
307,01/03/14 16:08:51,306.00,
308,01/03/14 16:17:27,307.00,
309,01/03/14 21:00:13,308.00,
310,01/03/14 21:26:33,309.00,
311,01/03/14 21:31:08,310.00,
312,01/03/14 21:33:39,311.00,
313,01/03/14 21:36:29,312.00,
314,01/03/14 21:38:31,313.00,
315,01/03/14 21:41:23,314.00,
316,01/03/14 21:44:29,315.00,
317,01/03/14 21:48:05,316.00,
318,01/03/14 21:52:01,317.00,
319,01/03/14 21:56:41,318.00,
320,01/03/14 21:59:48,319.00,
321,01/03/14 22:13:13,320.00,
322,01/03/14 22:20:59,321.00,
323,01/03/14 22:25:53,322.00,
324,01/03/14 22:34:28,323.00,
325,01/03/14 22:41:59,324.00,
326,01/03/14 22:45:05,325.00,
327,01/03/14 22:47:39,326.00,
328,01/03/14 22:49:53,327.00,
329,01/03/14 22:53:02,328.00,
330,01/03/14 22:56:23,329.00,
331,01/03/14 22:59:30,330.00,
332,01/03/14 23:02:23,331.00,
333,01/03/14 23:04:49,332.00,
334,01/03/14 23:06:04,333.00,
335,01/03/14 23:08:34,334.00,
336,01/03/14 23:10:49,335.00,
337,01/03/14 23:13:57,336.00,
338,01/03/14 23:17:02,337.00,
339,01/03/14 23:20:52,338.00,
340,01/03/14 23:23:26,339.00,
341,01/03/14 23:26:33,340.00,
342,01/03/14 23:29:32,341.00,
343,01/03/14 23:32:16,342.00,
344,01/03/14 23:34:13,343.00,
345,01/03/14 23:35:50,344.00,
346,01/03/14 23:37:38,345.00,
347,01/03/14 23:40:07,346.00,
348,01/03/14 23:41:36,347.00,
349,01/03/14 23:43:45,348.00,
350,01/03/14 23:46:05,349.00,
351,01/03/14 23:49:03,350.00,
352,01/03/14 23:51:01,351.00,
353,01/03/14 23:53:19,352.00,
354,01/03/14 23:54:52,353.00,
355,01/03/14 23:56:17,354.00,
356,01/03/14 23:57:20,355.00,
357,01/03/14 23:58:49,356.00,
358,01/03/14 23:59:52,357.00,
359,02/03/14 00:01:39,358.00,
360,02/03/14 00:03:03,359.00,
361,02/03/14 00:05:06,360.00,
362,02/03/14 00:07:07,361.00,
363,02/03/14 00:08:24,362.00,
364,02/03/14 00:09:18,363.00,
365,02/03/14 00:11:01,364.00,
366,02/03/14 00:13:01,365.00,
367,02/03/14 00:16:58,366.00,
368,02/03/14 00:21:27,367.00,
369,02/03/14 00:28:43,368.00,
370,02/03/14 00:33:58,369.00,
371,02/03/14 00:40:38,370.00,
372,02/03/14 00:44:01,371.00,
373,02/03/14 00:48:33,372.00,
374,02/03/14 00:51:58,373.00,
375,02/03/14 00:55:05,374.00,
376,02/03/14 00:57:28,375.00,
377,02/03/14 00:59:22,376.00,
378,02/03/14 01:00:49,377.00,
379,02/03/14 01:03:01,378.00,
380,02/03/14 01:04:52,379.00,
381,02/03/14 01:07:46,380.00,
382,02/03/14 01:11:13,381.00,
383,02/03/14 01:17:32,382.00,
384,02/03/14 01:31:05,383.00,
385,02/03/14 02:40:16,384.00,
386,02/03/14 02:49:26,385.00,
387,02/03/14 02:56:33,386.00,
388,02/03/14 03:05:52,387.00,
389,02/03/14 03:13:12,388.00,
390,02/03/14 03:15:20,389.00,
391,02/03/14 03:21:15,390.00,
392,02/03/14 03:26:39,391.00,
393,02/03/14 03:32:43,392.00,
394,02/03/14 03:43:13,393.00,
395,02/03/14 05:24:02,394.00,
396,02/03/14 15:48:56,395.00,
397,02/03/14 15:49:45,396.00,
398,02/03/14 15:51:57,397.00,
399,02/03/14 15:53:21,398.00,
400,02/03/14 15:54:38,399.00,
401,02/03/14 15:56:11,400.00,
402,02/03/14 15:58:12,401.00,
403,02/03/14 16:00:13,402.00,
404,02/03/14 16:02:00,403.00,
405,02/03/14 16:03:25,404.00,
406,02/03/14 16:04:33,405.00,
407,02/03/14 16:05:35,406.00,
408,02/03/14 16:06:19,407.00,
409,02/03/14 16:07:31,408.00,
410,02/03/14 16:08:36,409.00,
411,02/03/14 16:09:38,410.00,
412,02/03/14 16:10:20,411.00,
413,02/03/14 16:11:18,412.00,
414,02/03/14 16:11:52,413.00,
415,02/03/14 16:12:38,414.00,
416,02/03/14 16:13:34,415.00,
