"Título de trazado: JTU_01_PT_63"
"N.º","Fecha Tiempo, GMT-05:00","Event, mm (LGR S/N: 10390582, SEN S/N: 10390582)","Final de archivo (LGR S/N: 10390582)"
1,20/11/14 11:11:06,0.0,
2,20/11/14 11:11:43,0.1,
3,20/11/14 13:42:38,0.2,
4,20/11/14 13:43:50,0.3,
5,20/11/14 13:44:22,0.4,
6,20/11/14 13:47:35,0.5,
7,20/11/14 13:49:39,0.6,
8,20/11/14 13:51:42,0.7,
9,20/11/14 13:54:36,0.8,
10,20/11/14 13:58:55,0.9,
11,20/11/14 13:59:52,1.0,
12,20/11/14 14:02:54,1.1,
13,20/11/14 14:03:41,1.2,
14,20/11/14 14:05:13,1.3,
15,20/11/14 14:07:42,1.4,
16,20/11/14 14:14:47,1.5,
17,20/11/14 14:26:41,1.6,
18,20/11/14 14:39:24,1.7,
19,20/11/14 14:42:22,1.8,
20,20/11/14 14:44:42,1.9,
21,20/11/14 14:46:08,2.0,
22,20/11/14 14:48:09,2.1,
23,20/11/14 14:49:36,2.2,
24,20/11/14 14:50:26,2.3,
25,20/11/14 14:51:01,2.4,
26,20/11/14 14:52:00,2.5,
27,20/11/14 14:52:38,2.6,
28,20/11/14 14:54:31,2.7,
29,20/11/14 14:56:40,2.8,
30,20/11/14 14:58:55,2.9,
31,20/11/14 15:00:01,3.0,
32,20/11/14 15:02:13,3.1,
33,20/11/14 15:03:51,3.2,
34,20/11/14 15:06:23,3.3,
35,20/11/14 15:07:46,3.4,
36,20/11/14 15:08:56,3.5,
37,20/11/14 15:09:33,3.6,
38,20/11/14 15:11:04,3.7,
39,20/11/14 15:13:44,3.8,
40,20/11/14 15:20:31,3.9,
41,20/11/14 15:21:47,4.0,
42,20/11/14 15:24:36,4.1,
43,20/11/14 15:37:58,4.2,
44,21/11/14 13:21:40,4.3,
45,21/11/14 13:28:37,4.4,
46,21/11/14 13:33:01,4.5,
47,22/11/14 07:40:58,4.6,
48,22/11/14 23:18:04,4.7,
49,22/11/14 23:21:00,4.8,
50,22/11/14 23:25:27,4.9,
51,23/11/14 01:16:39,5.0,
52,25/11/14 05:54:14,5.1,
53,25/11/14 06:26:20,5.2,
54,25/11/14 07:07:18,5.3,
55,25/11/14 07:27:37,5.4,
56,25/11/14 07:46:21,5.5,
57,25/11/14 07:54:01,5.6,
58,25/11/14 08:01:01,5.7,
59,25/11/14 08:03:53,5.8,
60,25/11/14 08:09:40,5.9,
61,25/11/14 08:14:40,6.0,
62,25/11/14 08:17:15,6.1,
63,25/11/14 08:18:37,6.2,
64,25/11/14 08:20:46,6.3,
65,25/11/14 08:22:27,6.4,
66,25/11/14 08:24:38,6.5,
67,25/11/14 08:26:21,6.6,
68,25/11/14 08:28:54,6.7,
69,25/11/14 08:31:04,6.8,
70,25/11/14 08:33:25,6.9,
71,25/11/14 08:34:50,7.0,
72,25/11/14 08:37:23,7.1,
73,25/11/14 08:40:14,7.2,
74,25/11/14 08:43:24,7.3,
75,25/11/14 08:45:32,7.4,
76,25/11/14 08:48:10,7.5,
77,25/11/14 08:50:58,7.6,
78,25/11/14 08:55:15,7.7,
79,25/11/14 09:00:31,7.8,
80,25/11/14 09:30:47,7.9,
81,25/11/14 09:39:29,8.0,
82,25/11/14 09:51:42,8.1,
83,25/11/14 10:42:15,8.2,
84,26/11/14 07:57:52,8.3,
85,26/11/14 22:46:48,8.4,
86,26/11/14 22:50:05,8.5,
87,26/11/14 22:51:44,8.6,
88,26/11/14 22:55:28,8.7,
89,26/11/14 22:58:17,8.8,
90,26/11/14 23:04:18,8.9,
91,26/11/14 23:07:13,9.0,
92,26/11/14 23:13:08,9.1,
93,26/11/14 23:14:32,9.2,
94,26/11/14 23:15:32,9.3,
95,26/11/14 23:16:09,9.4,
96,26/11/14 23:17:40,9.5,
97,26/11/14 23:19:46,9.6,
98,26/11/14 23:22:12,9.7,
99,26/11/14 23:23:32,9.8,
100,26/11/14 23:27:01,9.9,
101,26/11/14 23:36:45,10.0,
102,27/11/14 00:04:16,10.1,
103,28/11/14 04:11:00,10.2,
104,29/11/14 18:49:40,10.3,
105,29/11/14 19:00:50,10.4,
106,29/11/14 19:40:19,10.5,
107,29/11/14 20:43:27,10.6,
108,29/11/14 21:47:31,10.7,
109,29/11/14 22:12:58,10.8,
110,29/11/14 22:37:32,10.9,
111,30/11/14 01:59:56,11.0,
112,30/11/14 02:46:43,11.1,
113,01/12/14 01:46:25,11.2,
114,01/12/14 02:04:11,11.3,
115,01/12/14 04:48:01,11.4,
116,01/12/14 14:21:12,11.5,
117,01/12/14 14:30:25,11.6,
118,01/12/14 14:32:29,11.7,
119,01/12/14 14:33:54,11.8,
120,01/12/14 14:59:06,11.9,
121,01/12/14 15:03:08,12.0,
122,01/12/14 15:04:35,12.1,
123,01/12/14 15:05:50,12.2,
124,01/12/14 15:06:53,12.3,
125,01/12/14 15:09:18,12.4,
126,01/12/14 15:31:37,12.5,
127,02/12/14 02:29:49,12.6,
128,02/12/14 05:55:56,12.7,
129,02/12/14 06:30:41,12.8,
130,02/12/14 06:52:11,12.9,
131,02/12/14 07:15:01,13.0,
132,02/12/14 08:09:58,13.1,
133,02/12/14 08:57:01,13.2,
134,02/12/14 10:16:30,13.3,
135,04/12/14 14:30:32,13.4,
136,04/12/14 14:34:10,13.5,
137,04/12/14 14:36:26,13.6,
138,04/12/14 14:38:30,13.7,
139,04/12/14 14:39:30,13.8,
140,04/12/14 14:44:44,13.9,
141,04/12/14 14:48:11,14.0,
142,04/12/14 14:53:31,14.1,
143,04/12/14 15:02:25,14.2,
144,04/12/14 15:08:17,14.3,
145,04/12/14 15:12:03,14.4,
146,04/12/14 16:08:16,14.5,
147,04/12/14 16:17:23,14.6,
148,04/12/14 16:24:55,14.7,
149,04/12/14 16:26:21,14.8,
150,04/12/14 16:28:35,14.9,
151,04/12/14 16:30:28,15.0,
152,04/12/14 16:32:38,15.1,
153,04/12/14 16:34:17,15.2,
154,04/12/14 16:37:05,15.3,
155,04/12/14 16:39:42,15.4,
156,04/12/14 16:42:02,15.5,
157,04/12/14 16:44:14,15.6,
158,04/12/14 16:47:57,15.7,
159,04/12/14 16:50:56,15.8,
160,04/12/14 16:54:13,15.9,
161,04/12/14 16:57:38,16.0,
162,04/12/14 17:02:54,16.1,
163,04/12/14 17:06:33,16.2,
164,04/12/14 17:14:50,16.3,
165,04/12/14 17:22:12,16.4,
166,04/12/14 17:32:14,16.5,
167,04/12/14 19:33:02,16.6,
168,04/12/14 19:40:13,16.7,
169,04/12/14 19:44:28,16.8,
170,04/12/14 19:48:30,16.9,
171,04/12/14 19:51:20,17.0,
172,04/12/14 19:55:10,17.1,
173,04/12/14 19:57:25,17.2,
174,04/12/14 20:00:44,17.3,
175,04/12/14 20:03:15,17.4,
176,04/12/14 20:06:20,17.5,
177,04/12/14 20:08:34,17.6,
178,04/12/14 20:11:26,17.7,
179,04/12/14 20:13:31,17.8,
180,04/12/14 20:16:50,17.9,
181,04/12/14 20:19:20,18.0,
182,04/12/14 20:22:39,18.1,
183,04/12/14 20:24:42,18.2,
184,04/12/14 20:26:46,18.3,
185,04/12/14 20:28:21,18.4,
186,04/12/14 20:30:13,18.5,
187,04/12/14 20:31:32,18.6,
188,04/12/14 20:32:59,18.7,
189,04/12/14 20:34:24,18.8,
190,04/12/14 20:36:40,18.9,
191,04/12/14 20:39:10,19.0,
192,04/12/14 20:44:31,19.1,
193,04/12/14 20:48:16,19.2,
194,04/12/14 20:51:54,19.3,
195,04/12/14 20:55:04,19.4,
196,04/12/14 20:59:05,19.5,
197,04/12/14 21:02:04,19.6,
198,04/12/14 21:06:02,19.7,
199,04/12/14 21:09:06,19.8,
200,04/12/14 21:13:07,19.9,
201,04/12/14 21:16:42,20.0,
202,05/12/14 02:04:25,20.1,
203,05/12/14 03:10:53,20.2,
204,05/12/14 03:38:45,20.3,
205,05/12/14 04:04:35,20.4,
206,07/12/14 13:10:03,20.5,
207,07/12/14 13:12:04,20.6,
208,07/12/14 13:16:23,20.7,
209,07/12/14 13:17:51,20.8,
210,07/12/14 13:20:20,20.9,
211,07/12/14 13:22:22,21.0,
212,07/12/14 13:25:58,21.1,
213,07/12/14 13:27:39,21.2,
214,07/12/14 13:29:21,21.3,
215,07/12/14 13:30:55,21.4,
216,07/12/14 13:32:42,21.5,
217,07/12/14 13:33:23,21.6,
218,07/12/14 13:35:43,21.7,
219,07/12/14 13:37:55,21.8,
220,07/12/14 13:43:12,21.9,
221,07/12/14 13:45:22,22.0,
222,07/12/14 13:48:10,22.1,
223,07/12/14 13:49:19,22.2,
224,07/12/14 13:50:37,22.3,
225,07/12/14 13:52:10,22.4,
226,07/12/14 13:56:07,22.5,
227,07/12/14 13:56:48,22.6,
228,07/12/14 13:57:21,22.7,
229,07/12/14 13:57:43,22.8,
230,07/12/14 13:58:16,22.9,
231,07/12/14 13:58:47,23.0,
232,07/12/14 13:59:30,23.1,
233,07/12/14 14:00:00,23.2,
234,07/12/14 14:00:37,23.3,
235,07/12/14 14:01:05,23.4,
236,07/12/14 14:02:22,23.5,
237,07/12/14 14:04:58,23.6,
238,07/12/14 14:07:01,23.7,
239,07/12/14 14:08:03,23.8,
240,07/12/14 14:11:31,23.9,
241,07/12/14 14:17:48,24.0,
242,08/12/14 00:58:40,24.1,
243,08/12/14 14:10:51,24.2,
244,08/12/14 14:20:19,24.3,
245,08/12/14 14:25:44,24.4,
246,09/12/14 16:00:47,24.5,
247,09/12/14 16:05:46,24.6,
248,09/12/14 16:13:15,24.7,
249,09/12/14 16:25:04,24.8,
250,09/12/14 16:26:51,24.9,
251,09/12/14 16:28:39,25.0,
252,09/12/14 16:34:15,25.1,
253,09/12/14 16:34:50,25.2,
254,09/12/14 16:35:33,25.3,
255,09/12/14 16:35:59,25.4,
256,09/12/14 16:36:53,25.5,
257,09/12/14 16:38:09,25.6,
258,09/12/14 16:38:58,25.7,
259,09/12/14 16:41:24,25.8,
260,09/12/14 16:44:10,25.9,
261,09/12/14 16:47:05,26.0,
262,09/12/14 16:54:15,26.1,
263,09/12/14 17:02:58,26.2,
264,09/12/14 17:41:21,26.3,
265,10/12/14 00:01:27,26.4,
266,10/12/14 00:06:37,26.5,
267,10/12/14 00:12:59,26.6,
268,10/12/14 00:19:14,26.7,
269,10/12/14 00:21:14,26.8,
270,10/12/14 00:24:39,26.9,
271,10/12/14 00:26:10,27.0,
272,10/12/14 00:27:49,27.1,
273,10/12/14 00:30:06,27.2,
274,10/12/14 00:33:12,27.3,
275,10/12/14 00:36:44,27.4,
276,10/12/14 00:39:08,27.5,
277,10/12/14 00:40:24,27.6,
278,10/12/14 00:42:24,27.7,
279,10/12/14 00:44:04,27.8,
280,10/12/14 00:46:38,27.9,
281,10/12/14 00:49:11,28.0,
282,10/12/14 00:51:14,28.1,
283,10/12/14 00:52:28,28.2,
284,10/12/14 00:55:32,28.3,
285,10/12/14 00:59:40,28.4,
286,10/12/14 01:07:11,28.5,
287,10/12/14 01:14:00,28.6,
288,10/12/14 01:23:30,28.7,
289,10/12/14 01:27:20,28.8,
290,10/12/14 01:47:03,28.9,
291,10/12/14 13:30:09,28.9,Registrado
