"Título de trazado: JTU_01_PT_63"
"N.º","Fecha Tiempo, GMT-05:00","Event, mm (LGR S/N: 10390582, SEN S/N: 10390582)","Final de archivo (LGR S/N: 10390582)"
1,15/05/15 11:47:02,0.0,
2,15/05/15 11:47:54,0.1,
3,16/05/15 14:45:55,0.2,
4,17/05/15 14:24:18,0.3,
5,17/05/15 14:51:36,0.4,
6,17/05/15 15:18:39,0.5,
7,17/05/15 15:21:07,0.6,
8,17/05/15 15:23:48,0.7,
9,17/05/15 15:24:54,0.8,
10,17/05/15 15:27:27,0.9,
11,17/05/15 15:30:01,1.0,
12,17/05/15 15:32:09,1.1,
13,17/05/15 15:33:23,1.2,
14,17/05/15 15:35:01,1.3,
15,17/05/15 15:36:27,1.4,
16,17/05/15 15:41:06,1.5,
17,17/05/15 15:43:46,1.6,
18,17/05/15 15:47:39,1.7,
19,17/05/15 15:56:02,1.8,
20,17/05/15 17:38:23,1.9,
21,18/05/15 01:43:41,2.0,
22,18/05/15 16:04:14,2.1,
23,20/05/15 13:53:16,2.2,
24,20/05/15 13:54:35,2.3,
25,20/05/15 13:55:20,2.4,
26,20/05/15 13:56:05,2.5,
27,20/05/15 13:56:30,2.6,
28,20/05/15 13:56:57,2.7,
29,20/05/15 13:57:17,2.8,
30,20/05/15 13:57:48,2.9,
31,20/05/15 13:58:23,3.0,
32,20/05/15 13:58:57,3.1,
33,20/05/15 13:59:24,3.2,
34,20/05/15 13:59:46,3.3,
35,20/05/15 14:00:03,3.4,
36,20/05/15 14:00:28,3.5,
37,20/05/15 14:00:49,3.6,
38,20/05/15 14:01:36,3.7,
39,20/05/15 14:02:27,3.8,
40,20/05/15 14:04:58,3.9,
41,20/05/15 14:11:09,4.0,
42,20/05/15 14:42:46,4.1,
43,20/05/15 14:44:04,4.2,
44,20/05/15 14:44:57,4.3,
45,20/05/15 14:45:22,4.4,
46,20/05/15 14:45:49,4.5,
47,20/05/15 14:46:18,4.6,
48,20/05/15 14:47:10,4.7,
49,20/05/15 14:47:39,4.8,
50,20/05/15 14:48:12,4.9,
51,20/05/15 14:48:53,5.0,
52,20/05/15 14:51:39,5.1,
53,20/05/15 16:16:21,5.2,
54,20/05/15 16:17:03,5.3,
55,20/05/15 16:17:32,5.4,
56,20/05/15 16:18:22,5.5,
57,20/05/15 16:19:09,5.6,
58,20/05/15 16:20:16,5.7,
59,20/05/15 16:21:37,5.8,
60,20/05/15 16:41:09,5.9,
61,20/05/15 16:45:27,6.0,
62,20/05/15 16:49:47,6.1,
63,20/05/15 16:51:39,6.2,
64,20/05/15 16:54:30,6.3,
65,20/05/15 16:57:06,6.4,
66,20/05/15 17:04:38,6.5,
67,20/05/15 17:10:21,6.6,
68,20/05/15 17:18:25,6.7,
69,20/05/15 17:22:58,6.8,
70,20/05/15 17:36:24,6.9,
71,20/05/15 22:27:20,7.0,
72,21/05/15 00:19:32,7.1,
73,21/05/15 01:53:27,7.2,
74,21/05/15 03:48:55,7.3,
75,21/05/15 05:21:06,7.4,
76,21/05/15 05:50:57,7.5,
77,21/05/15 06:14:27,7.6,
78,21/05/15 06:27:41,7.7,
79,21/05/15 06:40:54,7.8,
80,21/05/15 07:27:10,7.9,
81,21/05/15 09:23:54,8.0,
82,21/05/15 15:50:36,8.1,
83,21/05/15 15:52:30,8.2,
84,21/05/15 15:54:10,8.3,
85,21/05/15 15:55:46,8.4,
86,21/05/15 15:57:16,8.5,
87,21/05/15 15:59:21,8.6,
88,21/05/15 16:00:34,8.7,
89,21/05/15 16:01:20,8.8,
90,21/05/15 16:02:08,8.9,
91,21/05/15 16:02:39,9.0,
92,21/05/15 16:03:07,9.1,
93,21/05/15 16:03:36,9.2,
94,21/05/15 16:06:42,9.3,
95,21/05/15 16:10:20,9.4,
96,21/05/15 16:12:08,9.5,
97,21/05/15 16:16:24,9.6,
98,21/05/15 16:22:16,9.7,
99,21/05/15 16:25:53,9.8,
100,21/05/15 16:29:38,9.9,
101,21/05/15 16:56:17,10.0,
102,22/05/15 01:58:29,10.1,
103,24/05/15 14:08:15,10.2,
104,25/05/15 01:27:48,10.3,
105,25/05/15 11:57:56,10.4,
106,25/05/15 12:00:35,10.5,
107,25/05/15 12:02:47,10.6,
108,25/05/15 12:04:44,10.7,
109,25/05/15 12:05:40,10.8,
110,25/05/15 12:09:40,10.9,
111,25/05/15 12:13:00,11.0,
112,25/05/15 12:16:58,11.1,
113,25/05/15 12:19:16,11.2,
114,25/05/15 12:22:37,11.3,
115,25/05/15 12:28:46,11.4,
116,25/05/15 12:36:20,11.5,
117,25/05/15 12:39:40,11.6,
118,25/05/15 12:43:29,11.7,
119,25/05/15 12:45:41,11.8,
120,25/05/15 12:50:59,11.9,
121,25/05/15 12:54:27,12.0,
122,25/05/15 12:57:14,12.1,
123,25/05/15 12:58:26,12.2,
124,25/05/15 13:00:49,12.3,
125,25/05/15 13:03:44,12.4,
126,25/05/15 13:07:08,12.5,
127,25/05/15 13:09:19,12.6,
128,25/05/15 13:12:14,12.7,
