"Título de trazado: jtu-01-PT-63"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390582, SEN S/N: 10390582)";"Final de archivo (LGR S/N: 10390582)"
1;17/07/15 12:30:13;0,0;
2;18/07/15 02:39:50;0,1;
3;18/07/15 03:02:08;0,2;
4;18/07/15 03:05:58;0,3;
5;18/07/15 03:09:03;0,4;
6;18/07/15 03:10:27;0,5;
7;18/07/15 03:13:46;0,6;
8;18/07/15 03:17:26;0,7;
9;18/07/15 03:20:20;0,8;
10;18/07/15 03:23:51;0,9;
11;18/07/15 03:27:06;1,0;
12;18/07/15 03:28:30;1,1;
13;18/07/15 03:30:09;1,2;
14;18/07/15 03:31:17;1,3;
15;18/07/15 03:33:19;1,4;
16;18/07/15 03:34:10;1,5;
17;18/07/15 03:35:05;1,6;
18;18/07/15 03:35:52;1,7;
19;18/07/15 03:36:56;1,8;
20;18/07/15 03:37:46;1,9;
21;18/07/15 03:39:00;2,0;
22;18/07/15 03:39:58;2,1;
23;18/07/15 03:41:57;2,2;
24;18/07/15 03:43:39;2,3;
25;18/07/15 03:45:03;2,4;
26;18/07/15 03:46:24;2,5;
27;18/07/15 03:48:24;2,6;
28;18/07/15 03:50:20;2,7;
29;18/07/15 04:01:02;2,8;
30;18/07/15 04:08:44;2,9;
31;18/07/15 04:12:22;3,0;
32;18/07/15 04:15:58;3,1;
33;18/07/15 04:25:14;3,2;
34;18/07/15 04:29:04;3,3;
35;18/07/15 04:31:49;3,4;
36;18/07/15 04:33:06;3,5;
37;18/07/15 04:36:14;3,6;
38;18/07/15 04:38:38;3,7;
39;18/07/15 04:42:24;3,8;
40;18/07/15 04:46:23;3,9;
41;18/07/15 04:51:30;4,0;
42;18/07/15 05:01:27;4,1;
43;18/07/15 05:07:37;4,2;
44;18/07/15 05:12:43;4,3;
45;18/07/15 05:47:17;4,4;
46;18/07/15 06:02:05;4,5;
47;18/07/15 06:38:46;4,6;
48;18/07/15 06:43:22;4,7;
49;18/07/15 06:49:06;4,8;
50;18/07/15 06:55:37;4,9;
51;18/07/15 07:21:40;5,0;
52;18/07/15 07:28:41;5,1;
53;18/07/15 07:58:54;5,2;
54;18/07/15 08:05:08;5,3;
55;18/07/15 08:13:38;5,4;
56;18/07/15 08:31:25;5,5;
57;18/07/15 08:53:39;5,6;
58;18/07/15 08:58:35;5,7;
59;18/07/15 09:02:46;5,8;
60;18/07/15 09:07:51;5,9;
61;18/07/15 09:11:10;6,0;
62;18/07/15 09:13:33;6,1;
63;18/07/15 09:16:21;6,2;
64;18/07/15 09:19:03;6,3;
65;18/07/15 09:22:53;6,4;
66;18/07/15 09:25:35;6,5;
67;18/07/15 09:28:32;6,6;
68;18/07/15 09:34:46;6,7;
69;18/07/15 10:07:21;6,8;
70;18/07/15 10:17:18;6,9;
71;18/07/15 10:24:15;7,0;
72;18/07/15 10:27:08;7,1;
73;18/07/15 10:32:22;7,2;
74;18/07/15 10:36:11;7,3;
75;18/07/15 10:42:27;7,4;
76;18/07/15 10:45:21;7,5;
77;18/07/15 10:53:09;7,6;
78;18/07/15 11:20:46;7,7;
79;18/07/15 11:57:43;7,8;
80;18/07/15 13:15:02;7,9;
81;18/07/15 13:21:31;8,0;
82;18/07/15 14:45:40;8,1;
83;18/07/15 17:49:00;8,2;
84;18/07/15 18:43:13;8,3;
85;19/07/15 13:46:55;8,4;
86;19/07/15 13:48:34;8,5;
87;19/07/15 13:49:55;8,6;
88;19/07/15 13:51:00;8,7;
89;19/07/15 13:52:27;8,8;
90;19/07/15 13:53:21;8,9;
91;19/07/15 13:54:38;9,0;
92;19/07/15 13:55:40;9,1;
93;19/07/15 13:56:56;9,2;
94;19/07/15 13:57:46;9,3;
95;19/07/15 13:59:14;9,4;
96;19/07/15 13:59:53;9,5;
97;19/07/15 14:01:10;9,6;
98;19/07/15 14:02:35;9,7;
99;19/07/15 14:05:52;9,8;
100;19/07/15 14:21:23;9,9;
101;19/07/15 14:33:57;10,0;
102;19/07/15 14:40:20;10,1;
103;19/07/15 14:45:31;10,2;
104;19/07/15 14:46:17;10,3;
105;19/07/15 14:47:02;10,4;
106;19/07/15 14:47:32;10,5;
107;19/07/15 14:48:05;10,6;
108;19/07/15 14:48:31;10,7;
109;19/07/15 14:49:21;10,8;
110;19/07/15 14:50:37;10,9;
111;19/07/15 14:51:55;11,0;
112;19/07/15 14:52:41;11,1;
113;19/07/15 14:53:41;11,2;
114;19/07/15 14:54:23;11,3;
115;19/07/15 15:01:52;11,4;
116;19/07/15 15:03:14;11,5;
117;19/07/15 15:04:02;11,6;
118;19/07/15 15:05:03;11,7;
119;19/07/15 15:12:24;11,8;
120;19/07/15 15:15:40;11,9;
121;19/07/15 15:19:21;12,0;
122;19/07/15 15:33:37;12,1;
123;19/07/15 15:34:47;12,2;
124;19/07/15 15:35:56;12,3;
125;19/07/15 15:37:19;12,4;
126;19/07/15 15:40:20;12,5;
127;19/07/15 15:45:03;12,6;
128;19/07/15 15:58:23;12,7;
129;19/07/15 16:16:19;12,8;
130;19/07/15 16:28:18;12,9;
131;19/07/15 16:36:28;13,0;
132;19/07/15 16:37:12;13,1;
133;19/07/15 16:53:27;13,2;
134;19/07/15 16:59:24;13,3;
135;19/07/15 17:04:34;13,4;
136;19/07/15 17:12:44;13,5;
137;19/07/15 17:44:51;13,6;
138;19/07/15 17:45:56;13,7;
139;19/07/15 17:48:18;13,8;
140;19/07/15 17:48:56;13,9;
141;19/07/15 17:49:59;14,0;
142;19/07/15 17:50:59;14,1;
143;19/07/15 17:52:39;14,2;
144;19/07/15 17:53:50;14,3;
145;19/07/15 17:56:38;14,4;
146;19/07/15 18:01:37;14,5;
147;19/07/15 18:06:33;14,6;
148;19/07/15 18:32:23;14,7;
149;19/07/15 18:58:08;14,8;
150;19/07/15 19:05:14;14,9;
151;19/07/15 19:15:03;15,0;
152;19/07/15 19:23:23;15,1;
153;19/07/15 19:38:14;15,2;
154;19/07/15 19:42:49;15,3;
155;19/07/15 19:49:48;15,4;
156;19/07/15 19:53:43;15,5;
157;19/07/15 20:01:10;15,6;
158;19/07/15 20:11:43;15,7;
159;19/07/15 20:20:35;15,8;
160;19/07/15 20:24:27;15,9;
161;19/07/15 20:28:52;16,0;
162;19/07/15 20:31:54;16,1;
163;19/07/15 20:36:01;16,2;
164;19/07/15 20:39:16;16,3;
165;19/07/15 20:45:03;16,4;
166;19/07/15 20:50:50;16,5;
167;19/07/15 20:55:47;16,6;
168;19/07/15 21:01:59;16,7;
169;19/07/15 22:16:05;16,8;
170;19/07/15 22:28:52;16,9;
171;19/07/15 23:07:12;17,0;
172;20/07/15 13:49:31;17,1;
173;20/07/15 13:50:20;17,2;
174;20/07/15 13:50:48;17,3;
175;20/07/15 13:51:46;17,4;
176;20/07/15 14:06:53;17,5;
177;20/07/15 14:15:51;17,6;
178;21/07/15 19:12:16;17,7;
179;21/07/15 19:39:40;17,8;
180;21/07/15 20:11:53;17,9;
181;21/07/15 20:55:58;18,0;
182;21/07/15 21:00:20;18,1;
183;21/07/15 21:11:34;18,2;
184;21/07/15 21:56:10;18,3;
185;21/07/15 22:41:34;18,4;
186;21/07/15 22:46:05;18,5;
187;21/07/15 22:49:25;18,6;
188;21/07/15 22:53:33;18,7;
189;21/07/15 22:58:47;18,8;
190;21/07/15 23:04:30;18,9;
191;21/07/15 23:09:05;19,0;
192;21/07/15 23:10:44;19,1;
193;21/07/15 23:12:22;19,2;
194;21/07/15 23:13:28;19,3;
