"Título de trazado: JTU-01-PT-63"
"N.º","Fecha Tiempo, GMT-05:00","Event, mm (LGR S/N: 10390582, SEN S/N: 10390582)","Final de archivo (LGR S/N: 10390582)"
1,08/10/15 13:28:58,0.0,
2,10/10/15 00:52:01,0.1,
3,10/10/15 13:33:17,0.2,
4,10/10/15 13:47:12,0.3,
5,11/10/15 03:17:30,0.4,
6,11/10/15 03:42:09,0.5,
7,11/10/15 04:18:26,0.6,
8,11/10/15 13:28:06,0.7,
9,11/10/15 14:18:20,0.8,
10,11/10/15 14:38:08,0.9,
11,11/10/15 14:43:44,1.0,
12,11/10/15 14:45:56,1.1,
13,11/10/15 14:50:21,1.2,
14,11/10/15 14:56:40,1.3,
15,11/10/15 15:15:53,1.4,
16,11/10/15 15:22:00,1.5,
17,11/10/15 15:23:49,1.6,
18,11/10/15 15:25:14,1.7,
19,11/10/15 15:26:26,1.8,
20,11/10/15 15:28:36,1.9,
21,11/10/15 15:31:51,2.0,
22,11/10/15 23:48:56,2.1,
23,12/10/15 00:09:32,2.2,
24,12/10/15 01:42:48,2.3,
25,12/10/15 14:19:43,2.4,
26,12/10/15 14:28:53,2.5,
27,12/10/15 14:31:02,2.6,
28,12/10/15 14:58:05,2.7,
29,12/10/15 15:25:32,2.8,
30,12/10/15 15:26:20,2.9,
31,12/10/15 15:26:41,3.0,
32,12/10/15 15:27:04,3.1,
33,12/10/15 15:27:20,3.2,
34,12/10/15 15:27:44,3.3,
35,12/10/15 15:28:13,3.4,
36,12/10/15 15:28:58,3.5,
37,12/10/15 15:29:41,3.6,
38,12/10/15 15:55:45,3.7,
39,12/10/15 15:57:12,3.8,
40,12/10/15 16:02:17,3.9,
41,12/10/15 16:21:59,4.0,
42,12/10/15 18:48:10,4.1,
43,12/10/15 18:52:07,4.2,
44,12/10/15 18:54:45,4.3,
45,12/10/15 19:00:39,4.4,
46,12/10/15 19:07:37,4.5,
47,12/10/15 19:09:24,4.6,
48,12/10/15 19:12:35,4.7,
49,12/10/15 19:19:53,4.8,
50,12/10/15 19:21:54,4.9,
51,12/10/15 19:23:05,5.0,
52,12/10/15 19:25:31,5.1,
53,12/10/15 19:30:58,5.2,
54,12/10/15 23:30:00,5.3,
55,13/10/15 10:30:43,5.4,
56,13/10/15 10:40:55,5.5,
57,13/10/15 10:46:02,5.6,
58,13/10/15 10:50:58,5.7,
59,13/10/15 10:58:58,5.8,
