"Título de trazado: JTU_01_PT_83"
"N.º";"Fecha Tiempo, GMT-07:00";"Evento, mm (LGR S/N: 10390584, SEN S/N: 10390584)";"Final de archivo (LGR S/N: 10390584)"
1;09/07/14 09:19:27;0,0;
2;10/07/14 13:11:16;0,1;
3;10/07/14 14:15:01;0,2;
4;10/07/14 15:11:45;0,3;
5;10/07/14 15:35:16;0,4;
6;10/07/14 15:43:18;0,5;
7;10/07/14 17:03:13;0,6;
8;10/07/14 17:11:57;0,7;
9;10/07/14 17:45:57;0,8;
10;10/07/14 18:52:37;0,9;
11;10/07/14 19:34:12;1,0;
12;10/07/14 20:08:56;1,1;
13;10/07/14 20:24:17;1,2;
14;10/07/14 20:36:34;1,3;
15;10/07/14 20:50:32;1,4;
16;10/07/14 21:09:36;1,5;
17;10/07/14 21:23:10;1,6;
18;10/07/14 21:32:33;1,7;
19;10/07/14 21:44:02;1,8;
20;10/07/14 21:58:05;1,9;
21;10/07/14 22:14:32;2,0;
22;10/07/14 22:19:30;2,1;
23;10/07/14 22:24:41;2,2;
24;10/07/14 22:48:40;2,3;
25;10/07/14 23:20:42;2,4;
26;10/07/14 23:30:08;2,5;
27;10/07/14 23:36:08;2,6;
28;10/07/14 23:54:10;2,7;
29;11/07/14 00:01:02;2,8;
30;11/07/14 00:07:28;2,9;
31;11/07/14 00:16:24;3,0;
32;11/07/14 00:26:46;3,1;
33;11/07/14 00:36:57;3,2;
34;11/07/14 00:43:17;3,3;
35;11/07/14 00:49:00;3,4;
36;11/07/14 00:59:54;3,5;
37;11/07/14 01:12:20;3,6;
38;11/07/14 01:23:03;3,7;
39;11/07/14 01:31:18;3,8;
40;11/07/14 04:42:18;3,9;
41;11/07/14 05:00:08;4,0;
42;11/07/14 05:01:24;4,1;
43;11/07/14 05:03:57;4,2;
44;11/07/14 05:06:49;4,3;
45;11/07/14 05:10:23;4,4;
46;11/07/14 05:14:13;4,5;
47;11/07/14 05:18:23;4,6;
48;11/07/14 05:22:30;4,7;
49;11/07/14 05:27:28;4,8;
50;11/07/14 05:30:57;4,9;
51;11/07/14 05:34:41;5,0;
52;11/07/14 05:40:46;5,1;
53;11/07/14 05:48:24;5,2;
54;11/07/14 05:51:59;5,3;
55;11/07/14 05:57:39;5,4;
56;11/07/14 06:07:20;5,5;
57;11/07/14 06:26:48;5,6;
58;11/07/14 06:46:58;5,7;
59;11/07/14 07:10:44;5,8;
60;11/07/14 07:43:29;5,9;
61;11/07/14 08:11:27;6,0;
62;11/07/14 09:32:02;6,1;
63;11/07/14 09:38:44;6,2;
64;11/07/14 09:49:43;6,3;
65;11/07/14 10:08:58;6,4;
66;11/07/14 21:08:26;6,5;
67;11/07/14 22:36:56;6,6;
68;12/07/14 00:36:27;6,7;
69;12/07/14 01:30:05;6,8;
70;12/07/14 01:37:41;6,9;
71;12/07/14 01:51:56;7,0;
72;12/07/14 02:19:29;7,1;
73;12/07/14 02:46:12;7,2;
74;12/07/14 03:00:38;7,3;
75;12/07/14 07:56:16;7,4;
76;12/07/14 08:17:13;7,5;
77;12/07/14 08:21:17;7,6;
78;12/07/14 08:27:21;7,7;
79;12/07/14 08:33:18;7,8;
80;12/07/14 08:39:15;7,9;
81;12/07/14 08:44:56;8,0;
82;12/07/14 08:51:53;8,1;
83;12/07/14 15:33:46;8,2;
84;12/07/14 15:41:29;8,3;
85;12/07/14 15:47:47;8,4;
86;12/07/14 16:01:41;8,5;
87;12/07/14 19:36:20;8,6;
88;12/07/14 20:02:43;8,7;
89;12/07/14 20:41:57;8,8;
90;12/07/14 22:10:45;8,9;
91;12/07/14 22:32:28;9,0;
92;12/07/14 23:38:50;9,1;
93;13/07/14 06:16:04;9,2;
94;14/07/14 00:27:15;9,3;
95;14/07/14 04:11:56;9,4;
96;14/07/14 06:55:35;9,5;
97;14/07/14 08:13:25;9,6;
98;14/07/14 08:27:03;9,7;
