"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Ext. Line Event, mm (LGR S/N: 2412759, SEN S/N: 2412759)","Final de archivo (LGR S/N: 2412759)"
1,11/03/15 09:58:17,0.0,
2,11/03/15 10:45:11,0.1,
3,11/03/15 10:55:00,0.2,
4,11/03/15 11:16:21,0.3,
5,11/03/15 12:18:37,0.4,
6,11/03/15 12:53:36,0.5,
7,12/03/15 20:32:39,0.6,
8,12/03/15 22:06:03,0.7,
9,13/03/15 03:48:38,0.8,
10,13/03/15 05:32:39,0.9,
11,13/03/15 06:36:54,1.0,
12,13/03/15 07:42:45,1.1,
13,13/03/15 14:20:43,1.2,
14,13/03/15 14:23:21,1.3,
15,13/03/15 14:26:03,1.4,
16,13/03/15 14:44:36,1.5,
17,13/03/15 15:53:52,1.6,
18,13/03/15 18:24:27,1.7,
19,14/03/15 05:17:46,1.8,
20,14/03/15 06:41:09,1.9,
21,14/03/15 19:09:33,2.0,
22,15/03/15 08:49:05,2.1,
23,15/03/15 09:28:01,2.2,
24,15/03/15 09:39:21,2.3,
25,15/03/15 10:00:45,2.4,
26,15/03/15 10:04:37,2.5,
27,15/03/15 10:06:15,2.6,
28,15/03/15 10:08:38,2.7,
29,15/03/15 10:11:28,2.8,
30,15/03/15 10:14:00,2.9,
31,15/03/15 10:17:21,3.0,
32,15/03/15 10:21:32,3.1,
33,15/03/15 10:26:42,3.2,
34,15/03/15 10:32:48,3.3,
35,15/03/15 10:37:14,3.4,
36,15/03/15 10:40:20,3.5,
37,15/03/15 10:43:54,3.6,
38,15/03/15 10:46:32,3.7,
39,15/03/15 10:50:25,3.8,
40,15/03/15 10:54:34,3.9,
41,15/03/15 10:58:04,4.0,
42,15/03/15 11:00:59,4.1,
43,15/03/15 11:02:49,4.2,
44,15/03/15 11:04:00,4.3,
45,15/03/15 11:05:59,4.4,
46,15/03/15 11:11:02,4.5,
47,15/03/15 11:19:30,4.6,
48,15/03/15 11:22:12,4.7,
49,15/03/15 14:21:31,4.8,
50,15/03/15 16:35:05,4.9,
51,15/03/15 16:58:01,5.0,
52,15/03/15 17:02:36,5.1,
53,15/03/15 17:05:06,5.2,
54,15/03/15 17:13:10,5.3,
55,16/03/15 21:41:39,5.4,
56,16/03/15 22:09:11,5.5,
57,18/03/15 04:12:47,5.6,
58,18/03/15 06:31:05,5.7,
59,18/03/15 06:48:49,5.8,
60,18/03/15 06:52:17,5.9,
61,18/03/15 06:54:47,6.0,
62,18/03/15 06:56:31,6.1,
63,18/03/15 06:58:24,6.2,
64,18/03/15 07:00:19,6.3,
65,18/03/15 07:01:59,6.4,
66,18/03/15 07:04:09,6.5,
67,18/03/15 07:06:19,6.6,
68,18/03/15 07:07:44,6.7,
69,18/03/15 07:09:32,6.8,
70,18/03/15 07:11:49,6.9,
71,18/03/15 07:13:59,7.0,
72,18/03/15 07:15:58,7.1,
73,18/03/15 07:19:24,7.2,
74,18/03/15 07:23:33,7.3,
75,18/03/15 07:29:57,7.4,
76,18/03/15 07:36:02,7.5,
77,18/03/15 07:44:28,7.6,
78,18/03/15 07:49:09,7.7,
79,18/03/15 07:54:48,7.8,
80,18/03/15 08:05:32,7.9,
81,18/03/15 08:12:21,8.0,
82,18/03/15 08:19:05,8.1,
83,18/03/15 08:25:06,8.2,
84,18/03/15 08:28:30,8.3,
85,18/03/15 08:33:03,8.4,
86,18/03/15 08:40:10,8.5,
87,18/03/15 08:52:37,8.6,
88,18/03/15 09:00:47,8.7,
89,18/03/15 09:11:26,8.8,
90,18/03/15 09:15:10,8.9,
91,18/03/15 09:17:37,9.0,
92,18/03/15 09:19:52,9.1,
93,18/03/15 09:21:49,9.2,
94,18/03/15 09:24:16,9.3,
95,18/03/15 09:26:55,9.4,
96,18/03/15 09:29:07,9.5,
97,18/03/15 09:30:54,9.6,
98,18/03/15 09:32:29,9.7,
99,18/03/15 09:34:24,9.8,
100,18/03/15 09:38:51,9.9,
101,18/03/15 10:50:41,10.0,
102,18/03/15 11:03:48,10.1,
103,18/03/15 11:31:43,10.2,
104,18/03/15 11:38:02,10.3,
105,18/03/15 11:47:18,10.4,
106,18/03/15 11:49:09,10.5,
107,18/03/15 11:51:08,10.6,
108,18/03/15 12:02:39,10.7,
109,18/03/15 12:12:38,10.8,
110,18/03/15 12:22:21,10.9,
111,18/03/15 12:26:39,11.0,
112,18/03/15 12:28:13,11.1,
113,18/03/15 12:29:49,11.2,
114,18/03/15 12:30:34,11.3,
115,18/03/15 12:31:23,11.4,
116,18/03/15 12:33:19,11.5,
117,18/03/15 12:49:20,11.6,
118,18/03/15 12:58:01,11.7,
119,18/03/15 13:11:29,11.8,
120,18/03/15 13:23:02,11.9,
121,18/03/15 13:27:47,12.0,
122,18/03/15 13:29:48,12.1,
123,18/03/15 13:30:32,12.2,
124,18/03/15 13:31:59,12.3,
125,18/03/15 13:33:23,12.4,
126,18/03/15 13:35:20,12.5,
127,18/03/15 13:36:58,12.6,
128,18/03/15 13:39:12,12.7,
129,18/03/15 13:41:31,12.8,
130,18/03/15 13:42:57,12.9,
131,18/03/15 13:44:04,13.0,
132,18/03/15 13:44:47,13.1,
133,18/03/15 13:45:39,13.2,
134,18/03/15 13:46:53,13.3,
135,18/03/15 13:48:07,13.4,
136,18/03/15 13:49:44,13.5,
137,18/03/15 13:51:22,13.6,
138,18/03/15 13:53:00,13.7,
139,18/03/15 13:54:58,13.8,
140,18/03/15 13:56:42,13.9,
141,18/03/15 13:58:22,14.0,
142,18/03/15 14:00:00,14.1,
143,18/03/15 14:01:22,14.2,
144,18/03/15 14:02:35,14.3,
145,18/03/15 14:03:57,14.4,
146,18/03/15 14:05:14,14.5,
147,18/03/15 14:06:37,14.6,
148,18/03/15 14:07:36,14.7,
149,18/03/15 14:09:32,14.8,
150,18/03/15 14:11:34,14.9,
151,18/03/15 14:13:20,15.0,
152,18/03/15 14:17:17,15.1,
153,18/03/15 14:22:44,15.2,
154,18/03/15 14:26:33,15.3,
155,18/03/15 14:30:44,15.4,
156,18/03/15 14:39:52,15.5,
157,18/03/15 14:44:11,15.6,
158,18/03/15 14:47:32,15.7,
159,18/03/15 14:50:48,15.8,
160,18/03/15 14:55:37,15.9,
161,18/03/15 14:58:40,16.0,
162,18/03/15 15:01:16,16.1,
163,18/03/15 15:03:18,16.2,
164,18/03/15 15:05:48,16.3,
165,18/03/15 15:08:34,16.4,
166,18/03/15 15:11:10,16.5,
167,18/03/15 15:14:28,16.6,
168,18/03/15 15:19:24,16.7,
169,18/03/15 15:29:32,16.8,
170,18/03/15 15:37:30,16.9,
171,18/03/15 15:43:39,17.0,
172,18/03/15 15:59:00,17.1,
173,18/03/15 16:04:44,17.2,
174,18/03/15 22:07:33,17.3,
175,19/03/15 01:48:35,17.4,
176,19/03/15 02:35:52,17.5,
177,19/03/15 03:52:06,17.6,
178,19/03/15 11:19:33,17.7,
179,19/03/15 11:27:55,17.8,
180,19/03/15 11:32:47,17.9,
181,19/03/15 11:33:34,18.0,
