"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Precipitacion, mm (LGR S/N: 2412759, SEN S/N: 2412759)","Final de archivo (LGR S/N: 2412759)"
1,04/07/17 11:10:08,0.0,
2,06/07/17 21:33:55,0.1,
3,06/07/17 23:40:01,0.2,
4,07/07/17 00:31:30,0.3,
5,07/07/17 00:45:28,0.4,
6,07/07/17 01:23:15,0.5,
7,07/07/17 03:01:50,0.6,
8,07/07/17 03:44:38,0.7,
9,07/07/17 03:57:04,0.8,
10,07/07/17 03:59:29,0.9,
11,07/07/17 04:02:00,1.0,
12,07/07/17 04:05:51,1.1,
13,07/07/17 04:16:10,1.2,
14,07/07/17 04:23:35,1.3,
15,07/07/17 04:30:52,1.4,
16,07/07/17 04:37:30,1.5,
17,07/07/17 04:45:21,1.6,
18,07/07/17 04:50:14,1.7,
19,07/07/17 04:56:44,1.8,
20,07/07/17 05:10:55,1.9,
21,07/07/17 05:22:49,2.0,
22,07/07/17 05:34:06,2.1,
23,07/07/17 05:41:19,2.2,
24,07/07/17 05:46:32,2.3,
25,07/07/17 05:52:39,2.4,
26,07/07/17 06:12:24,2.5,
27,07/07/17 06:19:22,2.6,
28,07/07/17 06:24:02,2.7,
29,07/07/17 06:30:54,2.8,
30,07/07/17 06:53:20,2.9,
31,11/07/17 21:40:28,3.0,
32,11/07/17 21:55:21,3.1,
33,11/07/17 22:35:24,3.2,
34,12/07/17 00:06:24,3.3,
35,17/07/17 03:15:53,3.4,
36,17/07/17 06:25:00,3.5,
37,17/07/17 06:38:42,3.6,
38,17/07/17 06:43:16,3.7,
39,17/07/17 06:46:22,3.8,
40,17/07/17 06:48:23,3.9,
41,17/07/17 06:50:32,4.0,
42,17/07/17 06:52:27,4.1,
43,17/07/17 06:56:15,4.2,
44,17/07/17 08:50:02,4.3,
45,17/07/17 09:17:50,4.4,
46,17/07/17 09:26:28,4.5,
47,17/07/17 10:02:51,4.6,
48,17/07/17 10:21:19,4.7,
49,17/07/17 10:29:08,4.8,
50,17/07/17 10:31:47,4.9,
51,17/07/17 10:33:26,5.0,
52,17/07/17 10:34:36,5.1,
53,17/07/17 10:35:32,5.2,
54,17/07/17 10:36:31,5.3,
55,17/07/17 10:37:26,5.4,
56,17/07/17 10:38:27,5.5,
57,17/07/17 10:39:29,5.6,
58,17/07/17 10:40:40,5.7,
59,17/07/17 10:41:55,5.8,
60,17/07/17 10:43:18,5.9,
61,17/07/17 10:45:14,6.0,
62,17/07/17 21:05:15,6.1,
63,18/07/17 01:25:33,6.2,
64,18/07/17 01:44:54,6.3,
65,18/07/17 07:59:56,6.4,
66,18/07/17 08:26:51,6.5,
67,18/07/17 08:52:38,6.6,
68,18/07/17 08:59:05,6.7,
69,18/07/17 09:04:49,6.8,
70,18/07/17 09:12:31,6.9,
71,18/07/17 09:15:36,7.0,
72,18/07/17 09:18:32,7.1,
73,18/07/17 09:22:14,7.2,
74,18/07/17 09:25:52,7.3,
75,18/07/17 09:29:28,7.4,
76,18/07/17 09:32:27,7.5,
77,18/07/17 09:35:06,7.6,
78,18/07/17 09:39:51,7.7,
79,18/07/17 09:47:03,7.8,
