"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Precipitacion, mm (LGR S/N: 2412759, SEN S/N: 2412759)","Final de archivo (LGR S/N: 2412759)"
1,23/10/17 10:42:26,0.0,
2,24/10/17 16:00:58,0.1,
3,24/10/17 16:10:14,0.2,
4,25/10/17 16:45:45,0.3,
5,26/10/17 17:51:55,0.4,
6,26/10/17 18:13:34,0.5,
7,27/10/17 13:33:56,0.6,
8,27/10/17 14:54:41,0.7,
9,27/10/17 14:56:42,0.8,
10,27/10/17 14:57:34,0.9,
11,27/10/17 14:58:27,1.0,
12,27/10/17 14:59:24,1.1,
13,27/10/17 15:00:28,1.2,
14,27/10/17 15:01:56,1.3,
15,27/10/17 15:05:17,1.4,
16,27/10/17 15:13:47,1.5,
17,27/10/17 15:18:14,1.6,
18,27/10/17 15:19:19,1.7,
19,27/10/17 15:20:38,1.8,
20,27/10/17 15:22:11,1.9,
21,27/10/17 15:23:57,2.0,
22,27/10/17 15:26:04,2.1,
23,27/10/17 15:28:07,2.2,
24,27/10/17 15:30:17,2.3,
25,27/10/17 15:32:35,2.4,
26,27/10/17 15:34:54,2.5,
27,27/10/17 15:36:52,2.6,
28,27/10/17 15:38:43,2.7,
29,27/10/17 15:40:40,2.8,
30,27/10/17 15:42:25,2.9,
31,27/10/17 15:44:30,3.0,
32,27/10/17 15:46:56,3.1,
33,27/10/17 15:49:39,3.2,
34,27/10/17 15:53:07,3.3,
35,27/10/17 15:55:55,3.4,
36,27/10/17 15:59:03,3.5,
37,27/10/17 16:03:27,3.6,
38,27/10/17 16:07:28,3.7,
39,27/10/17 16:10:24,3.8,
40,27/10/17 16:13:52,3.9,
41,27/10/17 16:17:23,4.0,
42,27/10/17 16:20:23,4.1,
43,27/10/17 16:23:21,4.2,
44,27/10/17 16:26:26,4.3,
45,27/10/17 16:29:31,4.4,
46,27/10/17 16:33:33,4.5,
47,27/10/17 16:37:53,4.6,
48,27/10/17 16:41:28,4.7,
49,27/10/17 16:45:05,4.8,
50,27/10/17 16:48:30,4.9,
51,27/10/17 16:52:28,5.0,
52,27/10/17 16:56:04,5.1,
53,27/10/17 16:59:58,5.2,
54,27/10/17 17:04:34,5.3,
55,27/10/17 17:08:28,5.4,
56,27/10/17 17:12:14,5.5,
57,27/10/17 17:16:17,5.6,
58,27/10/17 17:20:58,5.7,
59,27/10/17 17:26:51,5.8,
60,27/10/17 17:34:44,5.9,
61,27/10/17 17:44:44,6.0,
62,27/10/17 18:07:33,6.1,
63,27/10/17 18:31:50,6.2,
64,27/10/17 19:03:10,6.3,
65,27/10/17 19:23:01,6.4,
66,27/10/17 19:42:09,6.5,
67,27/10/17 19:53:00,6.6,
68,27/10/17 20:01:34,6.7,
69,27/10/17 20:08:54,6.8,
70,27/10/17 20:15:14,6.9,
71,27/10/17 20:21:46,7.0,
72,27/10/17 20:28:19,7.1,
73,27/10/17 20:39:21,7.2,
74,27/10/17 21:17:31,7.3,
