,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m,,Calc_Instant_Wind_2m,
time,status,DirAvg,status,DirMax,status,DirMin,status,SpdAvg,status,SpdMax,status,SpdMin,
1/24/18 12:00:09 AM,VALID,137.0,VALID,151.0,VALID,124.0,VALID,4.922,VALID,6.32,VALID,3.453,
1/24/18 12:02:08 AM,VALID,134.0,VALID,156.0,VALID,106.0,VALID,4.352,VALID,5.789,VALID,2.797,
1/24/18 12:04:08 AM,VALID,127.0,VALID,143.0,VALID,110.0,VALID,5.109,VALID,6.359,VALID,3.594,
1/24/18 12:06:08 AM,VALID,128.0,VALID,147.0,VALID,107.0,VALID,5.383,VALID,7.422,VALID,3.688,
1/24/18 12:08:08 AM,VALID,122.0,VALID,130.0,VALID,116.0,VALID,6.336,VALID,7.625,VALID,5.227,
1/24/18 12:10:09 AM,VALID,121.0,VALID,129.0,VALID,107.0,VALID,6.453,VALID,8.422,VALID,4.789,
1/24/18 12:12:08 AM,VALID,121.0,VALID,134.0,VALID,112.0,VALID,5.852,VALID,7.492,VALID,4.078,
1/24/18 12:14:08 AM,VALID,116.0,VALID,124.0,VALID,108.0,VALID,5.953,VALID,6.883,VALID,4.984,
1/24/18 12:16:07 AM,VALID,112.0,VALID,129.0,VALID,103.0,VALID,6.07,VALID,7.594,VALID,3.555,
1/24/18 12:18:07 AM,VALID,114.0,VALID,124.0,VALID,102.0,VALID,6.305,VALID,8.375,VALID,4.82,
1/24/18 12:20:07 AM,VALID,125.0,VALID,141.0,VALID,110.0,VALID,5.273,VALID,6.82,VALID,3.953,
1/24/18 12:22:07 AM,VALID,130.0,VALID,155.0,VALID,114.0,VALID,6.258,VALID,8.188,VALID,3.688,
1/24/18 12:24:07 AM,VALID,124.0,VALID,137.0,VALID,116.0,VALID,6.602,VALID,8.922,VALID,4.727,
1/24/18 12:26:07 AM,VALID,131.0,VALID,148.0,VALID,114.0,VALID,5.25,VALID,7.922,VALID,3.289,
1/24/18 12:28:07 AM,VALID,134.0,VALID,146.0,VALID,121.0,VALID,5.078,VALID,7.016,VALID,3.82,
1/24/18 12:30:08 AM,VALID,134.0,VALID,151.0,VALID,113.0,VALID,5.344,VALID,7.258,VALID,3.719,
1/24/18 12:32:07 AM,VALID,130.0,VALID,148.0,VALID,117.0,VALID,5.555,VALID,7.258,VALID,4.023,
1/24/18 12:34:07 AM,VALID,127.0,VALID,145.0,VALID,115.0,VALID,6.891,VALID,8.289,VALID,5.523,
1/24/18 12:36:07 AM,VALID,131.0,VALID,142.0,VALID,118.0,VALID,5.977,VALID,8.219,VALID,4.289,
1/24/18 12:38:07 AM,VALID,130.0,VALID,142.0,VALID,116.0,VALID,6.414,VALID,8.922,VALID,4.953,
1/24/18 12:40:07 AM,VALID,124.0,VALID,135.0,VALID,117.0,VALID,6.758,VALID,9.32,VALID,4.75,
1/24/18 12:42:07 AM,VALID,131.0,VALID,143.0,VALID,115.0,VALID,5.328,VALID,7.586,VALID,3.914,
1/24/18 12:44:07 AM,VALID,132.0,VALID,147.0,VALID,116.0,VALID,6.008,VALID,8.195,VALID,4.25,
1/24/18 12:46:07 AM,VALID,131.0,VALID,144.0,VALID,118.0,VALID,7.398,VALID,10.086,VALID,5.539,
1/24/18 12:48:07 AM,VALID,129.0,VALID,142.0,VALID,119.0,VALID,7.297,VALID,10.156,VALID,4.883,
1/24/18 12:50:07 AM,VALID,127.0,VALID,143.0,VALID,116.0,VALID,7.195,VALID,9.047,VALID,4.32,
1/24/18 12:52:07 AM,VALID,131.0,VALID,152.0,VALID,113.0,VALID,6.055,VALID,8.242,VALID,4.32,
1/24/18 12:54:07 AM,VALID,129.0,VALID,146.0,VALID,116.0,VALID,5.703,VALID,7.734,VALID,4.258,
1/24/18 12:56:07 AM,VALID,135.0,VALID,149.0,VALID,116.0,VALID,6.438,VALID,9.055,VALID,4.422,
1/24/18 12:58:07 AM,VALID,137.0,VALID,147.0,VALID,121.0,VALID,7.094,VALID,8.422,VALID,5.758,
1/24/18 1:00:09 AM,VALID,141.0,VALID,156.0,VALID,128.0,VALID,6.781,VALID,9.055,VALID,4.727,
1/24/18 1:02:07 AM,VALID,144.0,VALID,156.0,VALID,134.0,VALID,6.164,VALID,7.891,VALID,5.094,
1/24/18 1:04:07 AM,VALID,142.0,VALID,153.0,VALID,126.0,VALID,6.859,VALID,9.25,VALID,4.758,
1/24/18 1:06:07 AM,VALID,136.0,VALID,146.0,VALID,124.0,VALID,7.477,VALID,10.859,VALID,4.852,
1/24/18 1:08:07 AM,VALID,141.0,VALID,153.0,VALID,123.0,VALID,5.391,VALID,7.086,VALID,3.648,
1/24/18 1:10:07 AM,VALID,141.0,VALID,153.0,VALID,129.0,VALID,6.93,VALID,8.82,VALID,5.516,
1/24/18 1:12:07 AM,VALID,145.0,VALID,171.0,VALID,130.0,VALID,6.297,VALID,8.68,VALID,4.258,
1/24/18 1:14:07 AM,VALID,144.0,VALID,154.0,VALID,125.0,VALID,6.516,VALID,8.758,VALID,3.922,
1/24/18 1:16:07 AM,VALID,142.0,VALID,152.0,VALID,128.0,VALID,7.844,VALID,9.594,VALID,5.156,
1/24/18 1:18:07 AM,VALID,143.0,VALID,161.0,VALID,130.0,VALID,6.227,VALID,8.758,VALID,4.578,
1/24/18 1:20:07 AM,VALID,139.0,VALID,159.0,VALID,125.0,VALID,6.562,VALID,8.219,VALID,4.484,
1/24/18 1:22:07 AM,VALID,140.0,VALID,154.0,VALID,128.0,VALID,6.289,VALID,7.938,VALID,4.156,
1/24/18 1:24:07 AM,VALID,149.0,VALID,164.0,VALID,135.0,VALID,6.172,VALID,8.648,VALID,3.758,
1/24/18 1:26:07 AM,VALID,142.0,VALID,154.0,VALID,128.0,VALID,5.844,VALID,7.453,VALID,4.492,
1/24/18 1:28:07 AM,VALID,145.0,VALID,156.0,VALID,124.0,VALID,6.008,VALID,8.555,VALID,4.664,
1/24/18 1:30:08 AM,VALID,140.0,VALID,156.0,VALID,125.0,VALID,6.281,VALID,8.094,VALID,4.383,
1/24/18 1:32:07 AM,VALID,140.0,VALID,161.0,VALID,117.0,VALID,5.547,VALID,6.953,VALID,3.992,
1/24/18 1:34:07 AM,VALID,138.0,VALID,155.0,VALID,118.0,VALID,5.672,VALID,7.82,VALID,3.758,
1/24/18 1:36:07 AM,VALID,132.0,VALID,151.0,VALID,106.0,VALID,5.102,VALID,7.312,VALID,3.555,
1/24/18 1:38:07 AM,VALID,129.0,VALID,144.0,VALID,116.0,VALID,4.203,VALID,6.422,VALID,2.695,
1/24/18 1:40:07 AM,VALID,127.0,VALID,140.0,VALID,106.0,VALID,5.352,VALID,6.484,VALID,3.789,
1/24/18 1:42:07 AM,VALID,124.0,VALID,135.0,VALID,110.0,VALID,5.445,VALID,7.625,VALID,4.359,
1/24/18 1:44:07 AM,VALID,120.0,VALID,142.0,VALID,104.0,VALID,6.633,VALID,8.492,VALID,4.891,
1/24/18 1:46:07 AM,VALID,113.0,VALID,127.0,VALID,100.0,VALID,5.297,VALID,7.422,VALID,3.891,
1/24/18 1:48:07 AM,VALID,123.0,VALID,141.0,VALID,109.0,VALID,5.438,VALID,7.281,VALID,3.656,
1/24/18 1:50:07 AM,VALID,121.0,VALID,130.0,VALID,105.0,VALID,5.234,VALID,6.594,VALID,3.453,
1/24/18 1:52:07 AM,VALID,122.0,VALID,134.0,VALID,112.0,VALID,5.391,VALID,6.781,VALID,4.156,
1/24/18 1:54:07 AM,VALID,123.0,VALID,137.0,VALID,103.0,VALID,4.562,VALID,6.594,VALID,3.281,
1/24/18 1:56:07 AM,VALID,121.0,VALID,142.0,VALID,109.0,VALID,5.125,VALID,6.383,VALID,4.219,
1/24/18 1:58:07 AM,VALID,121.0,VALID,136.0,VALID,112.0,VALID,5.281,VALID,6.422,VALID,4.156,
1/24/18 2:00:09 AM,VALID,124.0,VALID,140.0,VALID,109.0,VALID,6.227,VALID,7.688,VALID,4.695,
1/24/18 2:02:07 AM,VALID,124.0,VALID,137.0,VALID,114.0,VALID,6.211,VALID,7.852,VALID,4.789,
1/24/18 2:04:07 AM,VALID,125.0,VALID,139.0,VALID,110.0,VALID,7.047,VALID,8.891,VALID,5.453,
1/24/18 2:06:07 AM,VALID,126.0,VALID,144.0,VALID,114.0,VALID,7.547,VALID,9.453,VALID,5.859,
1/24/18 2:08:09 AM,VALID,130.0,VALID,147.0,VALID,120.0,VALID,6.625,VALID,9.688,VALID,4.656,
1/24/18 2:10:07 AM,VALID,124.0,VALID,139.0,VALID,113.0,VALID,8.227,VALID,9.719,VALID,5.922,
1/24/18 2:12:07 AM,VALID,125.0,VALID,145.0,VALID,112.0,VALID,6.945,VALID,9.258,VALID,4.508,
1/24/18 2:14:07 AM,VALID,131.0,VALID,146.0,VALID,117.0,VALID,6.945,VALID,9.156,VALID,5.188,
1/24/18 2:16:07 AM,VALID,129.0,VALID,146.0,VALID,116.0,VALID,6.266,VALID,8.086,VALID,3.977,
1/24/18 2:18:07 AM,VALID,130.0,VALID,143.0,VALID,119.0,VALID,6.797,VALID,8.891,VALID,4.781,
1/24/18 2:20:07 AM,VALID,132.0,VALID,144.0,VALID,117.0,VALID,6.75,VALID,8.688,VALID,4.352,
1/24/18 2:22:07 AM,VALID,132.0,VALID,143.0,VALID,116.0,VALID,5.617,VALID,8.125,VALID,3.484,
1/24/18 2:24:07 AM,VALID,130.0,VALID,142.0,VALID,118.0,VALID,6.539,VALID,8.82,VALID,4.781,
1/24/18 2:26:07 AM,VALID,138.0,VALID,153.0,VALID,122.0,VALID,7.148,VALID,8.984,VALID,5.586,
1/24/18 2:28:07 AM,VALID,133.0,VALID,151.0,VALID,116.0,VALID,6.508,VALID,8.484,VALID,4.391,
1/24/18 2:30:08 AM,VALID,136.0,VALID,149.0,VALID,117.0,VALID,6.07,VALID,8.445,VALID,3.516,
1/24/18 2:32:07 AM,VALID,127.0,VALID,138.0,VALID,114.0,VALID,7.086,VALID,9.68,VALID,4.953,
1/24/18 2:34:07 AM,VALID,127.0,VALID,138.0,VALID,117.0,VALID,6.969,VALID,9.227,VALID,4.555,
1/24/18 2:36:07 AM,VALID,130.0,VALID,145.0,VALID,119.0,VALID,7.664,VALID,9.953,VALID,4.891,
1/24/18 2:38:07 AM,VALID,130.0,VALID,141.0,VALID,120.0,VALID,7.617,VALID,9.992,VALID,5.992,
1/24/18 2:40:07 AM,VALID,134.0,VALID,148.0,VALID,119.0,VALID,6.727,VALID,9.055,VALID,4.453,
1/24/18 2:42:07 AM,VALID,135.0,VALID,149.0,VALID,115.0,VALID,7.547,VALID,10.023,VALID,5.117,
1/24/18 2:44:07 AM,VALID,134.0,VALID,145.0,VALID,116.0,VALID,7.094,VALID,8.945,VALID,5.258,
1/24/18 2:46:07 AM,VALID,135.0,VALID,151.0,VALID,121.0,VALID,6.297,VALID,9.055,VALID,3.555,
1/24/18 2:48:07 AM,VALID,140.0,VALID,153.0,VALID,120.0,VALID,6.422,VALID,8.219,VALID,4.688,
1/24/18 2:50:07 AM,VALID,142.0,VALID,151.0,VALID,125.0,VALID,7.367,VALID,8.922,VALID,4.781,
