"Título de trazado: M5023"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C","Event, mm","Acoplador separado","Acoplador adjunto","Host conectado","Parado","Final de archivo"
1,02/27/2018 11:14:58 AM,26.292,0.0,,,,,
2,02/27/2018 11:16:42 AM,,0.1,,,,,
3,02/27/2018 11:17:11 AM,,,Registrado,,,,
4,02/27/2018 11:29:58 AM,22.717,,,,,,
5,02/27/2018 11:44:58 AM,19.092,,,,,,
6,02/27/2018 11:59:58 AM,21.091,,,,,,
7,02/27/2018 12:14:58 PM,18.616,,,,,,
8,02/27/2018 12:29:58 PM,17.950,,,,,,
9,02/27/2018 12:44:58 PM,20.519,,,,,,
10,02/27/2018 12:59:58 PM,21.569,,,,,,
11,02/27/2018 01:14:58 PM,21.091,,,,,,
12,02/27/2018 01:29:58 PM,23.100,,,,,,
13,02/27/2018 01:44:58 PM,22.046,,,,,,
14,02/27/2018 01:59:58 PM,18.045,,,,,,
15,02/27/2018 02:14:58 PM,16.427,,,,,,
16,02/27/2018 02:29:58 PM,14.709,,,,,,
17,02/27/2018 02:37:55 PM,,0.2,,,,,
18,02/27/2018 02:38:34 PM,,0.3,,,,,
19,02/27/2018 02:39:13 PM,,0.4,,,,,
20,02/27/2018 02:40:00 PM,,0.5,,,,,
21,02/27/2018 02:40:35 PM,,0.6,,,,,
22,02/27/2018 02:41:04 PM,,0.7,,,,,
23,02/27/2018 02:41:29 PM,,0.8,,,,,
24,02/27/2018 02:41:55 PM,,0.9,,,,,
25,02/27/2018 02:42:14 PM,,1.0,,,,,
26,02/27/2018 02:42:37 PM,,1.1,,,,,
27,02/27/2018 02:43:00 PM,,1.2,,,,,
28,02/27/2018 02:43:34 PM,,1.3,,,,,
29,02/27/2018 02:44:07 PM,,1.4,,,,,
30,02/27/2018 02:44:31 PM,,1.5,,,,,
31,02/27/2018 02:44:56 PM,,1.6,,,,,
32,02/27/2018 02:44:58 PM,13.173,,,,,,
33,02/27/2018 02:45:21 PM,,1.7,,,,,
34,02/27/2018 02:46:02 PM,,1.8,,,,,
35,02/27/2018 02:46:35 PM,,1.9,,,,,
36,02/27/2018 02:47:16 PM,,2.0,,,,,
37,02/27/2018 02:48:07 PM,,2.1,,,,,
38,02/27/2018 02:49:21 PM,,2.2,,,,,
39,02/27/2018 02:50:28 PM,,2.3,,,,,
40,02/27/2018 02:51:40 PM,,2.4,,,,,
41,02/27/2018 02:52:49 PM,,2.5,,,,,
42,02/27/2018 02:53:53 PM,,2.6,,,,,
43,02/27/2018 02:55:10 PM,,2.7,,,,,
44,02/27/2018 02:56:51 PM,,2.8,,,,,
45,02/27/2018 02:58:26 PM,,2.9,,,,,
46,02/27/2018 02:59:32 PM,,3.0,,,,,
47,02/27/2018 02:59:58 PM,12.690,,,,,,
48,02/27/2018 03:00:31 PM,,3.1,,,,,
49,02/27/2018 03:01:46 PM,,3.2,,,,,
50,02/27/2018 03:03:07 PM,,3.3,,,,,
51,02/27/2018 03:04:23 PM,,3.4,,,,,
52,02/27/2018 03:06:43 PM,,3.5,,,,,
53,02/27/2018 03:09:20 PM,,3.6,,,,,
54,02/27/2018 03:11:23 PM,,3.7,,,,,
55,02/27/2018 03:13:23 PM,,3.8,,,,,
56,02/27/2018 03:14:58 PM,12.401,,,,,,
57,02/27/2018 03:15:55 PM,,3.9,,,,,
58,02/27/2018 03:18:05 PM,,4.0,,,,,
59,02/27/2018 03:20:24 PM,,4.1,,,,,
60,02/27/2018 03:23:03 PM,,4.2,,,,,
61,02/27/2018 03:26:57 PM,,4.3,,,,,
62,02/27/2018 03:29:58 PM,12.207,,,,,,
63,02/27/2018 03:31:31 PM,,4.4,,,,,
64,02/27/2018 03:39:31 PM,,4.5,,,,,
65,02/27/2018 03:44:58 PM,12.013,,,,,,
66,02/27/2018 03:52:34 PM,,4.6,,,,,
67,02/27/2018 03:59:58 PM,11.334,,,,,,
68,02/27/2018 04:14:58 PM,11.041,,,,,,
69,02/27/2018 04:26:51 PM,,4.7,,,,,
70,02/27/2018 04:29:58 PM,10.944,,,,,,
71,02/27/2018 04:34:46 PM,,4.8,,,,,
72,02/27/2018 04:40:33 PM,,4.9,,,,,
73,02/27/2018 04:44:58 PM,10.944,,,,,,
74,02/27/2018 04:46:41 PM,,5.0,,,,,
75,02/27/2018 04:59:58 PM,11.041,,,,,,
76,02/27/2018 05:14:58 PM,11.041,,,,,,
77,02/27/2018 05:29:58 PM,10.944,,,,,,
78,02/27/2018 05:44:58 PM,10.846,,,,,,
79,02/27/2018 05:59:58 PM,10.651,,,,,,
80,02/27/2018 06:14:58 PM,10.553,,,,,,
81,02/27/2018 06:29:58 PM,10.455,,,,,,
82,02/27/2018 06:44:58 PM,10.259,,,,,,
83,02/27/2018 06:59:58 PM,10.259,,,,,,
84,02/27/2018 07:14:58 PM,10.161,,,,,,
85,02/27/2018 07:29:58 PM,10.161,,,,,,
86,02/27/2018 07:44:58 PM,10.063,,,,,,
87,02/27/2018 07:59:58 PM,9.965,,,,,,
88,02/27/2018 08:14:58 PM,9.866,,,,,,
89,02/27/2018 08:29:58 PM,9.866,,,,,,
90,02/27/2018 08:31:43 PM,,5.1,,,,,
91,02/27/2018 08:44:58 PM,9.866,,,,,,
92,02/27/2018 08:59:58 PM,9.669,,,,,,
93,02/27/2018 09:14:58 PM,9.571,,,,,,
94,02/27/2018 09:29:58 PM,9.571,,,,,,
95,02/27/2018 09:44:58 PM,9.669,,,,,,
96,02/27/2018 09:59:58 PM,9.669,,,,,,
97,02/27/2018 10:14:58 PM,9.373,,,,,,
98,02/27/2018 10:29:58 PM,9.176,,,,,,
99,02/27/2018 10:44:58 PM,8.978,,,,,,
100,02/27/2018 10:59:58 PM,8.680,,,,,,
101,02/27/2018 11:14:58 PM,8.779,,,,,,
102,02/27/2018 11:29:58 PM,8.779,,,,,,
103,02/27/2018 11:44:58 PM,8.879,,,,,,
104,02/27/2018 11:59:58 PM,8.879,,,,,,
105,02/28/2018 12:14:58 AM,8.978,,,,,,
106,02/28/2018 12:29:58 AM,9.077,,,,,,
107,02/28/2018 12:44:58 AM,9.176,,,,,,
108,02/28/2018 12:59:58 AM,9.176,,,,,,
109,02/28/2018 01:14:58 AM,9.176,,,,,,
110,02/28/2018 01:29:58 AM,8.879,,,,,,
111,02/28/2018 01:44:58 AM,8.779,,,,,,
112,02/28/2018 01:59:58 AM,8.680,,,,,,
113,02/28/2018 02:14:58 AM,8.581,,,,,,
114,02/28/2018 02:29:58 AM,8.481,,,,,,
115,02/28/2018 02:44:58 AM,8.481,,,,,,
116,02/28/2018 02:59:58 AM,8.382,,,,,,
117,02/28/2018 03:14:58 AM,8.282,,,,,,
118,02/28/2018 03:29:58 AM,8.082,,,,,,
119,02/28/2018 03:44:58 AM,7.782,,,,,,
120,02/28/2018 03:59:58 AM,7.582,,,,,,
121,02/28/2018 04:14:58 AM,7.682,,,,,,
122,02/28/2018 04:29:58 AM,7.882,,,,,,
123,02/28/2018 04:44:58 AM,7.682,,,,,,
124,02/28/2018 04:59:58 AM,7.481,,,,,,
125,02/28/2018 05:14:58 AM,7.481,,,,,,
126,02/28/2018 05:29:58 AM,7.582,,,,,,
127,02/28/2018 05:44:58 AM,7.582,,,,,,
128,02/28/2018 05:59:58 AM,7.582,,,,,,
129,02/28/2018 06:14:58 AM,7.682,,,,,,
130,02/28/2018 06:29:58 AM,7.582,,,,,,
131,02/28/2018 06:44:58 AM,7.782,,,,,,
132,02/28/2018 06:59:58 AM,7.983,,,,,,
133,02/28/2018 07:14:58 AM,8.182,,,,,,
134,02/28/2018 07:29:58 AM,8.481,,,,,,
135,02/28/2018 07:44:58 AM,8.779,,,,,,
