TOA5,M5028,CR800,31483,CR800.Std.27,CPU:Miranda_05-10-2016.CR8,30135,min1,
TIMESTAMP,RECORD,TempAire_Avg,HumAire_Avg,RS_W_Avg,RS_MJ_Tot,Lluvia_Tot,VWC_Avg,period_Avg
TS,RN,C,%,w/m2,MJ,mm,mm/mm,ms
,,Avg,Avg,Avg,Tot,Tot,Avg,Avg
22/11/2017 14:20,255121,14.93,60.54,378.778,0.028,0,0.35,29.31
22/11/2017 14:21,255122,14.9,59.99,233.7535,0.014,0,0.35,29.3
22/11/2017 14:22,255123,14.95,60.18,222.5343,0.013,0,0.35,29.31
22/11/2017 14:23,255124,15.17,61.68,216.0341,0.013,0,0.35,29.3
22/11/2017 14:24,255125,15.33,64.57,227.251,0.014,0,0.35,29.31
22/11/2017 14:25,255126,15.54,65.98,245.6191,0.015,0,0.35,29.3
22/11/2017 14:26,255127,15.92,60.76,275.7663,0.017,0,0.35,29.3
22/11/2017 14:27,255128,16.2,58.23,288.5308,0.017,0,0.35,29.3
22/11/2017 14:28,255129,16.41,58.71,268.753,0.016,0,0.35,29.3
22/11/2017 14:29,255130,16.56,58.16,241.9759,0.015,0,0.35,29.3
22/11/2017 14:30,255131,16.45,60.96,233.253,0.014,0,0.35,29.3
22/11/2017 14:31,255132,16.36,60.68,211.1058,0.013,0,0.35,29.3
22/11/2017 14:32,255133,16.19,62.07,189.8978,0.011,0,0.35,29.3
22/11/2017 14:42,255134,,,170.9315,0.01,0,0.35,29.3
22/11/2017 14:43,255135,,,188.5026,0.011,0,0.35,29.3
22/11/2017 14:44,255136,,,184.9531,0.011,0,0.35,29.3
22/11/2017 14:45,255137,,,184.8099,0.011,0,0.35,29.3
22/11/2017 14:46,255138,,,170.8167,0.01,0,0.35,29.3
22/11/2017 14:47,255139,,,180.7805,0.011,0,0.35,29.3
22/11/2017 14:48,255140,,,361.8403,0.022,0,0.35,29.3
22/11/2017 14:49,255141,,,440.3614,0.026,0,0.35,29.3
22/11/2017 14:50,255142,,,242.4174,0.015,0,0.35,29.3
22/11/2017 14:51,255143,,,251.8194,0.015,0,0.35,29.3
22/11/2017 14:52,255144,,,299.7459,0.018,0,0.35,29.3
22/11/2017 14:53,255145,,,730.4143,0.044,0,0.35,29.3
22/11/2017 14:54,255146,,,802.3381,0.048,0,0.35,29.3
22/11/2017 14:55,255147,,,292.8596,0.018,0,0.35,29.3
22/11/2017 14:56,255148,,,279.4861,0.017,0,0.35,29.3
22/11/2017 14:57,255149,,,252.6301,0.015,0,0.35,29.3
22/11/2017 14:58,255150,,,263.0234,0.016,0,0.35,29.3
22/11/2017 14:59,255151,,,294.2279,0.018,0,0.35,29.3
22/11/2017 15:00,255152,,,276.3988,0.017,0,0.35,29.3
22/11/2017 15:01,255153,,,209.0246,0.013,0,0.35,29.3
22/11/2017 15:02,255154,,,170.4684,0.01,0,0.35,29.3
22/11/2017 15:03,255155,,,163.967,0.01,0,0.35,29.3
22/11/2017 15:04,255156,,,167.7722,0.01,0,0.35,29.3
22/11/2017 15:05,255157,,,171.9747,0.01,0,0.35,29.3
22/11/2017 15:06,255158,,,168.3976,0.01,0,0.35,29.3
22/11/2017 15:07,255159,,,163.0596,0.01,0,0.35,29.3
22/11/2017 15:08,255160,,,162.2646,0.01,0,0.35,29.3
